Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Fixed occasional flashing when toggling scheme (#1283),0.39322078,Revert dark mode breaking change (fdfbd5b),,0
Add events for when supervisors are terminated (#1282),0.62781334,Show paused supervisors on dashboard (#1052)﻿,  Add events for when supervisors are terminated   Fix styleCI issues   rename files   Update SupervisorOutOfMemory.php    Co-authored-by: Taylor Otwell taylor@laravel.com,0
Update CHANGELOG,0.37523237,Show warning when manifest is outdated (#783),,0
Mask as deprecated using night() and $useDarkTheme (#1279),0.59949464,Mark as deprecated using night() and $useDarkTheme by @lloricode in https://github.com/laravel/horizon/pull/1279, Mask as deprecated using night() and $useDarkTheme  This PR is for https://github.com/laravel/horizon/pull/1275  Try to fix style,0
Respect the prefers-color-scheme setting (#1275),0.6097847,Respect the prefers-color-scheme setting by @ramonrietdijk in https://github.com/laravel/horizon/pull/1275,  Respect the prefers-color-scheme setting   Added a scheme toggler   update deps    Co-authored-by: Taylor Otwell taylor@laravel.com,0
Compile Assets,0.82282746,Compile assets (57814a0),,1
[5.x] Refreshes tags periodically (#1274),0.5173642,Refreshes tags periodically by @nunomaduro in https://github.com/laravel/horizon/pull/1274,  Refreshes tags periodically   Compile Assets   Update index.vue    Co-authored-by: nunomaduro nunomaduro@users.noreply.github.com Co-authored-by: Taylor Otwell taylor@laravel.com,0
Fix deprecation errors for PHP 8.2 (#1270),0.78897,Fix deprecation errors for PHP 8.2 by @AntonCooper in https://github.com/laravel/horizon/pull/1270,,1
Update 1_Bug_report.yml,0.41184372,Require latest symfony/debug version (72cc3a7),,0
Update and rename 1_Bug_report.md to 1_Bug_report.yml,0.368597,Improve wording of error message (#918),,0
Bump webpack from 5.74.0 to 5.76.1 (#1258),0.4974475,Bump minimum Laravel version (#954)﻿, Bump webpack from 5.74.0 to 5.76.1  Bumps webpack from 5.74.0 to 5.76.1. - Release notes - Commits  updated-dependencies: - dependency-name: webpack   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com  Apply fixes from StyleCI   Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com Co-authored-by: StyleCI Bot bot@styleci.io,0
Update CHANGELOG.md,0.36706525,Show warning when manifest is outdated (#783),,0
add default scaling strategy,0.5936309,"Make autoscaling rate configurable (#874, 9af71de)",,0
Apply fixes from StyleCI,0.38070124,Add fallback font (#964)﻿,,0
wip,0.27511534,New UI (#522),,0
[5.x] Add autoScalingStrategy option (#1254),0.6234651,"Make autoscaling rate configurable (#874, 9af71de)",  adds autoScalingStrategy option   changes autoScalingStrategy property to runtime   style fix   formatting   move property   fix variable   Update SupervisorOptions.php    Co-authored-by: Taylor Otwell taylor@laravel.com,0
