Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
1,Merge pull request #96 from dbpolito/patch-3,0.6038762,Merge tags from payload (#843),,0
2,Merge branch 'metrics-options' of link into metrics-options,0.4344071,Merge tags from payload (#843),Respect the prefers-color-scheme setting Added a scheme toggler update deps Co-authored-by: Taylor Otwell taylor@laravel.com,0
3,Merge pull request #917 from mmachatschek/support_php8,0.59081626,Support PHP 8 (#917),,0
4,New horizon & laravel version,0.5680284,Optimized Horizon SVG logo (#489),Refreshes tags periodically Compile Assets Update index.vue Co-authored-by: nunomaduro nunomaduro@users.noreply.github.com Co-authored-by: Taylor Otwell taylor@laravel.com,0
5,Merge pull request #62 from matthijs110/patch-1,0.6049416,Merge tags from payload (#843),,0
6,Merge pull request #481 from driesvints/fix-incorrect-processes-count,0.77715015,Fix incorrect processes count (#481),,1
7,Remove unnecessary type attribute,0.51785815,Remove unnecessary register method (7134324),,0
8,Fix 7.3 build,0.57354885,Fix failed jobs retrying (7d28272),,0
9,Merge pull request #390 from browner12/patch-2,0.58380747,Merge tags from payload (#843),Bump webpack from 5.74.0 to 5.76.1 Bumps webpack from 5.74.0 to 5.76.1. - Release notes - Commits updated-dependencies: - dependency-name: webpack   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Apply fixes from StyleCI Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com Co-authored-by: StyleCI Bot bot@styleci.io,0
10,Merge pull request #60 from laravel/avoid/redis/keys,0.496813,Merge tags from payload (#843),,0
11,fix failed raw jobs display,0.7444465,Fix Failed Jobs page showing no results when failed jobs do exist (#511),,1
12,Alphabetically sort jobs/queues for metrics (#1083),1.0000002,Alphabetically sort jobs/queues for metrics (#1083),,1
13,"Added ""Attempts"" to jobs lists.",0.63733906,Add try/catch for failed-jobs (#880),,0
14,Bump jquery from 3.4.1 to 3.5.0,0.6202283,Bump minimum Laravel version (#954)﻿,,0
15,show date in timestamps,0.6220144,Use provided timezone for delay due (aa69357),,0
16,Merge branch 'config-job-expiry' of link into halaei-config-job-expiry,0.47218525,Merge tags from payload (#843),adds autoScalingStrategy option changes autoScalingStrategy property to runtime style fix formatting move property fix variable Update SupervisorOptions.php Co-authored-by: Taylor Otwell taylor@laravel.com,0
17,Add signal option to horizon:purge (e.g. SIGKILL) (#1226),0.88207114,Add signal option to horizon:purge (e.g. SIGKILL) by @crishoj in link,,1
18,Remove useless variables,0.663926,Remove unused functions (#722),add cancelled status to batch overview use badge class Update index.vue Co-authored-by: Taylor Otwell taylor@laravel.com,0
19,Merge pull request #832 from CharbelJ/patch-3,0.58045375,Merge tags from payload (#843),Adds type checking Update .gitattributes Update static-analysis.yml,0
20,update phpdoc,0.71402264,Bump minimum PHP version to PHP 7.3 (ca9ddda),,1
21,Flatten assets directory.,0.49381134,Compiled assets (1dcbb96),,0
22,Merge pull request #787 from ahinkle/chronos_2.X,0.52023655,Merge tags from payload (#843),,0
23,Set default value for job $payload['pushedAt'] when retrying (#1211),0.8529744,Set default value for job $payload['pushedAt'] when retrying by @stevebauman in link,,1
24,Update ProvisioningPlan.php,0.7079059,Add some PHP 8.1 fixes (#1100)﻿,,1
25,another attempt on horizon orphans,0.42962378,"Revert ""Prevent horizon:purge from killing too many processes"" (#831)",,0
26,Correct dashboard failed jobs metric,0.8178437,Allow custom dashboard failed jobs metric period (#644),,1
27,Merge pull request #31 from lucasmichot/feature/master/worker,0.5805319,Fix worker command binding (3b53310),,0
28,change to bootstrap4,0.51340586,Bump minimum Laravel version (#954)﻿,,0
29,Fix for table headers in the Monitoring tab to match the data which is presented to the user. (#1137),0.92987204,Fix for table headers in the Monitoring tab to match the data that is presented to the user by @dylan7778 in link,,1
30,change chart.js intersect mode to false (#1133),0.88390887,change chart.js intersect mode to false by @swist666 in link,A fresh coat of paint Compile Assets fix silenced viewbox Co-authored-by: jessarcher jessarcher@users.noreply.github.com Co-authored-by: Taylor Otwell taylor@laravel.com,1
31,Support for non-standard PHP binary,0.6978887,Support PHP 8 (#917),move sileneced logic to job payload move fixtures and payload test to feature fix tests styling make methods protected,0
32,Only show the pagination when there are failed jobs,0.6884041,Fix Failed Jobs page showing no results when failed jobs do exist (#511),,0
33,Merge pull request #942 from laravel/dependabot/npm_and_yarn/highlight.js-10.4.1,0.59531784,Merge tags from payload (#843),,0
34,Merge pull request #312 from halaei/fix-uglify-options,0.53913283,Merge tags from payload (#843),"Currently, all pages show 50 jobs per page. Only the Monitored Tags page is limited to 3 jobs per page. In my opinion, this makes little sense and especially if you want to monitor a lot more jobs, it is very difficult to find the right jobs or to get an overview of the last jobs that have been run.",0
35,Merge pull request #165 from mattiasgeniar/1.0,0.60636216,Merge tags from payload (#843),,0
36,Merge pull request #692 from vigneshgurusamy/dormant-recent-tags,0.66180265,Merge tags from payload (#843),,0
37,Fixes not being able to install horizon with Laravel 5.6,0.71149224,Removed support for Laravel 5.5 & 5.6 (8a92e09),Update tests.yml Update composer.json Update composer.json,1
38,Bump follow-redirects from 1.14.5 to 1.14.8 (#1117),0.60337836,Bump axios to v1.x by @ankurk91 in link,Bumps json5 from 1.0.1 to 1.0.2. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: json5   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
39,Hide retry failed jobs button if no jobs failed (#1097),0.99864817,Hide Retry failed jobs button if no jobs failed (#1097),,1
40,Merge pull request #294 from josiasmontag/patch-1,0.6332568,Merge tags from payload (#843),,0
41,Merge branch 'metrics-options' of link into bert-w-metrics-options,0.46905464,Merge tags from payload (#843),Silenced jobs wip formatting Compile Assets Compile Assets Co-authored-by: Taylor Otwell taylor@laravel.com Co-authored-by: taylorotwell taylorotwell@users.noreply.github.com,0
42,Make horizon work with strict content-security-policy (#1138),0.86229193,Make horizon work with strict content-security-policy by @Grldk in link,,1
43,Resolve issue with php strict type (#1110),0.7563137,Resolve issue with php strict type by @farmani in link,,1
44,Fix jobs per minute over estimation,0.9599091,Fix jobs per minute over estimation (#502),,1
45,wording,0.4130532,﻿,Update syntaxhighlight.scss Add value-undefined style Lint Fix,0
46,Merge pull request #767 from themsaid/completedJobs,0.53620267,Merge tags from payload (#843),,0
47,Bump acorn from 6.4.0 to 6.4.1,0.5641754,Bump axios to v1.x by @ankurk91 in link,,0
48,Merge pull request #627 from themsaid/autoscalingCeiling,0.5763022,Merge tags from payload (#843),,0
49,Merge branch 'patch-1' of link into sixlive-patch-1,0.5004838,Merge tags from payload (#843),add signal option (e.g. SIGKILL) formatting Co-authored-by: Taylor Otwell taylor@laravel.com,0
50,fix tags display,0.66752625,Another way for tags displaying & collapsible panels (#754),,0
51,wrap several commands in a pipe,0.42543784,Add commands to pause and continue supervisors (#914),Don't tolerate negative $maxUpShift Fix autoscaling letting processes hit 0 Fix autoscaling letting processes hit 0,0
52,Allow deleting of Tags which contain forward slashes (Fixes #1093) (#1196),0.9228569,Allow deleting of Tags which contain forward slashes (Fixes #1093) by @sgotre in link,,1
53,Merge branch 'master' of link into cretueusebiu-master,0.37288573,"When register, keep the original Redis options, only overwrite prefix by @nthsky in link","Bumps loader-utils to 2.0.4 and updates ancestor dependencies loader-utils, loader-utils and resolve-url-loader. These dependencies need to be updated together. Updates loader-utils from 2.0.3 to 2.0.4 - Release notes - Changelog - Commits Updates loader-utils from 1.4.0 to 2.0.4 - Release notes - Changelog - Commits Updates resolve-url-loader from 3.1.4 to 5.0.0 - Release notes - Changelog - Commits updated-dependencies: - dependency-name: loader-utils   dependency-type: indirect - dependency-name: loader-utils   dependency-type: indirect - dependency-name: resolve-url-loader   dependency-type: direct:development ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
54,Add feature test to check paged deletion,0.5106217,Fix pagination for recent jobs (#678),,0
55,more fixes for decimal separator,0.5119834,Properly format numeric values (#606),,0
56,Update syntax highlighting (#1002),0.9999999,Update syntax highlighting (#1002),Add failing test Use microtime for pushed at timestamp Update test CS fixes,1
57,Merge pull request #821 from andresayej/4.x,0.5982096,Merge tags from payload (#843),Add missing anchor title for clarity Compile Assets Co-authored-by: stevebauman stevebauman@users.noreply.github.com,0
58,fix branch-alias,0.4296297,Fix check deleting failed job is actually failed (#894)﻿,,0
59,Merge pull request #905 from pataar/patch-1,0.5745535,Merge tags from payload (#843),,0
60,Use pagination and while-loop to delete monitored jobs,0.628403,Clear stopwatch once job is deleted by @taylorotwell in link,,0
61,clear stopwatch once job is deleted,0.866539,Clear stopwatch once job is deleted by @taylorotwell in link,,1
62,Merge pull request #372 from BinotaLIU/master,0.5268732,Merge tags from payload (#843),"fix #1093, delete tags which contain forward slashes remove double ; Co-authored-by: Stefan Gotre stefan.gotre@teraone.de",0
63,rename argument,0.5260875,Changed,"Improves GitHub Workflow Avoid using ^ deps (incompatible with Composer on Windows), while this is not used in Telescope, this repository will be used as reference to setup GitHub Action and I believe we should use the best configuration. Use include instead of exclude wip wip wip",0
64,remove composer.lock,0.42942116,Removed,,0
65,Use ubuntu-18.04,0.44391042,Require latest symfony/debug version (72cc3a7),Add exit codes to status command StyleCI,0
66,Merge pull request #605 from tomswinkels/patch-2,0.5840429,Merge tags from payload (#843),Update .gitattributes Update .gitattributes Co-authored-by: Dries Vints dries@vints.io,0
67,cs fix implicit null return,0.4266973,Fix missing variable use in anonymous function by @joshuaruesweg in link,,0
68,Fixed issue where metrics only showed CallQueuedListener,0.5551491,Use callAfterResolving to register QueueManager (#1089)﻿,,0
