Index,Message,Description,Message Abstract,Description Abstract
1,Update CHANGELOG,,Update CHANGELOG,
2,add lock path,,add lock path,
3,Update CHANGELOG,,Update CHANGELOG,
4,"Bring back cluster config option, as required by pusher-js v8.0. (#6174)",,"Bring back cluster config option, as required by pusher-js v8.0. (#6174)",
5,Add hashed cast to user password (#6171),  Add hashed cast to user password   Update composer.json ,Add hashed cast to user password (#6171),Add hashed cast to user password Update composer.json
6,Update CHANGELOG,,Update CHANGELOG,
7,Update mail.php (#6170),,Update mail.php (#6170),
8,Migrate to modules (#6090),,Migrate to modules (#6090),
9,Update welcome.blade.php (#6163),"""Set z-index to 10 for Login/Register container to ensure it appears on top of other elements""",Update welcome.blade.php (#6163),"""Set z-index to 10 for Login/Register container to ensure it appears on top of other elements"""
10,Update CHANGELOG,,Update CHANGELOG,
11,Fix laravel/framework constraints for Default Service Providers (#6160),,Fix laravel/framework constraints for Default Service Providers (#6160),
12,Update CHANGELOG,,Update CHANGELOG,
13,Update CHANGELOG,,Update CHANGELOG,
14,[10.x] Minor skeleton slimming (#6159),  remove rate limiter from route provider by default   remove policy place holder   remove broadcast skeleton in favor of new provider in core   use default provider collection   Remove unnecessary properties from exception handler.   add back broadcast provider   update comment   add rate limiting   Apply fixes from StyleCI   fix formatting    Co-authored-by: StyleCI Bot bot@styleci.io,[10.x] Minor skeleton slimming (#6159),remove rate limiter from route provider by default remove policy place holder remove broadcast skeleton in favor of new provider in core use default provider collection Remove unnecessary properties from exception handler. add back broadcast provider update comment add rate limiting Apply fixes from StyleCI fix formatting Co-authored-by: StyleCI Bot bot@styleci.io
15,Adds phpunit/phpunit@10.1 support (#6155),,Adds phpunit/phpunit@10.1 support (#6155),
16,clean up comment,,clean up comment,
17,Update CHANGELOG,,Update CHANGELOG,
18,Add job batching options to Queue configuration file (#6149)," add batching config options to queue config file  This adds the batching configuration options to the queue configuration skeleton, so everyone has a faster way of knowing that it's possible to customize the database connection and table options.  formatting   Co-authored-by: Taylor Otwell taylor@laravel.com",Add job batching options to Queue configuration file (#6149),"add batching config options to queue config file This adds the batching configuration options to the queue configuration skeleton, so everyone has a faster way of knowing that it's possible to customize the database connection and table options. formatting Co-authored-by: Taylor Otwell taylor@laravel.com"
19,Update CHANGELOG,,Update CHANGELOG,
20,[10.x] Add replace_placeholders to log channels (#6139),  add replace_placeholders to log channels   Update logging.php    Co-authored-by: Taylor Otwell taylor@laravel.com,[10.x] Add replace_placeholders to log channels (#6139),add replace_placeholders to log channels Update logging.php Co-authored-by: Taylor Otwell taylor@laravel.com
21,Update CHANGELOG,,Update CHANGELOG,
22,Specify facility in the syslog driver config (#6130),,Specify facility in the syslog driver config (#6130),
23,Fix typo (#6128),,Fix typo (#6128),
24,Update CHANGELOG,,Update CHANGELOG,
25,Update CHANGELOG.md,,Update CHANGELOG.md,
26,Update .gitignore (#6123),Reorder,Update .gitignore (#6123),Reorder
27,Reverts #6089 (#6122),,Reverts #6089 (#6122),
28,Remove redundant @return docblock in UserFactory (#6119),,Remove redundant @return docblock in UserFactory (#6119),
29,"Revert ""add ses-v2 mailer in config (#6112)"" (#6115)",This reverts commit a1ef009415003fe981fc0f4a60ce9c4faf35f9f1.,"Revert ""add ses-v2 mailer in config (#6112)"" (#6115)",This reverts commit a1ef009415003fe981fc0f4a60ce9c4faf35f9f1.
30,add ses-v2 mailer in config (#6112),,add ses-v2 mailer in config (#6112),
31,Missing comma (#6111),,Missing comma (#6111),
32,Update CHANGELOG,,Update CHANGELOG,
33,remove unneeded call,,remove unneeded call,
34,Update CHANGELOG,,Update CHANGELOG,
35,Allow php-http/discovery as a composer plugin (#6106),,Allow php-http/discovery as a composer plugin (#6106),
36,Add PHPUnit result cache to gitignore (#6105),,Add PHPUnit result cache to gitignore (#6105),
