Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
1,Pick log_channel from environment variable,0.6888553,Add log_channel configuration option (#4855),,0
2,Working on app structure.,0.51148236,Use app()->getLocale() (#4282),,0
3,Add documentation on how to attach pivot table fields to attach command.,0.5024429,Add ably entry (5182e9c),,0
4,Merge pull request #3685 from JosephSilber/multi-auth,0.49100602,Remove X-UA-Compatible meta tag (#4748),,0
5,Apply fixes from StyleCI (#5006),0.6726023,Update .styleci.yml (bfd4b1e),Add hashed cast to user password Update composer.json,0
6,Merge pull request #1113 from HiroKws/markdown-fix/doc-change,0.5731962,Revert change to QUEUE_CONNECTION (34368a4),,0
7,continuing to refactor the uri class.,0.55630404,"Update database config relating to Url addition (#5018, b0e0bdc)",,0
8,"styling, prettyprint and layout",0.5664563,Use correct facade (#4780),,0
9,added more comments to crypter class.,0.5942884,Add commented code (69d0c50),"""Set z-index to 10 for Login/Register container to ensure it appears on top of other elements""",0
10,Merge pull request #1036 from tobsn/patch-8,0.5424432,Revert change to QUEUE_CONNECTION (34368a4),,0
11,Merge branch 'add-hashing-config' of link into huguesjoyal-add-hashing-config,0.5496202,Add missing maintenance to config by @ibrunotome in link,,0
12,added server configuration to the documentation,0.57143486,Add basic trust host middleware (5639581),,0
13,ignoring files in the storage directory.,0.57259136,Persist the /storage/framework/cache/data directory (#4760),,0
14,added comments for the lang class.,0.5908003,Add comment (a6ca577),remove rate limiter from route provider by default remove policy place holder remove broadcast skeleton in favor of new provider in core use default provider collection Remove unnecessary properties from exception handler. add back broadcast provider update comment add rate limiting Apply fixes from StyleCI fix formatting Co-authored-by: StyleCI Bot bot@styleci.io,0
15,only write file caches if minutes is greater than zero.,0.51522565,Delete cached config file before running tests (#5091),,0
16,Merge pull request #1676 from chrishow/form-label-html,0.49256095,"Remove unnecessary link type on ""welcome"" view (#4935)",,0
17,Merge pull request #1084 from joecwallace/pivot_fix,0.56072605,Revert change to QUEUE_CONNECTION (34368a4),,0
18,fix bug in request uri parsing.,0.5577056,"Update database config relating to Url addition (#5018, b0e0bdc)","add batching config options to queue config file This adds the batching configuration options to the queue configuration skeleton, so everyone has a faster way of knowing that it's possible to customize the database connection and table options. formatting Co-authored-by: Taylor Otwell taylor@laravel.com",0
19,Refactoring Config class to use Arr. Removed unnecessary comments.,0.54234743,Remove default commented namespace by @driesvints in link,,0
20,Clean up constant definitions.,0.39401776,Clean up auto register Vue components (#4854),add replace_placeholders to log channels Update logging.php Co-authored-by: Taylor Otwell taylor@laravel.com,0
21,Changing default routing setup.,0.6312754,Swap route order (292a5b2),,0
22,Merge pull request #895 from TomorrowToday/develop,0.40632468,Improve Pusher configuration for easy development by @oanhnn in link,,0
23,refactoring input class.,0.5477519,"Use RefreshDatabase trait (a536402, #4373)",,0
24,Fixed the spaced directory when calling php unit via the command line,0.5086727,Fix empty paths for server.php  by @driesvints in link,,0
25,Merge pull request #3661 from AdenFraser/AppUrlEnv,0.5048909,Add asset url configuration option (63a4039),,0
26,Changed timestamp function in eloquent/model.php to public,0.44737113,Renamed ModelFactory.php to UserFactory.php to encourage separate files (67a8a11),Reorder,0
27,Added note to Route\Finder.,0.5856347,DRY up path to /home (#5173),,0
28,fixing merge conflicts.,0.50706285,Bump several dependencies﻿,,0
29,update deps,0.5069507,Update deprecated pusher option (#5058),This reverts commit a1ef009415003fe981fc0f4a60ce9c4faf35f9f1.,0
30,Merge pull request #1687 from bencorlett/develop,0.49875307,Revert change to QUEUE_CONNECTION (34368a4),,0
31,Update laravel/documentation/database/eloquent.md,0.6544572,Update to the latest version of laravel-vite-plugin by @jessarcher in link,,0
32,Merge pull request #3564 from martinbean/patch-1,0.53983253,Ignore Yarn error log (#4322),,0
33,packets in alphabetical order,0.6883271,Consistent alphabetical order (#5167),,0
34,change controller->filters to protected.,0.4495858,Change some default settings (f48e2d5),,0
35,Merge pull request #1 from crynobone/core-tests,0.47808015,Ignore SQLite files generated on parallel testing (#5593)﻿,,0
36,Fix Eloquent eager loading matching.,0.41917193,Add ably entry (5182e9c),,0
37,Merge pull request #4904 from Te7a-Houdini/modify-redirect-if-auth-middleware-to-allow-multiple-guards,0.47454086,"Add HandleCors middleware (#5189, 0bec06c)",,0
38,Documentation: relative link to the documentation,0.4683153,Adds uppercase validation rule translation by @michaelnabil230 in link,Co-authored-by: s-damian contact@damian-freelance.fr,0
39,allow the configuration class to set entire files.,0.36386964,Update skeleton for filesystem tweaks to make sail usage easier (c5d38d4)﻿,,0
40,[8.x] Use PHPDoc comments from base class in User model (#5676),0.6516838,Encourage to use PHPUnit 8 (0582a20),,0
41,The Eloquent model includes can now be taken directly from the model when assembling the query.,0.355626,Comment out non-existing model class and policy example (f4ff4f4),,0
42,Update validation.php (#5636),0.72885823,Update minimum PHPUnit version to 7.5 (7546842),,1
43,added module support!,0.45800754,Set framework version ^7.24 (#5370),,0
44,tweaking comments in sqlite connector.,0.5867274,Add commented code (69d0c50),,0
45,Add a missing dot in translations (#5520),0.591433,"Adds ""missing"" validation rule translations by @timacdonald in link",adds clarification to throttle auth setting Update auth.php Co-authored-by: Taylor Otwell taylor@laravel.com,0
46,consolidate to a single method,0.3933242,Simplified mix require (#4283),,0
47,added clear() method to the input class,0.48759604,Add IDE type-hint to UserFactory (#4990),wip minor tweaks Use cool gray for dark mode Use the same grays for light and dark Improve dots bg Add some red back into dark mode Replace Tailwind CDN with compiled CSS Remove unnecessary class Restore font-display: swap Co-authored-by: Taylor Otwell taylor@laravel.com,0
