Index,Release Note,Release Note Abstract
1,"
Update description by @taylorotwell in https://github.com/laravel/laravel/commit/85203d687ebba72b2805b89bba7d18dfae8f95c8
",Update description by @taylorotwell in link
2,"
Add lock path by @taylorotwell in https://github.com/laravel/laravel/commit/a6bfbc7f90e33fd6cae3cb23f106c9689858c3b5
",Add lock path by @taylorotwell in link
3,"
Add hashed cast to user password by @emargareten in https://github.com/laravel/laravel/pull/6171
Bring back pusher cluster config option by @jesseleite in https://github.com/laravel/laravel/pull/6174
","Add hashed cast to user password by @emargareten in link
Bring back pusher cluster config option by @jesseleite in link"
4,"
Update welcome.blade.php by @aymanatmeh in https://github.com/laravel/laravel/pull/6163
Sets package.json type to module by @timacdonald in https://github.com/laravel/laravel/pull/6090
Add url support for mail config by @chu121su12 in https://github.com/laravel/laravel/pull/6170
","Update welcome.blade.php by @aymanatmeh in link
Sets package.json type to module by @timacdonald in link
Add url support for mail config by @chu121su12 in link"
5,"
Fix laravel/framework constraints for Default Service Providers by @Jubeki in https://github.com/laravel/laravel/pull/6160
",Fix laravel/framework constraints for Default Service Providers by @Jubeki in link
6,"
Minor skeleton slimming by @taylorotwell in https://github.com/laravel/laravel/pull/6159
",Minor skeleton slimming by @taylorotwell in link
7,"
Adds phpunit/phpunit@10.1 support by @nunomaduro in https://github.com/laravel/laravel/pull/6155
",Adds phpunit/phpunit@10.1 support by @nunomaduro in link
8,"
Add job batching options to Queue configuration file by @AnOlsen in https://github.com/laravel/laravel/pull/6149
",Add job batching options to Queue configuration file by @AnOlsen in link
9,"
Add replace_placeholders to log channels by @alanpoulain in https://github.com/laravel/laravel/pull/6139
",Add replace_placeholders to log channels by @alanpoulain in link
10,"
Fix typo by @izzudin96 in https://github.com/laravel/laravel/pull/6128
Specify facility in the syslog driver config by @nicolus in https://github.com/laravel/laravel/pull/6130
","Fix typo by @izzudin96 in link
Specify facility in the syslog driver config by @nicolus in link"
11,"
Remove redundant @return docblock in UserFactory by @datlechin in https://github.com/laravel/laravel/pull/6119
Reverts change in asset helper by @timacdonald in https://github.com/laravel/laravel/pull/6122
","Remove redundant @return docblock in UserFactory by @datlechin in link
Reverts change in asset helper by @timacdonald in link"
12,"
Remove unneeded call by @taylorotwell in https://github.com/laravel/laravel/commit/3986d4c54041fd27af36f96cf11bd79ce7b1ee4e
",Remove unneeded call by @taylorotwell in link
13,"
Add PHPUnit result cache to gitignore by @itxshakil in https://github.com/laravel/laravel/pull/6105
Allow php-http/discovery as a composer plugin by @nicolas-grekas in https://github.com/laravel/laravel/pull/6106
","Add PHPUnit result cache to gitignore by @itxshakil in link
Allow php-http/discovery as a composer plugin by @nicolas-grekas in link"
14,Laravel 10 comes with a lot of changes to the base skeleton. Please consult the diff to see what's changed.,Laravel 10 comes with a lot of changes to the base skeleton. Please consult the diff to see what's changed.
