Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Update CHANGELOG,0.39895058,Various fixes and changes.﻿,,0
--log-level option in octane:start command (#701),0.8036953,--log-level option in octane:start command by @glushkovds in https://github.com/laravel/octane/pull/701,,1
wip,0.2416847,Removed,,0
Update UPGRADE.md,0.3374714,Updates octane:install command when Swoole extension is missing (#427),,0
Updates upgrade guide,0.37364876,Various fixes and changes.,,0
Use the latest dependencies of its dependencies,0.38484472,Resolve components when needed (#355),,0
Merge branch '1.x',0.23812547,Mission version configuration option on RoadRunner  (#482),,0
support projects using type module (#696),0.62309253,Support projects using type module by @timacdonald in https://github.com/laravel/octane/pull/696,,0
Uses laminas/laminas-diactoros@3 (#694),0.18977988,Warm transaction manager by @taylorotwell in https://github.com/laravel/octane/commit/752d02dc5973a11bf55f332eee0d9e5566442519,,0
Fixes risky test,0.28154054,Various fixes and changes.,,0
feat: enable http compression by sending data not with chunked encodi… (#691),0.7216446,feat: enable http compression by sending data not with chunked encodi… by @DeepDiver1975 in https://github.com/laravel/octane/pull/691,  feat: enable http compression by sending data not with chunked encoding - if possible   Update SwooleClient.php    Co-authored-by: Taylor Otwell taylor@laravel.com,1
test: run SwooleClientTest on openswoole as well. (#692),0.57985246,Allow openswoole (#407)﻿,,0
[2.x] Adds support for RoadRunner v3 and updates dependencies (#690),0.9056757,Adds support for RoadRunner v2.6.x (#449),  support roadrunner http v3   Update InstallsRoadRunnerDependencies.php   Update InstallsRoadRunnerDependencies.php   Uses Roadrunner v3 only   Bump dependencies   Adjusts coding style   Migrates to PHPUnit 10   Adds upgrade guide   Ui improvements   Updates upgrade guide   Updates list of dependencies   Adds pint   Ensures latest versions of dependencies   Updates upgrade guide   Updates build file   Fixes tests   Updates upgrade guide   Updates upgrade guide   Update upgrade guide   Update UPGRADE.md    Co-authored-by: Fabio Capucci fabio.cappuc@gmail.com Co-authored-by: Taylor Otwell taylor@laravel.com,1
add ServerProcessInspector interface (#679),0.42233568,Add ServerProcessInspector interface by @yiming0 in https://github.com/laravel/octane/pull/679,  add ServerProcessInspector interface   Update ServerProcessInspector.php   Update ServerProcessInspector.php    Co-authored-by: Taylor Otwell taylor@laravel.com,0
Update 1_Bug_report.yml,0.3767463,Various fixes and changes.﻿,,0
Update and rename 1_Bug_report.md to 1_Bug_report.yml,0.30042443,Resolve typo resulting in deprecation notice by @owenvoke in https://github.com/laravel/octane/pull/614,,0
Update CHANGELOG.md,0.39078093,Add FlushDatabaseQueryLog for cleaning up database query log (#394),,0
Merge pull request #676 from laravel/fix/broken-session-set-container-l,0.6307589,Give new container instance to session manager by @smortexa in https://github.com/laravel/octane/pull/669,[1.x] Reverts #669,0
Reverts #669,0.33406717,Removed,,0
Update InteractsWithServers.php (#671),0.65486765,Update InteractsWithServers.php by @ghostzero in https://github.com/laravel/octane/pull/520,Use getHost(),0
[1.x] Give new container instance to session manager (#669),0.70556176,Give new container instance to session manager by @smortexa in https://github.com/laravel/octane/pull/669,  Give new app instance to session manager   wip ,1
[1.x] Give new app instance to cache manager (#667),0.63378143,Give new app instance to cache manager by @smortexa in https://github.com/laravel/octane/pull/667,  Give new app instance to cache manager   ensure setApplication method exists ,0
Support setting swoole server mode (#666),0.6661196,"Expose the flag to turn on SWOOLE_SSL (#342, 86731cb)﻿",,0
Apply fixes from StyleCI,0.26471967,Various fixes and changes.﻿,,0
[1.x] Add method to fix octane route caching.  (#659),0.69916767,Add method to fix octane route caching.  by @CharlesBilbo in https://github.com/laravel/octane/pull/659,  add getRoutes to the providesRouting Trait   Update ProvidesRouting.php    Co-authored-by: charlesbilbo c.bilbo@rxmg.com Co-authored-by: Taylor Otwell taylor@laravel.com,0
Fix return value error and Remove useless code (#655),0.44687834,Fix return value error and Remove useless code by @sy-records in https://github.com/laravel/octane/pull/655,  Fix return value error   Remove useless code ,0
Add support for custom HTTP headers on static files (#653),0.70515984,Add support for custom HTTP headers on static files by @Starfox64 in https://github.com/laravel/octane/pull/653,  Add static file headers   Add support for file patterns   formatting    Co-authored-by: Taylor Otwell taylor@laravel.com,1
Fix timer table set failed (#650),0.65014255,Fix timer table set failed by @sy-records in https://github.com/laravel/octane/pull/650,  Fix timer table set failed   Update octane.php    Co-authored-by: Taylor Otwell taylor@laravel.com,0
[1.x] Adds type checking (#649),0.37618583,Validates Swoole Tables string column types (#434)﻿,  Adds type checking   Fixes tests   Update .gitattributes   Update static-analysis.yml ,0
allow graceful reload after installing packages (#644),0.729344,Allow graceful reload after installing packages by @taylorotwell in https://github.com/laravel/octane/pull/644,,1
support .laravel directory,0.67111266,Laravel 9 support (#461),,0
Adds support for Collision ^7.x (#643),0.5942801,Adds support for Collision v7.x by @nunomaduro in https://github.com/laravel/octane/pull/643,,0
Fix unsetting a cookie value when using Swoole (#642),0.73277795,Fix unsetting a cookie value when using Swoole by @oprypkhantc in https://github.com/laravel/octane/pull/642,  Fix unsetting a cookie value when using Swoole   Update SwooleClient.php    Co-authored-by: Taylor Otwell taylor@laravel.com,1
Only displays source when there is source (#640),0.57319224,Only displays source when there is source by @nunomaduro in https://github.com/laravel/octane/pull/640,,0
[1.x] Removes internal messages from output (#639),0.5878258,Removes internal messages from output by @nunomaduro in https://github.com/laravel/octane/pull/639,  Ignores non necessary message   Ignores non necessary message ,0
"Require ""laravel/framework"" using --dev for build (#630)",0.55150783,Laravel 9 support (#461),"The project composer.json already contain laravel/framework under require and having this line replace the ""locked"" supported versions.",0
[1.x] Adds Laravel 10 support (#629),0.7915541,Laravel 9 support (#461),  Adds Laravel 10 support   Ignores Laravel 10 on PHP 8.0 ,1
Update tests.yml,0.23538472,Fix Symfony uploaded file moving (#317)﻿,,0
Merge pull request #626 from laravel/patch-1,0.59743184,Resolve typo resulting in deprecation notice by @owenvoke in https://github.com/laravel/octane/pull/614,[1.x] Adds support for Open Swoole v22.x,0
Improves handling multiple versions of openswoole,0.5538448,Allow openswoole (#407)﻿,,0
feat: compatibility with openswoole v22.x,0.6634737,Allow openswoole (#407)﻿,Openswoole v22.x change swoole_cpu_num() to OpenSwoole\Util::getCPUNum() https://openswoole.com/docs/modules/swoole-server/configuration#reactor_num,0
Create issues.yml,0.3457706,Ignore Response::create failed by @sy-records in https://github.com/laravel/octane/pull/590,,0
Added --rpc-host option (#619),0.5059602,Add --rpc-host option for Roadrunner by @matthew-inamdar in https://github.com/laravel/octane/pull/619,,0
fix: ensure Testbench vendor symlink exists (#616),0.31830865,Fix config key for roadrunner http.middlware (#333)﻿,,0
ci: update actions/checkout to v3 (#615),0.41897386,Mission version configuration option on RoadRunner  (#482),,0
fix: resolve typo resulting in deprecation notice (#614),0.66443354,Resolve typo resulting in deprecation notice by @owenvoke in https://github.com/laravel/octane/pull/614,,0
[1.x] Fixes test_error_method_sends_error_response_to_roadrunner test (#613),0.55184376,The new minimum RoadRunner binary version is now 2.1.1 (#258),  Forces debug mode off in test   Sets app debug false on swoole test ,0
Prefix rr binary permissions with 0 to specify it as an octal value (#611),0.700582,Prefix rr binary permissions with 0 to specify it as an octal value by @Dylan-Buth in https://github.com/laravel/octane/pull/611,,1
Make IP to bind the server to configurable via env (#607),0.6904564,Make IP to bind the server to configurable via env by @xorinzor in https://github.com/laravel/octane/pull/607,,0
[1.x] Adds tests regarding flushing controller is computed middleware (#595),0.53059626,Flushes controller on route by @nunomaduro in https://github.com/laravel/octane/pull/589,  Adds tests regarding controller __construct middleware   Updates variable name   Updates framework versions ,0
Test on PHP 8.2 (#606),0.5899152,Partial PHP 8.1 support (#402),,0
Update StartCommand.php,0.29393196,Reload RoadRunner using the global executable if it's present (#288)﻿,,0
[1.x] Read port for http server from environment if no port is passed  (#605),0.7228545,Read port for http server from environment if no port is passed  by @hendrikheil in https://github.com/laravel/octane/pull/605,  feat: add support for environment defined port   chore: fix styleci errors   formatting   use env   Co-authored-by: Hendrik Heil hendrik@stafftastic.com Co-authored-by: Taylor Otwell taylor@laravel.com,1
Re-do: Configurable Roadrunner log level (#604),0.6714018,Made Roadrunner log level configurable by @ejulen in https://github.com/laravel/octane/pull/601,  Made RR log level configurable   formatting   Fixed subtle operator precedence bug   Co-authored-by: Taylor Otwell taylor@laravel.com,0
"Revert ""Made RR log level configurable (#601)"" (#603)",0.6423808,"Revert ""[1.x] Made Roadrunner log level configurable"" by @driesvints in https://github.com/laravel/octane/pull/603",This reverts commit 8380c1345493a1e9b527e34f44daa7bd3455ea01.,0
Made RR log level configurable (#601),0.5930222,Made Roadrunner log level configurable by @ejulen in https://github.com/laravel/octane/pull/601,,0
RoadRunner Relay Overrides (#600),0.6512875,RoadRunner Relay Overrides by @pmccarren in https://github.com/laravel/octane/pull/600,  fix: laravel/octane#598 implement rr relay override   Update roadrunner-worker   Update roadrunner-worker   Update roadrunner-worker   Co-authored-by: Taylor Otwell taylor@laravel.com,0
[1.x] Ignore Response::create failed (#590),0.59582824,Ignore Response::create failed by @sy-records in https://github.com/laravel/octane/pull/590,  Ignore Response::create failed   Update EnsureRequestsDontExceedMaxExecutionTime.php   Update EnsureRequestsDontExceedMaxExecutionTime.php   Co-authored-by: Taylor Otwell taylor@laravel.com,0
[1.x] Flushes controller on route (#589),0.66723377,Flushes controller on route by @nunomaduro in https://github.com/laravel/octane/pull/589,  Flushes controller on route   Adds test   Adds memory leak tests   Updates framework versions ,0
add possibility to launch swoole server with additional php options (#570),0.78970754,Add possibility to launch swoole server with additional php options by @AbdelAbouhassane in https://github.com/laravel/octane/pull/570,  add possibility to launch swoole server with php options   spread config   Update .gitignore   Co-authored-by: Taylor Otwell taylor@laravel.com,1
Update link to OpenSwoole website (#569),0.6967888,Allow openswoole (#407)﻿,  Link to official (Open)Swoole websites   Revert to GitHub for Swoole ,0
[1.x] Adds support for Swoole 5 (#560),0.63343287,Adds support for Swoole 5 by @nunomaduro in https://github.com/laravel/octane/pull/560,  Adds support for Swoole 5   Update OnWorkerStart.php   Co-authored-by: Taylor Otwell taylor@laravel.com,0
[1.x] Fix carbon locale when setting it via app locale setter (#557),0.73747635,Fix carbon locale when setting it via app locale setter by @nunomaduro in https://github.com/laravel/octane/pull/557,  Fix carbon locale when setting it via app locale setter   Uses latest version of Carbon   Removes repositories on composer ,1
Delete release.yml,0.32570726,Stable release.,,0
"[1.x] Fixes sharing ""Carbon"" state shared between requests  (#552)",0.47463173,Flush monolog state between requests (#460),  Fixes shared Carbon Locale between requests   Apply fixes from StyleCI   Co-authored-by: StyleCI Bot bot@styleci.io,0
Added status codes (RFC6585 & RFC7725) (#550),0.393732,Adds support for RoadRunner v2.6.x (#449),,0
Moved opcache clearing to before bootWorker (#547),0.710403,Moved opcache clearing to before bootWorker by @LauJosefsen in https://github.com/laravel/octane/pull/547,,1
Refresh query duration handling (#541),0.7088964,Refresh query duration handling by @timacdonald in https://github.com/laravel/octane/pull/541,  refresh query duration handling   adjust naming   ensure only called when methods exist ,1
Update release.yml,0.47017998,Stable release.,,0
Update update-changelog.yml,0.3723002,Fix log level by @masterjus in https://github.com/laravel/octane/pull/451,,0
Update pull-requests.yml,0.31392217,Removes non-needed message by @nunomaduro in https://github.com/laravel/octane/pull/532,,0
Removes non-needed message about worker destroyed (#532),0.38841364,Global environment variables not being used by workers (#257),,0
Auto generate release notes (#529),0.31945103,Stable release.,  Create release.yml   Update release.yml ,0
add silent option to RoadRunner reset to remove info output which leads to non error (#525),0.63159496,add silent option to RoadRunner reset to remove info output which leads to non error by @ResuBaka in https://github.com/laravel/octane/pull/525,,0
test flushing logger shared context (#514),0.5141745,Flush monolog state between requests (#460),  test flushing logger shared context   ignore Laravel 8   style ,0
Update InteractsWithServers.php (#520),0.647541,Update InteractsWithServers.php by @ghostzero in https://github.com/laravel/octane/pull/520,Using unused $paths variable,0
Revert PaginationState to resolve using new instance of the app (#519),0.73276734,Revert PaginationState to resolve using new instance of the app by @farmani in https://github.com/laravel/octane/pull/519,  Revert PaginationState to resolve using new instance of the app on each new request   Use sandbox clone of application instance ,1
warm transaction manager,0.62027854,Warm transaction manager by @taylorotwell in https://github.com/laravel/octane/commit/752d02dc5973a11bf55f332eee0d9e5566442519,,0
flush shared log context (#513),0.58805746,Flush monolog state between requests (#460),,0
Fix max_execution_time config doesn't work (#510),0.7139344,Fix max_execution_time config doesn't work by @sy-records in https://github.com/laravel/octane/pull/510,  Fix max_execution_time config doesn't work   Add extension_loaded swoole verify   Update EnsureRequestsDontExceedMaxExecutionTime.php   Update EnsureRequestsDontExceedMaxExecutionTime.php ,1
Force the processId to int (#507),0.53161335,Force the processId to int by @sy-records in https://github.com/laravel/octane/pull/507,,0
Make the bin files used by Swoole and Roadrunner config options (#502),0.68412846,Make the bin files used by Swoole and Roadrunner config options by @jedjones-uk in https://github.com/laravel/octane/pull/502,  make the bin file used by swoole and roadrunner configurable options   Update StartRoadRunnerCommand.php   Co-authored-by: Taylor Otwell taylor@laravel.com,0
Create pull-requests.yml,0.23276941,Ignore Response::create failed by @sy-records in https://github.com/laravel/octane/pull/590,,0
[1.x] Update to new forgetScopedInstances method name (#501),0.58760744,Update to new forgetScopedInstances method name by @driesvints in https://github.com/laravel/octane/pull/501,  Update FlushTemporaryContainerInstances.php   Apply fixes from StyleCI   Co-authored-by: StyleCI Bot bot@styleci.io,0
