Index,Release Note,Release Note With Abstraction
1,"
Fix log level by @masterjus in https://github.com/laravel/octane/pull/451
Update InteractsWithServers.php by @ghostzero in https://github.com/laravel/octane/pull/520
Adds support for RoadRunner v3 and updates dependencies by @nunomaduro in https://github.com/laravel/octane/pull/690
Adds support for PSR-7 v2.x by @nunomaduro in https://github.com/laravel/octane/pull/694
","Fix log level by @masterjus in link
Update InteractsWithServers.php by @ghostzero in link
Adds support for RoadRunner v3 and updates dependencies by @nunomaduro in link
Adds support for PSR-7 v2.x by @nunomaduro in link"
2,"
Support projects using type module by @timacdonald in https://github.com/laravel/octane/pull/696
",Support projects using type module by @timacdonald in link
3,"
feat: enable http compression by sending data not with chunked encodi… by @DeepDiver1975 in https://github.com/laravel/octane/pull/691
",feat: enable http compression by sending data not with chunked encodi… by @DeepDiver1975 in link
4,"
Add ServerProcessInspector interface by @yiming0 in https://github.com/laravel/octane/pull/679
",Add ServerProcessInspector interface by @yiming0 in link
5,"
Reverts #669 by @nunomaduro in https://github.com/laravel/octane/pull/676
",Reverts #669 by @nunomaduro in link
6,"
Give new container instance to session manager by @smortexa in https://github.com/laravel/octane/pull/669
Use getHost() by @chu121su12 in https://github.com/laravel/octane/pull/671
","Give new container instance to session manager by @smortexa in link
Use getHost() by @chu121su12 in link"
7,"
Add method to fix octane route caching.  by @CharlesBilbo in https://github.com/laravel/octane/pull/659
Support setting swoole server mode by @sy-records in https://github.com/laravel/octane/pull/666
Give new app instance to cache manager by @smortexa in https://github.com/laravel/octane/pull/667
","Add method to fix octane route caching.  by @CharlesBilbo in link
Support setting swoole server mode by @sy-records in link
Give new app instance to cache manager by @smortexa in link"
8,"
Add support for custom HTTP headers on static files by @Starfox64 in https://github.com/laravel/octane/pull/653
Fix return value error and Remove useless code by @sy-records in https://github.com/laravel/octane/pull/655
","Add support for custom HTTP headers on static files by @Starfox64 in link
Fix return value error and Remove useless code by @sy-records in link"
9,"
Fix timer table set failed by @sy-records in https://github.com/laravel/octane/pull/650
",Fix timer table set failed by @sy-records in link
10,"Fixed

Allow graceful reload after installing packages by @taylorotwell in https://github.com/laravel/octane/pull/644
","Fixed
Allow graceful reload after installing packages by @taylorotwell in link"
11,"Changed

Removes internal messages from output by @nunomaduro in https://github.com/laravel/octane/pull/639
Only displays source when there is source by @nunomaduro in https://github.com/laravel/octane/pull/640
Adds support for Collision v7.x by @nunomaduro in https://github.com/laravel/octane/pull/643

Fixed

Fix unsetting a cookie value when using Swoole by @oprypkhantc in https://github.com/laravel/octane/pull/642
","Changed
Removes internal messages from output by @nunomaduro in link
Only displays source when there is source by @nunomaduro in link
Adds support for Collision v7.x by @nunomaduro in link
Fixed
Fix unsetting a cookie value when using Swoole by @oprypkhantc in link"
12,"Added

Adds Laravel 10 support by @nunomaduro in https://github.com/laravel/octane/pull/629
","Added
Adds Laravel 10 support by @nunomaduro in link"
13,"Changed

Adds support for Open Swoole v22.x by @nunomaduro in https://github.com/laravel/octane/pull/626
","Changed
Adds support for Open Swoole v22.x by @nunomaduro in link"
14,"Changed

Add --rpc-host option for Roadrunner by @matthew-inamdar in https://github.com/laravel/octane/pull/619

Fixed

Resolve typo resulting in deprecation notice by @owenvoke in https://github.com/laravel/octane/pull/614
","Changed
Add --rpc-host option for Roadrunner by @matthew-inamdar in link
Fixed
Resolve typo resulting in deprecation notice by @owenvoke in link"
15,"Fixed

Prefix rr binary permissions with 0 to specify it as an octal value by @Dylan-Buth in https://github.com/laravel/octane/pull/611
","Fixed
Prefix rr binary permissions with 0 to specify it as an octal value by @Dylan-Buth in link"
16,"Changed

Make IP to bind the server to configurable via env by @xorinzor in https://github.com/laravel/octane/pull/607
","Changed
Make IP to bind the server to configurable via env by @xorinzor in link"
17,"Changed

Re-do: Configurable Roadrunner log level by @ejulen in https://github.com/laravel/octane/pull/604

Fixed

Read port for http server from environment if no port is passed  by @hendrikheil in https://github.com/laravel/octane/pull/605
","Changed
Re-do: Configurable Roadrunner log level by @ejulen in link
Fixed
Read port for http server from environment if no port is passed  by @hendrikheil in link"
18,"Fixed

Revert ""[1.x] Made Roadrunner log level configurable"" by @driesvints in https://github.com/laravel/octane/pull/603
","Fixed
Revert ""[1.x] Made Roadrunner log level configurable"" by @driesvints in link"
19,"Changed

RoadRunner Relay Overrides by @pmccarren in https://github.com/laravel/octane/pull/600
Made Roadrunner log level configurable by @ejulen in https://github.com/laravel/octane/pull/601
","Changed
RoadRunner Relay Overrides by @pmccarren in link
Made Roadrunner log level configurable by @ejulen in link"
20,"Fixed

Ignore Response::create failed by @sy-records in https://github.com/laravel/octane/pull/590
","Fixed
Ignore Response::create failed by @sy-records in link"
21,"Fixed

Flushes controller on route by @nunomaduro in https://github.com/laravel/octane/pull/589
","Fixed
Flushes controller on route by @nunomaduro in link"
22,"Changed

Add possibility to launch swoole server with additional php options by @AbdelAbouhassane in https://github.com/laravel/octane/pull/570
","Changed
Add possibility to launch swoole server with additional php options by @AbdelAbouhassane in link"
23,"Added

Adds support for Swoole 5 by @nunomaduro in https://github.com/laravel/octane/pull/560

Fixed

Fix carbon locale when setting it via app locale setter by @nunomaduro in https://github.com/laravel/octane/pull/557
","Added
Adds support for Swoole 5 by @nunomaduro in link
Fixed
Fix carbon locale when setting it via app locale setter by @nunomaduro in link"
24,"Fixed

Fixes sharing ""Carbon"" state shared between requests  by @nunomaduro in https://github.com/laravel/octane/pull/552
","Fixed
Fixes sharing ""Carbon"" state shared between requests  by @nunomaduro in link"
25,"Changed

Added status codes (RFC6585 & RFC7725) by @vostlertsd in https://github.com/laravel/octane/pull/550
","Changed
Added status codes (RFC6585 & RFC7725) by @vostlertsd in link"
26,"Fixed

Moved opcache clearing to before bootWorker by @LauJosefsen in https://github.com/laravel/octane/pull/547
","Fixed
Moved opcache clearing to before bootWorker by @LauJosefsen in link"
27,"Changed

Refresh query duration handling by @timacdonald in https://github.com/laravel/octane/pull/541
","Changed
Refresh query duration handling by @timacdonald in link"
28,"Changed

Removes non-needed message by @nunomaduro in https://github.com/laravel/octane/pull/532
","Changed
Removes non-needed message by @nunomaduro in link"
29,"Changed

add silent option to RoadRunner reset to remove info output which leads to non error by @ResuBaka in https://github.com/laravel/octane/pull/525
","Changed
add silent option to RoadRunner reset to remove info output which leads to non error by @ResuBaka in link"
30,"Changed

Revert PaginationState to resolve using new instance of the app by @farmani in https://github.com/laravel/octane/pull/519

Fixed

Warm transaction manager by @taylorotwell in https://github.com/laravel/octane/commit/752d02dc5973a11bf55f332eee0d9e5566442519
","Changed
Revert PaginationState to resolve using new instance of the app by @farmani in link
Fixed
Warm transaction manager by @taylorotwell in link"
31,"Changed

Flush shared log context by @timacdonald in https://github.com/laravel/octane/pull/513
","Changed
Flush shared log context by @timacdonald in link"
32,"Fixed

Fix max_execution_time config doesn't work by @sy-records in https://github.com/laravel/octane/pull/510
","Fixed
Fix max_execution_time config doesn't work by @sy-records in link"
33,"Fixed

Make the bin files used by Swoole and Roadrunner config options by @jedjones-uk in https://github.com/laravel/octane/pull/502
Force the processId to int by @sy-records in https://github.com/laravel/octane/pull/507
","Fixed
Make the bin files used by Swoole and Roadrunner config options by @jedjones-uk in link
Force the processId to int by @sy-records in link"
34,"Fixed

Update to new forgetScopedInstances method name by @driesvints in https://github.com/laravel/octane/pull/501
","Fixed
Update to new forgetScopedInstances method name by @driesvints in link"
35,"Fixed

Optimize PHP8.1 compatibility by @sy-records in https://github.com/laravel/octane/pull/499
","Fixed
Optimize PHP8.1 compatibility by @sy-records in link"
36,"Fixed

Fixes --watch files over a network by @nunomaduro in https://github.com/laravel/octane/pull/488
","Fixed
Fixes --watch files over a network by @nunomaduro in link"
37,"Fixed

Mission version configuration option on RoadRunner  (#482)
","Fixed
Mission version configuration option on RoadRunner  (#482)"
38,"Changed

Listener for removing temporary files, which was created during uploading by @tarampampam in https://github.com/laravel/octane/pull/477
Fix passing null to cookie for domain by @driesvints in https://github.com/laravel/octane/pull/478
","Changed
Listener for removing temporary files, which was created during uploading by @tarampampam in link
Fix passing null to cookie for domain by @driesvints in link"
39,"Changed

Allow users to access $server with in Controller (#464)
Flushes Str cache between requests (#468)

Fixed

Fix byte conversion (#465)
","Changed
Allow users to access $server with in Controller (#464)
Flushes Str cache between requests (#468)
Fixed
Fix byte conversion (#465)"
40,"Changed

Laravel 9 support (#461)
Give the current App instance to FilesystemManager (#458)

Fixed

Flush monolog state between requests (#460)
","Changed
Laravel 9 support (#461)
Give the current App instance to FilesystemManager (#458)
Fixed
Flush monolog state between requests (#460)"
41,"Fixed

Log level used in non-local environments (#456)
","Fixed
Log level used in non-local environments (#456)"
42,"Fixed

Fix type declaration error of Swoole table by @sy-records in https://github.com/laravel/octane/pull/452
","Fixed
Fix type declaration error of Swoole table by @sy-records in link"
43,"Changed

Adds support for RoadRunner v2.6.x (#449)

Fixed

Fixes call terminate() on null when worker is not booted (#445)﻿
","Changed
Adds support for RoadRunner v2.6.x (#449)
Fixed
Fixes call terminate() on null when worker is not booted (#445)﻿"
44,"Changed

Validates Swoole Tables string column types (#434)﻿
","Changed
Validates Swoole Tables string column types (#434)﻿"
45,"Changed

Updates octane:install command when Swoole extension is missing (#427)

Fixed

Fixes Octane's process output not being flushed (#428)
","Changed
Updates octane:install command when Swoole extension is missing (#427)
Fixed
Fixes Octane's process output not being flushed (#428)"
46,"Fixed

Fix FileNotFound error (#421)﻿
","Fixed
Fix FileNotFound error (#421)﻿"
47,"Fixed

Fixes server shutting down on concurrently when exceptions are reported at root level of the task (#419)﻿
","Fixed
Fixes server shutting down on concurrently when exceptions are reported at root level of the task (#419)﻿"
