Index,Message,Description,Message Abstract,Description Abstract
1,Update ClientFactory.php (#1669),,Update ClientFactory.php (#1669),
2,Update CHANGELOG,,Update CHANGELOG,
3,"Revert ""[11.x] Add Provider Guard to ClientRepository for Personal Access Clients (#1655)"" (#1658)",This reverts commit a75f0a92136a6cf91e5c6755374f77bf4b30c411.,"Revert ""[11.x] Add Provider Guard to ClientRepository for Personal Access Clients (#1655)"" (#1658)",This reverts commit a75f0a92136a6cf91e5c6755374f77bf4b30c411.
4,Update CHANGELOG,,Update CHANGELOG,
5,[11.x] Add Provider Guard to ClientRepository for Personal Access Clients (#1655),  Added provider guard to Password Grant Client.   Add argument provider in InstallCommand   formatting    Co-authored-by: Taylor Otwell taylor@laravel.com,[11.x] Add Provider Guard to ClientRepository for Personal Access Clients (#1655),Added provider guard to Password Grant Client. Add argument provider in InstallCommand formatting Co-authored-by: Taylor Otwell taylor@laravel.com
6,Update 1_Bug_report.yml,,Update 1_Bug_report.yml,
7,Rename 1_Bug_report.md to 1_Bug_report.yml,,Rename 1_Bug_report.md to 1_Bug_report.yml,
8,Update 1_Bug_report.md,,Update 1_Bug_report.md,
9,Update CHANGELOG,,Update CHANGELOG,
10,Pass user identifier through to finalize scopes in personal access grant (#1650),,Pass user identifier through to finalize scopes in personal access grant (#1650),
11,[11.x] Allow lcobucci/jwt v5 and cleaned up version constraints (#1649),  Allow lcobucci/jwt v5   Temp change to see why CI no likey   Update composer.json   Update composer.json   Fixes   Update composer.json ,[11.x] Allow lcobucci/jwt v5 and cleaned up version constraints (#1649),Allow lcobucci/jwt v5 Temp change to see why CI no likey Update composer.json Update composer.json Fixes Update composer.json
12,Update CHANGELOG,,Update CHANGELOG,
13,fix doc types (#1647),,fix doc types (#1647),
14,Apply fixes from StyleCI,,Apply fixes from StyleCI,
15,Update AuthCode.php (#1644),,Update AuthCode.php (#1644),
16,Update RefreshToken.php (#1645),,Update RefreshToken.php (#1645),
17,Update CHANGELOG,,Update CHANGELOG,
18,Fix tests,,Fix tests,
19,Update ClientRepository.php (#1642),,Update ClientRepository.php (#1642),
20,Adds type checking (#1640),,Adds type checking (#1640),
21,allow overriding the AccessToken class (#1638),,allow overriding the AccessToken class (#1638),
22,Update CHANGELOG,,Update CHANGELOG,
23,"Revert ""Revert ""Added AuthenticationException to extend the behaviour of Laravel's default exception handler (#1633)""""",This reverts commit db543b0cc13ed3f56f1bffda04707fbe2a8c7ab5.,"Revert ""Revert ""Added AuthenticationException to extend the behaviour of Laravel's default exception handler (#1633)""""",This reverts commit db543b0cc13ed3f56f1bffda04707fbe2a8c7ab5.
24,Update CHANGELOG,,Update CHANGELOG,
25,"Revert ""Added AuthenticationException to extend the behaviour of Laravel's default exception handler (#1633)""",This reverts commit 08b1dabfdddbdf2472ef193609f75f475208ec90.,"Revert ""Added AuthenticationException to extend the behaviour of Laravel's default exception handler (#1633)""",This reverts commit 08b1dabfdddbdf2472ef193609f75f475208ec90.
26,Update CHANGELOG,,Update CHANGELOG,
27,laravel10 The Eloquent model's deprecated $dates property has been removed.application should now use the $casts property (#1636),Co-authored-by: tony tony.wang@sjfood.com,laravel10 The Eloquent model's deprecated $dates property has been removed.application should now use the $casts property (#1636),Co-authored-by: tony tony.wang@sjfood.com
