Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Update ClientFactory.php (#1669),0.55253416,Update ClientCommand to support public clients (#1151),,0
Update CHANGELOG,0.31265497,Changed,,0
"Revert ""[11.x] Add Provider Guard to ClientRepository for Personal Access Clients (#1655)"" (#1658)",0.91644937,"Revert ""[11.x] Add Provider Guard to ClientRepository for Personal Access Clients"" by @driesvints in link",This reverts commit a75f0a92136a6cf91e5c6755374f77bf4b30c411.,1
[11.x] Add Provider Guard to ClientRepository for Personal Access Clients (#1655),0.9366052,Add Provider Guard to ClientRepository for Personal Access Clients by @michaelnabil230 in link,Added provider guard to Password Grant Client. Add argument provider in InstallCommand formatting Co-authored-by: Taylor Otwell taylor@laravel.com,1
Update 1_Bug_report.yml,0.37837285,Bump league server dependency (#1237),,0
Rename 1_Bug_report.md to 1_Bug_report.yml,0.35393968,Fix migrations tag publish (#832),,0
Update 1_Bug_report.md,0.4552923,"Fix cookie handling for security release (#1322, 75f1ad2)",,0
Pass user identifier through to finalize scopes in personal access grant (#1650),0.9306819,Pass user identifier through to finalize scopes in personal access grant by @GrahamCampbell in link,,1
[11.x] Allow lcobucci/jwt v5 and cleaned up version constraints (#1649),0.92533183,Allow lcobucci/jwt v5 and cleaned up version constraints by @GrahamCampbell in link,Allow lcobucci/jwt v5 Temp change to see why CI no likey Update composer.json Update composer.json Fixes Update composer.json,1
fix doc types (#1647),0.6477663,Fix doc block types by @hafezdivandari in link,,0
Apply fixes from StyleCI,0.3179299,Fix doc block types by @hafezdivandari in link,,0
Update AuthCode.php (#1644),0.6632955,Fix auth codes table customization (#1044),,0
Update RefreshToken.php (#1645),0.6964846,Add ability to customize the RefreshToken (#966),,0
Fix tests,0.54517126,Fix actingAsClient testing method (#1119),,0
Update ClientRepository.php (#1642),0.54430073,"Revert ""[11.x] Add Provider Guard to ClientRepository for Personal Access Clients"" by @driesvints in link",,0
Adds type checking (#1640),0.40764683,Uses PHP Native Type Declarations 🐘 by @nunomaduro in link,,0
allow overriding the AccessToken class (#1638),0.8329029,Allow overriding the AccessToken class by @hafezdivandari in link,,1
"Revert ""Revert ""Added AuthenticationException to extend the behaviour of Laravel's default exception handler (#1633)""""",0.8870452,"Re-apply ""Added AuthenticationException to extend the behaviour of Laravel's default exception handler"" by @driesvints in link",This reverts commit db543b0cc13ed3f56f1bffda04707fbe2a8c7ab5.,1
"Revert ""Added AuthenticationException to extend the behaviour of Laravel's default exception handler (#1633)""",0.91269743,"Re-apply ""Added AuthenticationException to extend the behaviour of Laravel's default exception handler"" by @driesvints in link",This reverts commit 08b1dabfdddbdf2472ef193609f75f475208ec90.,1
laravel10 The Eloquent model's deprecated $dates property has been removed.application should now use the $casts property (#1636),0.63279617,Fix deprecated $dates property by @TonyWong9527 in link,Co-authored-by: tony tony.wang@sjfood.com,0
[11.x] Custom authorization view response (#1629),0.8213873,Custom authorization view response by @JonErickson in link,Implements authorization view response contract that allows for being overridden with custom views Updated namespace Updated namespace Moved individual arguments to an array of parameters and one argument Removed authorize return type Remove old return statement Add IntelliJ IDE files to gitignore Formatting Update tests Update rest of tests with new response class Style fixes and make sure parameters pushed to authorization view are in an array. Remove parameters from authorization view function Update .gitignore Update src/Contracts/AuthorizationViewResponse.php Co-authored-by: Choraimy Kroonstuiver 3661474+axlon@users.noreply.github.com Update src/Http/Responses/AuthorizationViewResponse.php Co-authored-by: Choraimy Kroonstuiver 3661474+axlon@users.noreply.github.com Updated doc block return types formatting remove extra line Co-authored-by: Dries Vints dries@vints.io Co-authored-by: Choraimy Kroonstuiver 3661474+axlon@users.noreply.github.com Co-authored-by: Taylor Otwell taylor@laravel.com,1
Added AuthenticationException to extend the behaviour of Laravel's default exception handler (#1633),0.8611767,"Re-apply ""Added AuthenticationException to extend the behaviour of Laravel's default exception handler"" by @driesvints in link",Co-authored-by: Chris Page chris@motocom.co.uk,1
Add support for EncryptCookies middleware (#1628),0.8345907,Add support for EncryptCookies middleware by @axlon in link,,1
Indicate current token can be TransientToken (#1627),0.763734,Indicate current token can be TransientToken by @axlon in link,,1
[11.x] Get model PK instead of forcibly id column (#1626),0.84599423,Get model PK instead of forcibly id column by @lucaspanik in link,Get model PK instead of forcibly id column Get model PK instead of forcibly id column in tests Get model PK instead of forcibly id column in command Get model PK instead of forcibly id column in repository Get model PK instead of forcibly id column in Passport stub extending from model Fix namespace order Get model PK instead of forcibly id column in blade,1
Fix doc block for withAccessToken() (#1620),0.7682452,Fix doc block for withAccessToken() by @axlon in link,,1
