Index,Release Note,Release Note Abstract
1,"
Revert ""[11.x] Add Provider Guard to ClientRepository for Personal Access Clients"" by @driesvints in https://github.com/laravel/passport/pull/1658
","Revert ""[11.x] Add Provider Guard to ClientRepository for Personal Access Clients"" by @driesvints in link"
2,"
Add Provider Guard to ClientRepository for Personal Access Clients by @michaelnabil230 in https://github.com/laravel/passport/pull/1655
",Add Provider Guard to ClientRepository for Personal Access Clients by @michaelnabil230 in link
3,"
Allow lcobucci/jwt v5 and cleaned up version constraints by @GrahamCampbell in https://github.com/laravel/passport/pull/1649
Pass user identifier through to finalize scopes in personal access grant by @GrahamCampbell in https://github.com/laravel/passport/pull/1650
","Allow lcobucci/jwt v5 and cleaned up version constraints by @GrahamCampbell in link
Pass user identifier through to finalize scopes in personal access grant by @GrahamCampbell in link"
4,"
Removed deprecated dates property from RefreshToken model by @siarheipashkevich in https://github.com/laravel/passport/pull/1645
Removed deprecated dates property from AuthCode model by @siarheipashkevich in https://github.com/laravel/passport/pull/1644
Fix doc block types by @hafezdivandari in https://github.com/laravel/passport/pull/1647
","Removed deprecated dates property from RefreshToken model by @siarheipashkevich in link
Removed deprecated dates property from AuthCode model by @siarheipashkevich in link
Fix doc block types by @hafezdivandari in link"
5,"
Allow overriding the AccessToken class by @hafezdivandari in https://github.com/laravel/passport/pull/1638
Make $userId nullable in ClientRepository->createPersonalAccessClient by @bram-pkg in https://github.com/laravel/passport/pull/1642
","Allow overriding the AccessToken class by @hafezdivandari in link
Make $userId nullable in ClientRepository->createPersonalAccessClient by @bram-pkg in link"
6,"
Fix migrations for Laravel 9.x by @ricky-perchpeek in https://github.com/laravel/passport/pull/1639
",Fix migrations for Laravel 9.x by @ricky-perchpeek in link
7,"
Re-apply ""Added AuthenticationException to extend the behaviour of Laravel's default exception handler"" by @driesvints in https://github.com/laravel/passport/commit/67c3e336af163f6eba5dbca8e5db46275ff0e433
","Re-apply ""Added AuthenticationException to extend the behaviour of Laravel's default exception handler"" by @driesvints in link"
8,"
Revert ""Move AuthenticationException into the scope of Laravel Passport"" by @driesvints in https://github.com/laravel/passport/commit/db543b0cc13ed3f56f1bffda04707fbe2a8c7ab5
","Revert ""Move AuthenticationException into the scope of Laravel Passport"" by @driesvints in link"
9,"
Move AuthenticationException into the scope of Laravel Passport by @chrispage1 in https://github.com/laravel/passport/pull/1633
Custom authorization view response by @JonErickson in https://github.com/laravel/passport/pull/1629
Fix deprecated $dates property by @TonyWong9527 in https://github.com/laravel/passport/pull/1636
","Move AuthenticationException into the scope of Laravel Passport by @chrispage1 in link
Custom authorization view response by @JonErickson in link
Fix deprecated $dates property by @TonyWong9527 in link"
10,"Added

Add support for EncryptCookies middleware by @axlon in https://github.com/laravel/passport/pull/1628
","Added
Add support for EncryptCookies middleware by @axlon in link"
11,"Changed

Indicate current token can be TransientToken by @axlon in https://github.com/laravel/passport/pull/1627
","Changed
Indicate current token can be TransientToken by @axlon in link"
12,"Changed

Update ClientCommand.php's user_id description by @Smoggert in https://github.com/laravel/passport/pull/1619
Get model PK instead of forcibly id column by @lucaspanik in https://github.com/laravel/passport/pull/1626

Fixed

Fix doc block for withAccessToken() by @axlon in https://github.com/laravel/passport/pull/1620
","Changed
Update ClientCommand.php's user_id description by @Smoggert in link
Get model PK instead of forcibly id column by @lucaspanik in link
Fixed
Fix doc block for withAccessToken() by @axlon in link"
13,"Fixed

Get authenticated user from the guard by @hafezdivandari in https://github.com/laravel/passport/pull/1617
","Fixed
Get authenticated user from the guard by @hafezdivandari in link"
14,"Added

Laravel v10 Support by @driesvints in https://github.com/laravel/passport/pull/1615
","Added
Laravel v10 Support by @driesvints in link"
15,"Changed

Uses PHP Native Type Declarations 🐘 by @nunomaduro in https://github.com/laravel/passport/pull/1594
","Changed
Uses PHP Native Type Declarations 🐘 by @nunomaduro in link"
16,"Changed

Add auth guard to routes by @hafezdivandari in https://github.com/laravel/passport/pull/1603
","Changed
Add auth guard to routes by @hafezdivandari in link"
