Index,Message,Description,Message Abstract,Description Abstract
1,Update CHANGELOG,,Update CHANGELOG,
2,Apply fixes from StyleCI,,Apply fixes from StyleCI,
3,add buildProvider method on DockBlock for IDE  support (#643),  add buildProvider on DockBlock for IDE  support   Update Socialite.php ,add buildProvider method on DockBlock for IDE  support (#643),add buildProvider on DockBlock for IDE  support Update Socialite.php
4,Update CHANGELOG,,Update CHANGELOG,
5,Fix config object override with container (#639),,Fix config object override with container (#639),
6,Fix test,,Fix test,
7,Rename 1_Bug_report.md to 1_Bug_report.yml,,Rename 1_Bug_report.md to 1_Bug_report.yml,
8,Update 1_Bug_report.md,,Update 1_Bug_report.md,
9,Adds type checking (#630),,Adds type checking (#630),
10,Fixed identation (#625),,Fixed identation (#625),
11,Update CHANGELOG,,Update CHANGELOG,
12,wip (#621),,wip (#621),
13,Update CHANGELOG,,Update CHANGELOG,
14,[5.x] Laravel v10 Support (#618),  Update composer.json   Update tests.yml ,[5.x] Laravel v10 Support (#618),Update composer.json Update tests.yml
15,Update CHANGELOG,,Update CHANGELOG,
16,Update User.php,,Update User.php,
17,Update AbstractUser.php,,Update AbstractUser.php,
18,Fix User return types (#614),,Fix User return types (#614),
19,Update CHANGELOG,,Update CHANGELOG,
20,Update tests.yml,,Update tests.yml,
21,Update SocialiteManager.php,,Update SocialiteManager.php,
22,Create issues.yml,,Create issues.yml,
23,Update CHANGELOG,,Update CHANGELOG,
24,Test on PHP 8.2 (#607),  Test on PHP 8.2   wip   Update AbstractUser.php   Co-authored-by: Taylor Otwell taylor@laravel.com,Test on PHP 8.2 (#607),Test on PHP 8.2 wip Update AbstractUser.php Co-authored-by: Taylor Otwell taylor@laravel.com
25,Update CHANGELOG,,Update CHANGELOG,
26,Add ability to override access token request headers (#603)," Add ability to override access token request headers  This moves the currently hardcoded getAccessTokenResponse into their own method.  This allows children providers to construct their own headers as needed. A perfect example of the necessity of this feature is the newer Pinterest v5 API.  In order to exchange the code for an access token, they require an Authorization header composed of a base64 encoded client_id and client_secret.  Without this change, the Pinterest Provider would need to entirely reimplement the getAccessTokenResponse method.  With this change, the Pinterest Provider could simply: php protected function getTokenHeaders() {     return array_merge(         parent::getTokenHeaders(),         [             'Authorization' => 'Basic ' . base64_encode(""{$this->clientId}:{$this->clientSecret}""),         ]     ); }  formatting  Co-authored-by: Taylor Otwell taylor@laravel.com",Add ability to override access token request headers (#603),"Add ability to override access token request headers This moves the currently hardcoded getAccessTokenResponse into their own method.  This allows children providers to construct their own headers as needed. A perfect example of the necessity of this feature is the newer Pinterest v5 API.  In order to exchange the code for an access token, they require an Authorization header composed of a base64 encoded client_id and client_secret.  Without this change, the Pinterest Provider would need to entirely reimplement the getAccessTokenResponse method.  With this change, the Pinterest Provider could simply: php protected function getTokenHeaders() {     return array_merge(         parent::getTokenHeaders(),         [             'Authorization' => 'Basic ' . base64_encode(""{$this->clientId}:{$this->clientSecret}""),         ]     ); } formatting Co-authored-by: Taylor Otwell taylor@laravel.com"
27,Update CHANGELOG,,Update CHANGELOG,
28,Add correct encoding and the required state param. (#599),  Add correct encoding and the required state param.   Set default state when stateless.   Update TwitterProvider.php   Co-authored-by: Taylor Otwell taylor@laravel.com,Add correct encoding and the required state param. (#599),Add correct encoding and the required state param. Set default state when stateless. Update TwitterProvider.php Co-authored-by: Taylor Otwell taylor@laravel.com
29,Update CHANGELOG,,Update CHANGELOG,
30,Update SocialiteManager.php (#596),,Update SocialiteManager.php (#596),
31,Update update-changelog.yml,,Update update-changelog.yml,
32,Update pull-requests.yml,,Update pull-requests.yml,
33,Use RequestOptions constants when calling the request (#582),,Use RequestOptions constants when calling the request (#582),
34,Remove useless variables (#586),,Remove useless variables (#586),
35,Enforce stricter comparisons (#585),,Enforce stricter comparisons (#585),
36,Move illuminate/contracts from require-dev to require (#583),,Move illuminate/contracts from require-dev to require (#583),
37,Fix a docblock (#584),,Fix a docblock (#584),
38,[5.x] Throw deprecations in CI (#578),  Update tests.yml   Update composer.json ,[5.x] Throw deprecations in CI (#578),Update tests.yml Update composer.json
39,Create pull-requests.yml,,Create pull-requests.yml,
40,Update update-changelog.yml,,Update update-changelog.yml,
41,Update .styleci.yml,,Update .styleci.yml,
42,Update .styleci.yml,,Update .styleci.yml,
43,Update CHANGELOG.md,,Update CHANGELOG.md,
44,allow oauth version in config,,allow oauth version in config,
45,Update CHANGELOG.md,,Update CHANGELOG.md,
46,Override abstract provider for Twitter's OAuth 2.0 provider (#576),,Override abstract provider for Twitter's OAuth 2.0 provider (#576),
