Index,Release Note,Release Note Abstract
1,"
Add buildProvider method on DockBlock for IDE  support by @emrancu in https://github.com/laravel/socialite/pull/643
",Add buildProvider method on DockBlock for IDE  support by @emrancu in link
2,"
Fix unable to use updated config object when using Laravel Octane by @aprokopenko in https://github.com/laravel/socialite/pull/639
",Fix unable to use updated config object when using Laravel Octane by @aprokopenko in link
3,"Fixed

Add app property by @driesvints in https://github.com/laravel/socialite/pull/621
","Fixed
Add app property by @driesvints in link"
4,"Added

Laravel v10 Support by @driesvints in https://github.com/laravel/socialite/pull/618
","Added
Laravel v10 Support by @driesvints in link"
5,"Fixed

Fix User return types by @antoinelame in https://github.com/laravel/socialite/pull/614
","Fixed
Fix User return types by @antoinelame in link"
6,"Fixed

Fixed string type issue by @driesvints in https://github.com/laravel/socialite/commit/295a36648828f0419c1e9cbedd97609d2a4cb211
","Fixed
Fixed string type issue by @driesvints in link"
7,"Changed

PHP 8.2 support by @driesvints in https://github.com/laravel/socialite/pull/607
","Changed
PHP 8.2 support by @driesvints in link"
8,"Changed

Add ability to override access token request headers by @JasonTolliver in https://github.com/laravel/socialite/pull/603
","Changed
Add ability to override access token request headers by @JasonTolliver in link"
9,"Fixed

Add correct encoding and the required state param by @xhezairbey in https://github.com/laravel/socialite/pull/599
","Fixed
Add correct encoding and the required state param by @xhezairbey in link"
10,"Fixed

Add Twitter OAuth 2 fallback call by @driesvints in https://github.com/laravel/socialite/pull/596
","Fixed
Add Twitter OAuth 2 fallback call by @driesvints in link"
11,"Changed

Allow OAuth version in the Twitter config by @taylorotwell (68afb03)
","Changed
Allow OAuth version in the Twitter config by @taylorotwell (68afb03)"
12,"Fixed

Override abstract provider for Twitter's OAuth 2.0 provider (#576)
","Fixed
Override abstract provider for Twitter's OAuth 2.0 provider (#576)"
13,"Changed

add/set approvedScopes in User (#572)
","Changed
add/set approvedScopes in User (#572)"
14,"Added

Add Twitter OAuth2 provider (#574)﻿
","Added
Add Twitter OAuth2 provider (#574)﻿"
15,"Changed

Laravel 9 Support (#571)
","Changed
Laravel 9 Support (#571)"
16,"Fixed

Fix PHP 8.1 issues (#567)﻿
","Fixed
Fix PHP 8.1 issues (#567)﻿"
17,"Changed

Make enablePKCE public (#550)﻿
","Changed
Make enablePKCE public (#550)﻿"
18,"Changed

Handle 'scope' for Twitter Oauth1 (#548)﻿
","Changed
Handle 'scope' for Twitter Oauth1 (#548)﻿"
19,"Changed

Add reset methods for Octane (07840c0)﻿
","Changed
Add reset methods for Octane (07840c0)﻿"
20,"Fixed

Update provider to use DeferrableProvider instead (#529)﻿
","Fixed
Update provider to use DeferrableProvider instead (#529)﻿"
21,"Fixed

Make PKCE opt-in (#523)
﻿
","Fixed
Make PKCE opt-in (#523)
﻿"
22,"Added

Add support for OAuth 2.0 PKCE extension (#518)﻿
","Added
Add support for OAuth 2.0 PKCE extension (#518)﻿"
23,"Added

Added support for self hosted Gitlab instances (#510)

Fixed

Fix scope separator in Gitlab provider (#512)﻿
","Added
Added support for self hosted Gitlab instances (#510)
Fixed
Fix scope separator in Gitlab provider (#512)﻿"
24,"Security

Revert Facebook picture access token changes (#504)﻿
","Security
Revert Facebook picture access token changes (#504)﻿"
25,"Changed

Cache User instance to allow $provider->user() to be called multiple times (#498)﻿
","Changed
Cache User instance to allow $provider->user() to be called multiple times (#498)﻿"
26,"Added

PHP 8 Support (#495)﻿
","Added
PHP 8 Support (#495)﻿"
27,"Fixed

Include access token when requesting Facebook user profile photo (#489)
","Fixed
Include access token when requesting Facebook user profile photo (#489)"
28,"Fixed

Include grant_type=authorization code in token request parameters (#488)﻿
","Fixed
Include grant_type=authorization code in token request parameters (#488)﻿"
29,"Fixed

Fix bitbucket provider (#475)
","Fixed
Fix bitbucket provider (#475)"
30,"Added

Add custom exceptions for providers of One (#440)
Support Laravel 8 (#465, #466)

Changed

Only use the read_user scope for GitLab by default (#403)

Removed

Drop Laravel 5.7 support (0bd64ae)
Drop Laravel 5.8 support (4757ec4c)
Drop PHP 7.1 support (6e21f1a)
","Added
Add custom exceptions for providers of One (#440)
Support Laravel 8 (#465, #466)
Changed
Only use the read_user scope for GitLab by default (#403)
Removed
Drop Laravel 5.7 support (0bd64ae)
Drop Laravel 5.8 support (4757ec4c)
Drop PHP 7.1 support (6e21f1a)"
31,"Fixed

Fix containter call (#450)
","Fixed
Fix containter call (#450)"
32,"Added

Support Guzzle 7 (#449)

Removed

Remove guzzlehttp/guzzle ~5.0 workaround (#448)
","Added
Support Guzzle 7 (#449)
Removed
Remove guzzlehttp/guzzle ~5.0 workaround (#448)"
33,"Fixed

Use Authorization header for Github provider (#430)
","Fixed
Use Authorization header for Github provider (#430)"
34,"Fixed

Override SocialiteServiceProvider::isDeferred() to mark as deferred (#412)
","Fixed
Override SocialiteServiceProvider::isDeferred() to mark as deferred (#412)"
35,"Added

Allow to manually set desired Facebook graph version (#408)

Changed

Change default Facebook graph version to 3.3 (#408)
","Added
Allow to manually set desired Facebook graph version (#408)
Changed
Change default Facebook graph version to 3.3 (#408)"
36,"Added

Laravel 6.0 support (#390)
","Added
Laravel 6.0 support (#390)"
37,"Changed

Updated version constraints for Laravel 6.0 (3fe71f1)
","Changed
Updated version constraints for Laravel 6.0 (3fe71f1)"
38,"Fixed

Fix bug with no LinkedIn email addresses (#355)
","Fixed
Fix bug with no LinkedIn email addresses (#355)"
39,"Fixed

Use proper key name for original avatar in Google Provider (5ec0024)
","Fixed
Use proper key name for original avatar in Google Provider (5ec0024)"
40,"Fixed

Update Google API urls (#346)
","Fixed
Update Google API urls (#346)"
41,"Added

Laravel 5.8 support (32b5ecf)

Fixed

Handle Google responses excluding 'name' (#340)
","Added
Laravel 5.8 support (32b5ecf)
Fixed
Handle Google responses excluding 'name' (#340)"
42,"Fixed

Use proper localized name (#329)
","Fixed
Use proper localized name (#329)"
43,"Fixed

Fix a bug with no LinkedIn image (81adfcc)
","Fixed
Fix a bug with no LinkedIn image (81adfcc)"
44,"Fixed

Fixed broken GoogleProvider (#316)
","Fixed
Fixed broken GoogleProvider (#316)"
45,"Changed

Removed support for PHP 7.0 (#311)
Require Laravel 5.7 as minimum version (#311)

Fixed

Fixed and updated the broken LinkedIn provider (#310)
","Changed
Removed support for PHP 7.0 (#311)
Require Laravel 5.7 as minimum version (#311)
Fixed
Fixed and updated the broken LinkedIn provider (#310)"
