Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
1,fix return type,0.6216792,Fix typed properties issues (#879),"Fixes ""pending"" job status Apply fixes from StyleCI Style style Test failed updates Fixes contract More tests Fix type Fixes tests formatting formatting Co-authored-by: StyleCI Bot bot@styleci.io Co-authored-by: Taylor Otwell taylor@laravel.com",0
2,Add afterStore hooks,0.88460755,"Add afterStore hooks (#894, (600e462))",,1
3,Merge pull request #157 from browner12/default-command,0.49396122,"Add support ignore request when status code specified (abc9660, #1150)",Add duration to HTTP Client watcher compile Co-authored-by: Taylor Otwell taylor@laravel.com,0
4,Bump loader-utils from 1.4.1 to 1.4.2 (#1271),0.500014,Fix query preview (#1044)﻿,,0
5,Merge pull request #245 from deleugpn/log-watcher,0.58709407,Log failed requests (#701),Closes link,0
6,Merge pull request #717 from barryvdh/feat-rebuild-2.0,0.5093827,"Revert ""[4.x] Updated db command for clearing tables"" (#993)﻿",,0
7,Merge pull request #676 from koenhoeijmakers/patch-1,0.5002587,Log failed requests (#701),,0
8,Update preview.vue,0.53942347,Fix query preview (#1044)﻿,,0
9,Merge pull request #68 from TBlindaruk/add-laravel-dependency,0.54222715,Fix deprecations by @driesvints in link,,0
10,Filter out listeners that are no view composers,0.7474208,Fix ignore generic listeners as view composer (#794),,1
11,wrap boot code in telescope.enabled conditional,0.5958719,Telescope:withoutRecording() should be exception safe (#1092),,0
12,[4.x] Unified asset publishing (#1105),0.9689995,Unified asset publishing (#1105),Bumps webpack from 5.61.0 to 5.76.1. - Release notes - Commits updated-dependencies: - dependency-name: webpack   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
13,changed optional argument to option to keep in line with docs,0.40935764,Do not record when unserializing command by @driesvints in link & link,,0
14,Merge pull request #120 from lucasmichot/feature/1.0/remove-useless-thrown-docblocks,0.57839227,"Enable chunking on delete to prevent errors on large resultsets (#658, 32c3709)",,0
15,Apply fixes from StyleCI (#961),0.53178686,Fix typed properties issues (#879),Adds type checking Apply fixes from StyleCI Co-authored-by: StyleCI Bot bot@styleci.io,0
16,Merge branch 'dump' of link into dump,0.467388,Optimize dump (#683),,0
17,Fix query preview (#1044),1.0,Fix query preview (#1044)﻿,Allows to specify log level Apply fixes from StyleCI Update src/Watchers/LogWatcher.php Co-authored-by: Dries Vints dries@vints.io Update LogWatcher.php formatting Co-authored-by: StyleCI Bot bot@styleci.io Co-authored-by: Taylor Otwell taylor@laravel.com Co-authored-by: Dries Vints dries@vints.io,1
18,Merge pull request #457 from laravel/dontBuildRecords,0.5169985,Merge previously defined view data when building the view mailable data (#1157),,0
19,Bump jquery from 3.4.1 to 3.5.0,0.47824475,Dropped support for Laravel 5.8,,0
20,Merge pull request #877 from janolivermr/3.x,0.51459557,Log failed requests (#701),,0
21,Merge pull request #485 from TBlindaruk/use-strict-compare,0.5242202,Consolidate database directory (#975)﻿,,0
22,Merge branch 'feature/1.0/extract-logic-from-layout' of link into lucasmichot-feature/1.0/extract-logic-from-layout,0.45156497,"Add afterStore hooks (#894, (600e462))",,0
23,show number of seconds elabsed,0.48994648,Update Cache to use seconds instead of minutes (#562),,0
24,added redis watcher test,0.69281006,Enable redis events by default if the watcher is enabled (#789),,0
25,Bump follow-redirects from 1.14.7 to 1.14.8 (#1191),0.5164961,"Add afterStore hooks (#894, (600e462))",,0
26,[1.0] Fixed phpDoc,0.7862595,Fix PHP 8.1 issues (#1156)﻿,,1
27,add boolean check,0.42286283,"Add a new ""Clear Entries"" button (#1091)",,0
28,Update mix configs,0.41869527,"Revert ""[4.x] Updated db command for clearing tables"" (#993)﻿",,0
29,Fix imports,0.45082998,Fix deprecations by @driesvints in link,,0
30,fix bad json array output,0.6399555,Fix JSON indenting (#1049),Handle redis connection exception on DumpWatcher register Fixes issue #620 Cleanup after previous solution removed Include another case and refactor Add missing ! Update src/Telescope.php Update src/Watchers/DumpWatcher.php use Exception Co-authored-by: Dries Vints dries@vints.io,0
31,fix job watcher crash,0.5371779,Fix events with ShouldBroadcastNow (#623),wip: Add a fresh coat of paint wip: Dark mode Tweaks Apply fixes from StyleCI Compile Assets More tweaks Co-authored-by: jessarcher jessarcher@users.noreply.github.com,0
32,fix:May be written to an empty log,0.8395874,May be written to an empty log (#930),,1
33,update responsive columns,0.4437356,Fix query preview (#1044)﻿,Update composer.json Update tests.yml,0
34,s/Horizon/Telescope,0.66066813,Fix telescope.domain usage (#1124)﻿,Bumps json5 from 1.0.1 to 1.0.2. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: json5   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
35,report all by default,0.37746203,Add option to record dumps even though the dump watcher tab is not open by @superDuperCyberTechno in link,,0
36,Apply fixes from StyleCI (#731),0.5108079,Testing fixes (#866),Adds types to migrations and stubs Bumps PHP version Stops testing in PHP 7.x Avoids breaking change,0
37,prevent memory leaks on large model imports,0.48498255,Prevent Laravel\Scout\Jobs\MakeSearchable job from being recorded to avoid memory leak by @nicoverbruggen in link,Add support for model keys casted to backed enums in FormatModel Fix code style Added interface_exists() check to avoid breaking compatibility with PHP < 8.1 Removed import for interface BackedEnum to preserve compatibility Add support for Pivots with backed enum ids Update FormatModel.php Co-authored-by: Taylor Otwell taylor@laravel.com,0
38,ignore pipeline and transaction redis commands,0.57268953,Dont register redis watcher if the redis service is not bound into the container. by @mad-briller in link,,0
39,docblocks,0.41176504,Fix deprecations by @driesvints in link,,0
40,fix: ReflectionException when used with debugbar.,0.9169658,ReflectionException when used with debugbar (#825),,1
41,Fix model watcher exception for models with composite keys,0.803956,Fix key handling for ModelWatcher (#1180),,1
42,"Add request metadata: controller, action, middleware, duration",0.611843,Add duration to HTTP Client watcher by @DougSisk in link,Improve FormatModel to work with keyless Pivot models. Update FormatModel.php Co-authored-by: Taylor Otwell taylor@laravel.com,0
43,Add ability to ignore routes with better performance,0.52808464,Make ignoring Laravel Nova paths configurable (#799),,0
