Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Update CHANGELOG,0.7235714,Full Changelog: link,,1
Update app.php,0.50877535,Update version,,0
Fix code styling,0.51022637,Use Pint for Code Styling by @driesvints in link,,0
Merge pull request #1415 from laravel/mes/ensure-base-configuration,0.48688614,Laravel v10 Support by @driesvints in link,Ensure base configuration is correct even if file already exists,0
Merge pull request #1414 from laravel/mes/allow-custom-drivers-to-extend-specific-drivers,0.5760038,Load specific drivers before custom drivers to allow for extension. by @mattstauffer in link,Load specific drivers before custom drivers to allow for extension.,0
Ensure base configuration is correct even if file already exists,0.85827076,Ensure base configuration is correct even if file already exists by @mattstauffer in link,,1
Load specific drivers before custom drivers to allow for extension.,0.9548564,Load specific drivers before custom drivers to allow for extension. by @mattstauffer in link,Co-Authored-By: Chris Brown code@drbyte.dev,1
Merge pull request #1411 from drbyte/install-via-alt-tap,0.36581004,Install older PHP versions via alternate tap by @drbyte in link,Install older PHP versions via alternate tap,0
Install older PHP versions via alternate tap,0.85650325,Install older PHP versions via alternate tap by @drbyte in link,"Fixes #1407 Homebrew's support policy now aggressively disables older versions earlier than it did previously. That is why we tap the shivammathur/php repository. But since Homebrew also now ""keeps"" those old formulae but marks them as disabled, when Valet runs brew install php@7.4 it fails because Homebrew just aborts due to its flags in the outdated formula. (They mark it as ""disabled"" and/or ""keg_only :versioned_formula"", but don't actually delete the formula from their repository.) To override that we must use brew install shivammathur/php/php@7.4 internally. Therefore, we need to maintain a list of which PHP Versions we wish to specifically prefix with the shivammathur/php tap in order to bypass Homebrew's flags. ANNUAL MAINTENANCE 1. This PR adds the array of LIMITED_PHP_VERSIONS which we will have to update annually when new PHP versions are retired as others are released. 2. We should also annually update the LATEST_PHP_VERSION string.",1
Merge branch 'master' of github.com:laravel/valet,0.5049847,Update valet.sock to be a symlink to an existing valet{version}.sock file by @mattstauffer in link,,0
Fix Radicle code style with Pint,0.67920786,Use Pint for Code Styling by @driesvints in link,,0
Merge pull request #1413 from csorrentino/radicle-driver,0.63290185,Add driver for Radicle by @csorrentino in link,Add driver for Radicle,0
fix namespacing,0.45983678,Better handle folder names with spaces in them (link),,0
Add driver for Radicle,0.7300975,Add driver for Radicle by @csorrentino in link,,1
Create RELEASE.md,0.41766053,"Release Version 4 by @mattstauffer in link, link",,0
Fix merge issue,0.42335603,Fix version number,,0
Change flow,0.389369,Changed,,0
Merge pull request #1398 from mischabraam/hotfix/read-non-existing-config-file,0.4898541,Fix read non existing config file by @mischabraam in link,Fix read non existing config file,0
Merge pull request #1404 from drbyte/ngrok3-fix-for-valet4,0.61772966,"Welcome to Valet v4! This release is mostly about re-writing the internals so they're easier to debug, fix, and modify. There are a few user-facing additions and improvements, including but not limited to: ngrok is now managed by Homebrew, .valetphprc is replaced with a more powerful .valetrc, you can use Expose to share, there's a new status command to make sure all your services are running correctly, and a lot of the other existing commands work even better than ever before.",[v4] Fix ngrok.io proxy/forwarding detection,0
[v4] Fix ngrok.io proxy/forwarding detection,0.78769624,Fix ngrok.io proxy/forwarding detection by @drbyte in link,"Fixes #1384 Since Valet 4 uses Ngrok v3, this change is needed to accommodate the change ngrok made: In ngrok v3 the X-Original-Host header was replaced with the more standard X-Forwarded-Host to better align with web standards. More Info: link Credit to @streamingsystems for doing the legwork. Co-authored-by: streamingsystems streamingsystems@users.noreply.github.com",1
Update 1_Bug_report.yml,0.52586997,Fix version number,,0
Update and rename 1_Bug_report.md to 1_Bug_report.yml,0.47255293,Fix version number,,0
Fix read non existing config file,0.7832543,Fix read non existing config file by @mischabraam in link,,1
Update CHANGELOG.md,0.6602326,Full Changelog: link,,0
Bump to 4.0.1,0.5450486,Update version,,0
Merge pull request #1390 from ethanclevenger91/fix/1342,0.50502044,Just a note that 2.13.14 was supposed to be 2.13.4 but I have fat fingers.,More robust check for Bedrock environments,0
Correct function signature. Tests pass locally.,0.3507869,Fix code that checks whether multi-segment domains are secured (#825),,0
More robust check for Bedrock environments,0.8985247,More robust check for Bedrock environments by @ethanclevenger91 in link,,1
