Index,Message,Description
1,Merge pull request #1798 from neerajsi-msft/neerajsi/read-index-tickcount,index-parser: get the time in a cheaper way
2,index-parser: Do not use DateTime.UtcNow for controlling logging.,"UtcNow spends a lot of time getting a very precise system time, including leap seconds and interpolation through QueryPerformanceCounter. Use Environment.TickCount (milliseconds since boot) instead, since that just retrieves a value in shared memory that the kernel keeps up to date. This value is still suitable for controlling how much log output index parsing produces. This UtcNow call consumes 15% of the time under GitIndexParser.ParseIndex. See https://github.com/dotnet/runtime/blob/master/src/libraries/System.Private.CoreLib/src/System/DateTime.Windows.cs."
3,Merge pull request #1796 from ldennington/remove-nuget-commands-ref,dependencies: resolve dependabot alerts
4,dependencies: upgrade SharpZipLib,Update newtonsoft.json to 13.0.1 to mitigate exposure to security vulnerability associated with previous versions.
5,dependencies: upgrade newtonsoft.json,Update newtonsoft.json to 13.0.1 to mitigate exposure to security vulnerability associated with previous versions.
6,gvfs common: remove reference to Nuget.Commands,The Nuget.Commmands package version 4.9.2 contains a known vulnerability. Fortunately we are no longer using this package and can mitigate by removing our reference to it.
7,Merge pull request #1786: Adding Microsoft SECURITY.MD,
8,Microsoft mandatory file,
9,Update Readme,
10,"Revert ""Merge pull request #1765 from derrickstolee/signing""","This reverts commit 183f1965c0dda4b73aedfccc9f17a3ba2c0fd7c2, reversing changes made to 2cd3558ab4d5bb1f7e42d55dd07df43889eba47a."
11,Merge pull request #1765 from derrickstolee/signing,*.csproj: update MicroBuild package names
12,*.csproj: update MicroBuild package names,Necessary for new singing build changes.
13,Merge pull request #1763: Better index locking in FastFetch,Use index.lock and move writes to head and refs to the end of the run to make interrupted fastfetch operations less bad
14,"Make it so that the index.lock file is just a lock file, not attempting to pass on pass-fail information to future instances",
15,Get rid of the unneed 'backup' index idea - it's always working on a scratch index.,
16,Refactor to do ref and index changes at the very end,
17,Add a bespoke index.lock file to protect fastfetch operations,
18,Merge pull request #1761 from ldennington/deploy-with-wingetcreate,Deploy to winget via wingetcreate
19,Deploy to winget via wingetcreate,Remove the custom mjcheetham/update-winget task in favor of the wingetcreate tool.
20,Merge pull request #1760: Update Git to v2.34.0.vfs.0.0,"There were some build issues related to the install path moving from ""GVFS"" to ""VFS for Git"". The pack-file maintenance tests were flaky for reasons we've seen before on the Scalar side, so let's focus our efforts keeping the Scalar tests green."
21,Remove flaky packfile maintenance tests,"These are verified by the Scalar functional tests, anyway."
22,install.bat: specify install dir,
23,"Move expected path from ""GVFS"" to ""VFS for Git""",
24,Update Git to v2.34.0.vfs.0.0,
25,Merge pull request #1759: Update winget link to reference winget-cli repo,
26,Update winget link to a reference winget-cli repo.,
27,"Merge pull request #1756: ""winget install microsoft-git"" finds entries in msstore",To address this: using the id parameter we can make sure it will always install this package.
28,Update Readme.md,
29,"""winget install microsoft-git"" finds entries in msstore",Adding the source parameter will make sure that the install command will actually install from winget
30,Merge pull request #1755 from ldennington/update-metadata,Set up infrastructure for wingetcreate
31,Run release-winget on Windows Server,wingetcreate is a Windows exe and thus must be run on Windows. Updating our release-winget workflow accordingly.
32,Update inno installer metadata,Updating inno installer metadata to align with the specification outlined in github/git-fundamentals#700.
33,Support spaces in paths when compiling,Updating necessary files to support spaces in paths when compiling VFS for Git.
34,Merge pull request #1754: Readme: add new winget install instructions,The recommended way to install is now to use winget.
35,Update Readme.md,Co-authored-by: Victoria Dye vdye@github.com
36,Readme: add new winget install instructions,Signed-off-by: Derrick Stolee dstolee@microsoft.com
37,Merge pull request #1753 from ldennington/upgrade-winget,Upgrade update-winget action to v1.4
38,Upgrade update-winget action to v1.4,This version allows us to update existing winget manifests by specifying a manifest's SHA if it already exists in microsoft/winget-pkgs. Pull Requests  #178: Allow updates to existing winget manifests
39,Merge pull request #1751: Update Git to v2.33.0,See microsoft/git#405.
40,Enable the ORT strategy in the control repo,
41,Update Git to v2.33.0,
42,Merge pull request #1750 from microsoft/update-readme,Update Readme.md
43,Update Readme.md,
44,Merge pull request #1738: Bumping version of update-winget action,Applying fix to prevent PRs into winget-pkgs from default branch of forks. See mjcheetham/update-winget#107 for more details.
45,Merge pull request #1747: UpgradeVerb: write deprecation notice,"We removed the old upgrader in #1746 but delayed creating its replacement. The plan was to use winget upgrade, but it is only experimental right now. Further, we would need to use winget list to determine if we needed winget install instead, and winget list is also experimental. The tool needs to mature more before we can create a dependency on it. Instead, warn a user that tries to upgrade with gvfs upgrade that this CLI is no longer supported and instead point them to the repository's README which can help with the latest update."
46,Merge pull request #1745: do not exit early if no blobs found for a period when prefetching,Fix for #1743 - do not exit early if no blobs found for a period when prefetching.
47,UpgradeVerb: write deprecation notice,Signed-off-by: Derrick Stolee dstolee@microsoft.com
48,Merge pull request #1740: Skip launching UI if running unattended,"In testing, we see the installer hanging until the UI is killed. ```pwsh Start-Process .\SetupGVFS.1.0.21085.9.exe -ArgumentList ""/VERYSILENT"", ""/NORESTART"", ""/NOCANCEL"", ""/SP-"", ""/CLOSEAPPLICATIONS"", ""/RESTARTAPPLICATIONS"", ""/LOG=gvfs.log"", ""/SUPPRESSMSGBOXES"" -Wait Hangs until GVFS.Service.UI is killed ``` Note, this is my first ever time editing an Inno Setup script or working with Pascal, so I may have gotten some things wrong :). Fixes #1739."
49,Merge pull request #1737: Update Git to v2.32.0,
50,Update to Git 2.32.0.vfs.0.4,Signed-off-by: Derrick Stolee dstolee@microsoft.com
51,Whoops Pascal totally uses single quotes 😊,
52,Merge branch 'master' into patch-1,
53,Merge pull request #1746: Delete custom upgrader,"Remove all code for the custom upgrader that ran the installer either from GitHub or from a NuGet feed. This leaves gvfs upgrade non-functional, but a replacement will follow that calls winget upgrade vfsforgit."
54,Merge pull request #1741 from ldennington/fix-tag-formatting,Fix winget tag specification
55,!fixup winget tag specification,
