Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Merge pull request #1798 from neerajsi-msft/neerajsi/read-index-tickcount,0.4540103,Pull Requests,index-parser: get the time in a cheaper way,0
index-parser: Do not use DateTime.UtcNow for controlling logging.,0.59879225,- Log files now include UTC offset.,"UtcNow spends a lot of time getting a very precise system time, including leap seconds and interpolation through QueryPerformanceCounter. Use Environment.TickCount (milliseconds since boot) instead, since that just retrieves a value in shared memory that the kernel keeps up to date. This value is still suitable for controlling how much log output index parsing produces. This UtcNow call consumes 15% of the time under GitIndexParser.ParseIndex. See https://github.com/dotnet/runtime/blob/master/src/libraries/System.Private.CoreLib/src/System/DateTime.Windows.cs.",0
Merge pull request #1796 from ldennington/remove-nuget-commands-ref,0.5363294,- Upgrade supports NuGet feeds as a distribution source.,dependencies: resolve dependabot alerts,0
dependencies: upgrade SharpZipLib,0.4102456,1747: UpgradeVerb: write deprecation notice,Update newtonsoft.json to 13.0.1 to mitigate exposure to security vulnerability associated with previous versions.,0
dependencies: upgrade newtonsoft.json,0.427341,1747: UpgradeVerb: write deprecation notice,Update newtonsoft.json to 13.0.1 to mitigate exposure to security vulnerability associated with previous versions.,0
gvfs common: remove reference to Nuget.Commands,0.59839576,1678: BuildGVFSForWindows.bat: use nuget on PATH when possible,The Nuget.Commmands package version 4.9.2 contains a known vulnerability. Fortunately we are no longer using this package and can mitigate by removing our reference to it.,0
Merge pull request #1786: Adding Microsoft SECURITY.MD,0.4797644,- Updated Git for a security issue.,,0
Microsoft mandatory file,0.35716462,- Gracefully handle a missing shared object cache pack directory.,,0
Update Readme,0.78091,1750: Update Readme.md,,1
"Revert ""Merge pull request #1765 from derrickstolee/signing""",0.42363182,1647: Fix commit-graph expiration,"This reverts commit 183f1965c0dda4b73aedfccc9f17a3ba2c0fd7c2, reversing changes made to 2cd3558ab4d5bb1f7e42d55dd07df43889eba47a.",0
Merge pull request #1765 from derrickstolee/signing,0.47396573,Pull Requests,*.csproj: update MicroBuild package names,0
*.csproj: update MicroBuild package names,0.4186278,Update NuGet upgrader with new Microsoft package signing certificate,Necessary for new singing build changes.,0
Merge pull request #1763: Better index locking in FastFetch,0.5242971,- Multi-threaded index reads will improve load time of large .git/index,Use index.lock and move writes to head and refs to the end of the run to make interrupted fastfetch operations less bad,0
"Make it so that the index.lock file is just a lock file, not attempting to pass on pass-fail information to future instances",0.41165638,1675: PreCommandHook: don't lock pack-objects,,0
Get rid of the unneed 'backup' index idea - it's always working on a scratch index.,0.42814732,"* Sped up GVFS's parsing of the git index, shaving off 2-3 seconds for a large index file",,0
Refactor to do ref and index changes at the very end,0.2970066,"- Post-index-change hook will help ensure consistency between Git and VFS for Git's reckoning of the state of the repository, and eliminate a class of bugs.",,0
Add a bespoke index.lock file to protect fastfetch operations,0.5559448,1730: Fix an issue with FastFetch when deleting files,,0
Merge pull request #1761 from ldennington/deploy-with-wingetcreate,0.5513657,1738: Bumping version of update-winget action,Deploy to winget via wingetcreate,0
Deploy to winget via wingetcreate,0.6259722,1734: Adding winget workflow,Remove the custom mjcheetham/update-winget task in favor of the wingetcreate tool.,0
Merge pull request #1760: Update Git to v2.34.0.vfs.0.0,0.8473865,1736: Update Git to v2.31.1.vfs.0.3,"There were some build issues related to the install path moving from ""GVFS"" to ""VFS for Git"". The pack-file maintenance tests were flaky for reasons we've seen before on the Scalar side, so let's focus our efforts keeping the Scalar tests green.",1
Remove flaky packfile maintenance tests,0.41130054,1746: Delete custom upgrader,"These are verified by the Scalar functional tests, anyway.",0
install.bat: specify install dir,0.35192516,1678: BuildGVFSForWindows.bat: use nuget on PATH when possible,,0
"Move expected path from ""GVFS"" to ""VFS for Git""",0.630254,* Improve error message from gvfs upgrade if the Git installation could not be found.,,0
Update Git to v2.34.0.vfs.0.0,0.8943889,1736: Update Git to v2.31.1.vfs.0.3,,1
Merge pull request #1759: Update winget link to reference winget-cli repo,0.6301581,1738: Bumping version of update-winget action,,0
Update winget link to a reference winget-cli repo.,0.675062,"After this release is promoted to a full release on GitHub, it will be available for installation via winget.",,0
"Merge pull request #1756: ""winget install microsoft-git"" finds entries in msstore",0.5220758,1653: Update Git to include v2.26.1,To address this: using the id parameter we can make sure it will always install this package.,0
Update Readme.md,0.8511744,1750: Update Readme.md,,1
"""winget install microsoft-git"" finds entries in msstore",0.5295237,Comes with Git for Windows 2.28.0,Adding the source parameter will make sure that the install command will actually install from winget,0
Merge pull request #1755 from ldennington/update-metadata,0.53241825,1750: Update Readme.md,Set up infrastructure for wingetcreate,0
Run release-winget on Windows Server,0.5645339,"After this release is promoted to a full release on GitHub, it will be available for installation via winget.",wingetcreate is a Windows exe and thus must be run on Windows. Updating our release-winget workflow accordingly.,0
Update inno installer metadata,0.43380147,- The installer now unmounts and remounts existing repos automatically,Updating inno installer metadata to align with the specification outlined in github/git-fundamentals#700.,0
Support spaces in paths when compiling,0.43636104,1685: minor path comparison fixup in ProductUpgrader,Updating necessary files to support spaces in paths when compiling VFS for Git.,0
Merge pull request #1754: Readme: add new winget install instructions,0.63689774,1738: Bumping version of update-winget action,The recommended way to install is now to use winget.,0
Readme: add new winget install instructions,0.6355113,1734: Adding winget workflow,Signed-off-by: Derrick Stolee dstolee@microsoft.com,0
Merge pull request #1753 from ldennington/upgrade-winget,0.62499046,1738: Bumping version of update-winget action,Upgrade update-winget action to v1.4,0
Upgrade update-winget action to v1.4,0.82406384,1738: Bumping version of update-winget action,This version allows us to update existing winget manifests by specifying a manifest's SHA if it already exists in microsoft/winget-pkgs. Pull Requests  #178: Allow updates to existing winget manifests,1
Merge pull request #1751: Update Git to v2.33.0,0.82831943,1751: Update Git to v2.33.0,See microsoft/git#405.,1
Enable the ORT strategy in the control repo,0.44085178,1717 [HOTFIX] Update Git to remove ODB string check,,0
Update Git to v2.33.0,0.849074,1751: Update Git to v2.33.0,,1
