Index,Message,Description
1,Remove mullvad-exclusion group on macOS,
2,Merge branch 'update-screenshot-script-ios-54',
3,Screenshots: fix navigation to account settings,
4,Screenshots: dismiss changelog,
5,Update Fastlane,
6,Merge branch 'remove-negative-margin-for-search-field-ios-129',
7,Remove negative top margin for search field,
8,Merge branch 'clippy-fix-windows-2',
9,Rename Windows DNS management error variant names,
10,Rename WireGuardNT error variants,
11,Fix misc clippy warnings for Windows,
12,Fix clippy warnings in Windows route manager,
13,Fix remaining clippy --fix auto fixes with modifications,
14,Merge branch 'clippy-fix-windows',
15,Apply clippy --fix fixes,This commit does not contain everything that cargo clippy --fix changed on Windows. But the least controversial and simplest subset. The remaining fixes I felt could use some manual cleanup also.
16,Merge branch 'upgrade-h2',
17,Upgrade h2 crate to avoid RUSTSEC-2023-0034,
18,Merge branch 'remember-content-blockers-expansion-droid-100',
19,Remember expand content blockers state,Use rememberSaveable instead remember for expandContentBlockersState so that it is kept when returning from the Split tunnelling settings page
20,Merge branch 'fix/device-in-name-in-header-bar-should-be-ios-115',
21,Make device name capitalize,
22,Merge branch 'fix/change-time-left-on-ios-to-days-and-ios-13',
23,Change time left to days and years,
24,Merge branch 'add-http-proxy-configuration',
25,REST: add HTTP proxy configuration,
26,Merge branch 'add-a-dedicated-account-button-on-the-ios-94',
27,Add a dedicated account button on the main view and remove it from settings,
28,Merge branch 'update-shadowsocks',
29,Update shadowsocks to 1.15.3,
30,Merge branch 'refactor-cell-reuse-identifiers',
31,Reduce code duplication by providing cell reuse identifier per data source item,
32,Merge branch 'fix/device-name-and-time-left-should-be-ios-118',
33,Shrink the device name when the content size of time left is bigger,
34,Merge branch 'parse-bridges',
35,RelaySelector: fix tests,
36,RelaySelector: document what evaluate() does,
37,RelaySelector: reformat,
38,RelaySelector: add method to pick random shadowsocks bridge,
39,REST: parse bridges,
40,Merge branch 'dont-keep-account-number-and-other-state-ios-72',
41,Wipe all settings on reinstall,
42,Merge branch 'macos-scroll-is-disabled-after-des-41',
43,Enable pointer events on the new view when transitioning,
44,Merge branch 'add-help-output-when-running-gui-with-des-40',
45,Add changelog item for GUI command line options,
46,Add command line version option,
47,Add command line help option,
48,Refactor command line option handling,
49,Merge branch 'change-text-hint-for-problem-report-ios-112',
50,Change text hint for problem report,
51,Merge branch 'fix/missing-header-in-problem-report-view-ios-107',
52,Attach the message view to the top of the safe area when textview is expanded,
53,Merge branch 'persist-next-key',
54,Persist next private key instead of creating it during each rotation,This should remedy issues where we overwhelm our infra with new keys on every rotation task retry.
55,Merge branch 'create-gui-test-for-revoked-device-des-76',
56,Add GUI test for device revoked view,
57,Merge branch 'create-gui-test-for-too-many-devices-des-77',
58,Add test for too many devices flow,
59,Merge branch 'clarify-android-build-process',
60,Clarify Android build steps in instructions,
61,Merge branch 'copy-account-number-button-isnt-working-des-167',
62,Fix clipboard permission request after electron upgrade,
63,Merge branch 'change-text-hint-for-problem-report-droid-104',
64,Change feedback textarea's placeholder,
65,Merge branch 'pq-quickfix-mtu' into main,
