Index,Message,Description,Message Abstract,Description Abstract
1,chore(deps): update nest monorepo to v10.0.1,,chore(deps): update nest monorepo to v10.0.1,
2,chore(deps): update dependency eslint to v8.43.0,,chore(deps): update dependency eslint to v8.43.0,
3,chore(deps): update dependency bullmq to v3.15.8,,chore(deps): update dependency bullmq to v3.15.8,
4,chore(release): publish new releases, @nestjs/bull-shared@10.0.0 @nestjs/bull@10.0.0 @nestjs/bullmq@10.0.0,chore(release): publish new releases,@nestjs/bull-shared@10.0.0 @nestjs/bull@10.0.0 @nestjs/bullmq@10.0.0
5,ci: revert node version,,ci: revert node version,
6,ci: revert node version,,ci: revert node version,
7,ci: update config.yml,,ci: update config.yml,
8,Merge pull request #1706 from nestjs/renovate/major-nest-monorepo,chore(deps): update nest monorepo to v10 (major),Merge pull request #1706 from nestjs/renovate/major-nest-monorepo,chore(deps): update nest monorepo to v10 (major)
9,chore(deps): update nest monorepo to v10,,chore(deps): update nest monorepo to v10,
10,Merge pull request #1699 from nestjs/10.0.0,chore: laying the grounds for v10.0.0 (core),Merge pull request #1699 from nestjs/10.0.0,chore: laying the grounds for v10.0.0 (core)
11,chore(deps): update dependency bullmq to v3.15.6,,chore(deps): update dependency bullmq to v3.15.6,
12,chore(deps): update typescript-eslint monorepo to v5.59.11,,chore(deps): update typescript-eslint monorepo to v5.59.11,
13,chore(deps): update nest monorepo to v9.4.3,,chore(deps): update nest monorepo to v9.4.3,
14,chore(deps): update dependency bullmq to v3.15.5,,chore(deps): update dependency bullmq to v3.15.5,
15,chore(deps): update dependency @types/node to v18.16.18,,chore(deps): update dependency @types/node to v18.16.18,
16,chore: laying the grounds for v10.0.0 (core),,chore: laying the grounds for v10.0.0 (core),
17,Merge pull request #1677 from nestjs/renovate/cimg-node-20.x,chore(deps): update node.js to v20,Merge pull request #1677 from nestjs/renovate/cimg-node-20.x,chore(deps): update node.js to v20
18,Merge pull request #1674 from nestjs/renovate/tslib-2.x,fix(deps): update dependency tslib to v2.5.3,Merge pull request #1674 from nestjs/renovate/tslib-2.x,fix(deps): update dependency tslib to v2.5.3
19,chore(deps): update dependency bullmq to v3.15.4,,chore(deps): update dependency bullmq to v3.15.4,
20,chore(deps): update dependency bullmq to v3.15.2,,chore(deps): update dependency bullmq to v3.15.2,
21,chore(deps): update dependency bullmq to v3.15.1,,chore(deps): update dependency bullmq to v3.15.1,
22,chore(deps): update typescript-eslint monorepo to v5.59.9,,chore(deps): update typescript-eslint monorepo to v5.59.9,
23,chore(deps): update dependency eslint to v8.42.0,,chore(deps): update dependency eslint to v8.42.0,
24,fix(deps): update dependency tslib to v2.5.3,,fix(deps): update dependency tslib to v2.5.3,
25,chore(deps): update dependency typescript to v5.1.3,,chore(deps): update dependency typescript to v5.1.3,
26,chore(deps): update dependency bullmq to v3.15.0,,chore(deps): update dependency bullmq to v3.15.0,
27,chore(deps): update dependency @types/jest to v29.5.2,,chore(deps): update dependency @types/jest to v29.5.2,
28,chore(deps): update dependency bullmq to v3.14.2,,chore(deps): update dependency bullmq to v3.14.2,
29,chore(deps): update commitlint monorepo to v17.6.5,,chore(deps): update commitlint monorepo to v17.6.5,
30,chore(deps): update typescript-eslint monorepo to v5.59.8,,chore(deps): update typescript-eslint monorepo to v5.59.8,
31,chore(deps): update dependency bullmq to v3.14.1,,chore(deps): update dependency bullmq to v3.14.1,
32,chore(deps): update dependency @types/node to v18.16.16,,chore(deps): update dependency @types/node to v18.16.16,
33,chore(deps): update dependency @types/node to v18.16.15,,chore(deps): update dependency @types/node to v18.16.15,
34,chore(deps): update nest monorepo to v9.4.2,,chore(deps): update nest monorepo to v9.4.2,
35,chore(deps): update dependency bullmq to v3.14.0,,chore(deps): update dependency bullmq to v3.14.0,
36,chore(deps): update typescript-eslint monorepo to v5.59.7,,chore(deps): update typescript-eslint monorepo to v5.59.7,
37,chore(deps): update dependency @types/node to v18.16.14,,chore(deps): update dependency @types/node to v18.16.14,
38,chore(deps): update dependency eslint to v8.41.0,,chore(deps): update dependency eslint to v8.41.0,
39,chore(deps): update dependency @types/node to v18.16.13,,chore(deps): update dependency @types/node to v18.16.13,
40,chore(deps): update dependency bullmq to v3.13.4,,chore(deps): update dependency bullmq to v3.13.4,
41,chore(deps): update typescript-eslint monorepo to v5.59.6,,chore(deps): update typescript-eslint monorepo to v5.59.6,
42,chore(deps): update nest monorepo to v9.4.1,,chore(deps): update nest monorepo to v9.4.1,
43,chore(deps): update node.js to v20,,chore(deps): update node.js to v20,
44,chore(deps): update dependency rxjs to v7.8.1,,chore(deps): update dependency rxjs to v7.8.1,
45,chore(deps): update dependency rimraf to v5.0.1,,chore(deps): update dependency rimraf to v5.0.1,
46,chore(deps): update dependency prettier to v2.8.8,,chore(deps): update dependency prettier to v2.8.8,
47,chore(deps): update dependency lint-staged to v13.2.2,,chore(deps): update dependency lint-staged to v13.2.2,
48,chore(deps): update dependency lerna to v6.6.2,,chore(deps): update dependency lerna to v6.6.2,
49,chore(deps): update dependency @types/jest to v29.5.1,,chore(deps): update dependency @types/jest to v29.5.1,
50,chore(deps): update commitlint monorepo to v17.6.3,,chore(deps): update commitlint monorepo to v17.6.3,
51,Merge pull request #1660 from nestjs/renovate/cimg-node-19.x,chore(deps): update node.js to v19.9,Merge pull request #1660 from nestjs/renovate/cimg-node-19.x,chore(deps): update node.js to v19.9
52,chore(deps): update dependency rimraf to v5,,chore(deps): update dependency rimraf to v5,
53,chore(deps): update typescript-eslint monorepo to v5.59.0,,chore(deps): update typescript-eslint monorepo to v5.59.0,
54,chore(deps): update dependency eslint to v8.38.0,,chore(deps): update dependency eslint to v8.38.0,
55,chore(deps): update commitlint monorepo to v17.6.1,,chore(deps): update commitlint monorepo to v17.6.1,
56,chore(deps): update node.js to v19.9,,chore(deps): update node.js to v19.9,
57,chore(deps): update dependency typescript to v5.0.4,,chore(deps): update dependency typescript to v5.0.4,
58,chore(deps): update dependency lint-staged to v13.2.1,,chore(deps): update dependency lint-staged to v13.2.1,
59,chore(deps): update nest monorepo to v9.4.0,,chore(deps): update nest monorepo to v9.4.0,
60,Merge pull request #1597 from nestjs/renovate/cimg-node-19.x,chore(deps): update node.js to v19.8,Merge pull request #1597 from nestjs/renovate/cimg-node-19.x,chore(deps): update node.js to v19.8
61,chore(deps): update typescript-eslint monorepo to v5.57.1,,chore(deps): update typescript-eslint monorepo to v5.57.1,
62,chore(deps): update dependency ts-jest to v29.1.0,,chore(deps): update dependency ts-jest to v29.1.0,
63,chore(deps): update dependency typescript to v5.0.3,,chore(deps): update dependency typescript to v5.0.3,
64,chore(deps): update dependency tsconfig-paths to v4.2.0,,chore(deps): update dependency tsconfig-paths to v4.2.0,
65,chore(deps): update dependency eslint to v8.37.0,,chore(deps): update dependency eslint to v8.37.0,
66,chore(deps): update dependency @types/node to v18.15.11,,chore(deps): update dependency @types/node to v18.15.11,
67,chore(deps): update dependency @commitlint/cli to v17.5.1,,chore(deps): update dependency @commitlint/cli to v17.5.1,
68,chore(deps): update typescript-eslint monorepo to v5.57.0,,chore(deps): update typescript-eslint monorepo to v5.57.0,
69,chore(deps): update dependency @types/node to v18.15.10,,chore(deps): update dependency @types/node to v18.15.10,
70,chore(deps): update dependency @types/node to v18.15.9,,chore(deps): update dependency @types/node to v18.15.9,
71,chore(deps): update dependency @types/node to v18.15.8,,chore(deps): update dependency @types/node to v18.15.8,
72,chore(deps): update dependency lerna to v6.6.1,,chore(deps): update dependency lerna to v6.6.1,
73,chore(deps): update dependency prettier to v2.8.7,,chore(deps): update dependency prettier to v2.8.7,
74,chore(deps): update dependency @types/node to v18.15.7,,chore(deps): update dependency @types/node to v18.15.7,
75,chore(deps): update dependency @types/node to v18.15.6,,chore(deps): update dependency @types/node to v18.15.6,
76,chore(deps): update dependency rimraf to v4.4.1,,chore(deps): update dependency rimraf to v4.4.1,
77,chore(deps): update dependency @commitlint/cli to v17.5.0,,chore(deps): update dependency @commitlint/cli to v17.5.0,
78,chore(deps): update nest monorepo to v9.3.12,,chore(deps): update nest monorepo to v9.3.12,
79,chore(deps): update nest monorepo to v9.3.11,,chore(deps): update nest monorepo to v9.3.11,
80,chore(deps): update dependency prettier to v2.8.6,,chore(deps): update dependency prettier to v2.8.6,
81,chore(deps): update typescript-eslint monorepo to v5.56.0,,chore(deps): update typescript-eslint monorepo to v5.56.0,
82,chore(deps): update dependency eslint-config-prettier to v8.8.0,,chore(deps): update dependency eslint-config-prettier to v8.8.0,
83,chore(deps): update dependency @types/node to v18.15.5,,chore(deps): update dependency @types/node to v18.15.5,
84,chore(deps): update node.js to v19.8,,chore(deps): update node.js to v19.8,
85,chore(deps): update dependency prettier to v2.8.5,,chore(deps): update dependency prettier to v2.8.5,
86,chore(deps): update dependency typescript to v5,,chore(deps): update dependency typescript to v5,
87,chore(deps): update dependency @types/jest to v29.5.0,,chore(deps): update dependency @types/jest to v29.5.0,
88,chore(deps): update nest monorepo to v9.3.10,,chore(deps): update nest monorepo to v9.3.10,
89,chore(deps): update dependency @types/jest to v29.4.3,,chore(deps): update dependency @types/jest to v29.4.3,
90,chore(deps): update dependency @types/jest to v29.4.2,,chore(deps): update dependency @types/jest to v29.4.2,
91,chore(deps): update dependency @types/node to v18.15.3,,chore(deps): update dependency @types/node to v18.15.3,
92,chore(deps): update typescript-eslint monorepo to v5.55.0,,chore(deps): update typescript-eslint monorepo to v5.55.0,
93,chore(deps): update dependency @types/node to v18.15.2,,chore(deps): update dependency @types/node to v18.15.2,
94,chore(deps): update dependency @types/jest to v29.4.1,,chore(deps): update dependency @types/jest to v29.4.1,
