Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
chore(deps): update nest monorepo to v10.0.1,0.9666107,chore(deps): update nest monorepo to v7.0.11 (80e9fb8),,1
chore(deps): update dependency eslint to v8.43.0,0.97731125,chore(deps): update dependency eslint to v8.0.1 (57f73ea),,1
chore(deps): update dependency @apollo/server to v4.7.4 [security],0.8351729,chore(deps): update dependency @apollo/gateway to v0.14.0 (81efa9b),,1
v12.0.1,0.86099523,v10.1.0,,1
chore: bump peer deps,0.5843543,chore(deps): bump node-notifier from 8.0.0 to 8.0.1 (f6e901f),,0
Merge pull request #2871 from nestjs/renovate/nestjs-mapped-types-2.x,0.99092555,Merge pull request #1614 from nestjs/renovate/nestjs-mapped-types-1.x (5320b6f),fix(deps): update dependency @nestjs/mapped-types to v2,1
Merge pull request #2872 from nestjs/renovate/lerna-monorepo,0.89006853,Merge pull request #1434 from nestjs/renovate/nest-monorepo (31d4ae3),chore(deps): update dependency lerna to v7.0.2,1
fix(deps): update dependency @nestjs/mapped-types to v2,0.9794997,fix(deps): update dependency @nestjs/mapped-types to v1 (5a36644),,1
chore(deps): update dependency lerna to v7.0.2,0.8486576,#2869 chore(deps): update dependency lerna to v7.0.1 - autoclosed (@renovate[bot]),,1
v12.0.0,0.83921015,v10.1.0,,1
ci: revert node version,0.50924575,chore(deps): update node.js to v16 (95a2264),,0
ci: update config.yml,0.470364,ci(): fix package json and lock files (df3b9ca),,0
chore: support v10,0.6700498,chore(): minor tweaks (d44ff1c),,0
Merge pull request #2866 from nestjs/renovate/mercuriusjs-federation-2.x,0.8745552,Merge pull request #644 from nestjs/renovate/apollo-federation-0.x (31c4b10),chore(deps): update dependency @mercuriusjs/federation to v2,1
Merge pull request #2867 from nestjs/renovate/ts-morph-19.x,0.9874318,Merge pull request #1254 from nestjs/renovate/ts-morph-9.x (5091ced),chore(deps): update dependency ts-morph to v19,1
Merge pull request #2869 from nestjs/renovate/lerna-monorepo,0.9011328,Merge pull request #1434 from nestjs/renovate/nest-monorepo (31d4ae3),chore(deps): update dependency lerna to v7.0.1,1
Merge pull request #2868 from nestjs/renovate/major-nest-monorepo,0.9865571,Merge pull request #784 from nestjs/renovate/nest-monorepo (61d174d),chore(deps): update nest monorepo to v10 (major),1
chore(deps): update nest monorepo to v10,0.949577,chore(deps): update nest monorepo to v6.11.11 (5e1930b),,1
chore(deps): update dependency ts-morph to v19,0.9674673,chore(deps): update dependency ts-morph to v13 (0d36dd7),,1
chore(deps): update dependency lerna to v7.0.1,0.8509195,#2869 chore(deps): update dependency lerna to v7.0.1 - autoclosed (@renovate[bot]),,1
Merge pull request #2863 from nestjs/12.0.0,0.9646217,Merge pull request #1439 from nestjs/8.0.0 (83b4919),chore: laying the grounds for v12.0.0,1
chore(deps): update dependency @mercuriusjs/federation to v2,0.90495735,#2866 chore(deps): update dependency @mercuriusjs/federation to v2 (@renovate[bot]),,1
chore: regenerate lock file,0.62259966,chore(deps): lock ts version (38defa5),,0
chore: upgrade deps,0.8582554,chore(): upgrade deps (40a75ea),,1
Merge pull request #2854 from nestjs/feat/readonly-visitors,0.81718093,Merge pull request #1439 from nestjs/8.0.0 (83b4919),feat(plugin): introduce readonly visitors,1
Merge pull request #2838 from nestjs/chore/drop-support-for-old-typescript,0.85698247,Merge pull request #1556 from nestjs/renovate/typescript-4.x (f07a22c),chore: drop support for typescript < 4.8,1
Merge pull request #2862 from nestjs/renovate/typescript-eslint-monorepo,0.9941552,Merge pull request #1437 from nestjs/renovate/typescript-eslint-monorepo (1bb61e6),chore(deps): update typescript-eslint monorepo to v5.59.11,1
chore(deps): update typescript-eslint monorepo to v5.59.11,0.9834162,chore(deps): update typescript-eslint monorepo to v5.1.0 (168e2da),,1
chore: laying the grounds for v12.0.0,0.6019566,chore(): minor tweaks (d44ff1c),,0
Merge pull request #2797 from nestjs/renovate/mercurius-13.x,0.8589641,Merge pull request #1439 from nestjs/8.0.0 (83b4919),chore(deps): update dependency mercurius to v13,1
chore(deps): update dependency mercurius to v13,0.89818305,#2797 chore(deps): update dependency mercurius to v13 (@renovate[bot]),,1
Merge pull request #2860 from nestjs/renovate/node-18.x,0.95376813,Merge pull request #1426 from nestjs/renovate/node-14.x (58e9ea6),chore(deps): update dependency @types/node to v18.16.18,1
Merge pull request #2861 from nestjs/renovate/nest-monorepo,0.9908278,Merge pull request #784 from nestjs/renovate/nest-monorepo (61d174d),chore(deps): update nest monorepo to v9.4.3,1
chore(deps): update nest monorepo to v9.4.3,0.9698703,chore(deps): update nest monorepo to v7.4.4 (2afb3f8),,1
chore(deps): update dependency @types/node to v18.16.18,0.975842,chore(deps): update dependency @types/node to v16.11.8 (f3aa059),,1
Merge pull request #2855 from nestjs/renovate/graphql-tools-monorepo,0.9946269,Merge pull request #1453 from nestjs/renovate/graphql-tools-monorepo (9587d6e),fix(deps): update dependency @graphql-tools/utils to v10.0.1,1
Merge pull request #2850 from nestjs/renovate/tslib-2.x,0.9916698,Merge pull request #1182 from nestjs/renovate/tslib-2.x (767e655),fix(deps): update dependency tslib to v2.5.3,1
Merge pull request #2859 from nestjs/renovate/fastify-4.x,0.8732369,Merge pull request #1426 from nestjs/renovate/node-14.x (58e9ea6),chore(deps): update dependency fastify to v4.18.0,1
chore(deps): update dependency fastify to v4.18.0,0.904042,#2859 chore(deps): update dependency fastify to v4.18.0 (@renovate[bot]),,1
chore(deps): update dependency @types/ws to v8.5.5,0.8092307,chore(deps): update dependency typescript to v4.5.2 (9c6fefc),,1
fix(deps): update dependency @graphql-tools/utils to v10.0.1,0.9138692,#2855 fix(deps): update dependency @graphql-tools/utils to v10.0.1 (@renovate[bot]),,1
feat(plugin): introduce readonly visitors,0.39903992,"feat(): add plugin, implement the isolated schema generator (23fa7d6)",,0
chore(deps): update dependency release-it to v15.11.0,0.9366676,chore(deps): update dependency release-it to v13 (1a84d43),,1
chore(deps): update typescript-eslint monorepo to v5.59.9,0.9807158,chore(deps): update typescript-eslint monorepo to v2.34.0 (70fa427),,1
chore(deps): update dependency eslint to v8.42.0,0.9791584,chore(deps): update dependency eslint to v8.0.1 (57f73ea),,1
fix(deps): update dependency tslib to v2.5.3,0.955576,fix(deps): update dependency tslib to v2.2.0 (85432c8),,1
chore(deps): update dependency release-it to v15.10.5,0.9281188,chore(deps): update dependency release-it to v14.5.0 (76a65a4),,1
chore(deps): update dependency @types/jest to v29.5.2,0.96545583,chore(deps): update dependency @types/jest to v25.2.1 (5d8814b),,1
chore(deps): update commitlint monorepo to v17.6.5,0.96844506,chore(deps): update commitlint monorepo to v14 (84215ec),,1
chore(deps): update typescript-eslint monorepo to v5.59.8,0.98175627,chore(deps): update typescript-eslint monorepo to v5.1.0 (168e2da),,1
chore(deps): update dependency @types/node to v18.16.16,0.97747934,chore(deps): update dependency @types/node to v16.11.8 (f3aa059),,1
chore(deps): update dependency @types/node to v18.16.15,0.9795338,chore(deps): update dependency @types/node to v16.11.8 (f3aa059),,1
v11.0.6,0.88645566,v10.1.0,,1
Merge pull request #2779 from nestjs/renovate/cimg-node-20.x,0.8766916,Merge pull request #1426 from nestjs/renovate/node-14.x (58e9ea6),chore(deps): update node.js to v20,1
Merge pull request #2820 from nestjs/renovate/as-integrations-fastify-2.x,0.8748949,Merge pull request #1426 from nestjs/renovate/node-14.x (58e9ea6),chore(deps): update dependency @as-integrations/fastify to v2,1
Merge pull request #2835 from nestjs/renovate/major-graphql-tools-monorepo,0.98918414,Merge pull request #1488 from nestjs/renovate/graphql-tools-monorepo (b90d9dd),fix(deps): update graphql-tools monorepo (major),1
chore(deps): update dependency @as-integrations/fastify to v2,0.8798069,#2700 chore(deps): update dependency @as-integrations/fastify to v1.3.2 (@renovate[bot]),,1
chore(deps): update nest monorepo to v9.4.2,0.9701507,chore(deps): update nest monorepo to v7.4.4 (2afb3f8),,1
chore(deps): update typescript-eslint monorepo to v5.59.7,0.9814677,chore(deps): update typescript-eslint monorepo to v5.1.0 (168e2da),,1
chore: drop support for typescript < 4.8,0.6574946,chore(): update typescript to v4 (243b963),,0
chore(deps): update dependency @types/node to v18.16.14,0.9790695,chore(deps): update dependency @types/node to v16.11.8 (f3aa059),,1
chore(deps): update dependency eslint to v8.41.0,0.9753392,chore(deps): update dependency eslint to v8 (53a5a31),,1
fix(deps): update graphql-tools monorepo,0.9826094,fix(deps): update graphql-tools monorepo (f93b2e3),,1
Merge pull request #2819 from nestjs/renovate/graphql-tools-monorepo,0.99473816,Merge pull request #1488 from nestjs/renovate/graphql-tools-monorepo (b90d9dd),fix(deps): update dependency @graphql-tools/merge to v8.4.2,1
Merge pull request #2831 from nestjs/dependabot/npm_and_yarn/vm2-3.9.19,0.91605693,Merge pull request #1806 from nestjs/dependabot/npm_and_yarn/tar-6.1.11 (c3340b4),chore(deps): bump vm2 from 3.9.17 to 3.9.19,1
Merge pull request #2822 from nestjs/renovate/graphql-ws-5.x,0.990343,Merge pull request #1711 from nestjs/renovate/graphql-ws-5.x (58aa25b),fix(deps): update dependency graphql-ws to v5.13.1,1
