Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
1,"test(): move e2e tests around, make adapter configurable",0.64895743,"fix(): fix orphaned types factory, update e2e test (735f110)",,0
2,feat(): load metadata lazily by target,0.92470086,feat(): load metadata lazily by target (4cb9f39),,1
3,chore(deps): update dependency eslint to v8.25.0,0.98141664,chore(deps): update dependency eslint to v7.12.1 (05ade2a),,1
4,chore(deps): update dependency husky to v4.0.3,0.97870296,chore(deps): update dependency husky to v4.2.4 (58157ad),,1
5,chore(deps): update dependency fastify to v4.10.2,0.8716196,2064 chore(deps): update dependency fastify to v3.27.4 (@renovate[bot]),,1
6,chore(deps): update dependency @types/node to v18.11.7,0.9829583,chore(deps): update dependency @types/node to v12.20.0 (5ceb718),,1
7,Merge pull request #403 from nestjs/renovate/ts-jest-24.x,0.9687389,Merge pull request #1703 from nestjs/renovate/ts-jest-27.x (0d474e4),[#2800] Fix graphql schema generation with plugin introspectComments enabled,1
8,Merge branch 'stevefan1999-patch-2',0.71907693,Merge branch 'tuxmachine-feat/federation' (2449d24),chore(deps): set @apollo/subgraph as optional,1
9,fix(deps): update dependency fast-glob to v2.2.7,0.9828009,fix(deps): update dependency fast-glob to v3.2.2 (4897074),,1
10,v9.2.0,0.7809464,v10.1.0,,1
11,Merge branch 'luas10c-upgrade/apollo-v4' into next,0.662012,Merge branch 'kaorun343-fix/custom-scalar' (7d58f5e),,0
12,chore(): release v6.6.2,0.69401574,chore(deps): update dependency prettier to v2.4.0 (039bf6c),,0
13,chore(deps): update dependency rimraf to v4.0.5,0.8484881,chore(deps): update dependency release-it to v13.1.0 (bdf1780),,1
14,chore(deps): update dependency @types/jest to v24.0.18,0.9858594,chore(deps): update dependency @types/jest to v26.0.8 (4ba1497),,1
15,Merge pull request #2504 from nestjs/renovate/graphql-tools-monorepo,0.96993834,* Merge pull request #1677 from nestjs/renovate/graphql-tools-monorepo (5716371),,1
16,Merge pull request #434 from nestjs/renovate/nest-monorepo,0.9623902,Merge pull request #784 from nestjs/renovate/nest-monorepo (61d174d),,1
17,Merge pull request #990 from nestjs/renovate/uuid-8.x,0.99262667,Merge pull request #990 from nestjs/renovate/uuid-8.x (1bc1026),,1
18,fix(platform) invalid route path resolution (fastify),0.61662245,fix(plugin): fix wrong paths resolution on windows (a178553),,0
19,fix(platform-fastify): await register call,0.93209666,fix(platform-fastify): await register call (e9c14e6),,1
20,chore(deps): update dependency jest to v26.2.1,0.9715024,chore(deps): update dependency jest to v26.2.1 (83466ad),,1
21,chore(): release v7.0.2,0.72354114,chore(deps): update dependency prettier to v2.3.0 (3c59f1a),,1
22,Merge pull request #850 from danielsantiago/master,0.9485179,Merge pull request #850 from danielsantiago/master (e1caaa8),,1
23,chore(deps): update dependency ts-jest to v26.1.0,0.9854557,chore(deps): update dependency ts-jest to v26.5.0 (2749464),,1
24,chore(deps): update dependency lerna to v5.3.0,0.90963817,chore(deps): update dependency release-it to v14.3.0 (425ea4e),,1
25,chore(deps): update dependency fastify to v4.13.0,0.87180257,2064 chore(deps): update dependency fastify to v3.27.4 (@renovate[bot]),,1
26,chore(deps): update dependency @commitlint/cli to v17.0.1,0.96068984,chore(deps): update dependency @commitlint/cli to v13.2.1 (521d8e1),,1
27,chore(deps): update dependency lint-staged to v12.0.1,0.98375136,chore(deps): update dependency lint-staged to v12.0.2 (4514ce8),,1
28,Bump apollo-server peer dependencies,0.9496167,* Bump apollo-server peer dependencies (4026be7),,1
29,fix: invert logic for providing your own schema,0.9016763,fix: invert logic for providing your own schema (c8ba590),,1
30,bugfix() pass all deps to useFactory,0.5467884,fix(deps) Replace uses of printSchema (bf088f1),Set @apollo/subgraph as an optional peer dependency in @nestjs/apollo @apollo/subgraph should only be needed if using Apollo Federation/Apollo Gateway.,0
31,chore(deps): update dependency lint-staged to v10.2.11,0.97952044,chore(deps): update dependency lint-staged to v10.2.2 (2e8da57),,1
32,Merge pull request #406 from nestjs/renovate/ts-node-8.x,0.93240726,Merge pull request #1426 from nestjs/renovate/node-14.x (58e9ea6),,1
33,chore(deps): update dependency lint-staged to v12.5.0,0.9835359,chore(deps): update dependency lint-staged to v12.0.2 (4514ce8),,1
34,chore(deps): update dependency @types/jest to v26.0.22,0.98896503,chore(deps): update dependency @types/jest to v26.0.2 (a557382),,1
35,chore(): release v9.1.1,0.7294872,chore(deps): update dependency release-it to v12.6.1 (05a1f98),,1
36,feat(): Add sortSchema option,0.91079354,feat(): Add sortSchema option (4e8cbef),,1
37,chore(deps): update dependency ts-node to v8.7.0,0.9741886,chore(deps): update dependency ts-node to v10.3.0 (0aa17f7),,1
38,chore(deps): update dependency graphql to v14.3.0,0.97971094,chore(deps): update dependency graphql to v15.5.2 (c921300),,1
39,Merge pull request #1769 from micalevisk/chore/migrate-to-gh-issue-forms,0.98591775,Merge pull request #1769 from micalevisk/chore/migrate-to-gh-issue-forms (7537584),chore(deps): update nest monorepo to v9.4.0,1
40,Merge pull request #619 from nestjs/renovate/pin-dependencies,0.98654693,Merge pull request #619 from nestjs/renovate/pin-dependencies (4b5541a),,1
41,chore(deps): update dependency lerna to v5.6.1,0.9190266,chore(deps): update dependency release-it to v12.6.1 (05a1f98),chore(deps): bump undici from 5.18.0 to 5.21.0,1
42,build(): improve monorepo setup,0.6556845,* chore(deps): update commitlint monorepo to v13 (258b254),fix(deps): update graphql-tools monorepo,0
43,Merge pull request #1299 from nestjs/dependabot/npm_and_yarn/node-notifier-8.0.1,0.98883295,Merge pull request #1299 from nestjs/dependabot/npm_and_yarn/node-notifier-8.0.1 (1f8ef42),,1
44,feature() type-graphql poc integration,0.64752626,graphql,chore(deps): bump vm2 from 3.9.15 to 3.9.17,0
45,chore(deps): update commitlint monorepo to v17.4.4,0.9664413,chore(deps): update commitlint monorepo to v13.2.0 (0a746ce),fix(plugin): don't prefix absolute win paths,1
46,Merge pull request #1253 from davidgoli/specify-generated-types-for-custom-scalars,0.96760213,Merge pull request #1253 from davidgoli/specify-generated-types-for-custom-scalars (6321aec),,1
47,fix(plugin): check version when updating file imports,0.9135008,fix(plugin): check version when updating file imports (eb4a0c3),,1
48,chore(deps): update dependency mercurius to v10,0.8300101,2619 chore(deps): update dependency mercurius to v12.2.0 (@renovate[bot]),,1
49,fix(): add eager imports to analysed field types,0.90392065,fix(): add eager imports to analysed field types (c0ddccd),,1
50,Merge pull request #154 from nestjs/renovate/graphql-tools-4.x,0.9420036,Merge pull request #734 from nestjs/renovate/merge-graphql-schemas-1.x (a054fec),,1
51,chore(deps): update dependency fastify to v4.10.0,0.87193155,2064 chore(deps): update dependency fastify to v3.27.4 (@renovate[bot]),,1
52,chore(deps): update typescript-eslint monorepo to v5.11.0,0.98734546,chore(deps): update typescript-eslint monorepo to v3.10.1 (5db0421),Bumps vm2 from 3.9.15 to 3.9.17. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: vm2   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com,1
53,chore(deps): update dependency release-it to v15.9.0,0.97536176,chore(deps): update dependency release-it to v14.10.0 (9c57d60),,1
54,chore(deps): update dependency @types/jest to v28.1.1,0.97715807,chore(deps): update dependency @types/jest to v25.2.3 (3e28573),,1
55,chore(deps): update dependency ts-jest to v27.0.7,0.9886792,chore(deps): update dependency ts-jest to v27.0.7 (01aee19),,1
56,Merge pull request #1556 from nestjs/renovate/typescript-4.x,0.9840059,Merge pull request #1556 from nestjs/renovate/typescript-4.x (f07a22c),,1
57,Merge pull request #1605 from shian15810/apollo,0.98191327,Merge pull request #1605 from shian15810/apollo (392a9ae),,1
58,chore(deps): update dependency eslint-plugin-import to v2.23.2,0.983994,chore(deps): update dependency eslint-plugin-import to v2.20.2 (42b6301),chore(deps): bump vm2 from 3.9.14 to 3.9.15,1
59,chore(deps): update dependency @types/node to v14.14.39,0.99356985,chore(deps): update dependency @types/node to v14.14.39 (1a3901a),feat(graphql): Allow ObjectType to inherit description,1
60,chore(deps): update dependency husky to v4.2.0,0.97990984,chore(deps): update dependency husky to v4.2.4 (58157ad),,1
61,fix(plugin): fix wrong paths resolution on windows,0.97057664,fix(plugin): fix wrong paths resolution on windows (a178553),,1
62,chore(deps): update dependency jest to v27.1.1,0.9803328,chore(deps): update dependency jest to v27.2.2 (1a4901b),,1
63,Merge pull request #2448 from nestjs/renovate/cimg-node-16.x,0.93167967,Merge pull request #1426 from nestjs/renovate/node-14.x (58e9ea6),Bumps vm2 from 3.9.14 to 3.9.15. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: vm2   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com,1
64,chore(deps): bump cookiejar from 2.1.3 to 2.1.4,0.91150653,2610 chore(deps): bump cookiejar from 2.1.3 to 2.1.4 (@dependabot[bot]),,1
65,Update dependency husky to v3.0.8,0.8595959,chore(deps): update dependency husky to v4.3.7 (203be7b),fix(deps): update dependency graphql-ws to v5.12.1,1
66,chore(deps): update nest monorepo to v7.6.8,0.9859102,chore(deps): update nest monorepo to v7.0.3 (62008d4),chore(deps): update dependency ts-morph to v18,1
67,fix(deps): update dependency uuid to v7,0.960711,fix(deps): update dependency uuid to v7 (6613bb8),,1
68,chore(deps): update dependency @apollo/federation to v0.15.0,0.983569,chore(deps): update dependency @apollo/federation to v0.14.0 (1ff415f),Bumps undici from 5.18.0 to 5.21.0. - Release notes - Commits updated-dependencies: - dependency-name: undici   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com,1
69,chore(deps): update dependency ts-jest to v26.5.5,0.98688555,chore(deps): update dependency ts-jest to v26.5.0 (2749464),,1
70,fix(): add enhancer type to the public api,0.9547718,fix(): add enhancer type to the public api (135a396),chore(deps): update node.js to v16.20,1
71,Merge pull request #2428 from tuxmachine/fix/2255-unused-scalars-code-generation,0.77216,Merge pull request #1723 from nestjs/renovate/ts-morph-12.x (a1c4ca0),,1
72,chore(deps): update dependency class-transformer to v0.4.0,0.9767101,chore(deps): update dependency class-transformer to v0.4.0 (484f922),,1
73,Merge pull request #1453 from nestjs/renovate/graphql-tools-monorepo,0.985029,Merge pull request #1453 from nestjs/renovate/graphql-tools-monorepo (9587d6e),,1
74,chore(deps): update apollo graphql packages to v2.9.16,0.9864099,chore(deps): update apollo graphql packages to v2.13.1 (01ee594),,1
75,ci(): add ci check to support previous versions of typescript,0.55207556,chore(): update typescript to v4 (243b963),,0
76,chore(deps): update dependency @mercuriusjs/federation to v2,0.8399669,2619 chore(deps): update dependency mercurius to v12.2.0 (@renovate[bot]),,1
77,Merge pull request #2107 from nestjs/renovate/apollo-graphql-packages,0.98024434,* Merge pull request #1649 from nestjs/renovate/apollo-graphql-packages (4416fe0),,1
78,Merge pull request #407 from nestjs/renovate/nest-monorepo,0.9689815,Merge pull request #784 from nestjs/renovate/nest-monorepo (61d174d),,1
79,Merge pull request #287 from nestjs/renovate/prettier-1.x,0.8994077,Merge pull request #1190 from nestjs/renovate/chokidar-3.x (a44b71d),,1
80,chore(): update apollo package name,0.85148823,chore(): update apollo to the latest packages (58def40),,1
81,chore(deps): update dependency graphql to v15.2.0,0.9836534,chore(deps): update dependency graphql to v15.5.2 (c921300),,1
82,chore(deps): update nest monorepo to v8.4.3,0.9841442,chore(deps): update nest monorepo to v7.0.3 (62008d4),,1
83,fix(plugin): recognize boolean properties in strict mode,0.9074217,fix(plugin): recognize boolean properties in strict mode (24dbec5),,1
84,chore(deps): update dependency typescript to v3.4.5,0.97898877,chore(deps): update dependency typescript to v4.1.3 (705572d),,1
85,Merge pull request #1332 from nestjs/renovate/fast-glob-3.x,0.98797786,Merge pull request #1332 from nestjs/renovate/fast-glob-3.x (52c4849),,1
86,chore(deps): update dependency @types/node to v18.16.9,0.96915555,chore(deps): update dependency @types/node to v12.20.2 (1a71052),,1
87,Merge pull request #1823 from nestjs/renovate/circleci-node-17.x,0.9852005,Merge pull request #1823 from nestjs/renovate/circleci-node-17.x (3c5bd18),,1
88,feat(): use mapped types library,0.875676,feat(): use mapped types library (d6a67ec),,1
89,fix(): ignore Date in type definitions generator,0.59770954,fix(federation): inherit the date time scalar (from auto generated schema) (02fb373),,0
90,Merge pull request #2629 from nestjs/dependabot/npm_and_yarn/vm2-3.9.14,0.9764355,Merge pull request #1466 from nestjs/dependabot/npm_and_yarn/y18n-4.0.1 (0355735),,1
91,chore(deps): update dependency @types/node to v18.15.11,0.97878826,chore(deps): update dependency @types/node to v14.14.39 (1a3901a),,1
92,chore(deps): update dependency lerna to v5.5.0,0.9082512,chore(deps): update dependency release-it to v12.6.1 (05a1f98),,1
93,chore(deps): update typescript-eslint monorepo to v5.27.1,0.9868817,chore(deps): update typescript-eslint monorepo to v2.25.0 (0810944),,1
94,chore(deps): update dependency ts-jest to v24.2.0,0.9754803,chore(deps): update dependency ts-jest to v26.4.2 (4315494),,1
95,Merge pull request #1488 from nestjs/renovate/graphql-tools-monorepo,0.9843519,* Merge pull request #1677 from nestjs/renovate/graphql-tools-monorepo (5716371),,1
96,Merge pull request #2809 from HeroJourneyClub/master,0.79361904,* Merge pull request #1627 from greatSumini/master (3b9b3b9),,1
97,Merge pull request #1314 from Tony133/docs/license,0.9840051,Merge pull request #1314 from Tony133/docs/license (9f588df),,1
