Index,Release Note,Release Note With Abstraction
1,"v11.0.4 (2023-03-20)
Bug fixes

graphql
#2724 fix: metadata storage refactor caused a bug in field resolver (@roypeled)

Dependencies

Other
#2725 chore(deps): update dependency prettier to v2.8.5 (@renovate[bot])
#2717 chore(deps): update dependency @types/jest to v29.4.4 (@renovate[bot])
graphql
#2706 fix(deps): update dependency ws to v8.13.0 (@renovate[bot])

Committers: 1

Roy Peled (@roypeled)
","v11.0.4 (2023-03-20)
Bug fixes
graphql
2724 fix: metadata storage refactor caused a bug in field resolver (@roypeled)
Dependencies
Other
2725 chore(deps): update dependency prettier to v2.8.5 (@renovate[bot])
2717 chore(deps): update dependency @types/jest to v29.4.4 (@renovate[bot])
graphql
2706 fix(deps): update dependency ws to v8.13.0 (@renovate[bot])
Committers: 1
Roy Peled (@roypeled)"
2,"v11.0.0 (2023-03-10)
Migration guide: https://docs.nestjs.com/graphql/migration-guide
Features

apollo, graphql, mercurius
#2636 feat: upgrade Mercurius, Apollo, GraphQL to the latest version (@kamilmysliwiec)

Bug fixes

graphql
#2666 fix: Field Middlewares do not work on interfaces of interfaces  (@roypeled)

Enhancements

graphql
#2330 feat(types): Type check Field defaultValue (@martinlehoux)
apollo
Schema validation (@pawpartyka)
Other
POST requests (@fwoelffel)

Dependencies

Other
#2703 chore(deps): update dependency lint-staged to v13.2.0 (@renovate[bot])
apollo, graphql, mercurius
#2701 chore(deps): update apollo graphql packages (@renovate[bot])
#2693 chore(deps): update nest monorepo to v9.3.9 (@renovate[bot])
apollo
#2700 chore(deps): update dependency @as-integrations/fastify to v1.3.2 (@renovate[bot])
graphql
#2689 fix(deps): update graphql-tools monorepo (@renovate[bot])
#2683 fix(deps): update dependency graphql-ws to v5.12.0 (@renovate[bot])
#2651 fix(deps): update dependency ws to v8.12.1 (@renovate[bot])
mercurius

#2619 chore(deps): update dependency mercurius to v12.2.0 (@renovate[bot])


Afonso Barracha (@tugascript)

Frédéric Woelffel (@fwoelffel)
Marvin ROGER (@marvinroger)
Paweł Partyka (@pawpartyka)
@twilroad
Arthur Templé (@arthurtemple)
Davide Gheri (@Davide-Gheri)
Martin Lehoux (@martinlehoux)
Dariusz Kuc (@dariuszkuc)
Kamil Mysliwiec (@kamilmysliwiec)
Roy Peled (@roypeled)
","v11.0.0 (2023-03-10)
Migration guide: link
Features
apollo, graphql, mercurius
2636 feat: upgrade Mercurius, Apollo, GraphQL to the latest version (@kamilmysliwiec)
Bug fixes
graphql
2666 fix: Field Middlewares do not work on interfaces of interfaces  (@roypeled)
Enhancements
graphql
2330 feat(types): Type check Field defaultValue (@martinlehoux)
apollo
Schema validation (@pawpartyka)
Other
POST requests (@fwoelffel)
Dependencies
Other
2703 chore(deps): update dependency lint-staged to v13.2.0 (@renovate[bot])
apollo, graphql, mercurius
2701 chore(deps): update apollo graphql packages (@renovate[bot])
2693 chore(deps): update nest monorepo to v9.3.9 (@renovate[bot])
apollo
2700 chore(deps): update dependency @as-integrations/fastify to v1.3.2 (@renovate[bot])
graphql
2689 fix(deps): update graphql-tools monorepo (@renovate[bot])
2683 fix(deps): update dependency graphql-ws to v5.12.0 (@renovate[bot])
2651 fix(deps): update dependency ws to v8.12.1 (@renovate[bot])
mercurius
2619 chore(deps): update dependency mercurius to v12.2.0 (@renovate[bot])
Afonso Barracha (@tugascript)
Frédéric Woelffel (@fwoelffel)
Marvin ROGER (@marvinroger)
Paweł Partyka (@pawpartyka)
@twilroad
Arthur Templé (@arthurtemple)
Davide Gheri (@Davide-Gheri)
Martin Lehoux (@martinlehoux)
Dariusz Kuc (@dariuszkuc)
Kamil Mysliwiec (@kamilmysliwiec)
Roy Peled (@roypeled)"
3,"Features

mercurius
#2546 feat(mercurius): add mercurius hooks (@tugascript)
#2538 feat(mercurius): add plugins option (@tugascript)

Bug fixes

apollo, graphql, mercurius
#2408 fix(@nestjs/graphql): set unique ids on resolvers to fix cache errors (@koyedele)
graphql
#2559 fix(graphql): similar directive sdls on multiple fields fail (@harm-less)
apollo
#2605 fix(graphql): prevent potential memory leak for mostly falsy filter function (@niceandneat)
apollo, mercurius
#2551 fix(@nestjs/apollo): Add in missing peer dependencies. (@zgriesinger)

Enhancements

apollo, graphql, mercurius
POST requests (@fwoelffel)

Dependencies

Other
#2634 chore(deps): update dependency lint-staged to v13.1.1 (@renovate[bot])
#2629 chore(deps): bump vm2 from 3.9.9 to 3.9.14 (@dependabot[bot])
#2569 chore(deps): update node.js to v16.19 (@renovate[bot])
#2578 chore(deps): bump json5 from 1.0.1 to 1.0.2 (@dependabot[bot])
#2610 chore(deps): bump cookiejar from 2.1.3 to 2.1.4 (@dependabot[bot])
#2624 chore(deps): bump http-cache-semantics from 4.1.0 to 4.1.1 (@dependabot[bot])
graphql
#2630 fix(deps): update graphql-tools monorepo (@renovate[bot])
#2540 fix(deps): update graphql-tools monorepo (@renovate[bot])
#2581 fix(deps): update dependency ws to v8.12.0 (@renovate[bot])
#2628 fix(deps): update dependency @nestjs/mapped-types to v1.2.2 (@renovate[bot])
apollo, graphql, mercurius
#2617 fix(deps): update dependency tslib to v2.5.0 (@renovate[bot])

Committers: 6

Afonso Barracha (@tugascript)
Frédéric Woelffel (@fwoelffel)
Harm van der Werf (@harm-less)
Kunle Oyedele (@koyedele)
Zackery Griesinger (@zgriesinger)
@niceandneat
","Features
mercurius
2546 feat(mercurius): add mercurius hooks (@tugascript)
2538 feat(mercurius): add plugins option (@tugascript)
Bug fixes
apollo, graphql, mercurius
2408 fix(@nestjs/graphql): set unique ids on resolvers to fix cache errors (@koyedele)
graphql
2559 fix(graphql): similar directive sdls on multiple fields fail (@harm-less)
apollo
2605 fix(graphql): prevent potential memory leak for mostly falsy filter function (@niceandneat)
apollo, mercurius
2551 fix(@nestjs/apollo): Add in missing peer dependencies. (@zgriesinger)
Enhancements
apollo, graphql, mercurius
POST requests (@fwoelffel)
Dependencies
Other
2634 chore(deps): update dependency lint-staged to v13.1.1 (@renovate[bot])
2629 chore(deps): bump vm2 from 3.9.9 to 3.9.14 (@dependabot[bot])
2569 chore(deps): update node.js to v16.19 (@renovate[bot])
2578 chore(deps): bump json5 from 1.0.1 to 1.0.2 (@dependabot[bot])
2610 chore(deps): bump cookiejar from 2.1.3 to 2.1.4 (@dependabot[bot])
2624 chore(deps): bump http-cache-semantics from 4.1.0 to 4.1.1 (@dependabot[bot])
graphql
2630 fix(deps): update graphql-tools monorepo (@renovate[bot])
2540 fix(deps): update graphql-tools monorepo (@renovate[bot])
2581 fix(deps): update dependency ws to v8.12.0 (@renovate[bot])
2628 fix(deps): update dependency @nestjs/mapped-types to v1.2.2 (@renovate[bot])
apollo, graphql, mercurius
2617 fix(deps): update dependency tslib to v2.5.0 (@renovate[bot])
Committers: 6
Afonso Barracha (@tugascript)
Frédéric Woelffel (@fwoelffel)
Harm van der Werf (@harm-less)
Kunle Oyedele (@koyedele)
Zackery Griesinger (@zgriesinger)
@niceandneat"
4,"Bug fixes

apollo, graphql
#2500 fix: enable non-nullable, defaulted fields in code-first schema (@sam-super)

Dependencies

graphql
#2504 fix(deps): update graphql-tools monorepo (@renovate[bot])
#2514 chore(deps): update dependency ts-morph to v17 (@renovate[bot])
Other
#2516 chore(deps): bump minimatch from 3.0.4 to 3.0.5 (@dependabot[bot])

Committers: 3

Hugh Willson (@hwillson)
Maxim (@khmm12)
Sam Adams (@sam-super)
","Bug fixes
apollo, graphql
2500 fix: enable non-nullable, defaulted fields in code-first schema (@sam-super)
Dependencies
graphql
2504 fix(deps): update graphql-tools monorepo (@renovate[bot])
2514 chore(deps): update dependency ts-morph to v17 (@renovate[bot])
Other
2516 chore(deps): bump minimatch from 3.0.4 to 3.0.5 (@dependabot[bot])
Committers: 3
Hugh Willson (@hwillson)
Maxim (@khmm12)
Sam Adams (@sam-super)"
5,"Dependencies

graphql
#2476 fix(deps): update graphql-tools monorepo (@renovate[bot])
#2485 fix(deps): update dependency @graphql-tools/utils to v9 (@renovate[bot])
#2493 fix(deps): update dependency ws to v8.11.0 (@renovate[bot])
apollo, graphql, mercurius
#2480 fix(deps): update dependency tslib to v2.4.1 (@renovate[bot])
","Dependencies
graphql
2476 fix(deps): update graphql-tools monorepo (@renovate[bot])
2485 fix(deps): update dependency @graphql-tools/utils to v9 (@renovate[bot])
2493 fix(deps): update dependency ws to v8.11.0 (@renovate[bot])
apollo, graphql, mercurius
2480 fix(deps): update dependency tslib to v2.4.1 (@renovate[bot])"
6,"v10.1.5 (2022-10-26)
Bug fixes

graphql
#2473 Fix getNumberOfParameters utility function (@thiagomini)

Committers: 1

Thiago Valentim (@thiagomini)
","v10.1.5 (2022-10-26)
Bug fixes
graphql
2473 Fix getNumberOfParameters utility function (@thiagomini)
Committers: 1
Thiago Valentim (@thiagomini)"
7,"v10.1.3 (2022-09-30)
Enhancements

graphql
#2424 fix(graphql): fix word spacing of error message when null (@DavidHavl)
#2423 feat(graphql): Throw an error when multiple resolvers define the same field (@Davide-Gheri)

Dependencies

graphql
#2426 fix(deps): update dependency @nestjs/mapped-types to v1.2.0 (@renovate[bot])
#2411 fix(deps): update dependency ws to v8.9.0 (@renovate[bot])
Other
#2425 chore(deps): update jest monorepo (@renovate[bot])

Committers: 3

Antonio Tripodi (@Tony133)
David Havl (@DavidHavl)
Jay McDoniel (@jmcdo29)
Davide Gheri (Davide-Gheri)
","v10.1.3 (2022-09-30)
Enhancements
graphql
2424 fix(graphql): fix word spacing of error message when null (@DavidHavl)
2423 feat(graphql): Throw an error when multiple resolvers define the same field (@Davide-Gheri)
Dependencies
graphql
2426 fix(deps): update dependency @nestjs/mapped-types to v1.2.0 (@renovate[bot])
2411 fix(deps): update dependency ws to v8.9.0 (@renovate[bot])
Other
2425 chore(deps): update jest monorepo (@renovate[bot])
Committers: 3
Antonio Tripodi (@Tony133)
David Havl (@DavidHavl)
Jay McDoniel (@jmcdo29)
Davide Gheri (Davide-Gheri)"
8,"v10.1.0
Features

graphql
#1757  New features for GraphQL typescript plugin (@thekip)

Bug fixes

graphql
#2314 fix: Restrict subscriptions WS server to add listeners only to its own path (@GValeriy)
#2375 fix(): Merge in parent interface fields to interfaces (@CarsonF)
apollo, graphql
#2353 fix(schema-first): merge duplicate IQuery interface (@katainaka0503)
#2366 fix(@nestjs/graphql): need to properly close websocket servers (@jkossis)

Dependencies

graphql
#2329 fix(deps): update dependency @graphql-tools/schema to v9 (@renovate[bot])
apollo
#2358 chore(deps): update apollo graphql packages to v3.10.2 (@renovate[bot])

Committers: 6

Andrei Alecu (@andreialecu)
Carson Full (@CarsonF)
Timofey (thekip)
Jason Kossis (@jkossis)
Kamil Mysliwiec (@kamilmysliwiec)
Valery Goncharov (@GValeriy)
katainaka (@katainaka0503)
","v10.1.0
Features
graphql
1757  New features for GraphQL typescript plugin (@thekip)
Bug fixes
graphql
2314 fix: Restrict subscriptions WS server to add listeners only to its own path (@GValeriy)
2375 fix(): Merge in parent interface fields to interfaces (@CarsonF)
apollo, graphql
2353 fix(schema-first): merge duplicate IQuery interface (@katainaka0503)
2366 fix(@nestjs/graphql): need to properly close websocket servers (@jkossis)
Dependencies
graphql
2329 fix(deps): update dependency @graphql-tools/schema to v9 (@renovate[bot])
apollo
2358 chore(deps): update apollo graphql packages to v3.10.2 (@renovate[bot])
Committers: 6
Andrei Alecu (@andreialecu)
Carson Full (@CarsonF)
Timofey (thekip)
Jason Kossis (@jkossis)
Kamil Mysliwiec (@kamilmysliwiec)
Valery Goncharov (@GValeriy)
katainaka (@katainaka0503)"
9,"v10.0.19 (2022-07-20)
Features

apollo
https://github.com/nestjs/graphql/pull/2251 Support Apollo Federation 2 (@greguintow @kamilmysliwiec )

Enhancements

apollo, graphql
#2081 perf(@nestjs/graphql): make it faster to construct a typescript file from GraphQL schema (@katainaka0503)

2212 made type-metadata.storage.ts much faster (@roypeled)


Dependencies

graphql
#2302 fix(deps): update dependency ws to v8.8.1 (@renovate[bot])
Other
#2309 chore(deps): update dependency release-it to v15.1.3 (@renovate[bot])
#2292 chore(deps): update node.js to v16.16 (@renovate[bot])

Committers: 5

kamilmysliwiec (@kamilmysliwiec)
Hwa Soo Kang (@hwasurr)
Martin Janeček (@wodCZ)
katainaka (@katainaka0503)
greguintow @greguintow
","v10.0.19 (2022-07-20)
Features
apollo
link Support Apollo Federation 2 (@greguintow @kamilmysliwiec )
Enhancements
apollo, graphql
2081 perf(@nestjs/graphql): make it faster to construct a typescript file from GraphQL schema (@katainaka0503)
2212 made type-metadata.storage.ts much faster (@roypeled)
Dependencies
graphql
2302 fix(deps): update dependency ws to v8.8.1 (@renovate[bot])
Other
2309 chore(deps): update dependency release-it to v15.1.3 (@renovate[bot])
2292 chore(deps): update node.js to v16.16 (@renovate[bot])
Committers: 5
kamilmysliwiec (@kamilmysliwiec)
Hwa Soo Kang (@hwasurr)
Martin Janeček (@wodCZ)
katainaka (@katainaka0503)
greguintow @greguintow"
10,"Bug fixes

graphql, mercurius
#2245 fix(apollo): Update resolveReference location (@trevor-scheer)

Committers: 2

Thiago Valentim (@thiagomini)
Trevor Scheer (@trevor-scheer)
","Bug fixes
graphql, mercurius
2245 fix(apollo): Update resolveReference location (@trevor-scheer)
Committers: 2
Thiago Valentim (@thiagomini)
Trevor Scheer (@trevor-scheer)"
