Index,Message,Description,Message Abstract,Description Abstract
1,chore(): release v10.0.2,,chore(): release v10.0.2,
2,ci: revert node version,,ci: revert node version,
3,feat: generate type imports for readonly visitors,,feat: generate type imports for readonly visitors,
4,chore: fix package lock,,chore: fix package lock,
5,chore(): release v10.0.1,,chore(): release v10.0.1,
6,chore: bump schematics version,,chore: bump schematics version,
7,fix: kill child process on exit (swc),,fix: kill child process on exit (swc),
8,chore(): release v10.0.0,,chore(): release v10.0.0,
9,chore: upgrade typescript,,chore: upgrade typescript,
10,chore: bump schematics version,,chore: bump schematics version,
11,Merge pull request #2120 from nestjs/renovate/swc-monorepo,chore(deps): update dependency @swc/core to v1.3.64,Merge pull request #2120 from nestjs/renovate/swc-monorepo,chore(deps): update dependency @swc/core to v1.3.64
12,Merge pull request #2118 from nestjs/renovate/webpack-5.x,fix(deps): update dependency webpack to v5.87.0,Merge pull request #2118 from nestjs/renovate/webpack-5.x,fix(deps): update dependency webpack to v5.87.0
13,chore(deps): update dependency @swc/core to v1.3.64,,chore(deps): update dependency @swc/core to v1.3.64,
14,Merge pull request #2117 from nestjs/10.0.0,chore: laying the grounds for v10.0.0,Merge pull request #2117 from nestjs/10.0.0,chore: laying the grounds for v10.0.0
15,fix(deps): update dependency webpack to v5.87.0,,fix(deps): update dependency webpack to v5.87.0,
16,Merge pull request #2107 from nestjs/feat/swc-support,feat: introduce swc support,Merge pull request #2107 from nestjs/feat/swc-support,feat: introduce swc support
17,chore: resolve conflicts,,chore: resolve conflicts,
18,Merge pull request #2092 from nestjs/chore/drop-support-for-old-typescript,chore: drop support for typescript < 4.8,Merge pull request #2092 from nestjs/chore/drop-support-for-old-typescript,chore: drop support for typescript < 4.8
19,chore: laying the grounds for v10.0.0,,chore: laying the grounds for v10.0.0,
20,Merge pull request #2116 from nestjs/renovate/angular-cli-monorepo,fix(deps): update angular-cli monorepo to v16.1.0,Merge pull request #2116 from nestjs/renovate/angular-cli-monorepo,fix(deps): update angular-cli monorepo to v16.1.0
21,fix(deps): update angular-cli monorepo to v16.1.0,,fix(deps): update angular-cli monorepo to v16.1.0,
22,chore(deps): update dependency @types/node to v18.16.18,,chore(deps): update dependency @types/node to v18.16.18,
23,chore(deps): update typescript-eslint monorepo to v5.59.11,,chore(deps): update typescript-eslint monorepo to v5.59.11,
24,Merge pull request #2113 from nestjs/renovate/node-18.x,chore(deps): update dependency @types/node to v18.16.17,Merge pull request #2113 from nestjs/renovate/node-18.x,chore(deps): update dependency @types/node to v18.16.17
25,chore(deps): update dependency @types/node to v18.16.17,,chore(deps): update dependency @types/node to v18.16.17,
26,Merge pull request #2095 from nestjs/renovate/webpack-5.x,fix(deps): update dependency webpack to v5.86.0,Merge pull request #2095 from nestjs/renovate/webpack-5.x,fix(deps): update dependency webpack to v5.86.0
27,Merge pull request #2097 from nestjs/renovate/angular-cli-monorepo,fix(deps): update angular-cli monorepo to v16.0.5,Merge pull request #2097 from nestjs/renovate/angular-cli-monorepo,fix(deps): update angular-cli monorepo to v16.0.5
28,fix(deps): update dependency webpack to v5.86.0,,fix(deps): update dependency webpack to v5.86.0,
29,fix(deps): update angular-cli monorepo to v16.0.5,,fix(deps): update angular-cli monorepo to v16.0.5,
30,chore: use export default for metadata cache,,chore: use export default for metadata cache,
31,chore: fix typo,,chore: fix typo,
32,chore: update deps,,chore: update deps,
33,feat: several improvements and minor fixes,,feat: several improvements and minor fixes,
34,feat: introduce swc support,,feat: introduce swc support,
35,chore(deps): update typescript-eslint monorepo to v5.59.9,,chore(deps): update typescript-eslint monorepo to v5.59.9,
36,chore(deps): update dependency release-it to v15.11.0,,chore(deps): update dependency release-it to v15.11.0,
37,chore(deps): update dependency eslint to v8.42.0,,chore(deps): update dependency eslint to v8.42.0,
38,chore(deps): update dependency release-it to v15.10.5,,chore(deps): update dependency release-it to v15.10.5,
39,chore(deps): update dependency @types/jest to v29.5.2,,chore(deps): update dependency @types/jest to v29.5.2,
40,chore(deps): update commitlint monorepo to v17.6.5,,chore(deps): update commitlint monorepo to v17.6.5,
41,chore(deps): update typescript-eslint monorepo to v5.59.8,,chore(deps): update typescript-eslint monorepo to v5.59.8,
42,chore(deps): update dependency @types/node to v18.16.16,,chore(deps): update dependency @types/node to v18.16.16,
43,chore(deps): update dependency @types/node to v18.16.15,,chore(deps): update dependency @types/node to v18.16.15,
44,chore(deps): update dependency ts-loader to v9.4.3,,chore(deps): update dependency ts-loader to v9.4.3,
45,chore: drop support for typescript < 4.8,,chore: drop support for typescript < 4.8,
46,chore(deps): update typescript-eslint monorepo to v5.59.7,,chore(deps): update typescript-eslint monorepo to v5.59.7,
47,chore(deps): update dependency @types/node to v18.16.14,,chore(deps): update dependency @types/node to v18.16.14,
48,chore(deps): update dependency eslint to v8.41.0,,chore(deps): update dependency eslint to v8.41.0,
