Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
chore(): release v10.0.2,0.8176216,chore(): update version (89ed3fc5),,1
ci: revert node version,0.9110414,ci: revert node version (e57dc06d),,1
feat: generate type imports for readonly visitors,0.9803505,feat: generate type imports for readonly visitors (c82cf93f),,1
chore: fix package lock,0.9449926,chore: fix package lock (96945e82),,1
chore(): release v10.0.1,0.81856555,chore(): update version (89ed3fc5),,1
chore: bump schematics version,0.95738816,chore: bump schematics version (9c357f6a),,1
fix: kill child process on exit (swc),0.95778906,fix: kill child process on exit (swc) (54ed8338),,1
chore(): release v10.0.0,0.8169892,chore(): update version (89ed3fc5),,1
chore: upgrade typescript,0.911127,chore: upgrade typescript (ced83986),,1
Merge pull request #2120 from nestjs/renovate/swc-monorepo,0.99334574,Merge pull request #2120 from nestjs/renovate/swc-monorepo (e21d4092),chore(deps): update dependency @swc/core to v1.3.64,1
Merge pull request #2118 from nestjs/renovate/webpack-5.x,0.9920558,Merge pull request #2118 from nestjs/renovate/webpack-5.x (c4383ef6),fix(deps): update dependency webpack to v5.87.0,1
chore(deps): update dependency @swc/core to v1.3.64,0.9793235,chore(deps): update dependency @swc/core to v1.3.64 (b5cb60c2),,1
Merge pull request #2117 from nestjs/10.0.0,0.9943352,Merge pull request #2117 from nestjs/10.0.0 (8bea8df2),chore: laying the grounds for v10.0.0,1
fix(deps): update dependency webpack to v5.87.0,0.9751369,fix(deps): update dependency webpack to v5.86.0 (625ad4e5),,1
Merge pull request #2107 from nestjs/feat/swc-support,0.9948,Merge pull request #2107 from nestjs/feat/swc-support (8ef1a60f),feat: introduce swc support,1
chore: resolve conflicts,0.93890613,chore: resolve conflicts (4feee801),,1
Merge pull request #2092 from nestjs/chore/drop-support-for-old-typescript,0.997198,Merge pull request #2092 from nestjs/chore/drop-support-for-old-typescript (1e607ce6),chore: drop support for typescript < 4.8,1
chore: laying the grounds for v10.0.0,0.9608319,chore: laying the grounds for v10.0.0 (864b6c0f),,1
Merge pull request #2116 from nestjs/renovate/angular-cli-monorepo,0.99446094,Merge pull request #2116 from nestjs/renovate/angular-cli-monorepo (ac84b51f),fix(deps): update angular-cli monorepo to v16.1.0,1
fix(deps): update angular-cli monorepo to v16.1.0,0.9935842,fix(deps): update angular-cli monorepo to v16.1.0 (90a55dc7),,1
chore(deps): update dependency @types/node to v18.16.18,0.99337316,chore(deps): update dependency @types/node to v18.16.18 (821b22bc),,1
chore(deps): update typescript-eslint monorepo to v5.59.11,0.9953239,chore(deps): update typescript-eslint monorepo to v5.59.5 (41b172a6),,1
Merge pull request #2113 from nestjs/renovate/node-18.x,0.99713826,Merge pull request #2113 from nestjs/renovate/node-18.x (009b63a1),chore(deps): update dependency @types/node to v18.16.17,1
chore(deps): update dependency @types/node to v18.16.17,0.992977,chore(deps): update dependency @types/node to v18.16.7 (3be4d92a),,1
Merge pull request #2095 from nestjs/renovate/webpack-5.x,0.9938648,Merge pull request #2095 from nestjs/renovate/webpack-5.x (d2b1a32a),fix(deps): update dependency webpack to v5.86.0,1
Merge pull request #2097 from nestjs/renovate/angular-cli-monorepo,0.99541837,Merge pull request #2097 from nestjs/renovate/angular-cli-monorepo (ab0feaa6),fix(deps): update angular-cli monorepo to v16.0.5,1
fix(deps): update dependency webpack to v5.86.0,0.9865407,fix(deps): update dependency webpack to v5.86.0 (625ad4e5),,1
fix(deps): update angular-cli monorepo to v16.0.5,0.99156654,fix(deps): update angular-cli monorepo to v16.0.5 (6b990861),,1
chore: use export default for metadata cache,0.95060927,chore: use export default for metadata cache (b59a8e55),,1
chore: fix typo,0.9436891,chore: fix typo (29af9838),,1
chore: update deps,0.9233366,chore: update deps (c08ecf2b),,1
feat: several improvements and minor fixes,0.8696457,feat: several improvements and minor fixes (c4b35590),,1
feat: introduce swc support,0.88781804,feat: introduce swc support (f958183d),,1
chore(deps): update typescript-eslint monorepo to v5.59.9,0.9946327,chore(deps): update typescript-eslint monorepo to v5.59.9 (3bc0f11d),,1
chore(deps): update dependency release-it to v15.11.0,0.98049885,chore(deps): update dependency release-it to v15.10.0 (07111244),,1
chore(deps): update dependency eslint to v8.42.0,0.9939034,chore(deps): update dependency eslint to v8.42.0 (45d118bc),,1
chore(deps): update dependency release-it to v15.10.5,0.9842472,chore(deps): update dependency release-it to v15.10.5 (47adc29b),,1
chore(deps): update dependency @types/jest to v29.5.2,0.9929265,chore(deps): update dependency @types/jest to v29.5.2 (b0e209b0),,1
chore(deps): update commitlint monorepo to v17.6.5,0.9934931,chore(deps): update commitlint monorepo to v17.6.0 (171831c8),,1
chore(deps): update typescript-eslint monorepo to v5.59.8,0.9945444,chore(deps): update typescript-eslint monorepo to v5.59.9 (3bc0f11d),,1
chore(deps): update dependency @types/node to v18.16.16,0.9934608,chore(deps): update dependency @types/node to v18.16.2 (a1728be8),,1
chore(deps): update dependency @types/node to v18.16.15,0.99388695,chore(deps): update dependency @types/node to v18.16.5 (3f7f6ba1),,1
chore(deps): update dependency ts-loader to v9.4.3,0.9927801,chore(deps): update dependency ts-loader to v9.4.3 (1bd29a7f),,1
chore: drop support for typescript < 4.8,0.99186337,chore: drop support for typescript < 4.8 (61648794),,1
chore(deps): update typescript-eslint monorepo to v5.59.7,0.99470073,chore(deps): update typescript-eslint monorepo to v5.59.9 (3bc0f11d),,1
chore(deps): update dependency @types/node to v18.16.14,0.9935374,chore(deps): update dependency @types/node to v18.16.2 (a1728be8),,1
chore(deps): update dependency eslint to v8.41.0,0.98881924,chore(deps): update dependency eslint to v8.41.0 (5e1ac451),,1
Merge pull request #2053 from nestjs/renovate/angular-cli-monorepo,0.99376225,Merge pull request #2053 from nestjs/renovate/angular-cli-monorepo (9cdfdcf3),fix(deps): update angular-cli monorepo to v16.0.2,1
Merge pull request #2084 from nestjs/renovate/nest-monorepo,0.9948633,Merge pull request #2084 from nestjs/renovate/nest-monorepo (2bdd9a78),fix(deps): update dependency @nestjs/schematics to v9.2.0,1
Merge pull request #2085 from nestjs/renovate/webpack-5.x,0.9959382,Merge pull request #2085 from nestjs/renovate/webpack-5.x (a1e42481),fix(deps): update dependency webpack to v5.83.1,1
chore(deps): update dependency @types/node to v18.16.13,0.99339974,chore(deps): update dependency @types/node to v18.16.5 (3f7f6ba1),,1
fix(deps): update dependency webpack to v5.83.1,0.980629,fix(deps): update dependency webpack to v5.82.1 (979aa379),,1
fix(deps): update dependency @nestjs/schematics to v9.2.0,0.98910105,fix(deps): update dependency @nestjs/schematics to v9.1.0 (1a6d9079),,1
fix(deps): update angular-cli monorepo to v16.0.2,0.99391735,fix(deps): update angular-cli monorepo to v16.0.2 (727a7f16),,1
chore(): release v9.5.0,0.84734845,chore(): update version (89ed3fc5),,1
Merge pull request #2054 from nestjs/renovate/webpack-5.x,0.9969329,Merge pull request #2054 from nestjs/renovate/webpack-5.x (2f939625),fix(deps): update dependency webpack to v5.82.1,1
Merge pull request #2062 from nestjs/renovate/cimg-node-20.x,0.9959801,Merge pull request #2062 from nestjs/renovate/cimg-node-20.x (007f878f),chore(deps): update node.js to v20.2,1
Merge pull request #2063 from nestjs/renovate/major-angular-cli-monorepo,0.9959425,Merge pull request #2063 from nestjs/renovate/major-angular-cli-monorepo (f459c81f),fix(deps): update angular-cli monorepo to v16 (major),1
Merge pull request #2083 from nestjs/dependabot/npm_and_yarn/vm2-3.9.19,0.9966972,Merge pull request #2083 from nestjs/dependabot/npm_and_yarn/vm2-3.9.19 (02954885),chore(deps): bump vm2 from 3.9.17 to 3.9.19,1
Merge pull request #2046 from micalevisk/file-system-reader-refactor,0.99333143,Merge pull request #2046 from micalevisk/file-system-reader-refactor (6597e8db),refactor: use native fs promise-based API instead of promisify & fix formatting,1
Merge pull request #2070 from m4tt72/feat/allow-disable-manual-restart-watchmode,0.99437594,Merge pull request #2070 from m4tt72/feat/allow-disable-manual-restart-watchmode (1bedd79d),feat: allow disabling manual restart for ts watchmode,1
chore(deps): bump vm2 from 3.9.17 to 3.9.19,0.98689723,chore(deps): bump vm2 from 3.9.16 to 3.9.17 (09df66f5),Bumps vm2 from 3.9.17 to 3.9.19. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: vm2   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com,1
chore(deps): update dependency @types/node to v18.16.12,0.99354804,chore(deps): update dependency @types/node to v18.16.4 (8efcc139),,1
chore(deps): update node.js to v20.2,0.98603165,chore(deps): update node.js to v20.2 (b161d7e1),,1
feat: set default value for 'manualRestart' to false,0.9628252,feat: set default value for 'manualRestart' to false (6e3e3976),,1
refactor: rename 'restartable' to 'manualRestart',0.98052704,refactor: rename 'restartable' to 'manualRestart' (8148e821),,1
chore(deps): update dependency @types/node to v18.16.10,0.994235,chore(deps): update dependency @types/node to v18.16.5 (3f7f6ba1),,1
chore(deps): update typescript-eslint monorepo to v5.59.6,0.99421775,chore(deps): update typescript-eslint monorepo to v5.59.9 (3bc0f11d),,1
Merge pull request #2068 from cesarkohl/patch-1,0.98126036,Merge pull request #2068 from cesarkohl/patch-1 (4aa52688),Remove duplicated type,1
chore(deps): update dependency @types/node to v18.16.9,0.9938203,chore(deps): update dependency @types/node to v18.16.7 (3be4d92a),,1
chore(deps): update dependency @types/node to v18.16.8,0.9948297,chore(deps): update dependency @types/node to v18.16.4 (8efcc139),,1
fix(deps): update angular-cli monorepo to v16,0.9913032,fix(deps): update angular-cli monorepo to v16 (0a70759d),,1
fix(deps): update dependency webpack to v5.82.1,0.9869493,fix(deps): update dependency webpack to v5.82.1 (979aa379),,1
chore(deps): update dependency @types/node to v18.16.7,0.9945685,chore(deps): update dependency @types/node to v18.16.5 (3f7f6ba1),,1
chore(deps): update dependency @types/node to v18.16.6,0.9941764,chore(deps): update dependency @types/node to v18.16.5 (3f7f6ba1),,1
chore(deps): update typescript-eslint monorepo to v5.59.5,0.99438673,chore(deps): update typescript-eslint monorepo to v5.59.9 (3bc0f11d),,1
feat: allow disabling manual restart for ts watchmode,0.97380817,feat: allow disabling manual restart for ts watchmode (9c231e37),,1
Remove duplicated type,0.895896,Remove duplicated type (15ae0527),Hey there :) There is this small thing I noticed.,1
chore(deps): update dependency eslint to v8.40.0,0.9916431,chore(deps): update dependency eslint to v8.40.0 (e7884673),,1
chore(deps): update dependency @types/node to v18.16.5,0.9942228,chore(deps): update dependency @types/node to v18.16.5 (3f7f6ba1),,1
chore(deps): update dependency @types/node to v18.16.4,0.993538,chore(deps): update dependency @types/node to v18.16.5 (3f7f6ba1),,1
chore(deps): update commitlint monorepo to v17.6.3,0.9938013,chore(deps): update commitlint monorepo to v17.6.0 (171831c8),,1
chore(deps): update dependency release-it to v15.10.3,0.9805819,chore(deps): update dependency release-it to v15.10.0 (07111244),,1
chore(deps): update typescript-eslint monorepo to v5.59.2,0.99453187,chore(deps): update typescript-eslint monorepo to v5.59.9 (3bc0f11d),,1
chore(deps): update dependency release-it to v15.10.2,0.9838225,chore(deps): update dependency release-it to v15.10.0 (07111244),,1
chore(deps): update dependency @types/node to v18.16.3,0.99460924,chore(deps): update dependency @types/node to v18.16.5 (3f7f6ba1),,1
chore(deps): update dependency @types/node to v18.16.2,0.9937042,chore(deps): update dependency @types/node to v18.16.2 (a1728be8),,1
chore(deps): update dependency lint-staged to v13.2.2,0.99226314,chore(deps): update dependency lint-staged to v13.2.1 (41a3842a),,1
chore(deps): update dependency @types/node to v18.16.1,0.9933098,chore(deps): update dependency @types/node to v18.16.5 (3f7f6ba1),,1
chore(deps): update typescript-eslint monorepo to v5.59.1,0.99462193,chore(deps): update typescript-eslint monorepo to v5.59.9 (3bc0f11d),,1
style: format everything,0.8306078,style: format everything (c1401594),,1
chore(): release v9.4.2,0.8453521,chore(): update version (89ed3fc5),,1
Merge pull request #2034 from nestjs/renovate/webpack-5.x,0.99391794,Merge pull request #2034 from nestjs/renovate/webpack-5.x (89769265),fix(deps): update dependency webpack to v5.80.0,1
Merge pull request #2037 from nestjs/dependabot/npm_and_yarn/vm2-3.9.17,0.99755013,Merge pull request #2037 from nestjs/dependabot/npm_and_yarn/vm2-3.9.17 (7d246cdc),chore(deps): bump vm2 from 3.9.16 to 3.9.17,1
Merge pull request #2035 from nestjs/renovate/cimg-node-20.x,0.9964851,Merge pull request #2035 from nestjs/renovate/cimg-node-20.x (89512e88),chore(deps): update node.js to v20,1
Merge pull request #2038 from nestjs/renovate/npm-vm2-vulnerability,0.9939071,Merge pull request #2038 from nestjs/renovate/npm-vm2-vulnerability (55e0ca49),chore(deps): update dependency vm2 to 3.9.17 [security],1
Merge pull request #2043 from micalevisk/fix/issue-2039,0.9927591,Merge pull request #2043 from micalevisk/fix/issue-2039 (430a5203),fix: load the entry file supplied via command-line option,1
Merge pull request #2042 from micalevisk/patch-1,0.99101436,Merge pull request #2042 from micalevisk/patch-1 (360c3ae9),perf(lib)!: prioritize 'nest-cli.json' file over all the others name patterns,1
perf(lib): prioritize 'nest-cli.json' file over all the others patterns,0.9833085,perf(lib): prioritize 'nest-cli.json' file over all the others patterns (ac68fa88),,1
test(lib): add unit tests for PackageManagerFactory.prototype.find,0.9497456,test(lib): add unit tests for PackageManagerFactory.prototype.find (f37bde89),,1
refactor(lib): use promise version of fs.readdir,0.96972907,refactor(lib): use promise version of fs.readdir (ea9cdf5d),,1
chore(deps): update dependency prettier to v2.8.8,0.9927517,chore(deps): update dependency prettier to v2.8.4 (4f3e19c5),,1
chore(deps): update dependency @types/node to v18.16.0,0.9932941,chore(deps): update dependency @types/node to v18.16.5 (3f7f6ba1),,1
refactor(lib): use canonical join instead of literal slash symbol,0.93505543,refactor(lib): use canonical join instead of literal slash symbol (dd5962e6),,1
refactor(lib): use fs promises node api instead of promisify it,0.9887451,refactor(lib): use fs promises node api instead of promisify it (19606fde),,1
fix: load the entry file supplied via command-line option,0.9579543,fix: load the entry file supplied via command-line option (24bb37b6),,1
chore(deps): update dependency eslint to v8.39.0,0.9925308,chore(deps): update dependency eslint to v8.39.0 (8b63cdea),,1
chore(deps): update dependency @types/node to v18.15.13,0.9942949,chore(deps): update dependency @types/node to v18.15.2 (041377eb),,1
chore(): release v9.4.1,0.8456659,chore(): update version (89ed3fc5),,1
fix: flat flag was always truthy,0.9182985,fix: flat flag was always truthy (994704ec),,1
chore(deps): update dependency vm2 to 3.9.17 [security],0.9830846,chore(deps): update dependency vm2 to 3.9.17 [security] (2feb22e6),,1
chore(deps): bump vm2 from 3.9.16 to 3.9.17,0.9934468,chore(deps): bump vm2 from 3.9.16 to 3.9.17 (09df66f5),Bumps vm2 from 3.9.16 to 3.9.17. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: vm2   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com,1
chore(deps): update dependency @types/node to v18.15.12,0.9945487,chore(deps): update dependency @types/node to v18.15.2 (041377eb),,1
chore(deps): update node.js to v20,0.9713414,chore(deps): update node.js to v20.2 (b161d7e1),,1
fix(deps): update dependency webpack to v5.80.0,0.98065567,fix(deps): update dependency webpack to v5.80.0 (f02fcdf1),,1
chore(deps): update dependency @types/jest to v29.5.1,0.9925019,chore(deps): update dependency @types/jest to v29.5.2 (b0e209b0),,1
chore(deps): update typescript-eslint monorepo to v5.59.0,0.9951854,chore(deps): update typescript-eslint monorepo to v5.59.9 (3bc0f11d),,1
chore(deps): update commitlint monorepo to v17.6.1,0.99389195,chore(deps): update commitlint monorepo to v17.6.0 (171831c8),,1
Merge pull request #1968 from hrkeni/spec-file-suffix,0.98598236,Merge pull request #1968 from hrkeni/spec-file-suffix (4781b7dd),feat: added new generate option to control spec file name,1
chore(deps): update commitlint monorepo to v17.6.0,0.99455744,chore(deps): update commitlint monorepo to v17.6.0 (171831c8),,1
chore(): release v9.4.0,0.84724534,chore(): update version (89ed3fc5),,1
Merge branch 'sheerlox-feat/manual-restart-watchmode',0.98213947,Merge branch 'sheerlox-feat/manual-restart-watchmode' (122a18f6),,1
chore: update manual restart tip message,0.9620263,chore: update manual restart tip message (1d0f8436),,1
Merge branch 'feat/manual-restart-watchmode' of link into sheerlox-feat/manual-restart-watchmode,0.99218434,Merge branch 'feat/manual-restart-watchmode' of link into sheerlox-feat/manual-restart-watchmode (4eeddcb6),,1
chore: update package-lock,0.9374002,chore: update package-lock (6560db4f),,1
Merge pull request #1952 from nestjs/renovate/rimraf-4.x,0.99142706,Merge pull request #1952 from nestjs/renovate/rimraf-4.x (6f4add2d),fix(deps): update dependency rimraf to v4.4.1,1
Merge pull request #2017 from nestjs/renovate/angular-cli-monorepo,0.9931593,Merge pull request #2017 from nestjs/renovate/angular-cli-monorepo (d566a19a),fix(deps): update angular-cli monorepo to v15.2.6,1
