Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
chore(@nestjs) publish v10.0.1 release,0.7802985,#11217 chore(deps): bump @nestjs/core from 9.0.1 to 9.0.5 in /sample/20-cache (@dependabot[bot]),,1
Merge pull request #11826 from regevbr/subscribe,0.39747253,#8504 chore(deps): update dependency subscriptions-transport-ws to v0.11.0 (@renovate[bot]),fix(microservices): migrate from deprecated kafka subscribe usage,0
fix(microservices): migrate from deprecated kafka subscribe usage,0.79525334,microservices: Kafka support #2361 ,,1
test: update integration tests,0.4247074,#9382 chore(deps-dev): bump @types/supertest from 2.0.11 to 2.0.12 (@dependabot[bot]),,0
chore: regenerate package lock,0.5624058,#8664 chore(deps): update dependency set-value to 2.0.1 [security] (@renovate[bot]),,0
Merge pull request #11808 from nestjs/dependabot/npm_and_yarn/nestjs/typeorm-10.0.0,0.7983693,#11344 fix(deps): update dependency @nestjs/typeorm to v9.0.1 (@renovate[bot]),chore(deps-dev): bump @nestjs/typeorm from 9.0.1 to 10.0.0,1
Merge pull request #11812 from nestjs/renovate/engine.io-client-6.x,0.6671115,https://github.com/nestjs/nest/pull/6141 fixes https://github.com/nestjs/nest/issues/5591 and https://github.com/nestjs/nest/issues/789,chore(deps): update dependency engine.io-client to v6.5.0,0
Merge pull request #11817 from nestjs/renovate/nestjs-graphql-12.x,0.7711996,#11774 fix(deps): update dependency @nestjs/graphql to v11.0.6 (@renovate[bot]),chore(deps): update dependency @nestjs/graphql to v12,1
Merge pull request #11823 from nestjs/renovate/npm-@apollo/server-vulnerability,0.7460964,#11726 fix(deps): update dependency @nestjs/apollo to v11.0.6 (@renovate[bot]),chore(deps): update dependency @apollo/server to v4.7.4 [security],1
Merge pull request #11824 from nestjs/renovate/nestjs-typeorm-10.x,0.7603699,#11344 fix(deps): update dependency @nestjs/typeorm to v9.0.1 (@renovate[bot]),chore(deps): update dependency @nestjs/typeorm to v10,1
chore(deps): update dependency @nestjs/graphql to v12,0.88202,#11308 chore(deps-dev): bump @nestjs/graphql from 11.0.0 to 11.0.4 (@dependabot[bot]),,1
chore(deps): update dependency engine.io-client to v6.5.0,0.7846911,#11063 chore(deps-dev): bump engine.io-client from 6.3.1 to 6.4.0 (@dependabot[bot]),,1
Merge pull request #11813 from nestjs/renovate/dotenv-16.x,0.6165455,https://github.com/nestjs/nest/pull/6141 fixes https://github.com/nestjs/nest/issues/5591 and https://github.com/nestjs/nest/issues/789,fix(deps): update dependency dotenv to v16.3.0,0
chore(deps): update dependency @apollo/server to v4.7.4 [security],0.8533634,#11745 chore(deps-dev): bump @apollo/server from 4.7.1 to 4.7.3 (@dependabot[bot]),,1
test: remove .only calls,0.4104077,testing: recursively trigger OnModuleDestroy hook for testing module #899 ,,0
Merge pull request #11822 from regevbr/file,0.42919767,#9240 feat(common): extend streamable-file header support (@davidschuette),fix(common): type errors in file validator implementations,0
Merge pull request #11816 from regevbr/kafka,0.55891645,#8495 chore(deps): update confluentinc/cp-kafka docker tag to v7 (@renovate[bot]),fix: kafka subscribe bad type - v10 regression,0
chore(deps): update dependency @nestjs/typeorm to v10,0.8918571,#10103 chore(deps-dev): bump @nestjs/typeorm from 9.0.0 to 9.0.1 (@dependabot[bot]),,1
fix(common): type errors in file validator implementations,0.7013915,#9718 Feature/4752 file validators pipe (@thiagomini),,1
fix: kafka subscribe bad type,0.6772375,#10982 fix: kafka rpc exception not resolved (@Inoir),,0
fix(deps): update dependency dotenv to v16.3.0,0.90609443,#11753 fix(deps): update dependency dotenv to v16.1.4 (@renovate[bot]),,1
chore(deps-dev): bump @nestjs/typeorm from 9.0.1 to 10.0.0,0.93171203,#10103 chore(deps-dev): bump @nestjs/typeorm from 9.0.0 to 9.0.1 (@dependabot[bot]),"Bumps @nestjs/typeorm from 9.0.1 to 10.0.0. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: ""@nestjs/typeorm""   dependency-type: direct:development   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com",1
sample: upgrade deps,0.49629763,Deps,,0
Merge pull request #11797 from nestjs/renovate/webpack-5.x,0.6771607,#11212 chore(deps): bump @nestjs/core from 9.0.1 to 9.0.5 in /sample/08-webpack (@dependabot[bot]),chore(deps): update dependency webpack to v5.87.0,0
chore(deps): update dependency webpack to v5.87.0,0.9046205,#8524 chore(deps): update dependency webpack to v5.62.1 (@renovate[bot]),,1
Merge pull request #11796 from nestjs/renovate/cache-manager-5.x-lockfile,0.6369116,common: fix CacheStore.get() return type https://github.com/nestjs/nest/pull/2967/commits/edc7bd0c6c9a164ba0bf956c2fd87d64d538cc8b,fix(deps): update dependency cache-manager to v5.2.3,0
chore(@nestjs) publish v10.0.0 release,0.7871289,#11217 chore(deps): bump @nestjs/core from 9.0.1 to 9.0.5 in /sample/20-cache (@dependabot[bot]),,1
"chore: update peer deps, package.json",0.59444046,#9051 chore(deps): update dependency bytes to v3.1.2 (@renovate[bot]),,0
fix(deps): update dependency cache-manager to v5.2.3,0.8370635,#11792 chore(deps-dev): bump cache-manager from 5.2.2 to 5.2.3 (@dependabot[bot]),,1
Merge pull request #11793 from nestjs/dependabot/npm_and_yarn/mongoose-7.3.0,0.71743727,#11342 fix(deps): update dependency @nestjs/mongoose to v9.2.2 (@renovate[bot]),chore(deps-dev): bump mongoose from 7.2.4 to 7.3.0,1
Merge pull request #11792 from nestjs/dependabot/npm_and_yarn/cache-manager-5.2.3,0.68104494,#11217 chore(deps): bump @nestjs/core from 9.0.1 to 9.0.5 in /sample/20-cache (@dependabot[bot]),chore(deps-dev): bump cache-manager from 5.2.2 to 5.2.3,0
Merge pull request #11794 from nestjs/dependabot/npm_and_yarn/ts-morph-19.0.0,0.6833515,#9123 chore(deps): update dependency @nestjs/schematics to v8.0.6 (@renovate[bot]),chore(deps-dev): bump ts-morph from 18.0.0 to 19.0.0,0
Merge pull request #11790 from nestjs/renovate/cimg-node-19.x,0.6579248,https://github.com/nestjs/nest/pull/6141 fixes https://github.com/nestjs/nest/issues/5591 and https://github.com/nestjs/nest/issues/789,chore(deps): update node.js to v19.9,0
