Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
chore(@nestjs) publish v10.0.1 release,0.7854269,11217 chore(deps): bump @nestjs/core from 9.0.1 to 9.0.5 in /sample/20-cache (@dependabot[bot]),,1
Merge pull request #11826 from regevbr/subscribe,0.38960633,8504 chore(deps): update dependency subscriptions-transport-ws to v0.11.0 (@renovate[bot]),fix(microservices): migrate from deprecated kafka subscribe usage,0
fix(microservices): migrate from deprecated kafka subscribe usage,0.79525334,microservices: Kafka support #2361 ,,1
test: update integration tests,0.42611822,9560 chore(deps-dev): bump supertest from 6.2.2 to 6.2.3 (@dependabot[bot]),,0
chore: regenerate package lock,0.57571465,8664 chore(deps): update dependency set-value to 2.0.1 [security] (@renovate[bot]),,0
Merge pull request #11808 from nestjs/dependabot/npm_and_yarn/nestjs/typeorm-10.0.0,0.792712,11344 fix(deps): update dependency @nestjs/typeorm to v9.0.1 (@renovate[bot]),chore(deps-dev): bump @nestjs/typeorm from 9.0.1 to 10.0.0,1
Merge pull request #11812 from nestjs/renovate/engine.io-client-6.x,0.6376907,9123 chore(deps): update dependency @nestjs/schematics to v8.0.6 (@renovate[bot]),chore(deps): update dependency engine.io-client to v6.5.0,0
Merge pull request #11817 from nestjs/renovate/nestjs-graphql-12.x,0.76691425,11774 fix(deps): update dependency @nestjs/graphql to v11.0.6 (@renovate[bot]),chore(deps): update dependency @nestjs/graphql to v12,1
Merge pull request #11823 from nestjs/renovate/npm-@apollo/server-vulnerability,0.7608714,11726 fix(deps): update dependency @nestjs/apollo to v11.0.6 (@renovate[bot]),chore(deps): update dependency @apollo/server to v4.7.4 [security],1
Merge pull request #11824 from nestjs/renovate/nestjs-typeorm-10.x,0.7600304,11344 fix(deps): update dependency @nestjs/typeorm to v9.0.1 (@renovate[bot]),chore(deps): update dependency @nestjs/typeorm to v10,1
chore(deps): update dependency @nestjs/graphql to v12,0.8695251,9216 chore(deps-dev): bump @nestjs/graphql from 10.0.2 to 10.0.3 (@dependabot[bot]),,1
chore(deps): update dependency engine.io-client to v6.5.0,0.7929491,8919 chore(deps): update dependency engine.io to 6.1.1 [security] (@renovate[bot]),,1
Merge pull request #11813 from nestjs/renovate/dotenv-16.x,0.6085324,11753 fix(deps): update dependency dotenv to v16.1.4 (@renovate[bot]),fix(deps): update dependency dotenv to v16.3.0,0
