Index,Message,Description,Message Abstract,Description Abstract
1,chore(deps): update dependency @types/node to v18.16.13,,chore(deps): update dependency @types/node to v18.16.13,
2,chore(deps): update dependency @types/node to v18.16.12,,chore(deps): update dependency @types/node to v18.16.12,
3,chore(deps): update nest monorepo to v9.4.1,,chore(deps): update nest monorepo to v9.4.1,
4,chore(deps): update dependency @types/node to v18.16.10,,chore(deps): update dependency @types/node to v18.16.10,
5,chore(deps): update typescript-eslint monorepo to v5.59.6,,chore(deps): update typescript-eslint monorepo to v5.59.6,
6,chore(deps): update dependency @types/node to v18.16.9,,chore(deps): update dependency @types/node to v18.16.9,
7,chore(deps): update dependency @types/node to v18.16.8,,chore(deps): update dependency @types/node to v18.16.8,
8,chore(deps): update dependency @types/node to v18.16.7,,chore(deps): update dependency @types/node to v18.16.7,
9,chore(deps): update dependency @types/node to v18.16.6,,chore(deps): update dependency @types/node to v18.16.6,
10,chore(deps): update typescript-eslint monorepo to v5.59.5,,chore(deps): update typescript-eslint monorepo to v5.59.5,
11,chore(deps): update dependency eslint to v8.40.0,,chore(deps): update dependency eslint to v8.40.0,
12,chore(deps): update dependency @types/node to v18.16.5,,chore(deps): update dependency @types/node to v18.16.5,
13,chore(deps): update dependency @types/node to v18.16.4,,chore(deps): update dependency @types/node to v18.16.4,
14,chore(deps): update commitlint monorepo to v17.6.3,,chore(deps): update commitlint monorepo to v17.6.3,
15,chore(deps): update dependency release-it to v15.10.3,,chore(deps): update dependency release-it to v15.10.3,
16,chore(deps): update typescript-eslint monorepo to v5.59.2,,chore(deps): update typescript-eslint monorepo to v5.59.2,
17,chore(deps): update dependency release-it to v15.10.2,,chore(deps): update dependency release-it to v15.10.2,
18,chore(deps): update dependency @types/node to v18.16.3,,chore(deps): update dependency @types/node to v18.16.3,
19,chore(deps): update dependency @types/node to v18.16.2,,chore(deps): update dependency @types/node to v18.16.2,
20,chore(deps): update dependency lint-staged to v13.2.2,,chore(deps): update dependency lint-staged to v13.2.2,
21,chore(deps): update dependency @types/node to v18.16.1,,chore(deps): update dependency @types/node to v18.16.1,
22,chore(deps): update typescript-eslint monorepo to v5.59.1,,chore(deps): update typescript-eslint monorepo to v5.59.1,
23,chore(deps): update dependency prettier to v2.8.8,,chore(deps): update dependency prettier to v2.8.8,
24,chore(deps): update dependency @types/node to v18.16.0,,chore(deps): update dependency @types/node to v18.16.0,
25,chore(deps): update dependency eslint to v8.39.0,,chore(deps): update dependency eslint to v8.39.0,
26,chore(deps): update dependency @types/node to v18.15.13,,chore(deps): update dependency @types/node to v18.15.13,
27,chore(deps): update dependency @types/node to v18.15.12,,chore(deps): update dependency @types/node to v18.15.12,
28,chore(deps): update dependency @types/jest to v29.5.1,,chore(deps): update dependency @types/jest to v29.5.1,
29,chore(deps): update typescript-eslint monorepo to v5.59.0,,chore(deps): update typescript-eslint monorepo to v5.59.0,
30,chore(deps): update commitlint monorepo to v17.6.1,,chore(deps): update commitlint monorepo to v17.6.1,
31,chore(deps): update dependency @types/lodash to v4.14.194,,chore(deps): update dependency @types/lodash to v4.14.194,
32,chore(deps): update dependency @fastify/static to v6.10.1,,chore(deps): update dependency @fastify/static to v6.10.1,
33,chore(deps): update commitlint monorepo to v17.6.0,,chore(deps): update commitlint monorepo to v17.6.0,
34,chore(deps): update typescript-eslint monorepo to v5.58.0,,chore(deps): update typescript-eslint monorepo to v5.58.0,
35,chore(deps): update dependency eslint to v8.38.0,,chore(deps): update dependency eslint to v8.38.0,
36,chore(deps): update dependency typescript to v5.0.4,,chore(deps): update dependency typescript to v5.0.4,
37,chore(deps): update dependency lint-staged to v13.2.1,,chore(deps): update dependency lint-staged to v13.2.1,
38,chore(deps): update nest monorepo to v9.4.0,,chore(deps): update nest monorepo to v9.4.0,
39,chore(deps): update typescript-eslint monorepo to v5.57.1,,chore(deps): update typescript-eslint monorepo to v5.57.1,
40,chore(deps): update dependency release-it to v15.10.1,,chore(deps): update dependency release-it to v15.10.1,
41,chore(deps): update dependency ts-jest to v29.1.0,,chore(deps): update dependency ts-jest to v29.1.0,
42,chore(deps): update dependency @fastify/static to v6.10.0,,chore(deps): update dependency @fastify/static to v6.10.0,
43,chore(deps): update dependency release-it to v15.10.0,,chore(deps): update dependency release-it to v15.10.0,
44,chore(): release v6.3.0,,chore(): release v6.3.0,
45,test: check ts version and compare diff output if v5,,test: check ts version and compare diff output if v5,
46,fix(plugin): hotfix ts version condition,,fix(plugin): hotfix ts version condition,
47,fix(plugin): hotfix ts version condition,,fix(plugin): hotfix ts version condition,
48,Merge pull request #2296 from bojovypstros/refactor-intersection,refactor: use Type instead of MappedType,Merge pull request #2296 from bojovypstros/refactor-intersection,refactor: use Type instead of MappedType
49,Merge pull request #2303 from Dracks/master,fix(core): error when using enum array on api-query,Merge pull request #2303 from Dracks/master,fix(core): error when using enum array on api-query
50,Merge pull request #2308 from nestjs/renovate/swagger-ui-dist-4.x,fix(deps): update dependency swagger-ui-dist to v4.18.2,Merge pull request #2308 from nestjs/renovate/swagger-ui-dist-4.x,fix(deps): update dependency swagger-ui-dist to v4.18.2
51,Merge pull request #2145 from timoklingenhoefer/master,fix(lib): fixed incorrect handling of @All decorator,Merge pull request #2145 from timoklingenhoefer/master,fix(lib): fixed incorrect handling of @All decorator
52,Merge pull request #2283 from nestjs/renovate/cimg-node-19.x,chore(deps): update node.js to v19.8,Merge pull request #2283 from nestjs/renovate/cimg-node-19.x,chore(deps): update node.js to v19.8
53,chore(deps): upgrade typescript,,chore(deps): upgrade typescript,
54,fix(deps): update dependency swagger-ui-dist to v4.18.2,,fix(deps): update dependency swagger-ui-dist to v4.18.2,
55,chore(deps): update dependency eslint to v8.37.0,,chore(deps): update dependency eslint to v8.37.0,
56,chore(deps): update dependency @types/node to v18.15.11,,chore(deps): update dependency @types/node to v18.15.11,
57,chore(deps): update dependency @commitlint/cli to v17.5.1,,chore(deps): update dependency @commitlint/cli to v17.5.1,
58,chore(deps): update typescript-eslint monorepo to v5.57.0,,chore(deps): update typescript-eslint monorepo to v5.57.0,
59,chore(deps): update dependency @types/lodash to v4.14.192,,chore(deps): update dependency @types/lodash to v4.14.192,
60,chore(deps): update dependency @types/node to v18.15.10,,chore(deps): update dependency @types/node to v18.15.10,
61,chore(deps): update dependency @types/node to v18.15.9,,chore(deps): update dependency @types/node to v18.15.9,
62,chore(deps): update dependency release-it to v15.9.3,,chore(deps): update dependency release-it to v15.9.3,
63,chore(deps): update dependency prettier to v2.8.7,,chore(deps): update dependency prettier to v2.8.7,
64,chore(deps): update dependency @types/node to v18.15.7,,chore(deps): update dependency @types/node to v18.15.7,
65,chore(deps): update dependency @types/node to v18.15.6,,chore(deps): update dependency @types/node to v18.15.6,
66,chore(deps): update dependency @commitlint/cli to v17.5.0,,chore(deps): update dependency @commitlint/cli to v17.5.0,
67,chore(deps): update nest monorepo to v9.3.12,,chore(deps): update nest monorepo to v9.3.12,
68,chore(deps): update nest monorepo to v9.3.11,,chore(deps): update nest monorepo to v9.3.11,
69,chore(deps): update dependency release-it to v15.9.1,,chore(deps): update dependency release-it to v15.9.1,
70,chore(deps): update dependency prettier to v2.8.6,,chore(deps): update dependency prettier to v2.8.6,
71,chore(deps): update dependency @types/node to v18.15.5,,chore(deps): update dependency @types/node to v18.15.5,
72,chore(deps): update dependency eslint-config-prettier to v8.8.0,,chore(deps): update dependency eslint-config-prettier to v8.8.0,
73,chore(deps): update typescript-eslint monorepo to v5.56.0,,chore(deps): update typescript-eslint monorepo to v5.56.0,
74,chore(deps): update node.js to v19.8,,chore(deps): update node.js to v19.8,
75,chore(deps): update dependency prettier to v2.8.5,,chore(deps): update dependency prettier to v2.8.5,
76,chore(deps): update dependency @types/jest to v29.5.0,,chore(deps): update dependency @types/jest to v29.5.0,
77,chore(deps): update dependency release-it to v15.9.0,,chore(deps): update dependency release-it to v15.9.0,
78,chore(deps): update dependency @types/jest to v29.4.4,,chore(deps): update dependency @types/jest to v29.4.4,
79,chore(deps): update nest monorepo to v9.3.10,,chore(deps): update nest monorepo to v9.3.10,
80,chore(deps): update dependency @types/jest to v29.4.2,,chore(deps): update dependency @types/jest to v29.4.2,
81,chore(deps): update dependency @types/node to v18.15.3,,chore(deps): update dependency @types/node to v18.15.3,
82,chore(deps): update typescript-eslint monorepo to v5.55.0,,chore(deps): update typescript-eslint monorepo to v5.55.0,
83,chore(deps): update dependency @types/node to v18.15.2,,chore(deps): update dependency @types/node to v18.15.2,
84,chore(deps): update dependency @types/jest to v29.4.1,,chore(deps): update dependency @types/jest to v29.4.1,
85,chore(deps): update dependency @types/node to v18.15.1,,chore(deps): update dependency @types/node to v18.15.1,
86,chore(deps): update dependency eslint to v8.36.0,,chore(deps): update dependency eslint to v8.36.0,
87,chore(deps): update dependency lint-staged to v13.2.0,,chore(deps): update dependency lint-staged to v13.2.0,
88,chore(deps): update dependency @types/node to v18.15.0,,chore(deps): update dependency @types/node to v18.15.0,
89,chore(deps): update dependency release-it to v15.8.0,,chore(deps): update dependency release-it to v15.8.0,
90,chore(deps): update typescript-eslint monorepo to v5.54.1,,chore(deps): update typescript-eslint monorepo to v5.54.1,
91,chore(deps): update dependency jest to v29.5.0,,chore(deps): update dependency jest to v29.5.0,
92,chore(deps): update dependency eslint-config-prettier to v8.7.0,,chore(deps): update dependency eslint-config-prettier to v8.7.0,
93,chore(deps): update dependency @types/node to v18.14.6,,chore(deps): update dependency @types/node to v18.14.6,
94,chore(deps): update dependency @types/node to v18.14.5,,chore(deps): update dependency @types/node to v18.14.5,
95,chore(deps): update dependency @types/node to v18.14.4,,chore(deps): update dependency @types/node to v18.14.4,
96,chore(deps): update dependency @types/node to v18.14.3,,chore(deps): update dependency @types/node to v18.14.3,
97,chore(deps): update dependency release-it to v15.7.0,,chore(deps): update dependency release-it to v15.7.0,
98,chore(deps): update dependency release-it to v15.6.1,,chore(deps): update dependency release-it to v15.6.1,
99,chore(deps): update typescript-eslint monorepo to v5.54.0,,chore(deps): update typescript-eslint monorepo to v5.54.0,
100,chore(deps): update dependency @types/node to v18.14.2,,chore(deps): update dependency @types/node to v18.14.2,
101,chore(deps): update dependency eslint to v8.35.0,,chore(deps): update dependency eslint to v8.35.0,
102,chore(deps): update dependency @types/node to v18.14.1,,chore(deps): update dependency @types/node to v18.14.1,
103,fix(core): error when using enum array on api-query,"When you add inside of a query parameter an array of enums, the project simply crashes",fix(core): error when using enum array on api-query,"When you add inside of a query parameter an array of enums, the project simply crashes"
104,chore(deps): update typescript-eslint monorepo to v5.53.0,,chore(deps): update typescript-eslint monorepo to v5.53.0,
105,chore(deps): update dependency @types/node to v18.14.0,,chore(deps): update dependency @types/node to v18.14.0,
106,chore(deps): update commitlint monorepo to v17.4.4,,chore(deps): update commitlint monorepo to v17.4.4,
107,chore(deps): update dependency jest to v29.4.3,,chore(deps): update dependency jest to v29.4.3,
108,refactor: use Type instead of MappedType,,refactor: use Type instead of MappedType,
109,chore(deps): update nest monorepo to v9.3.9,,chore(deps): update nest monorepo to v9.3.9,
110,chore(deps): update typescript-eslint monorepo to v5.52.0,,chore(deps): update typescript-eslint monorepo to v5.52.0,
111,chore(deps): update dependency lint-staged to v13.1.2,,chore(deps): update dependency lint-staged to v13.1.2,
112,chore(deps): update commitlint monorepo to v17.4.3,,chore(deps): update commitlint monorepo to v17.4.3,
113,chore(deps): update dependency eslint to v8.34.0,,chore(deps): update dependency eslint to v8.34.0,
114,chore(deps): update dependency @fastify/static to v6.9.0,,chore(deps): update dependency @fastify/static to v6.9.0,
115,chore(deps): update nest monorepo to v9.3.8,,chore(deps): update nest monorepo to v9.3.8,
116,chore(deps): update nest monorepo to v9.3.7,,chore(deps): update nest monorepo to v9.3.7,
117,chore(deps): update dependency prettier to v2.8.4,,chore(deps): update dependency prettier to v2.8.4,
118,chore(deps): update dependency @types/node to v18.13.0,,chore(deps): update dependency @types/node to v18.13.0,
119,chore(deps): update nest monorepo to v9.3.5,,chore(deps): update nest monorepo to v9.3.5,
120,chore(deps): update dependency jest to v29.4.2,,chore(deps): update dependency jest to v29.4.2,
121,chore(deps): update dependency lint-staged to v13.1.1,,chore(deps): update dependency lint-staged to v13.1.1,
122,Merge branch 'master' into master,,Merge branch 'master' into master,
123,chore(deps): update typescript-eslint monorepo to v5.51.0,,chore(deps): update typescript-eslint monorepo to v5.51.0,
124,chore(deps): update nest monorepo to v9.3.3,,chore(deps): update nest monorepo to v9.3.3,
125,chore(): release v6.2.1,,chore(): release v6.2.1,
126,Merge pull request #2276 from urugator/patch-1,fix: ApiResponseSchemaHost.status range support,Merge pull request #2276 from urugator/patch-1,fix: ApiResponseSchemaHost.status range support
127,Merge pull request #2273 from jcolladosp/feature/json-yaml-custom-endpoint,feat(swagger): JSON and YAML document endpoints customizable,Merge pull request #2273 from jcolladosp/feature/json-yaml-custom-endpoint,feat(swagger): JSON and YAML document endpoints customizable
128,fix: ApiResponseSchemaHost.status range support,,fix: ApiResponseSchemaHost.status range support,
129,refactor: serveDocument now uses an options object,,refactor: serveDocument now uses an options object,
130,chore(): release v6.2.0,,chore(): release v6.2.0,
131,Merge pull request #2275 from nestjs/renovate/nestjs-mapped-types-1.x,fix(deps): update dependency @nestjs/mapped-types to v1.2.2,Merge pull request #2275 from nestjs/renovate/nestjs-mapped-types-1.x,fix(deps): update dependency @nestjs/mapped-types to v1.2.2
132,Merge pull request #2274 from nestjs/revert-1949-1711-operation-ids-with-version,"Revert ""feat(swagger): Provide URI version to operationIdFactory""",Merge pull request #2274 from nestjs/revert-1949-1711-operation-ids-with-version,"Revert ""feat(swagger): Provide URI version to operationIdFactory"""
133,fix(deps): update dependency @nestjs/mapped-types to v1.2.2,,fix(deps): update dependency @nestjs/mapped-types to v1.2.2,
134,Merge pull request #2176 from CodyTseng/feat-global-paramters,feat: support adding global parameters,Merge pull request #2176 from CodyTseng/feat-global-paramters,feat: support adding global parameters
135,"Revert ""feat(swagger): Provide URI version to operationIdFactory""",,"Revert ""feat(swagger): Provide URI version to operationIdFactory""",
