Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
chore(deps): update nest monorepo to v10.0.1,0.9691272,chore(deps): update nest monorepo to v9.0.9 (20aa5ca),,1
chore(deps): update dependency eslint to v8.43.0,0.9884764,chore(deps): update dependency eslint to v8.40.0 (527d593),,1
chore(): release v10.0.0,0.80718386,chore(): resolved conflits (9380942),,1
"chore: update package lock, fix husky scripts",0.97752154,"chore: update package lock, fix husky scripts (4055b29)",,1
ci: update config.yml,0.8432293,ci: update config.yml (cab7471),,1
Merge pull request #1673 from nestjs/renovate/major-nest-monorepo,0.9962273,Merge pull request #1673 from nestjs/renovate/major-nest-monorepo (1c1ad2f),chore(deps): update nest monorepo to v10 (major),1
chore(deps): update nest monorepo to v10,0.9738919,chore(deps): update nest monorepo to v10 (3d171d1),,1
Merge pull request #1670 from nestjs/10.0.0,0.99565333,Merge pull request #1670 from nestjs/10.0.0 (f9da8c8),chore: laying the grounds for v10.0.0,1
chore(deps): update typescript-eslint monorepo to v5.59.11,0.9962772,chore(deps): update typescript-eslint monorepo to v5.59.7 (3642cf2),,1
chore: laying the grounds for v10.0.0,0.8458431,chore: laying the grounds for v10.0.0 (bfae2ab),,1
Merge pull request #1669 from nestjs/renovate/nest-monorepo,0.99507314,Merge pull request #1669 from nestjs/renovate/nest-monorepo (3d9db94),chore(deps): update nest monorepo to v9.4.3,1
chore(deps): update nest monorepo to v9.4.3,0.9912967,chore(deps): update nest monorepo to v9.4.3 (138dabf),,1
Merge pull request #1668 from nestjs/renovate/node-18.x,0.9960909,Merge pull request #1668 from nestjs/renovate/node-18.x (b1e6a3c),chore(deps): update dependency @types/node to v18.16.18,1
chore(deps): update dependency @types/node to v18.16.18,0.99476445,chore(deps): update dependency @types/node to v18.16.12 (36d9baf),,1
Merge pull request #1667 from nestjs/renovate/cimg-node-20.x,0.9948906,Merge pull request #1667 from nestjs/renovate/cimg-node-20.x (ed40779),chore(deps): update node.js to v20.3,1
chore(deps): update node.js to v20.3,0.98882574,chore(deps): update node.js to v20.3 (050c316),,1
chore(deps): update dependency @types/uuid to v9.0.2,0.9921092,chore(deps): update dependency @types/uuid to v9.0.1 (b6b1dc9),,1
chore(deps): update typescript-eslint monorepo to v5.59.9,0.99497724,chore(deps): update typescript-eslint monorepo to v5.59.7 (3642cf2),,1
chore(deps): update dependency release-it to v15.11.0,0.9795018,chore(deps): update dependency release-it to v15.10.0 (f4c3b6f),,1
chore(deps): update dependency eslint to v8.42.0,0.99293053,chore(deps): update dependency eslint to v8.42.0 (456a437),,1
chore(deps): update dependency release-it to v15.10.5,0.98473465,chore(deps): update dependency release-it to v15.10.3 (5da5365),,1
chore(deps): update dependency typescript to v5.1.3,0.98101556,chore(deps): update dependency typescript to v5.0.4 (3ca178c),,1
chore(deps): update dependency @types/jest to v29.5.2,0.9916126,chore(deps): update dependency @types/jest to v29.5.2 (d291b64),,1
chore(deps): update commitlint monorepo to v17.6.5,0.99430424,chore(deps): update commitlint monorepo to v17.6.3 (2fd9a77),,1
chore(deps): update typescript-eslint monorepo to v5.59.8,0.99530613,chore(deps): update typescript-eslint monorepo to v5.59.7 (3642cf2),,1
chore(deps): update dependency @types/node to v18.16.16,0.99378705,chore(deps): update dependency @types/node to v18.16.12 (36d9baf),,1
chore(deps): update dependency @types/node to v18.16.15,0.9948081,chore(deps): update dependency @types/node to v18.16.12 (36d9baf),,1
chore(deps): update nest monorepo to v9.4.2,0.99203897,chore(deps): update nest monorepo to v9.4.2 (5cc10f6),,1
chore(deps): update typescript-eslint monorepo to v5.59.7,0.9952768,chore(deps): update typescript-eslint monorepo to v5.59.7 (3642cf2),,1
Merge pull request #1651 from nestjs/dependabot/npm_and_yarn/vm2-3.9.19,0.9977821,Merge pull request #1651 from nestjs/dependabot/npm_and_yarn/vm2-3.9.19 (5dbe4f8),chore(deps): bump vm2 from 3.9.17 to 3.9.19,1
chore(deps): update dependency @types/node to v18.16.14,0.9949599,chore(deps): update dependency @types/node to v18.16.12 (36d9baf),,1
chore(deps): bump vm2 from 3.9.17 to 3.9.19,0.9695538,chore(deps): bump vm2 from 3.9.17 to 3.9.19 (cb83c26),Bumps vm2 from 3.9.17 to 3.9.19. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: vm2   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com,1
chore(deps): update dependency eslint to v8.41.0,0.9924996,chore(deps): update dependency eslint to v8.41.0 (2654e19),,1
Merge pull request #1617 from nestjs/dependabot/npm_and_yarn/vm2-3.9.17,0.99327195,Merge pull request #1617 from nestjs/dependabot/npm_and_yarn/vm2-3.9.17 (fdb6b2e),chore(deps): bump vm2 from 3.9.11 to 3.9.17,1
Merge pull request #1642 from nestjs/renovate/postgres-15.x,0.995911,Merge pull request #1642 from nestjs/renovate/postgres-15.x (774ee0a),chore(deps): update postgres docker tag to v15.3,1
Merge pull request #1615 from nestjs/renovate/cimg-node-20.x,0.996516,Merge pull request #1615 from nestjs/renovate/cimg-node-20.x (c5b7d90),chore(deps): update node.js to v20,1
chore(deps): update dependency @types/node to v18.16.13,0.9948428,chore(deps): update dependency @types/node to v18.16.12 (36d9baf),,1
chore(deps): update dependency @types/node to v18.16.12,0.99576783,chore(deps): update dependency @types/node to v18.16.12 (36d9baf),,1
chore(deps): update node.js to v20,0.977888,chore(deps): update node.js to v20 (7271048),,1
