Index,Message,Description,Message Abstract,Description Abstract
1,ColorGradientFilter - Make alpha and maxColors optional when using CSS (#382),,ColorGradientFilter - Make alpha and maxColors optional when using CSS (#382),
2,Fix types for getters/setters in HslAdjustmentFilter (#383),,Fix types for getters/setters in HslAdjustmentFilter (#383),
3,v5.2.1,,v5.2.1,
4,Fix getter and setter alpha type in GlowFilter (#380),,Fix getter and setter alpha type in GlowFilter (#380),
5,v5.2.0,,v5.2.0,
6,HslAdjustmentFilter: Update calculations of saturation and lightness (#378),,HslAdjustmentFilter: Update calculations of saturation and lightness (#378),
7,Use offset for DropShadowFilter instead of rotation/distance (#377),,Use offset for DropShadowFilter instead of rotation/distance (#377),
8,Add more complete docs for HslAdjustmentFilter (#375),Co-authored-by: Viktor Persson vikpe@users.noreply.github.com,Add more complete docs for HslAdjustmentFilter (#375),Co-authored-by: Viktor Persson vikpe@users.noreply.github.com
9,Convert TiltShiftFilter constructor arguments to options (#376),,Convert TiltShiftFilter constructor arguments to options (#376),
10,Disallow warning with linting (#374),,Disallow warning with linting (#374),
11,Fix lint warnings in demo application (#373),,Fix lint warnings in demo application (#373),
12,Add knockout setting to OutlineFilter (#372),,Add knockout setting to OutlineFilter (#372),
13,"Fix actions deprecations, auto-deploy bundle files (#371)",,"Fix actions deprecations, auto-deploy bundle files (#371)",
14,Add HSL adjustment filter to readme (#370),,Add HSL adjustment filter to readme (#370),
15,Add ColorGradientFilter (#362),,Add ColorGradientFilter (#362),
16,Add HslAdjustmentFilter (#369),,Add HslAdjustmentFilter (#369),
17,Chore: Readme cleanup (#368),,Chore: Readme cleanup (#368),
18,Touch readme.,(to trigger CI),Touch readme.,(to trigger CI)
19,Chore: Readme cleanup [skip ci],Fix badge links and format filter demo links.,Chore: Readme cleanup [skip ci],Fix badge links and format filter demo links.
20,Chore: Update dependencies (#367),,Chore: Update dependencies (#367),
21,v5.1.1,,v5.1.1,
22,Bump json5 from 2.2.1 to 2.2.3 (#366),Bumps json5 from 2.2.1 to 2.2.3. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: json5   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,Bump json5 from 2.2.1 to 2.2.3 (#366),Bumps json5 from 2.2.1 to 2.2.3. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: json5   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
23,"Fix flipped characters in AsciiFilter, improved sample color (#364)",,"Fix flipped characters in AsciiFilter, improved sample color (#364)",
24,Output a browser module bundle (#365),,Output a browser module bundle (#365),
25,Chore: Allow configuring filter target per filter in screenshot renderer (#363),,Chore: Allow configuring filter target per filter in screenshot renderer (#363),
26,Chore: Allow using query string to enable filters in the demo application (#361),,Chore: Allow using query string to enable filters in the demo application (#361),
27,v5.1.0,,v5.1.0,
28,Chore: Add a green fish to demo application (#358),,Chore: Add a green fish to demo application (#358),
29,Add alpha setting to GlowFilter (#359),,Add alpha setting to GlowFilter (#359),
30,Chore: Use cross-platform friendly open (#360),,Chore: Use cross-platform friendly open (#360),
31,"Chore: Update README typos, missing GrayscaleFilter (#357)",,"Chore: Update README typos, missing GrayscaleFilter (#357)",
32,Add GrayscaleFilter (#356),,Add GrayscaleFilter (#356),
33,Add grayscale setting to DotFilter (#354),,Add grayscale setting to DotFilter (#354),
34,Add alpha setting to OutlineFilter (#353),,Add alpha setting to OutlineFilter (#353),
35,Unblock Actions (#355),Related: https://github.com/pixijs/pixijs/pull/8953,Unblock Actions (#355),Related: link
36,Bump decode-uri-component from 0.2.0 to 0.2.2,Bumps decode-uri-component from 0.2.0 to 0.2.2. - Release notes - Commits  updated-dependencies: - dependency-name: decode-uri-component   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com,Bump decode-uri-component from 0.2.0 to 0.2.2,Bumps decode-uri-component from 0.2.0 to 0.2.2. - Release notes - Commits updated-dependencies: - dependency-name: decode-uri-component   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com
37,v5.0.0,,v5.0.0,
38,Allow publishing,,Allow publishing,
39,Update README.md,,Update README.md,
40,Remove old unused packages,,Remove old unused packages,
41,Remove minimist,,Remove minimist,
42,Remove browser bundles for individual packages,,Remove browser bundles for individual packages,
43,Lessen the dependency on Lerna,,Lessen the dependency on Lerna,
44,"Update TypeScript, API-Extractor, and linting",,"Update TypeScript, API-Extractor, and linting",
45,Remove global namespace from docs,,Remove global namespace from docs,
46,Updated readme for pixi-filters,,Updated readme for pixi-filters,
47,Upgrade demo,,Upgrade demo,
48,Convert source to v7,,Convert source to v7,
49,Restrict demo to v6.x,,Restrict demo to v6.x,
50,Update all filters links to their own docs (#342),,Update all filters links to their own docs (#342),
51,v4.2.0,,v4.2.0,
52,Fix type annotation for TwistFilter (#340),,Fix type annotation for TwistFilter (#340),
53,Add new exports format for Node.js (#337),,Add new exports format for Node.js (#337),
54,Fix package name in README.md (#338),,Fix package name in README.md (#338),
55,Fix README.md for CRTFilter (#336),,Fix README.md for CRTFilter (#336),
56,v4.1.6,,v4.1.6,
57,Bump trim-off-newlines from 1.0.1 to 1.0.3 (#319),Bumps trim-off-newlines from 1.0.1 to 1.0.3. - Release notes - Commits  updated-dependencies: - dependency-name: trim-off-newlines   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com Co-authored-by: Matt Karl matt@mattkarl.com,Bump trim-off-newlines from 1.0.1 to 1.0.3 (#319),Bumps trim-off-newlines from 1.0.1 to 1.0.3. - Release notes - Commits updated-dependencies: - dependency-name: trim-off-newlines   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com Co-authored-by: Matt Karl matt@mattkarl.com
