Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
1,Fix drop shadow filter shift (#204),0.9999999,Fix drop shadow filter shift (#204),,1
2,Chore: Use cross-platform friendly open (#360),0.86101204,Chore: Use cross-platform friendly open (#360) @vikpe ,,1
3,Convert clear to clearModes to be compatible with 5.3.0+ (#252),1.0000001,Convert clear to clearModes to be compatible with 5.3.0+ (#252),,1
4,Add CDNJS version badge in README.md (#15),0.997869,Add CDNJS version badge in README.md #15,,1
5,Moves filters/all to bundle (#90),0.98589647,Moves filters/all to bundle #90,,1
6,Add RadialBlurFilter (#109),0.952067,Adds new RadialBlurFilter #109 ,,1
7,Change the CDN (jsdelivr) for static files (#127),0.98510766,Change the CDN to jsdelivr for static files #127,,1
8,"Fixes documentation, add links to npm modules",0.5476488,Re-published to NPM with bin folder,Co-authored-by: Viktor Persson vikpe@users.noreply.github.com,0
9,Adds BevelFilter (#148),0.9937598,Adds BevelFilter #148 ,,1
10,BugFix: In RGBSplitFilter blue doesn't moves fixed (#18),0.78463835,RGBSplitFilter blue value works now #18,,1
11,Mixed pixelate public,0.47674847,Uses more legible color in demo for enabled filter titles (01701ab),,0
12,"Don't minify all, fixed repeating displacement map texture",0.4552691,Add auto-padding based on the outline thickness (#258) @bigtimebuddy ,,0
13,Fixes #271,0.6058419,🐛 Fixed,,0
14,AdvancedBloomFilter to use KawaseBlurFilter (#131),0.8525137,AdvancedBloomFilter uses KawaseBlurFilter instead of Gaussian BlurFilter #131,,1
15,Fix bug : #107 (#126),0.69697225,:bug: Fixed,,0
16,Add alpha property to ColorOverlayFilter (#287),0.9396807,Add alpha property to ColorOverlayFilter (#287) @gregmax17,,1
17,Updated dependencies,0.72616935,Update Dependencies & Build Tooling (#181),,1
18,v5.0.0,0.65124357,Drop support for v4 (#195),(to trigger CI),0
19,Made properties in DropShadowFilterOptions optional to match docs (#178),1.0000002,Made properties in DropShadowFilterOptions optional to match docs (#178),Fix badge links and format filter demo links.,1
20,Remove publishing hacks and Lerna anti-patterns (#309),0.9198844,Remove publishing hacks and Lerna anti-patterns (#309) @bigtimebuddy ,,1
21,Add alpha support to Godray filter (#263),0.89017826,Add alpha support to Godray filter (#263) @jrod-disco,,1
22,Auto-generate screenshot previews (#36),0.9948673,Auto-generate screenshot previews #36,Bumps json5 from 2.2.1 to 2.2.3. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: json5   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
23,Add HSL adjustment filter to readme (#370),0.626602,"Add HslAdjustmentFilter (#369, #370, #375, #378) @vikpe ",,0
24,Update README.md,0.6415075,Add CDNJS version badge in README.md #15,,0
25,"Fixes #230, add default padding for BevelFilter to correctly apply to rectangles",0.85337055,Add default padding of 1 for BevelFilter to correctly apply to rectangles (4fe80dc) @bigtimebuddy ,,1
26,Bump js-yaml from 3.12.2 to 3.13.1 (#228),0.7398405,Bump json5 from 2.2.1 to 2.2.3 (#366) @dependabot ,,1
27,Add CRTFilter (#123),0.9753485,Adds CRTFilter #123,,1
28,Better Examples (#26),0.6677015,Improved the examples demo #26,,0
29,Visually show enabled filters when collapsed,0.6514978,Fix glitch filter for win7 d3d (#207),,0
30,added uglifyify to dev dependancies,0.4726382,Removes v4 deprecations,,0
31,Fixed filters layout,0.6884476,Change the order of filters & fix typo #106 ,,0
32,"Updates all dependencies, fixes colormap for v5 (#150)",0.66634774,Updates ColorMapFilter to support alpha (#182),,0
33,1.0.5,0.5107073,https://github.com/pixijs/pixi-filters/compare/v4.1.5...v4.1.6,,0
34,Update README.md (#154),0.59395826,Add CDNJS version badge in README.md #15,,0
35,Remove unnecessary if in drop shadow frag shader (#223),0.9982096,Remove unncessary if in drop shadow frag shader (#223),Related: https://github.com/pixijs/pixijs/pull/8953,1
36,Revert from-git to from-package,0.5306098,Updates Github Actions dependencies,Bumps decode-uri-component from 0.2.0 to 0.2.2. - Release notes - Commits  updated-dependencies: - dependency-name: decode-uri-component   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com,0
37,Adds auto-padding to KawaseBlurFilter (#275),0.937204,Adds auto-padding to KawaseBlurFilter (#275) @LiamMartens,,1
38,Adds new GodrayFilter (#40),0.73990667,Adds new GodrayFilter which produces an effect which is similar to light coming through clouds @pixi/filter-godray #40,,1
39,Add logging for publish use from-git,0.58949965,Testing preprelease publishing with GitHub Actions.,,0
40,Adds pause and play buttons to demo,0.83561486,Adds pause/resume buttons to demo fb491da,,1
41,Adds postversion fix,0.5414809,Update Dependencies & Build Tooling (#181),,0
42,Support PIXI.filters namespace (#250),1.0000002,Support PIXI.filters namespace (#250),,1
43,Fixes performance/display issues with DropShadowFilter,0.852728,Minor performance improvements to DropShadowFilter #101,,1
44,Add deployment script,0.43802792,"Fix actions deprecations, auto-deploy bundle files (#371) @bigtimebuddy ",,0
45,Fixed link and docs issue,0.57747024,Fix link in documentation for ConvolutionFilter (e13ff66) @bigtimebuddy ,,0
46,Change repo name from pixi-filters to filters,0.9835633,Changed the repo name from pixi-filters to filters,,1
47,Fixed package names,0.6404444,Fix package name in README.md (#338) @akiomik ,,0
48,Publish exact version of dependencies (#247),1.0,Publish exact version of dependencies (#247),,1
49,Chore: Allow using query string to enable filters in the demo application (#361),0.8817985,Chore: Allow using query string to enable filters in the demo application (#361) @vikpe ,,1
