Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
v7.1.0,0.7047336,v2.0.0 🎉,,1
Fix typo in Text.mdx (#434),0.56364304,Fix typo in Text.mdx by @PabloLION in https://github.com/pixijs/pixi-react/pull/434,"VSCode API docs says fontWeight should be type TextStyleFontWeight = ""bold"" | ""normal"" | ""bolder"" | ""lighter"" | ""100"" | ""200"" | ""300"" | ""400"" | ""500"" | ""600"" | ""700"" | ""800"" | ""900""",0
Expose root to injected components (#433),0.7679929,Expose root to injected components by @lunarraid in https://github.com/pixijs/pixi-react/pull/433,  Expose root to injected components   Change node version to see if it resolves github action issue    Co-authored-by: Zyie 24736175+Zyie@users.noreply.github.com,1
Update index.js (#430),0.4741938,Update npm modules,Fix support for canvas renderer,0
chore: cleanup files,0.28872463,Helper utilities,,0
Try a GH action instead of circle (#431),0.6104401,Try a GH action instead of circle by @baseten in https://github.com/pixijs/pixi-react/pull/431,  try a GH action instead of circle   no silent   add test:ci command   delete circle actions    Co-authored-by: Alex Prokop alex.prokop@play.co,0
Add AppProvider usage description in hooks docs (#420),0.7611401,Add AppProvider usage description in hooks docs by @AndreasWintherMoen in https://github.com/pixijs/pixi-react/pull/420,  Add AppProvider usage description in hooks docs   Make description of custom AppProvider usage more accurate ,1
v7.0.3,0.69667107,v2.0.0 🎉,,0
Fixed an issue with the insertBefore method that was causing children of a container to sometimes be in an indeterminate order after re-ordering. (#423),0.41080812,The type definition wrapping Container works better.,,0
"Revert ""Modular Packages (#407)""",0.41987973,Remove docz ready for release by @baseten in https://github.com/pixijs/pixi-react/pull/360,This reverts commit f277550733249cca6ba75219c62facc2af7c5976.,0
Modular Packages (#407),0.5290647,Modular Packages by @baseten in https://github.com/pixijs/pixi-react/pull/407,  rollup config tweaks   package tweaks   clean up animated package   split out invariant util into its own package   split out react-components package   split out react-reconciler into react-fiber package   add react-modular package to wire everything together   update main pixi-react package to be a wrapper for other modules   codesandbox ci tweaks    Co-authored-by: Alex Prokop alex.prokop@play.co,0
update to the readme (#415),0.66620743,Update README and docs,,0
v7.0.2,0.7036623,v2.0.0 🎉,,1
Fix typings for sprite with children (#409),0.77863723,Fix typings for sprite with children by @Hogar in https://github.com/pixijs/pixi-react/pull/409,"  Fix typings for sprite with children   Revert ""Fix typings for sprite with children""   This reverts commit 4f536c5660cc3a6a9f66b47b239192b24cddc5e9.   Fix typings for Sprite by using PropsWithChildren type   Fix typings for ParticleContainer by using PropsWithChildren type    Co-authored-by: Igor.korol Igor.korol@stark.games",1
Add working ci.json contents,0.44088948,Do not create builds on CI,,0
Fix createRoot typings (#404),0.6339445,Fix createRoot typings by @Ledzz in https://github.com/pixijs/pixi-react/pull/404,,0
Add codesandbox ci config (#406),0.6157953,Add codesandbox ci config by @baseten in https://github.com/pixijs/pixi-react/pull/406,  add starter codesandbox/ci.json   add contents    Co-authored-by: Alex Prokop alex.prokop@play.co,0
add starter codesandbox/ci.json (#405),0.5790144,Add codesandbox ci config by @baseten in https://github.com/pixijs/pixi-react/pull/406,Co-authored-by: Alex Prokop alex.prokop@play.co,0
Fix heading hierarchy,0.31185946,Unmount native sub children,,0
Update about docs to match README,0.86620766,Update README and docs,,1
v7.0.1,0.6976538,v2.0.0 🎉,,0
add check for master branch prerelease script (#400),0.5962837,Add check for master branch prerelease script by @baseten in https://github.com/pixijs/pixi-react/pull/400,Co-authored-by: Alex Prokop alex.prokop@play.co,0
Fix Container TS types bug (#401),0.7602614,Fix Container TS types bug by @baseten in https://github.com/pixijs/pixi-react/pull/401,Co-authored-by: Alex Prokop alex.prokop@play.co,1
fix discord link,0.28596807,CDN Links,,0
update package.lock,0.42010605,Update modules,,0
fix borked versions (#397),0.484846,Fix borked versions by @baseten in https://github.com/pixijs/pixi-react/pull/397,Co-authored-by: Alex Prokop alex.prokop@play.co,0
Update About.mdx to match README announcement message,0.6126555,Update README and docs,,0
Fix Docs (#395),0.6881998,Update docs,  switch doc.yml to node 18   try clearing docusaurus cache   add verbose flag   try skipping nx cache    upgrade docusaurus    install ci with legacy-peer-deps   revert cache clearing    Co-authored-by: Alex Prokop alex.prokop@play.co,0
Fix more links,0.35331577,CDN Links,,0
Fix links,0.4110995,CDN Links,,0
Launch V7 (#394),0.5594656,v2.0.0 🎉,  add React 18 CRA sandbox for better testing   Fix quick start example in README   add workaround for React 18 strict mode causing loss of WebGL context    add README for animated package   remove reference to legacy packages in react-spring docs  add symlink to monorepo root README in packages/react   tweak sandbox index.html   Add announcement to README   switch symlink direction   fix linting   Tweak package.json   remove sandbox test command    Co-authored-by: Alex Prokop alex.prokop@play.co,0
add release action (#393),0.47257227,Add GH release action by @baseten in https://github.com/pixijs/pixi-react/pull/393,Co-authored-by: Alex Prokop alex.prokop@play.co,0
Update README.md (#376),0.7062634,Update README and docs,  Update README.md   Update README.md ,1
Add createRoot API (#392),0.622608,Add createRoot API by @baseten in https://github.com/pixijs/pixi-react/pull/392,  add createRoot api   Update docs with createRoot API    Co-authored-by: Alex Prokop alex.prokop@play.co,0
Update docs link,0.78235096,Update docs,,1
Fix typos,0.51788396,Errors,,0
v7.0.0-alpha.2,0.68825537,v2.0.0 🎉,,0
Replace pixi-react PIXI package import with scoped packages (#391),0.8685268,Replace pixi-react PIXI package import with scoped packages by @baseten in https://github.com/pixijs/pixi-react/pull/391,"  switch for scoped packages   add rollup package visualizer   remove legacy packages   moved animated type deps to devDeps   update docs   Update packages/docs/docs/fallback-to-canvas.mdx   Co-authored-by: Zyie 24736175+Zyie@users.noreply.github.com  Update packages/docs/docs/fallback-to-canvas.mdx  Co-authored-by: Zyie 24736175+Zyie@users.noreply.github.com  add pixi v7 hello message image to docs, fix img imports   Co-authored-by: Alex Prokop alex.prokop@play.co Co-authored-by: Zyie 24736175+Zyie@users.noreply.github.com",1
fix doc deployment (#390),0.5874014,docz (added a temporary fix to make the build pass),  fix doc deployment   fix font ,0
update docs version and fix baseUrl (#388),0.6275258,Update docs,Co-authored-by: Alex Prokop alex.prokop@play.co,0
v7.0.0-alpha.1,0.6906816,v2.0.0 🎉,,0
add publishConfig,0.50036776,Update configs,,0
"Revert ""v7.0.0-alpha.1""",0.4349324,v2.0.0 🎉,This reverts commit 6d5b98bc6d7eafd1b0016e60a725b2b6c9f46a33.,0
move sideEffects false to each package (#387),0.78194475,Move sideEffects false to each package by @baseten in https://github.com/pixijs/pixi-react/pull/387,Co-authored-by: Alex Prokop alex.prokop@play.co,1
remove tsconfig package in favour of root file (#386),0.70566374,Remove tsconfig package in favour of root file by @baseten in https://github.com/pixijs/pixi-react/pull/386,Co-authored-by: Alex Prokop alex.prokop@play.co,1
export TYPES on @pixi/react instead (#384),0.9097107,export TYPES on @pixi/react instead by @baseten in https://github.com/pixijs/pixi-react/pull/384,Co-authored-by: Alex Prokop alex.prokop@play.co,1
fix prerelease command,0.41716236,Only auto test and build on prepack,,0
Prep for v7 release (#380),0.41998133,"Performance fixes, thanks to @EloB ","  rename packages to @pixi/react   eslint ignore docs/docs (which uses prettier) and docs/build   Change references for ""React Pixi"" to ""Pixi React""   change GH repo references   change comments / docs references   update Slack to Discord links   update misc files   fix types   add sideEffects false   fixup fix types   add lerna for version/publish scripts, remove old release script   deploy docs   fix circle lint command   fix docs build command   Co-authored-by: Alex Prokop alex.prokop@play.co Co-authored-by: Zyie 24736175+Zyie@users.noreply.github.com",0
update doc.yml,0.7035082,Update docs,,1
Create doc.yml,0.46367607,Update docs,,0
Pixi V7 (#377),0.77980673,Pixi-legacy,  move shared packages to root package.json for easier version management update pixi to v7   fix/update tests for pixi v7   copy assets from S3 bucket to docs static folder   replace PIXILoader with PIXIAsset to use new Assets API   maintain support for Pixi v6   rename PIXIAsset to ExampleAssetLoader for clarity   update package peer dependencies   Co-authored-by: Alex Prokop alex.prokop@play.co,1
Fix BitmapText double destroy bug (#378),0.6881448,Fix BitmapText double destroy bug by @baseten in https://github.com/pixijs/pixi-react/pull/378,  fix BitmapText double destroy bug   add unmount/destroy tests   Co-authored-by: Alex Prokop alex.prokop@play.co,0
Add docusaurus (#366),0.5104024,Add,"  create working Docusaurus docs   Remove eslint-mdx as it wasn't working properly, format docs with prettier instead   remove eslint config package and separate configs/processes it was too much to manage on top of a global linter too   Tidy up menu order and remove example docs. Add react-spring example   Fix prettier jsx live bug   Co-authored-by: Alex Prokop alex.prokop@play.co",0
