Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
1,Add codesandbox ci config (#406),0.80956686,Add codesandbox ci config by @baseten in link,,1
2,Fix bootstrap,0.46110937,Fix linting,"VSCode API docs says fontWeight should be type TextStyleFontWeight = ""bold"" | ""normal"" | ""bolder"" | ""lighter"" | ""100"" | ""200"" | ""300"" | ""400"" | ""500"" | ""600"" | ""700"" | ""800"" | ""900""",0
3,Merge pull request #1 from StudioASC/kiochan-patch,0.4828808,"import { Stage, AppConsumer } from '@inlet/react-pixi'",Expose root to injected components Change node version to see if it resolves github action issue Co-authored-by: Zyie 24736175+Zyie@users.noreply.github.com,0
4,5.0.4,0.67289263,v2.0.0 🎉,Fix support for canvas renderer,0
5,Clean up postinstall script,0.64681053,postinstall script for react-spring,,0
6,Update about docs to match README,0.85688204,Update README and docs,try a GH action instead of circle no silent add test:ci command delete circle actions Co-authored-by: Alex Prokop alex.prokop@play.co,1
7,Fix BitmapText double destroy bug (#378),0.8135488,Fix BitmapText double destroy bug by @baseten in link,Add AppProvider usage description in hooks docs Make description of custom AppProvider usage more accurate,1
8,Update docs,1.0,Update docs,,1
9,Remove docz cache,0.5985162,Versioned cache for CircleCI,,0
10,5.1.6,0.6036953,v2.0.0 🎉,This reverts commit f277550733249cca6ba75219c62facc2af7c5976.,0
11,Clean up,0.3960681,Improved,rollup config tweaks package tweaks clean up animated package split out invariant util into its own package split out react-components package split out react-reconciler into react-fiber package add react-modular package to wire everything together update main pixi-react package to be a wrapper for other modules codesandbox ci tweaks Co-authored-by: Alex Prokop alex.prokop@play.co,0
12,:recycle: PIXI.Point.copy is renamed copyFrom,0.5503196,Add PixiFiber,,0
13,Merge pull request #101 from mattjennings/suspense,0.43869588,Move sideEffects false to each package by @baseten in link,,0
14,Update rollup config,0.8522363,Rollup config,"Fix typings for sprite with children Revert ""Fix typings for sprite with children"" This reverts commit 4f536c5660cc3a6a9f66b47b239192b24cddc5e9. Fix typings for Sprite by using PropsWithChildren type Fix typings for ParticleContainer by using PropsWithChildren type Co-authored-by: Igor.korol Igor.korol@stark.games",1
15,Support constructor args in withFilter,0.65322924,withFilters to type definition,,0
16,Merge branch 'master' into graphics-draw,0.50819916,Add preventRedraw prop to Graphics:,,0
17,Provide more info in text node error,0.8416172,Better error message for text nodes,add starter codesandbox/ci.json add contents Co-authored-by: Alex Prokop alex.prokop@play.co,1
18,1.3.0,0.71136415,v2.0.0 🎉,Co-authored-by: Alex Prokop alex.prokop@play.co,1
19,2.0.0,0.8526368,v2.0.0 🎉,,1
20,Fix Container type to prevent breaking partials,0.6504934,Type def for Container,,0
21,Update lib,0.65951335,Updated,,0
22,Update eslint config,0.7567588,ESLint config,Co-authored-by: Alex Prokop alex.prokop@play.co,1
23,6.5.3,0.5470545,v2.0.0 🎉,Co-authored-by: Alex Prokop alex.prokop@play.co,0
24,Implement Graphics.draw,0.83177453,Graphics draw prop. ,,1
25,Merge pull request #8 from EloB/patch-1,0.5244407,"Performance fixes, thanks to @EloB ",,0
26,Update graphics docs,0.74130607,Update docs,Co-authored-by: Alex Prokop alex.prokop@play.co,1
27,Expose PixiFiber reconciler,0.73459524,Add PixiFiber,,1
28,Export to animated,0.76824224,AnimatedSprite: link,switch doc.yml to node 18 try clearing docusaurus cache add verbose flag try skipping nx cache upgrade docusaurus install ci with legacy-peer-deps revert cache clearing Co-authored-by: Alex Prokop alex.prokop@play.co,1
29,6.6.0,0.6059142,v2.0.0 🎉,,0
30,Test PIXI events,0.7261493,React-Pixi:,,1
31,6.5.2,0.67684597,v2.0.0 🎉,add React 18 CRA sandbox for better testing Fix quick start example in README add workaround for React 18 strict mode causing loss of WebGL context add README for animated package remove reference to legacy packages in react-spring docs add symlink to monorepo root README in packages/react tweak sandbox index.html Add announcement to README switch symlink direction fix linting Tweak package.json remove sandbox test command Co-authored-by: Alex Prokop alex.prokop@play.co,0
32,Build docz,0.70270216,docz (added a temporary fix to make the build pass),Co-authored-by: Alex Prokop alex.prokop@play.co,1
33,Add legacy import,0.5962849,import { Stage } from '@inlet/react-pixi/legacy';,Update README.md Update README.md,0
34,Merge pull request #74 from inlet/update-type-def-pointlikes,0.47663906,Add applyDefaultProps to type definition and update docs,add createRoot api Update docs with createRoot API Co-authored-by: Alex Prokop alex.prokop@play.co,0
35,Add folder structure,0.554186,Add contribution files,,0
36,Prevent loading pixi and src while building html,0.51999766,Support pixi.js v5,,0
37,Merge pull request #112 from inlet/patch/react-scheduler,0.5404616,"import { Stage, AppConsumer } from '@inlet/react-pixi'",,0
38,6.0.5,0.61419225,v2.0.0 🎉,"switch for scoped packages add rollup package visualizer remove legacy packages moved animated type deps to devDeps update docs Update packages/docs/docs/fallback-to-canvas.mdx Co-authored-by: Zyie 24736175+Zyie@users.noreply.github.com Update packages/docs/docs/fallback-to-canvas.mdx Co-authored-by: Zyie 24736175+Zyie@users.noreply.github.com add pixi v7 hello message image to docs, fix img imports Co-authored-by: Alex Prokop alex.prokop@play.co Co-authored-by: Zyie 24736175+Zyie@users.noreply.github.com",0
39,Add useApp,0.78736067,useTick and useApp,fix doc deployment fix font,1
40,Merge pull request #30 from inlet/update-modules,0.4794556,Update modules,Co-authored-by: Alex Prokop alex.prokop@play.co,0
41,Update jest config,0.97034883,Update configs,,1
42,Merge pull request #304 from inlet/prevent-auto-destroy,0.5000631,Teardown  components,,0
43,Changed graphics draw behaviour,0.7683568,Graphics draw prop. ,This reverts commit 6d5b98bc6d7eafd1b0016e60a725b2b6c9f46a33.,1
44,0.1.0,0.73659134,v2.0.0 🎉,,1
45,Add components,0.9709984,Add additional components,Co-authored-by: Alex Prokop alex.prokop@play.co,1
46,Fix import of react-spring/animated in tests and build,0.7059096,Make  component compliant with react-spring,Co-authored-by: Alex Prokop alex.prokop@play.co,1
47,Update README.md,0.8408998,Update README and docs,Co-authored-by: Alex Prokop alex.prokop@play.co,1
48,add release action (#393),0.51695865,Update to React 16.7. Now with hooks!,This reverts commit a322f249d2e8fde24ed310c144851b1e6d4b3532.,0
49,Fix reconciler tests,0.73074603,React reconciler,,1
50,Fix type for IGraphics,0.52304286,Add preventRedraw prop to Graphics:,,0
51,Set default prop for cursor to null,0.7835315,Default cursor is null,"rename packages to @pixi/react eslint ignore docs/docs (which uses prettier) and docs/build Change references for ""React Pixi"" to ""Pixi React"" change GH repo references change comments / docs references update Slack to Discord links update misc files fix types add sideEffects false fixup fix types add lerna for version/publish scripts, remove old release script deploy docs fix circle lint command fix docs build command Co-authored-by: Alex Prokop alex.prokop@play.co Co-authored-by: Zyie 24736175+Zyie@users.noreply.github.com",1
52,Upgrade docz,0.8343895,Upgrade docz and internals,,1
53,Merge pull request #68 from inlet/update-docs,0.54342264,Update README and docs,,0
54,Update typings,0.6692728,Updated,move shared packages to root package.json for easier version management update pixi to v7 fix/update tests for pixi v7 copy assets from S3 bucket to docs static folder replace PIXILoader with PIXIAsset to use new Assets API maintain support for Pixi v6 rename PIXIAsset to ExampleAssetLoader for clarity update package peer dependencies Co-authored-by: Alex Prokop alex.prokop@play.co,0
55,7.0.0-alpha.0,0.61699367,v2.0.0 🎉,fix BitmapText double destroy bug add unmount/destroy tests Co-authored-by: Alex Prokop alex.prokop@play.co,0
56,Update modules and use the new React reconciler,0.9330733,Upgrade modules (including new React Reconciler),"create working Docusaurus docs Remove eslint-mdx as it wasn't working properly, format docs with prettier instead remove eslint config package and separate configs/processes it was too much to manage on top of a global linter too Tidy up menu order and remove example docs. Add react-spring example Fix prettier jsx live bug Co-authored-by: Alex Prokop alex.prokop@play.co",1
57,Update FUNDING.yml,0.60588133,Update Babel,remove docz related stuff move code into separate packages with appropriate tooling add nx config and ensure all package scripts run from repo root move shared deps to root package.json fix husky move TYPES to separate package for easier sharing add global eslint configuration dynamically pulling in patterns from packages ignore eslintcache switch yarn commands to npm Co-authored-by: Alex Prokop alex.prokop@play.co,0
58,Add Netlify config,0.567302,Update configs,"update node version to be compatible with docusaurus update all deps to latest version, add PIXI ecosystem template packages update rollup packages/config and remove umd update linting rules to codebase eslint tests + fix tests to work with new jest modern timers Co-authored-by: Alex Prokop alex.prokop@play.co",0
59,switching from canvas prebuilt to canvas & forcing newer jsdom,0.6951729,Remove canvas-prebuilt and support new jest environment,Remove docz ready for release,0
60,Do not build on CI,0.928347,Do not create builds on CI,,1
61,:label: typescript,0.81526005,Typescript Definitions,,1
62,Hack to make the docz build pass,0.7510103,docz (added a temporary fix to make the build pass),Update to support React 18,1
63,Create doc.yml,0.63922656,Docs,,0
64,implement filter wrapper for components,0.6626697,"Filter Wrapper support, thanks to @paolotozzo",,0
65,Possibility to ignore event comparison with prop ignoreEvents,0.5234536,"Expose eventHandlers, allowing you to create custom DisplayObject events ",,0
66,0.7.0,0.6701249,v2.0.0 🎉,,0
67,6.4.0,0.6653251,v2.0.0 🎉,,0
68,Remove post install script for react-spring,0.8604656,postinstall script for react-spring,,1
69,Update rollup,0.708479,Rollup config,,1
70,Merge pull request #105 from EloB/feature/improved-events,0.5672442,"Performance fixes, thanks to @EloB ",Move update events from window to root container,0
71,Ignore eslint for legacy,0.42890644,Support for pixi legacy without having to create aliases in your project 🎉 ,,0
72,Fixed typings for TS 2.8,0.6203294,Better overall typing support,,0
73,Support Provider to pass down app to child components,0.5417315,Use AppProvider and AppConsumer in custom render(),,0
74,Only auto destroy child if not prevented,0.61281896,"Default autoDensity=true, you can disable it: ",,0
75,Do not include react-spring into bundle,0.75345916,Make  component compliant with react-spring,,1
76,typings potential fix for PixiReact.render(),0.69536793,Typings for HOC withPixiApp,add geometry prop to Graphics,0
77,"Handle autoDensity, only disable if value is false",0.82826483,"Default autoDensity=true, you can disable it: ",,1
78,Make sure fiber is passed,0.6281543,Inject fiber into devtools,,0
79,Add test utils,0.7047541,Tests,Support Federated Events API,1
80,Add explainer for useIteration() in docs,0.67967343,Add applyDefaultProps to type definition and update docs,,0
81,Use node 10,0.70812297,Node modules,,1
82,6.7.0,0.5878322,v2.0.0 🎉,,0
83,Expose root to injected components (#433),0.68832123,Expose root to injected components by @lunarraid in link,,0
84,Add interaction event prop,0.81177104,Support interaction events,,1
85,Modular Packages (#407),0.7204317,Modular Packages by @baseten in link,,1
86,:bug: build works by remove pixi.js-legacy,0.69431835,npm install pixi.js-legacy,,0
87,safer check for existing visible prop,0.5208875,Graphics preventDefault prop.,,0
88,Merge pull request #23 from StudioASC/kiochan-patch,0.5069086,"import { Stage, AppConsumer } from '@inlet/react-pixi'",,0
89,Merge pull request #334 from vijayth2-cerebras/master,0.4610445,Remove docz ready for release by @baseten in link,,0
90,Update docs regarding react-spring,0.8717252,Docs regarding react-spring,,1
91,Use the new interaction manager,0.6678767,"Instead of resetting the interaction manager, simply update the resolution of the interaction manager. Libraries like pixi-viewport depends on the interaction manager, this patch will fix any related issues.",Export InteractionEvent types,0
92,Merge pull request #137 from paolotozzo/animated-sprites,0.5894517,"import { Stage, Sprite } from '@inlet/react-pixi'",,0
93,Merge pull request #80 from inlet/update-react-reconciler,0.6709104,Upgrade React Reconciler (new API),,0
94,move sideEffects false to each package (#387),0.7811296,Move sideEffects false to each package by @baseten in link,,1
95,1.2.14,0.75042677,},,1
96,Support Context API with fallback to higher order component,0.6932994,Use new React Context API,,0
97,1.1.10,0.7661488,},,1
98,Tap into commitUpdate and render stage respectively,0.6559962,Improved rendering stage when renderOnComponentChange is set to true,,0
99,Merge pull request #89 from EloB/feature/improved-tick,0.56742394,"Performance fixes, thanks to @EloB ",,0
