Index,Message,Description,Message Abstract,Description Abstract
1,Add BufferResource.unpackAlignment (#9415),,Add BufferResource.unpackAlignment (#9415),
2,Fix: Don't GC textures that don't have a resource (#9409),,Fix: Don't GC textures that don't have a resource (#9409),
3,Fix: utils.detectVideoAlphaMode never resolves if webm isn't supported (#9359),,Fix: utils.detectVideoAlphaMode never resolves if webm isn't supported (#9359),
4,Replace url dependency with modern URL API (#9418),,Replace url dependency with modern URL API (#9418),
5,Check domElement is connected to (shadow) DOM when mapPositionToPoint (#9354),,Check domElement is connected to (shadow) DOM when mapPositionToPoint (#9354),
6,Fix: Text being cropped when leading is not 0 (#9419),,Fix: Text being cropped when leading is not 0 (#9419),
7,Fix destroying ImageBitmap correctly (#9404),,Fix destroying ImageBitmap correctly (#9404),
8,Add loadVideo LoaderParser (#9314),,Add loadVideo LoaderParser (#9314),
9,Fix: Throw an error for zero width or height of a Framebuffer (#9357),,Fix: Throw an error for zero width or height of a Framebuffer (#9357),
10,"Support colors with alpha for TextStyle fill, stroke (#9394)",,"Support colors with alpha for TextStyle fill, stroke (#9394)",
11,Fix: VideoResource fails to load data URLs (#9389),,Fix: VideoResource fails to load data URLs (#9389),
12,Fix typo in Extract.base64 documentation (#9402),,Fix typo in Extract.base64 documentation (#9402),
13,Fix: Video.load() doesn't reject if an error occurs on load (#9388),,Fix: Video.load() doesn't reject if an error occurs on load (#9388),
14,Chore: Update package-lock.json (#9387),,Chore: Update package-lock.json (#9387),
15,Use requestVideoFrameCallback to auto update VideoResource if possible (#9374),,Use requestVideoFrameCallback to auto update VideoResource if possible (#9374),
16,Optimize: Generate frame-sized render texture for extraction (#9356),,Optimize: Generate frame-sized render texture for extraction (#9356),
17,Use Renderer's resolution and multisample in generateTexture (#9337),,Use Renderer's resolution and multisample in generateTexture (#9337),
18,Chore: Remove DepthResource (#9344),,Chore: Remove DepthResource (#9344),
19,Add BufferResource.data type to include all possible typed arrays (#9332),,Add BufferResource.data type to include all possible typed arrays (#9332),
20,Fix BaseTexture member types (#9385),,Fix BaseTexture member types (#9385),
21,"Add detection parsers for mp4, ogv, webm (#9376)",,"Add detection parsers for mp4, ogv, webm (#9376)",
22,"Fix: LineStyle.reset() not resetting cap, join, and miterLimit (#9362)",,"Fix: LineStyle.reset() not resetting cap, join, and miterLimit (#9362)",
23,Add generic type variable for ParticleContainer (#9350),,Add generic type variable for ParticleContainer (#9350),
24,Add BaseRenderTexture.multisample (#9343),,Add BaseRenderTexture.multisample (#9343),
25,Create a DEPTH_STENCIL buffer only if depth is enabled (#9335),,Create a DEPTH_STENCIL buffer only if depth is enabled (#9335),
26,Set GLTexture.samplerType based on the internal format (#9333),,Set GLTexture.samplerType based on the internal format (#9333),
27,Add HTMLTextStyle font load option for display (#9329),,Add HTMLTextStyle font load option for display (#9329),
28,Add frame parameter to Extract's base64 and image (#9326),,Add frame parameter to Extract's base64 and image (#9326),
29,Add utils.detectVideoAlphaMode (#9321),,Add utils.detectVideoAlphaMode (#9321),
30,Automatic filter resolution and multisample (#9298),,Automatic filter resolution and multisample (#9298),
31,Deprecate the round and roundColor methods (#9296),,Deprecate the round and roundColor methods (#9296),
32,Feature: Assets Improvements (#9267),,Feature: Assets Improvements (#9267),
33,Add drawRoundedShape to graphics-extras (#9266),,Add drawRoundedShape to graphics-extras (#9266),
34,v7.2.4,,v7.2.4,
35,Fix: Extract correctly when resolution is not 1 (#9352),,Fix: Extract correctly when resolution is not 1 (#9352),
36,Fix: Flip pixels in Extract.pixels from renderer (#9347),,Fix: Flip pixels in Extract.pixels from renderer (#9347),
37,Fix: Premultiply clear color if render target has premultiplied alpha (#9341),,Fix: Premultiply clear color if render target has premultiplied alpha (#9341),
38,Fix: utils dependencies in assets and events (#9334),,Fix: utils dependencies in assets and events (#9334),
39,Fix: Prevent BlobResource.load from loading the data multiple times (#9331),,Fix: Prevent BlobResource.load from loading the data multiple times (#9331),
40,Fix: Extract performance improvements (#9324),,Fix: Extract performance improvements (#9324),
41,Fix: BaseTexture.fromBuffer creating float texture with wrong type (#9330),,Fix: BaseTexture.fromBuffer creating float texture with wrong type (#9330),
42,Fix: Use renderer resolution for the generated texture in Extract._rawPixels (#9323),,Fix: Use renderer resolution for the generated texture in Extract._rawPixels (#9323),
43,Fix: Always await loading of resource in loadSVG (#9317),,Fix: Always await loading of resource in loadSVG (#9317),
44,Fix: non-premultiply alpha blending (#9313),,Fix: non-premultiply alpha blending (#9313),
45,Fix: cache canUseBlendMode value (#9305),,Fix: cache canUseBlendMode value (#9305),
46,Fix nested interaction (#9301),,Fix nested interaction (#9301),
47,Fix: Add missing background and autoDensity types to IRenderer (#9309),  Fix: Add background type to IRenderer   Add missing autoDensity property to IRenderer ,Fix: Add missing background and autoDensity types to IRenderer (#9309),Fix: Add background type to IRenderer Add missing autoDensity property to IRenderer
48,Fix: Wrap non CSS ident-token font names in quotes (#9302),,Fix: Wrap non CSS ident-token font names in quotes (#9302),
49,Fix: Avoid object creation in Color.normalize (#9295),,Fix: Avoid object creation in Color.normalize (#9295),
50,Chore: Add more payload properties for beta.pixijs.com event (#9300),Co-authored-by: Alex Prokop alex.prokop@play.co,Chore: Add more payload properties for beta.pixijs.com event (#9300),Co-authored-by: Alex Prokop alex.prokop@play.co
51,v7.2.3,,v7.2.3,
52,Fix implementation of Color.round (#9294),,Fix implementation of Color.round (#9294),
53,Fix Graphics premultiply world alpha efficiently (#9293),,Fix Graphics premultiply world alpha efficiently (#9293),
54,Chore: Miscellaneous documentation changes (#9292),,Chore: Miscellaneous documentation changes (#9292),
55,Fix over/out events for objects with hitArea (#9289),,Fix over/out events for objects with hitArea (#9289),
56,Fix passing unclamped values to Color (#9283),,Fix passing unclamped values to Color (#9283),
57,Chore: Add CodeSandbox CI configuration (#9279),,Chore: Add CodeSandbox CI configuration (#9279),
58,Chore: Add trigger workflow to update beta.pixijs.com (#9282),,Chore: Add trigger workflow to update beta.pixijs.com (#9282),
59,v7.2.2,,v7.2.2,
60,Fix: Clone and deep equal the Color's value when setting (#9280),,Fix: Clone and deep equal the Color's value when setting (#9280),
61,Fix: Ensure input color channels are clamped (#9281),,Fix: Ensure input color channels are clamped (#9281),
62,v7.2.1,,v7.2.1,
63,Fix: global move events with hit areas and masks (#9273),,Fix: global move events with hit areas and masks (#9273),
64,Fix: TypeScript 5.0 compatibility (#9270),,Fix: TypeScript 5.0 compatibility (#9270),
65,Fix: Broken link for filter example (#9268),,Fix: Broken link for filter example (#9268),
66,Merge branch 'main' into dev,,Merge branch 'main' into dev,
67,v7.2.0,,v7.2.0,
68,"Fix MSDF fragment shader ""alpha"" more like it was ""coverage"" (#9261)",,"Fix MSDF fragment shader ""alpha"" more like it was ""coverage"" (#9261)",
69,Chore: Bump workflow improvements (#9262),,Chore: Bump workflow improvements (#9262),
70,"Support loading SVG, JSON, TXT assets from data URLs (#9259)",,"Support loading SVG, JSON, TXT assets from data URLs (#9259)",
71,v7.2.0-rc.3,,v7.2.0-rc.3,
72,Fix: pointer target being incorrect (#9258),,Fix: pointer target being incorrect (#9258),
73,v7.2.0-rc.2,,v7.2.0-rc.2,
74,Expose root global pointer position (#9255),,Expose root global pointer position (#9255),
75,Fix: Remove the check when installing unsafe-eval (#9252),,Fix: Remove the check when installing unsafe-eval (#9252),
76,Chore: Add strict null checks to misc scripts (#9247),,Chore: Add strict null checks to misc scripts (#9247),
77,Fix: Improve interaction performance (#9246),,Fix: Improve interaction performance (#9246),
78,Fix missing shiftKey copy from originalEvent (#9243),,Fix missing shiftKey copy from originalEvent (#9243),
79,Chore: Add strict null checks to mixin-get-child-by-name (#9242),,Chore: Add strict null checks to mixin-get-child-by-name (#9242),
80,Suppress blit framebuffer delete call if context was lost (#9238),,Suppress blit framebuffer delete call if context was lost (#9238),
81,Chore: Add strict null checks to @pixi/extract and @pixi/canvas-extract (#9236),,Chore: Add strict null checks to @pixi/extract and @pixi/canvas-extract (#9236),
82,Chore: Cache-bust banner image (#9232),,Chore: Cache-bust banner image (#9232),
83,Add strict null checks to @pixi/webworker (#9229),,Add strict null checks to @pixi/webworker (#9229),
84,v7.1.4,,v7.1.4,
85,v7.2.0-rc,,v7.2.0-rc,
86,Add ability to override loadParser when loading assets (#9226),,Add ability to override loadParser when loading assets (#9226),
87,Fix interaction performance with global events (#9228),,Fix interaction performance with global events (#9228),
88,Chore: Update package-lock.json (#9225),,Chore: Update package-lock.json (#9225),
89,Fix: Line Join Round and Miter Limit (#9031),,Fix: Line Join Round and Miter Limit (#9031),
90,Fix: Ensure prepare and extract systems are available from IRenderer (#9222),,Fix: Ensure prepare and extract systems are available from IRenderer (#9222),
91,Fix: Prevent NaN in RopeGeometry vertex data (#9220),,Fix: Prevent NaN in RopeGeometry vertex data (#9220),
92,Fix: Renderer#type not available (#9218),,Fix: Renderer#type not available (#9218),
93,Fix: TypeScript error with ICanvas (#9224),,Fix: TypeScript error with ICanvas (#9224),
94,Add strict null checks to @pixi/filter-* (#9223),,Add strict null checks to @pixi/filter-* (#9223),
95,Fix: Ensure prepare and extract systems are available from IRenderer (#9222),,Fix: Ensure prepare and extract systems are available from IRenderer (#9222),
96,Revert to using peerDependencies for internal package dependencies (#9219),,Revert to using peerDependencies for internal package dependencies (#9219),
97,Fix: Prevent NaN in RopeGeometry vertex data (#9220),,Fix: Prevent NaN in RopeGeometry vertex data (#9220),
98,v7.2.0-beta.4,,v7.2.0-beta.4,
99,Migrate @pixi/node bundle to separate project (#9217),,Migrate @pixi/node bundle to separate project (#9217),
100,Fix: Renderer#type not available (#9218),,Fix: Renderer#type not available (#9218),
101,Adds support for absolute inline CSS values in HTMLText (#9214),,Adds support for absolute inline CSS values in HTMLText (#9214),
102,Chore: Add strict null checks to math and math-extras (#9215),,Chore: Add strict null checks to math and math-extras (#9215),
103,Fix: Line Join Round and Miter Limit (#9031),,Fix: Line Join Round and Miter Limit (#9031),
104,Chore: Add strict null checks to packages with no errors (#9211),,Chore: Add strict null checks to packages with no errors (#9211),
105,Merge branch 'main' into dev,,Merge branch 'main' into dev,
106,v7.1.3,,v7.1.3,
107,Fix: TilingSprite tileScale inconsistency (#9208),,Fix: TilingSprite tileScale inconsistency (#9208),
108,Fix types for Renderer resolution (#9209),,Fix types for Renderer resolution (#9209),
109,Fix: EventEmitter#once should only trigger once (#9200),,Fix: EventEmitter#once should only trigger once (#9200),
110,Fix rightclick and onrightclick not triggering (#9190),,Fix rightclick and onrightclick not triggering (#9190),
111,Fix missing global definition file reference in utils (#9185),,Fix missing global definition file reference in utils (#9185),
112,Fix deprecation docs for global Settings mixins (#9124),,Fix deprecation docs for global Settings mixins (#9124),
113,Fix wrong DOM_DELTA_* from WheelEvent API (#9130),,Fix wrong DOM_DELTA_* from WheelEvent API (#9130),
114,v7.2.0-beta.3,,v7.2.0-beta.3,
115,Fix: TilingSprite tileScale inconsistency (#9208),,Fix: TilingSprite tileScale inconsistency (#9208),
116,Chore: Remove all dependencies from module bundles (#9203),,Chore: Remove all dependencies from module bundles (#9203),
117,Fix types for Renderer resolution (#9209),,Fix types for Renderer resolution (#9209),
118,Chore: Fix prerelease tag (#9202),,Chore: Fix prerelease tag (#9202),
119,v7.2.0-beta.2,,v7.2.0-beta.2,
120,Fix: EventEmitter#once should only trigger once (#9200),,Fix: EventEmitter#once should only trigger once (#9200),
