Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
"Fix: For empty frames, Extract return minimum 1px by 1px result (#9363)",0.6343168,Fix: Extract correctly when resolution is not 1 (#9352) @SuperSodaSea ,,0
Fix the resource URL set by loadSVG (#9439),0.76775986,Fix: Always await loading of resource in loadSVG (#9317) @dev7355608 ,,1
Fix: Only un-premultiply extracted pixels if the render target is premultiplied (#9315),0.6730265,Fix: Premultiply clear color if render target has premultiplied alpha (#9341) @dev7355608 ,,0
Add BufferResource.unpackAlignment (#9415),0.53645194,Fix BufferResource/DepthResource upload size (#7366) @dev7355608 ,,0
Fix: Don't GC textures that don't have a resource (#9409),0.6501813,Fix for the texture garbage collector #3342 ,,0
Fix: utils.detectVideoAlphaMode never resolves if webm isn't supported (#9359),0.51043427,🔥 Fixes video not working in v5.0.1 (#5660),,0
Replace url dependency with modern URL API (#9418),0.6003759,Clean-up url types for API extractor (#7326) @bigtimebuddy ,,0
Check domElement is connected to (shadow) DOM when mapPositionToPoint (#9354),0.44676745,- Added 'moveWhenInside option to interactive manager. his property determins if mousemove and touchmove events are fired only when the cursror is over the object. Setting to true will make things work more in line with how the DOM verison works.,,0
Fix: Text being cropped when leading is not 0 (#9419),0.53478193,Removed the trailing whitespace when wordwrapping a PIXI.Text.,,0
Fix destroying ImageBitmap correctly (#9404),0.67473555,Fix BitmapText crash after destroy (#8735) @SuperSodaSea ,,0
Add loadVideo LoaderParser (#9314),0.6064262,Ensures that the source video is unloaded correctly #4444 ,,0
Fix: Throw an error for zero width or height of a Framebuffer (#9357),0.7151027,Fix type FramebufferSystem (#7742) @mddarmawan ,,1
"Support colors with alpha for TextStyle fill, stroke (#9394)",0.61189723,Add ColorSource support for Graphics line and fill style,,0
Fix: VideoResource fails to load data URLs (#9389),0.7387488,Fix VideoResource for non-looping playback (#8806) @animanathome ,,1
Fix typo in Extract.base64 documentation (#9402),0.59069794,Fix: Extract should use multisample (#9102) @SuperSodaSea,,0
Fix: Video.load() doesn't reject if an error occurs on load (#9388),0.6485239,Video playback broken if play was delayed #2873,,0
Chore: Update package-lock.json (#9387),0.9178859,Chore: Update package-lock.json (#9225) @SuperSodaSea ,,1
Use requestVideoFrameCallback to auto update VideoResource if possible (#9374),0.6738078,Fix VideoResource for non-looping playback (#8806) @animanathome ,,0
Optimize: Generate frame-sized render texture for extraction (#9356),0.5897782,Fix: Use renderer resolution for the generated texture in Extract._rawPixels (#9323) @dev7355608 ,,0
Use Renderer's resolution and multisample in generateTexture (#9337),0.7110222,Add multisample option to RenderTexture.create() and RenderTexture/BaseRenderTexture constructors,,1
Chore: Remove DepthResource (#9344),0.5297971,Chore: Cleanup document for renderer options (#9120) @SuperSodaSea ,,0
Add BufferResource.data type to include all possible typed arrays (#9332),0.5074685,"Add new BufferSystem to Renderer (#7096, #7380, #7600) @GoodBoyDigital ",,0
Fix BaseTexture member types (#9385),0.6842159,Fix error event for BaseTexture resources (#6035),,0
"Add detection parsers for mp4, ogv, webm (#9376)",0.597879,Chore: Improve the data-flow for DetectionParser formats (#8654) @bigtimebuddy ,,0
"Fix: LineStyle.reset() not resetting cap, join, and miterLimit (#9362)",0.6820936,Fix line and fill style drawCalls count (#5981),,0
Add generic type variable for ParticleContainer (#9350),0.75311995,Fix ParticleContainer type issues (#7840) @bigtimebuddy ,,1
Add BaseRenderTexture.multisample (#9343),0.85703087,Add multisample option to RenderTexture.create() and RenderTexture/BaseRenderTexture constructors,,1
Create a DEPTH_STENCIL buffer only if depth is enabled (#9335),0.5812588,Add ability for clearing separate color and depth buffers (#6358),,0
Set GLTexture.samplerType based on the internal format (#9333),0.70491254,Fix default type and internalFormat of GLTexture (#7438) @dev7355608 ,,1
Add HTMLTextStyle font load option for display (#9329),0.61176413,Add TextStyle.defaultStyle to expose the default options (#8928) @bigtimebuddy ,,0
Add frame parameter to Extract's base64 and image (#9326),0.6180482,Fix Extract's and CanvasExtract's pixels and canvas frame parameter (#8388) @dev7355608 ,,0
Add utils.detectVideoAlphaMode (#9321),0.49194646,Fix missing event parameter from VideoResource (#6750),,0
Automatic filter resolution and multisample (#9298),0.6744952,Add support for multisampled filters (#7423) @dev7355608 ,,0
Deprecate the round and roundColor methods (#9296),0.786157,Fix implementation of Color.round (#9294) @dev7355608 ,,1
Feature: Assets Improvements (#9267),0.63350034,"Feature: Asset Package (modern alternative to Loader) (#8365, #8488, #8482) @GoodBoyDigital @Zyie ",,0
Add drawRoundedShape to graphics-extras (#9266),0.7460475,Add drawRoundedPolygon to graphics-extras (#7392) @bigtimebuddy Demo,,1
v7.2.4,0.52473295,"We create a Wiki post here to address some of the breaking changes introduced in v7. If you are upgrading or considering upgrading, please review the guide.",,0
Fix: Extract correctly when resolution is not 1 (#9352),0.96180856,Fix: Extract correctly when resolution is not 1 (#9352) @SuperSodaSea ,,1
Fix: Flip pixels in Extract.pixels from renderer (#9347),0.97905886,Fix: Flip pixels in Extract.pixels from renderer (#9347) @dev7355608 ,,1
Fix: Premultiply clear color if render target has premultiplied alpha (#9341),0.9842672,Fix: Premultiply clear color if render target has premultiplied alpha (#9341) @dev7355608 ,,1
Fix: utils dependencies in assets and events (#9334),0.94583,Fix: utils dependencies in assets and events (#9334) @bigtimebuddy ,,1
Fix: Prevent BlobResource.load from loading the data multiple times (#9331),0.98359656,Fix: Prevent BlobResource.load from loading the data multiple times (#9331) @dev7355608 ,,1
Fix: Extract performance improvements (#9324),0.96311367,Fix: Extract performance improvements (#9324) @dev7355608 ,,1
Fix: BaseTexture.fromBuffer creating float texture with wrong type (#9330),0.98452747,Fix: BaseTexture.fromBuffer creating float texture with wrong type (#9330) @dev7355608 ,,1
Fix: Use renderer resolution for the generated texture in Extract._rawPixels (#9323),0.98037267,Fix: Use renderer resolution for the generated texture in Extract._rawPixels (#9323) @dev7355608 ,,1
Fix: Always await loading of resource in loadSVG (#9317),0.9650301,Fix: Always await loading of resource in loadSVG (#9317) @dev7355608 ,,1
Fix: non-premultiply alpha blending (#9313),0.96021485,Fix: non-premultiply alpha blending (#9313) @dev7355608 ,,1
Fix: cache canUseBlendMode value (#9305),0.95992047,Fix: cache canUseBlendMode value (#9305) @romgrk ,,1
Fix nested interaction (#9301),0.96187055,Fix nested interaction (#9301) @Zyie,,1
Fix: Add missing background and autoDensity types to IRenderer (#9309),0.94845605,Fix: Add missing background and autoDensity types to IRenderer (#9309) @bigtimebuddy ,Fix: Add background type to IRenderer Add missing autoDensity property to IRenderer,1
Fix: Wrap non CSS ident-token font names in quotes (#9302),0.9600402,Fix: Wrap non CSS ident-token font names in quotes (#9302) @SuperSodaSea ,,1
Fix: Avoid object creation in Color.normalize (#9295),0.97739416,Fix: Avoid object creation in Color.normalize (#9295) @dev7355608 ,,1
Chore: Add more payload properties for beta.pixijs.com event (#9300),0.9540635,Chore: Add more payload properties for beta.pixijs.com event (#9300) @baseten ,Co-authored-by: Alex Prokop alex.prokop@play.co,1
v7.2.3,0.5270359,"We create a Wiki post here to address some of the breaking changes introduced in v7. If you are upgrading or considering upgrading, please review the guide.",,0
Fix implementation of Color.round (#9294),0.94126654,Fix implementation of Color.round (#9294) @dev7355608 ,,1
Fix Graphics premultiply world alpha efficiently (#9293),0.9678495,Fix Graphics premultiply world alpha efficiently (#9293) @dev7355608 ,,1
Chore: Miscellaneous documentation changes (#9292),0.9682122,Chore: Miscellaneous documentation changes (#9292) @Zyie,,1
Fix over/out events for objects with hitArea (#9289),0.9829184,Fix over/out events for objects with hitArea (#9289) @Zyie,,1
Fix passing unclamped values to Color (#9283),0.9721719,Fix passing unclamped values to Color (#9283) @Zyie ,,1
Chore: Add CodeSandbox CI configuration (#9279),0.9505147,Chore: Add CodeSandbox CI configuration (#9279) @baseten ,,1
Chore: Add trigger workflow to update beta.pixijs.com (#9282),0.9740557,Chore: Add trigger workflow to update beta.pixijs.com (#9282) @baseten ,,1
v7.2.2,0.5243953,"We create a Wiki post here to address some of the breaking changes introduced in v7. If you are upgrading or considering upgrading, please review the guide.",,0
Fix: Clone and deep equal the Color's value when setting (#9280),0.96421474,Fix: Clone and deep equal the Color's value when setting (#9280) @bigtimebuddy ,,1
Fix: Ensure input color channels are clamped (#9281),0.96958476,Fix: Ensure input color channels are clamped (#9281) @bigtimebuddy ,,1
v7.2.1,0.5287944,"We create a Wiki post here to address some of the breaking changes introduced in v7. If you are upgrading or considering upgrading, please review the guide.",,0
Fix: global move events with hit areas and masks (#9273),0.9822712,Fix: global move events with hit areas and masks (#9273) @Zyie,,1
Fix: TypeScript 5.0 compatibility (#9270),0.97146535,Fix: TypeScript 5.0 compatibility (#9270) @SuperSodaSea ,,1
Fix: Broken link for filter example (#9268),0.93526095,Fix: Broken link for filter example (#9268) @SuperSodaSea ,,1
Merge branch 'main' into dev,0.48296905,Update Contributing Guide with new branch flow. #2983,,0
v7.2.0,0.55106694,"We create a Wiki post here to address some of the breaking changes introduced in v7. If you are upgrading or considering upgrading, please review the guide.",,0
"Fix MSDF fragment shader ""alpha"" more like it was ""coverage"" (#9261)",0.9847764,"Fix MSDF fragment shader ""alpha"" more like it was ""coverage"" (#9261) @jakerdy ",,1
