Index,Message,Description,Message Abstract,Description Abstract
1,fix(typescript): simplify ProbotWebhooks object (#1833),,fix(typescript): simplify ProbotWebhooks object (#1833),
2,feat(server): add logging options (#1645),,feat(server): add logging options (#1645),
3,docs: fix link (#1774),,docs: fix link (#1774),
4,fix(typescript): add missing import (#1783),,fix(typescript): add missing import (#1783),
5,build(typescript): make TS happy,,build(typescript): make TS happy,
6,build(package): lock file,,build(package): lock file,
7,build(release.yml): set node-version to lts/*,,build(release.yml): set node-version to lts/*,
8,build(deps): bump json5 from 2.2.0 to 2.2.3,Bumps json5 from 2.2.0 to 2.2.3. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: json5   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,build(deps): bump json5 from 2.2.0 to 2.2.3,Bumps json5 from 2.2.0 to 2.2.3. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: json5   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
9,build(deps): bump decode-uri-component from 0.2.0 to 0.2.2,Bumps decode-uri-component from 0.2.0 to 0.2.2. - Release notes - Commits  updated-dependencies: - dependency-name: decode-uri-component   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,build(deps): bump decode-uri-component from 0.2.0 to 0.2.2,Bumps decode-uri-component from 0.2.0 to 0.2.2. - Release notes - Commits updated-dependencies: - dependency-name: decode-uri-component   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
10,build(deps): upgrade @octokit/types to v8 (#1763),,build(deps): upgrade @octokit/types to v8 (#1763),
11,docs: added an example reference for a bot tested with mocha and sinon (#1744),Signed-off-by: Tomer Figenblat tomer.figenblat@gmail.com,docs: added an example reference for a bot tested with mocha and sinon (#1744),Signed-off-by: Tomer Figenblat tomer.figenblat@gmail.com
12,chore(deps): update dependency @types/node to v16,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,chore(deps): update dependency @types/node to v16,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
13,chore(deps): update dependency @octokit/webhooks-methods to v3,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,chore(deps): update dependency @octokit/webhooks-methods to v3,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
14,chore(deps): update dependency tsd to ^0.23.0 (#1729),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,chore(deps): update dependency tsd to ^0.23.0 (#1729),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
15,build: renovate setup,,build: renovate setup,
16,build: remove renovate setup from package.json,,build: remove renovate setup from package.json,
17,build: renovate setup,,build: renovate setup,
18,build: renovate setup,,build: renovate setup,
19,build: revert 3c6dca6c1db719eca8f51d62f87a4c6fb2e0e655,,build: revert 3c6dca6c1db719eca8f51d62f87a4c6fb2e0e655,
20,fix: Make probot receive support complex Probot apps (#1714),The command probot receive fails to work when:  The Probot appFn is asynchronous The Probot appFn requires getRouter  The command probot run works fine though with the same app. This attempts to add support for these sort of Probot apps when calling probot receive.,fix: Make probot receive support complex Probot apps (#1714),The command probot receive fails to work when: The Probot appFn is asynchronous The Probot appFn requires getRouter The command probot run works fine though with the same app. This attempts to add support for these sort of Probot apps when calling probot receive.
21,style: prettier,,style: prettier,
22,build: renovate setup,,build: renovate setup,
23,fix(receive): --base-url option and GHE_HOST (#1719),,fix(receive): --base-url option and GHE_HOST (#1719),
24,fix(deps): upgrade octokit/types to v7.1.1 (#1724),,fix(deps): upgrade octokit/types to v7.1.1 (#1724),
25,docs(deployment): Update Heroku branch name (#1701),"Update deployment.md Heroku default deployment branch is now named ""main"" not ""master""",docs(deployment): Update Heroku branch name (#1701),"Update deployment.md Heroku default deployment branch is now named ""main"" not ""master"""
26,fix: remove update-notifier (#1706),"it's better to catch outdated dependencies before deployment, with tools such as dependabot, instead of only finding about it when you're about to run the application the motivation for having update-notifier isn't strong as per https://github.com/probot/probot/issues/1102#issuecomment-570598406 and it pulls in needless dependencies as showcased in https://github.com/probot/probot/issues/1703, therefore it's better to remove it",fix: remove update-notifier (#1706),"it's better to catch outdated dependencies before deployment, with tools such as dependabot, instead of only finding about it when you're about to run the application the motivation for having update-notifier isn't strong as per link and it pulls in needless dependencies as showcased in link, therefore it's better to remove it"
27,build(deps-dev): bump got from 11.8.2 to 11.8.5,Bumps got from 11.8.2 to 11.8.5. - Release notes - Commits  updated-dependencies: - dependency-name: got   dependency-type: direct:development ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,build(deps-dev): bump got from 11.8.2 to 11.8.5,Bumps got from 11.8.2 to 11.8.5. - Release notes - Commits updated-dependencies: - dependency-name: got   dependency-type: direct:development ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
28,build(deps-dev): bump semantic-release from 17.4.7 to 19.0.3,Bumps semantic-release from 17.4.7 to 19.0.3. - Release notes - Commits  updated-dependencies: - dependency-name: semantic-release   dependency-type: direct:development ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,build(deps-dev): bump semantic-release from 17.4.7 to 19.0.3,Bumps semantic-release from 17.4.7 to 19.0.3. - Release notes - Commits updated-dependencies: - dependency-name: semantic-release   dependency-type: direct:development ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
29,build(deps): bump semver-regex from 3.1.3 to 3.1.4,Bumps semver-regex from 3.1.3 to 3.1.4. - Release notes - Commits  updated-dependencies: - dependency-name: semver-regex   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,build(deps): bump semver-regex from 3.1.3 to 3.1.4,Bumps semver-regex from 3.1.3 to 3.1.4. - Release notes - Commits updated-dependencies: - dependency-name: semver-regex   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
30,fix: logging of first octokit instance is not set (#1676) - thanks @kammerjaeger @markjm,,fix: logging of first octokit instance is not set (#1676) - thanks @kammerjaeger @markjm,
31,fix(deps): bump eventsource from 1.1.0 to 2.0.2,Bumps eventsource from 1.1.0 to 2.0.2. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: eventsource   dependency-type: direct:production ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,fix(deps): bump eventsource from 1.1.0 to 2.0.2,Bumps eventsource from 1.1.0 to 2.0.2. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: eventsource   dependency-type: direct:production ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
32,docs: fix localhost link protocol (#1691),,docs: fix localhost link protocol (#1691),
33,docs: added an example of an aws deployment without the serverless framework (#1683),Signed-off-by: Tomer Figenblat tomer.figenblat@gmail.com,docs: added an example of an aws deployment without the serverless framework (#1683),Signed-off-by: Tomer Figenblat tomer.figenblat@gmail.com
34,docs: wrong log call in onError method (#1681),,docs: wrong log call in onError method (#1681),
