Index,Release Note
1,"12.2.9 (2023-01-10)
Bug Fixes

typescript: add missing import (#1783) (229a01c)
"
2,"12.2.8 (2022-09-05)
Bug Fixes

Make probot receive support complex Probot apps (#1714) (eff5553)
"
3,"12.2.7 (2022-08-29)
Bug Fixes

receive: --base-url option and GHE_HOST (#1719) (68c9b91)
"
4,"12.2.6 (2022-08-29)
Bug Fixes

deps: upgrade octokit/types to v7.1.1 (#1724) (be45120)
"
5,"12.2.5 (2022-06-30)
Bug Fixes

remove update-notifier (#1706) (05297fb), closes /github.com/probot/probot/issues/1102#issuecomment-570598406
"
6,"12.2.4 (2022-06-01)
Bug Fixes

logging of first octokit instance is not set (#1676) - thanks @kammerjaeger @markjm (646b6a9)
"
7,"12.2.3 (2022-05-25)
Bug Fixes

deps: bump eventsource from 1.1.0 to 2.0.2 (7fd06d6)
"
8,"12.2.2 (2022-03-08)
Bug Fixes

Replaced hbs with express-handlebars (#1659) (420f886)
"
9,"12.2.1 (2022-01-19)
Bug Fixes

security: bump minimal version of hbs (#1638) (dd9f5ae)
"
10,"12.2.0 (2022-01-11)
Features

customize account name for manifest creation flow using GH_ORG environment variable (#1606) (992b480)
"
11,"12.1.4 (2022-01-03)
Bug Fixes

types: export ApplicationFunction (#1631) (073f087)
"
12,"12.1.3 (2021-12-08)
Bug Fixes

log json in production (#1598) (bb068d9)
"
13,"12.1.2 (2021-11-29)
Bug Fixes

typescript: add types for context.{repo,issue,pullRequest} (#1622) (638a3b2)
"
14,"12.1.1 (2021-09-01)
Bug Fixes

update ioredis to non-vulnerable version (#1589) (f02c549)
"
15,"9.14.2 (2021-07-07)
Bug Fixes

Do not crash when suspended in v9 (#1571) (b2694d5)
"
16,"12.1.0 (2021-07-03)
Features

website: 11ty 🚀 (#1516) (7a43e9e)
"
17,"12.0.0 (2021-06-24)
Features

update @octokit/webhooks to v9 (#1559) (4b3ae0e)

BREAKING CHANGES

remove '*' event
app.webhooks.middleware has been removed in @octokit/webhooks v9
removes the webhookPath option on new Probot({}) for the webhooks middleware

Co-authored-by: wolfy1339 webmaster@wolfy1339.com"
18,"BREAKING CHANGES

remove '*' event
app.webhooks.middleware has been removed in @octokit/webhooks v9
removes the webhookPath option on new Probot({}) for the webhooks middleware

Co-authored-by: wolfy1339 webmaster@wolfy1339.com"
19,"11.4.1 (2021-06-07)
Bug Fixes

support setting baseUrl on Octokit constructor instead of Probot constructor (#1552) (453ddd2)
"
20,"11.4.0 (2021-06-01)
Features

logger: custom message key (#1546) (01c2006)
"
21,"11.3.2 (2021-05-29)
Bug Fixes

skip smee setup by setting NO_SMEE_SETUP to ""true""  (#1544) (acd47a6)
"
22,"11.3.1 (2021-05-28)
Bug Fixes

setup: do not enter setup mode if HOST environment variable is set (#1538) (4d70d69)
"
23,"11.3.0 (2021-04-29)
Features

deprecate usage of the ""*"" event name (#1518) (474b773)
"
24,"11.2.4 (2021-04-27)
Bug Fixes

run: await server.load() (#1517) (8cc1590)
"
25,"11.2.3 (2021-04-26)
Bug Fixes

Update to Contributor Covenant v2 (#1515) (72b0531)
"
26,"11.2.2 (2021-04-23)
Bug Fixes

add workaround for ""appId option is required"" when in setup mode (#1513) (e11b91e)
"
27,"11.2.1 (2021-04-21)
Bug Fixes

bump @octokit/plugin-rest-endpoint-methods to v5 (#1511) (9342caf)
"
28,"11.2.0 (2021-04-20)
Features

Add dark mode to builtin pages (#1509) (ce96884)
"
29,"11.1.1 (2021-04-20)
Bug Fixes

update design of probot landing page (#1508) (0e37427)
"
30,"11.1.0 (2021-03-01)
Features

add onAny and onError methods from @octokit/webhooks (#1480) (9a24f9d)
"
31,"11.0.6 (2021-02-04)
Bug Fixes

deps: pin version of @octokit/webhooks (#1472) (cd14dd4)
"
32,"11.0.5 (2021-01-20)
Bug Fixes

clarify error message in case of invalid app authentication (#1465) thanks @eXpire163 (5f1831b)
"
33,"11.0.4 (2021-01-17)
Bug Fixes

TypeScript: fix description of context.pullRequest method (#1461) (a5779ff)
"
34,"11.0.3 (2021-01-14)
Bug Fixes

correctly import (transpiled) app function for run and receive (#1457) thanks @ZauberNerd (2275698)
"
35,"11.0.2 (2021-01-14)
Bug Fixes

typescript: remove options.webhookProxy from Probot constructor (#1459) (01bb678)
"
36,"11.0.1 (2020-12-17)
Bug Fixes

import app functions transpiled from TypeScript (#1448) (3356845)
"
37,"BREAKING CHANGES
For a smooth upgrade, make sure to update to the latest Probot v10 version first (npm install probot@10), run your tests, and address all deprecation messages. Nearly all removed APIs have previously been deprecated.

deprecated context.octokit.* have been removed via @octokit/plugin-rest-endpoint-methods v4
probot.server property removed. Build your own server instead using import { Server } from ""probot""
probot.load() is now asynchronous and no longer returns the instance
express-async-errors is no longer used.
Probot constructor parameter no longer supported in createNodeMiddleware(app, { Probot }). Pass a probot instance instead: createNodeMiddleware(app, { probot })
getOptions() has been removed. Use { probot: createProbot() } instead
probot.load(appFn) no longer accepts appFn to be a path string. Pass the actual function instead.
probot.setup() removed. Use the new Server class instead:

```js
  const { Server, Probot } = require(""probot"")
  const server = new Server({
    // optional:
    host,
    port,
    webhookPath,
    webhookProxy,
    Probot: Probot.defaults({ id, privateKey, ... })
  })
// load probot app function
  await server.load((app) => {})
// start listening to requests
  await server.start()
  // stop server with: await server.stop()
  ```
If you have more than one app function, combine them in a function instead
```js
  const app1 = require(""./app1"")
  const app2 = require(""./app2"")
module.exports = function app ({ probot, getRouter }) {
    await app1({ probot, getRouter })
    await app2({ probot, getRouter })
  }
  ```

probot.start() / probot.stop() removed. Use the new Server class instead:

```js
  const { Server, Probot } = require(""probot"")
  const server = new Server({
    Probot: Probot.defaults({ id, privateKey, ... })
    // optional:
    host,
    port,
    webhookPath,
    webhookProxy,
  })
// load probot app function
  await server.load((app) => {})
// start listening to requests
  await server.start()
  // stop server with: await server.stop()
  ```

REDIS_URL is ignored when using Probot constructor. Use new Probot({ redisConfig: redis://... }) instead
Probot constructor no longer reads environment variables. Pass options instead, or import { createProbot } from ""probot"" instead
Probot.run() has been removed. Use import { run} from ""probot"" instead
context.github has been removed. Use context.octokit instead
context.event has been removed. Use context.name instead
app.route() has been removed. Use the getRouter() argument from the app function instead: (app, { getRouter }) => { ... }
app.router has been removed. Use getRouter() from the app function instead: (app, { getRouter }) => { ... }
probot.logger has been removed. Use probot.log instead
new Probot({ id }) has been removed. Use new Probot({ appId }) instead
new Probot({ cert }) has been removed. Use new Probot({ privateKey }) instead
probot.webhook has been removed. Use probot.webhooks instead
createProbot(options) no longer supports any keys besides overrides, defaults, or env
options.throttleOptions has been removed. Set options.Octokit to ProbotOctokit.defaults({ throttle }) instead
import { Application } from probot has been removed. Use import { Probot } from probot instead, the APIs are the same
"
38,"BREAKING CHANGES

({ app, getRouter }) => {}  is now (app, { getRouter })

see https://github.com/probot/probot/pull/1441 and discussion at https://github.com/probot/probot/issues/1286#issuecomment-744094299"
39,"10.19.0 (2020-12-15)
Features

un-deprecate (app) => {}. Deprecate ({ app, getRouter }) => {} in favor of (app, { getRouter }) => {} (#1441) (42b043e), closes /github.com/probot/probot/issues/1286#issuecomment-744094299
"
40,"11.0.0-beta.3 (2020-12-13)
Features

typescript: export ApplicationFunctionOptions type (ef56ffb), closes #issuecomment-731488088
"
41,"11.0.0-beta.2 (2020-12-09)
Bug Fixes

remove deprecation messages about no longer used environment variables ""IGNORED_ACCOUNTS"" and ""DISABLE_STATS"" (b699d7f)
"
42,"BREAKING CHANGES
For a smooth upgrade, make sure to update to the latest Probot v10 version first, run your tests, and address all deprecation messages. Nearly all removed APIs have previously been deprecated.

deprecated context.octokit.* have been removed via @octokit/plugin-rest-endpoint-methods v4
probot.server property removed. Build your own server instead using import { Server } from ""probot""
probot.load() is now asynchronous and no longer returns the instance
express-async-errors is no longer used.
Probot constructor parameter no longer supported in createNodeMiddleware(app, { Probot }). Pass a probot instance instead: createNodeMiddleware(app, { probot })
getOptions() has been removed. Use { probot: createProbot() } instead
probot.load(appFn) no longer accepts appFn to be a path string. Pass the actual function instead.
probot.setup() removed. Use the new Server class instead:

```js
  const { Server, Probot } = require(""probot"")
  const server = new Server({
    // optional:
    host,
    port,
    webhookPath,
    webhookProxy,
    Probot: Probot.defaults({ id, privateKey, ... })
  })
// load probot app function
  await server.load(({ app }) => {})
// start listening to requests
  await server.start()
  // stop server with: await server.stop()
  ```
If you have more than one app function, combine them in a function instead
```js
  const app1 = require(""./app1"")
  const app2 = require(""./app2"")
module.exports = function app ({ probot, getRouter }) {
    await app1({ probot, getRouter })
    await app2({ probot, getRouter })
  }
  ```

probot.start() / probot.stop() removed. Use the new Server class instead:

```js
  const { Server, Probot } = require(""probot"")
  const server = new Server({
    Probot: Probot.defaults({ id, privateKey, ... })
    // optional:
    host,
    port,
    webhookPath,
    webhookProxy,
  })
// load probot app function
  await server.load(({ app }) => {})
// start listening to requests
  await server.start()
  // stop server with: await server.stop()
  ```

REDIS_URL is ignored when using Probot constructor. Use new Probot({ redisConfig: redis://... }) instead
Probot constructo no longer reads environment variables. Pass options instead, or import { createProbot } from ""probot"" instead
Probot.run() has been removed. Use import { run} from ""probot"" instead
context.github has been removed. Use context.octokit instead
context.event has been removed. Use context.name instead
app.route() has been removed. Use the getRouter() argument from the app function instead: ({ app, getRouter }) => { ... }
(app) => {} is no longer supported. Use ({ app }) => {} instead
app.router has been removed. Use getRouter() from the app function instead: ({ app, getRouter }) => { ... }
probot.logger has been removed. Use probot.log instead
new Porbot({ id }) has been removed. Use new Porbot({ appId }) instead
new Porbot({ cert }) has been removed. Use new Porbot({ privateKey }) instead
probot.webhook has been removed. Use probot.webhooks instead
createProbot(options) no longer supports any keys besides overrides, defaults, or env
options.throttleOptions has been removed. Set options.Octokit to ProbotOctokit.defaults({ throttle }) instead
import { Application } from probot has been removed. Use import { Probot } from probot instead, the APIs are the same
"
43,"Features

createProbot()  (#1431) (d315f0c)
new Probot({ appId }) (a94fdca)
Probot.version, Probot.defaults() (2ff5d21)
run(appFn, { env }) (3d90806)
createNodeMiddleware (bdbe94e)
use new Server class when using probot run binary (8a3599d)

Deprecations

probot.load() (3d4b363)
probot.start() / probot.stop() / probot.setup() (7a8f268)
Deprecates new Probot({ id }) (a94fdca)

Bug Fixes

`createProbot() without options (8c01e90)
load app function only once when using createNodeMiddleware (#1432) (60b702b)
server: log error requests as [METHOD] /[PATH] [STATUS] - [NUM]ms, e.g POST / 500 - 123ms (9d767e1)
"
44,"10.18.0-beta.5 (2020-12-08)
Bug Fixes

load app function only once when using createNodeMiddleware (#1432) (4a1031e)
"
45,"10.18.0-beta.4 (2020-12-07)
Bug Fixes

`createProbot() without options (ea54df3)
"
46,"10.18.0-beta.3 (2020-12-07)
Features

createProbot(), createNodeMiddleware(app, { probot }). Deprecates getOptions, createNodeMiddleware(app, { Probot }) (#1431) (50a26fa)
"
47,"10.18.0-beta.2 (2020-12-06)
Bug Fixes

app.route() with (app) => {} app function (#1430) (66b8bf1)
"
