Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
docs: add dark mode (#6633),0.56224346,v5: Add Carousel dark variant (#5464) (ce6230c),  wip   wip   fix stack examples   fixes   add warning and update examples   fix   add more docs   address feedback ,0
chore(deps): update all non-major dependencies (#6632),0.63176197,update dependencies (#6587) (753dc53),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
docs: fix broken migration link (#6634),0.4737783,Migration Guide,migration guide is under /docs/,0
chore(deps): replace dependency babel-eslint with @babel/eslint-parser ^7.11.0 (#6590),0.4520608,Change internal module system from ES6 modules -> CJS and general code clean up thanks to @kellec #158 ,Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,0
chore(deps): update all non-major dependencies (#6625),0.63020766,update dependencies (#6587) (753dc53),  chore(deps): update all non-major dependencies   fix error    Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com Co-authored-by: kyletsang 6854874+kyletsang@users.noreply.github.com,0
docs: refactor nav/tab docs (#6629),0.53829706,Tabs: allow fill and justify settings for tabs (#6391) (239c459),,0
feat: add underline variant for Nav/Tabs (#6623),0.5033039,Tabs: allow fill and justify settings for tabs (#6391) (239c459),  feat: new variant added for tabs   feat: tabs underline example added   fix: updated component name ,0
fix(Tooltip): fix offset (#6622),0.5564544,RTL: Update tooltip classes (d87e377),,0
chore(deps): update bootstrap to 5.3.0 (#6621),0.45043457,Stack: fix incorrect classes being generated (#6540) (e3a77e1),,0
docs: fix deployment project (#6620),0.4779979,update dependencies (#6587) (753dc53),  docs: fix deployment project   branch ,0
docs(Button): add onClick to button docs (#6613),0.4758731,v5: Refactor ToggleButton (4daed01),  Added onClick event to button docs (#5405)   Update Button.tsx    Co-authored-by: Kyle Tsang 6854874+kyletsang@users.noreply.github.com,0
chore(deps): bump yaml from 2.2.1 to 2.2.2 (#6610),0.47492194,deps: clean up @types deps list (#6303) (609c678),Bumps yaml from 2.2.1 to 2.2.2. - Release notes - Commits  updated-dependencies: - dependency-name: yaml   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
chore: update bug report template (#6609),0.47199848,Bug Fixes,  chore: update bug report template   placeholder ,0
docs: fix playground tabbing and add copy button (#6608),0.4717841,Tabs: allow fill and justify settings for tabs (#6391) (239c459),  docs: fix playground tabbing and add copy button   missed file ,0
chore: update dev dependencies (#6596),0.7256949,update dependencies (#6587) (753dc53),,1
chore(deps): bump ua-parser-js from 0.7.32 to 0.7.35 in /www (#6585),0.47883016,Change internal module system from ES6 modules -> CJS and general code clean up thanks to @kellec #158 ,Bumps ua-parser-js from 0.7.32 to 0.7.35. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: ua-parser-js   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
chore(deps): bump @sideway/formula from 3.0.0 to 3.0.1 in /www (#6584),0.4491276,deps: clean up @types deps list (#6303) (609c678),"Bumps @sideway/formula from 3.0.0 to 3.0.1. - Release notes - Commits  updated-dependencies: - dependency-name: ""@sideway/formula""   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
