Index,Release Note,Release Note With Abstraction
1,"1.6.7 (2023-05-03)
Bug Fixes

Popover: fix content prop error (#6612) (3d1df53)
","1.6.7 (2023-05-03)
Bug Fixes
Popover: fix content prop error (#6612) (3d1df53)"
2,"2.7.4 (2023-04-15)
Bug Fixes

downgrade uncontrollable to 7.2.1 (#6592) (3898c72)
update dependencies (#6587) (753dc53)
","2.7.4 (2023-04-15)
Bug Fixes
downgrade uncontrollable to 7.2.1 (#6592) (3898c72)
update dependencies (#6587) (753dc53)"
3,"2.7.3 (2023-04-12)
Bug Fixes

ToastContainer: allow setting containerPosition without position (#6574) (41ec134)
switch from defaultProps to JS default params (#6568) (1d5b726)
","2.7.3 (2023-04-12)
Bug Fixes
ToastContainer: allow setting containerPosition without position (#6574) (41ec134)
switch from defaultProps to JS default params (#6568) (1d5b726)"
4,"2.7.2 (2023-02-14)
Bug Fixes

Overlay: fix arrow animation (#6551) (21b9981)
","2.7.2 (2023-02-14)
Bug Fixes
Overlay: fix arrow animation (#6551) (21b9981)"
5,"2.7.1 (2023-02-10)
Bug Fixes

Accordion: fix aria-expanded value when using alwaysOpen (#6537) (7f633bf), closes #6536 #6536
Overlay: fix flickering of tooltips and popovers during initial render (#6544) (821624d)
Stack: fix incorrect classes being generated (#6540) (e3a77e1)
","2.7.1 (2023-02-10)
Bug Fixes
Accordion: fix aria-expanded value when using alwaysOpen (#6537) (7f633bf), closes #6536 #6536
Overlay: fix flickering of tooltips and popovers during initial render (#6544) (821624d)
Stack: fix incorrect classes being generated (#6540) (e3a77e1)"
6,"2.7.0 (2022-12-07)
Bug Fixes

Dropdown: fic missing .show class on dropdown toggle when active (#6508) (eaa4bb9)
Modal: fix modal not closing when keyboard=false (#6515) (92703d5)

Features

AccordionBody: add transition callback props (#6478) (ba092df)
Dropdown: add support for centered dropdown menus (#6490) (500ee94)
Ratio: add support for portrait size ratios (#6501) (3cfdab1)
","2.7.0 (2022-12-07)
Bug Fixes
Dropdown: fic missing .show class on dropdown toggle when active (#6508) (eaa4bb9)
Modal: fix modal not closing when keyboard=false (#6515) (92703d5)
Features
AccordionBody: add transition callback props (#6478) (ba092df)
Dropdown: add support for centered dropdown menus (#6490) (500ee94)
Ratio: add support for portrait size ratios (#6501) (3cfdab1)"
7,"2.6.0 (2022-11-06)
Bug Fixes

update @restart/ui to 1.4.0 (#6479) (e38deae)
update @restart/ui to 1.4.1 (#6481) (a42c8de)
ListGroupItem: prevent a div with a href (#6462) (c4b15a3)
Modal: apply 'show' class when animation = false (#6447) (8f5e903)
PageItem: remove disabled attribute on span (#6455) (249c178)
types: fix type of 'safeFindDOMNode' function (#6465) (f2f1847)

Features

Spinner: make the animation default to border (#6468) (fb3e4d5)
","2.6.0 (2022-11-06)
Bug Fixes
update @restart/ui to 1.4.0 (#6479) (e38deae)
update @restart/ui to 1.4.1 (#6481) (a42c8de)
ListGroupItem: prevent a div with a href (#6462) (c4b15a3)
Modal: apply 'show' class when animation = false (#6447) (8f5e903)
PageItem: remove disabled attribute on span (#6455) (249c178)
types: fix type of 'safeFindDOMNode' function (#6465) (f2f1847)
Features
Spinner: make the animation default to border (#6468) (fb3e4d5)"
8,"1.6.6 (2022-08-25)
Bug Fixes

Modal: render aria-describedby on the top level modal element (6dd9e3b)
Modal: render aria-label on top level modal element (273901f)
","1.6.6 (2022-08-25)
Bug Fixes
Modal: render aria-describedby on the top level modal element (6dd9e3b)
Modal: render aria-label on top level modal element (273901f)"
9,"2.5.0 (2022-08-05)
Bug Fixes

Offcanvas: prevent children mounting twice on show when not responsive (#6416) (e2c4eeb)
ensure consistent API for custom variants (#6398) (8a81903)
update @restart/ui to 1.3.1 (#6408) (a49d435)
","2.5.0 (2022-08-05)
Bug Fixes
Offcanvas: prevent children mounting twice on show when not responsive (#6416) (e2c4eeb)
ensure consistent API for custom variants (#6398) (8a81903)
update @restart/ui to 1.3.1 (#6408) (a49d435)"
10,"2.5.0-beta.1 (2022-07-08)
Bug Fixes

Dropdown: remove unused flip prop (7c2002f)
update @restart/ui to v1.3.0 (#6383) (775e774)
Offcanvas: fix responsive behavior when resizing screen (#6380) (a3e188a)

Features

DropdownButton: add flip prop support (85ef5bc)
SplitButton: add flip prop support (909c564)
Tabs: allow fill and justify settings for tabs (#6391) (239c459)
","2.5.0-beta.1 (2022-07-08)
Bug Fixes
Dropdown: remove unused flip prop (7c2002f)
update @restart/ui to v1.3.0 (#6383) (775e774)
Offcanvas: fix responsive behavior when resizing screen (#6380) (a3e188a)
Features
DropdownButton: add flip prop support (85ef5bc)
SplitButton: add flip prop support (909c564)
Tabs: allow fill and justify settings for tabs (#6391) (239c459)"
11,"2.5.0-beta.0 (2022-06-10)
Bug Fixes

NavbarOffcanvas: fix render to be SSR safe (#6360) (94d2fb4)
Overlay: fix initial positioning of overlays (#6348) (bdb89d5)
ToggleButtonGroup: remove extra onChange check (#6345) (52220e0)

Features

FormCheck: add support for reverse checks and radios (#6353) (dd41911)
Offcanvas: add responsive support (#6363) (3bc4df2)
Offcanvas: added support for static backdrops (#6342) (e5b7c89)
Table: add support for striped columns (#6344) (9dc95c7)
ThemeProvider: support breakpoints smaller than xs (#6371) (09bf4a2)
","2.5.0-beta.0 (2022-06-10)
Bug Fixes
NavbarOffcanvas: fix render to be SSR safe (#6360) (94d2fb4)
Overlay: fix initial positioning of overlays (#6348) (bdb89d5)
ToggleButtonGroup: remove extra onChange check (#6345) (52220e0)
Features
FormCheck: add support for reverse checks and radios (#6353) (dd41911)
Offcanvas: add responsive support (#6363) (3bc4df2)
Offcanvas: added support for static backdrops (#6342) (e5b7c89)
Table: add support for striped columns (#6344) (9dc95c7)
ThemeProvider: support breakpoints smaller than xs (#6371) (09bf4a2)"
12,"2.4.0 (2022-05-13)
Features

ToastContainer: add containerPosition prop (#6316) (9815957)
","2.4.0 (2022-05-13)
Features
ToastContainer: add containerPosition prop (#6316) (9815957)"
13,"1.6.5 (2022-05-11)
Bug Fixes

update react-overlays and @restart/hooks packages (#6333) (9654ca2)
","1.6.5 (2022-05-11)
Bug Fixes
update react-overlays and @restart/hooks packages (#6333) (9654ca2)"
14,"2.3.1 (2022-04-28)
Bug Fixes

NavbarOffcanvas: fix rendering of nav items when expand is used (#6310) (63869f9)
TabPane: omit Transition when prop is false (#6305) (1c71e9e)
","2.3.1 (2022-04-28)
Bug Fixes
NavbarOffcanvas: fix rendering of nav items when expand is used (#6310) (63869f9)
TabPane: omit Transition when prop is false (#6305) (1c71e9e)"
15,"2.3.0 (2022-04-19)
Bug Fixes

deps: clean up @types deps list (#6303) (609c678)

Features

Pagination: Wrap Pagination sub-components in forward refs (#6306) (2686ae3)
","2.3.0 (2022-04-19)
Bug Fixes
deps: clean up @types deps list (#6303) (609c678)
Features
Pagination: Wrap Pagination sub-components in forward refs (#6306) (2686ae3)"
16,"2.2.3 (2022-04-05)
Bug Fixes

bump @restart/hooks to v0.4.6 (#6294) (dceb74b)
","2.2.3 (2022-04-05)
Bug Fixes
bump @restart/hooks to v0.4.6 (#6294) (dceb74b)"
17,"2.2.2 (2022-03-25)
Bug Fixes

update @restart/ui to v1.2.0 (#6285) (4f5e625)
Modal: fix autofocus for inputs when animation is enabled (#6278) (08e1bbc)
Modal: render aria-describedby on the top level modal element (#6282) (93a8a0e)
Modal: render aria-label on top level modal element (#6269) (48f7c07)
","2.2.2 (2022-03-25)
Bug Fixes
update @restart/ui to v1.2.0 (#6285) (4f5e625)
Modal: fix autofocus for inputs when animation is enabled (#6278) (08e1bbc)
Modal: render aria-describedby on the top level modal element (#6282) (93a8a0e)
Modal: render aria-label on top level modal element (#6269) (48f7c07)"
18,"2.2.1 (2022-03-11)
Bug Fixes

Carousel: fix issue where changing activeIndex won't work (#6265) (0c7c5f7)
useOverlayOffset: use offset prop in useOverlayOffset (#6264) (e338818)
","2.2.1 (2022-03-11)
Bug Fixes
Carousel: fix issue where changing activeIndex won't work (#6265) (0c7c5f7)
useOverlayOffset: use offset prop in useOverlayOffset (#6264) (e338818)"
19,"2.2.0 (2022-03-04)
Bug Fixes

TabPane: use Fade for default transition (#6235) (3e0b4d3)
added missing ModalHeader exports to index (#6228) (3332da9)

Features

support custom breakpoints (#6253) (0910a21)
Tabs: support passing custom attributes to Tab (#5879) (6afa734)
","2.2.0 (2022-03-04)
Bug Fixes
TabPane: use Fade for default transition (#6235) (3e0b4d3)
added missing ModalHeader exports to index (#6228) (3332da9)
Features
support custom breakpoints (#6253) (0910a21)
Tabs: support passing custom attributes to Tab (#5879) (6afa734)"
20,"2.1.2 (2022-01-31)
Bug Fixes

update @restart/ui to v1.0.1 (#6220) (f46dee3)
ToggleButton: remove role=""button"" from label (#6204) (54bcbfa)
","2.1.2 (2022-01-31)
Bug Fixes
update @restart/ui to v1.0.1 (#6220) (f46dee3)
ToggleButton: remove role=""button"" from label (#6204) (54bcbfa)"
21,"2.1.1 (2022-01-14)
Bug Fixes

prioritize poppers position prop in overlaytrigger (#6175) (dc9a0d7)
","2.1.1 (2022-01-14)
Bug Fixes
prioritize poppers position prop in overlaytrigger (#6175) (dc9a0d7)"
22,"2.1.0 (2021-12-31)
Features

Accordion: add alwaysOpen prop (#6091) (f62da57)
","2.1.0 (2021-12-31)
Features
Accordion: add alwaysOpen prop (#6091) (f62da57)"
23,"2.0.4 (2021-12-20)
Bug Fixes

Modal: fix typescript intellisense with base props (#6150) (a7db500)
NavDropdown: fix onSelect type (#6151) (253c998)
","2.0.4 (2021-12-20)
Bug Fixes
Modal: fix typescript intellisense with base props (#6150) (a7db500)
NavDropdown: fix onSelect type (#6151) (253c998)"
24,"2.0.3 (2021-12-01)
Bug Fixes

FormCheck: fix Form.Check.Label spacing (#5983) (250655c), closes /github.com/react-bootstrap/react-bootstrap/issues/5938#issuecomment-883704209
","2.0.3 (2021-12-01)
Bug Fixes
FormCheck: fix Form.Check.Label spacing (#5983) (250655c), closes /github.com/react-bootstrap/react-bootstrap/issues/5938#issuecomment-883704209"
25,"2.0.2 (2021-11-04)
Bug Fixes

remove unused files from build output
","2.0.2 (2021-11-04)
Bug Fixes
remove unused files from build output"
26,"2.0.1 (2021-10-29)
Bug Fixes

FormSelect: fix props not being defined (#6106) (4dd40db)
","2.0.1 (2021-10-29)
Bug Fixes
FormSelect: fix props not being defined (#6106) (4dd40db)"
27,"2.0.0 (2021-10-21)
Promoted v2.0.0-rc.1 to stable","2.0.0 (2021-10-21)
Promoted v2.0.0-rc.1 to stable"
28,"2.0.0-rc.1 (2021-10-15)
Bug Fixes

Toast: add optional event arg to Toast onClose (#6068) (3fc5b57), closes #5726
ToastContext: fix toast context type (#6073) (3fa3b28)

Features

ListGroup: add numbered prop (#6072) (415b636)
add NavbarOffcanvas component (#5999) (0bb7b42)
","2.0.0-rc.1 (2021-10-15)
Bug Fixes
Toast: add optional event arg to Toast onClose (#6068) (3fc5b57), closes #5726
ToastContext: fix toast context type (#6073) (3fa3b28)
Features
ListGroup: add numbered prop (#6072) (415b636)
add NavbarOffcanvas component (#5999) (0bb7b42)"
29,"1.6.4 (2021-09-24)
Bug Fixes

InputGroup: fix export (#6060) (4bfc054)
","1.6.4 (2021-09-24)
Bug Fixes
InputGroup: fix export (#6060) (4bfc054)"
30,"2.0.0-rc.0 (2021-09-21)
Bug Fixes

ListGroupItem: fix .active not being set with activeKey in ListGroup (#6002) (cdaa039)

Toast: fix fade animation (#6004) (0237a14)


refactor(Col)!: remove default span value in breakpoint object (#6014) (ec285fb), closes #6014

refactor(CardColumns)!: remove component (#6030) (d36718f), closes #6030
fix(FormCheck)!: use feedbackType to control feedback type (#6015) (ab9e080), closes #6015

Features

add SSRProvider (#6031) (ca97dc8)
add Stack component (#5987) (57be243)
Collapse: add horizontal animation (#5993) (c8f0d1d)

BREAKING CHANGES

When using objects in Col breakpoint props, span is no longer true by default
Removed CardColumns because it was dropped in Bootstrap 5
FormCheck feedback type is now controlled by feedbackType instead of isValid and isInvalid.
","2.0.0-rc.0 (2021-09-21)
Bug Fixes
ListGroupItem: fix .active not being set with activeKey in ListGroup (#6002) (cdaa039)
Toast: fix fade animation (#6004) (0237a14)
refactor(Col)!: remove default span value in breakpoint object (#6014) (ec285fb), closes #6014
refactor(CardColumns)!: remove component (#6030) (d36718f), closes #6030
fix(FormCheck)!: use feedbackType to control feedback type (#6015) (ab9e080), closes #6015
Features
add SSRProvider (#6031) (ca97dc8)
add Stack component (#5987) (57be243)
Collapse: add horizontal animation (#5993) (c8f0d1d)
BREAKING CHANGES
When using objects in Col breakpoint props, span is no longer true by default
Removed CardColumns because it was dropped in Bootstrap 5
FormCheck feedback type is now controlled by feedbackType instead of isValid and isInvalid."
31,"1.6.3 (2021-09-08)
Bug Fixes

Modal: fix children typing (#6023) (30ceea8)
","1.6.3 (2021-09-08)
Bug Fixes
Modal: fix children typing (#6023) (30ceea8)"
