Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
1,Extracted @redux-saga/delay-p & @redux-saga/symbols,0.7842525,@redux-saga/delay-p@1.2.1,"Regarding the @redux/toolkit documents, an object will be passed to the configureStore function. The current code in line 91 won't work and throws a typescript error.",1
2,Update prettier,0.5980217,"This is rather a smaller release, but some things have changed or got improved.",Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com,0
3,Grammar fix,0.5245236,"},","We already allowed channel to be passed into createSagaMiddleware, this change simply updates our types to match our implementation. I also added a recipe for batching redux actions since it is a very common paradigm and something I've had to re-write multiple times from memory. Co-authored-by: Mateusz Burzyński mateuszburzynski@gmail.com",0
4,Fix error in rootSaga pattern code example,0.6356609,import rootSaga from './sagas',,0
5,Merge pull request #356 from chentsulin/patch-2,0.5113404,A small patch with the following merges,,0
6,Merge pull request #402 from Moeriki/master,0.4756767,- issue with joiner not ending in cancelled state when joining cancelled task ,This allows us to automatically deploy the docs website when pushing or merging to our main branch.,0
7,comments on why async dispatch is necessary,0.5692581,"  dispatch: ...,",,0
8,Tweaked .eslintignore rule,0.4710453,#2261 5ae6578 Thanks @neurosnap! - Require CpsCallback in all functions passed to the cps effect creator. This fixes a regression caused by TS 4.0 changing the behavior around spreading never into tuple types,The documentation here doesn't match what the real behavior is. (Also inconsistent with the readme docs),0
9,Update type test and docs for join/cancel effects,0.5319731,"- signature of join & cancel, they both accept now a single task descriptor or an array of those (previously they have accepted variadic length of arguments)", use configureStore instead of createStore,0
10,Merge pull request #338 from raychouio/fix/example-package,0.5168161,#2270 d2579a2 Thanks @Methuselah96! - Inlined Redux Action type to fix compatibility with strict package managers.,Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com,0
11,Made sagaStack property non-enumerable (closes #934),0.6360701,        // error is an instance of SagaCancellationException,,0
12,Updated with feedback,0.6158361,Improved:, bug: throttle now accepts a channel as originally intended  Co-authored-by: Mateusz Burzyński mateuszburzynski@gmail.com Closes: #1805  Update .changeset/neat-wolves-wink.md  Co-authored-by: Mateusz Burzyński mateuszburzynski@gmail.com,0
13,Allow to transform/filter actions sent to the Sagas,0.67486835,allowing sagaMonitor to be used in react-native (thanks to @benhughes),values,0
14,Merge pull request #1759 from Dai7Igarashi/igarashi/fix-saga,0.49582145,#2270 d2579a2 Thanks @Methuselah96! - Inlined Redux Action type to fix compatibility with strict package managers.,Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com,0
15,Update README_zh-cn.md (#1337),0.4411311,"Updated dependencies [bed4458, 612cae8, 979b8b4, 20f22a8, d2579a2, 2d2214e]:",,0
16,TypeScript: update Task interface,0.65193105,#2004 20f22a8 Thanks @gilbsgilbs! - A generic type has been added to the Task interface and that should be preferred over using a generic parameter in Task#result and Task#toPromise.,Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com,0
17,added more docs,0.7895682,- many docs improvements,,1
18,update docs/api: yield take(...) return an action object (#1616),0.582672,"yield* takeEvery('ACTION', worker) // this WON'T work, as effect is just an object",,0
19,babel-plugin: dont cache process.cwd,0.5215234,"- we are reusing @babel/runtime helpers, this has helped us to remove some bytes from our bundles",,0
20,Fix hot reducer loading in examples/real-world,0.50343263,"- fixed internal scheduler and its recursive nature, now its trampolining and cannot cause stack's overflow, thanks to @pbadenski and @wilsaj",,0
21,typo: paylaod => payload,0.45433652,- madesagaStackproperty non-enumerable (this is attached sometimes byredux-saga` to the thrown Errors),  add package entry points   Add package.json#exports to more packages and introduce import-condition-proxy.mjs where needed   Co-authored-by: Mateusz Burzyński mateuszburzynski@gmail.com,0
22,package.json update,0.6419553,"- Added ""jsnext:main"" entry to package.json for ES2015 module import (PR #204)",,0
23,Add note regarding PUT effects on the store,0.4925955,  storeIO(store),As per https://github.com/redux-saga/redux-saga/issues/1831,0
24,added more tests for put effect,0.4746251,"test('getData', assert => {","  Adds isAborted and joiners to mock task   Refactors mock task internals to have status enum   Removes setRunning, ensures valid transitions, adds tests & updates docs   Adds more cancel & join tests for mock tasks   Re-adds setRunning with deprecation warning   Creates changeset ",0
25,import monitor directly;,0.6605344,- monitor,  Updates types to eliminate void-emitting channel pitfall   Creates changeset ,0
26,"Fixed internal matcher for take effects, so it supports Symbol action.types (#781)",0.6507841,take effect supporting Symbol types again - thanks to @iMoses ,,0
27,Merge pull request #258 from saiyeek/master,0.46157968,Task cancellation support. Thanks to @aikoven for this one. (issue #14).,"The explanation surrounding the example race() use didn't previously mention that if call(fetchUsers) rejects, that rejection reason is thrown by race.  Clarify what happens when a racing effect throws.",0
28,Only call onError with uncaught errors,0.70442766,Also onError should get called now even if you throw non-Errors in your code.,  fix heading for using channels to communicate between sagas   first step documenting multicastChannel ,1
29,"Added npm scripts to build, serve locally and publish documentation",0.4687556,"import { createStore, applyMiddleware } from 'redux'",,0
30,babel-plugin: fixed template issue,0.5340245,"- removed#PUREannotations from the source code, adding them automatically with [annotate-pure-calls babel's plugin](https://github.com/Andarist/babel-plugin-annotate-pure-calls)",  Remove bundlesize CI check and instead use compressed-size-action to check for bundle sizes   rm bundlesize   update yarn.lock ,0
31,Add dev-only warning when saga gets used with async generator (#1604),0.7972058,"- added dev warning about using async generators, they are not supported by redux-saga",Add closing parenthesis,1
32,Removing mentions of .done and replacing with .toPromise() (#1456),0.5700666,- task.done getter was changed to be task.toPromise method," docs(BeginneruTutorial): manual browser tab opening  Added mention that tab will not open automatically, you need to open it manually  Update docs/introduction/BeginnerTutorial.md  Co-authored-by: Eric Bower me@erock.io Co-authored-by: Eric Bower me@erock.io",0
33,Use jest.useFakeTimer instead of lolex. (#1687),0.46680143,#2297 fdca798 Thanks @lourd! - Adds missing isAborted method to mock task and deprecates its setRunning method,Tried to see if it had been hosted elsewhere but no luck.,0
34,Update filename references in package.json,0.6106329,"- Added ""jsnext:main"" entry to package.json for ES2015 module import (PR #204)",  Improve Task typing.   Default to the outer type param within Task interface   Add changeset   Co-authored-by: Mateusz Burzyński mateuszburzynski@gmail.com,0
35,update tests,0.5211762,A patch release including some fixes,  Add redux as dependency of @redux-saga/types   Create silly-dogs-compete.md   Inline Action type   Update silly-dogs-compete.md   Action type is string   Update .changeset/silly-dogs-compete.md   Co-authored-by: Mateusz Burzyński mateuszburzynski@gmail.com,0
36,Add 'What is Redux-Saga?' blog post to external resources (#1501),0.57009506,- is helper should be imported from @redux-saga/is.,,0
37,Using files entry in package.json instead of .npmignore file (closes #1113),0.6729934,"#2308 8207e33 Thanks @Andarist, @neurosnap! - exports field has been added to the package.json manifest. It limits what files can be imported from a package but we've tried our best to allow importing all the files that were considered to be a part of the public API.",  update ci yml   update contributing guide   remove expectation thats failing tests   update bundlesize   dtslint failing because of concurrency issues   use new setup-node gh action   remove parallel from tests because dtslint tests are clobbering each other   fix cps type error when function provided doesn't have a cps callback function   remove conditional type for cps   Tweak types for cps   Require cps callback in all overloads   add pull request to github action   add changeset   upgrade dtslint   Update .changeset/itchy-worms-give.md   Co-authored-by: Mateusz Burzyński mateuszburzynski@gmail.com,0
