Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Fixing typo (#10619),0.62475157,ca96f86 [fixed] typo in Link,,0
chore: sort contributors list,0.38659096,List of commits,,0
docs(DEVELOPMENT.md): fix typos (#10613),0.6038281,f5d4f36 [fixed] Docs Update,,0
Merge branch 'release-next',0.41865268,We anticipate this will be the last beta release before v6 stable next week.,,0
chore: Update version for release (#10601),0.54587966,"Skipping the changelog on this one, as @ryanflorence has a heavily refactored version coming in the next day or two. Please wait for that release before upgrading if you're not blocked by the previous release's packaging issues. ",  chore: Update version for release   Update changelogs    Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com Co-authored-by: Matt Brophy matt@brophy.org,0
Exit prerelease mode,0.3911451,e42a4ad [changed] Stop using npm prepublish script,,0
More docs updates,0.62431264,f5d4f36 [fixed] Docs Update,,0
Update docs for future flags,0.630357,    // specify future flags here,,0
chore: Update version for release (pre) (#10597),0.5726391,"Skipping the changelog on this one, as @ryanflorence has a heavily refactored version coming in the next day or two. Please wait for that release before upgrading if you're not blocked by the previous release's packaging issues. ",Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com,0
Add future.v7_startTransition flag (#10596),0.629879,Move React.startTransition usage behinds a future flag (#10596),,0
chore: Update version for release (pre) (#10589),0.5756443,"Skipping the changelog on this one, as @ryanflorence has a heavily refactored version coming in the next day or two. Please wait for that release before upgrading if you're not blocked by the previous release's packaging issues. ",Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com,0
Fix webpack/terser startTransition minification bug in production mode (#10588),0.94022584,Work around webpack/terser React.startTransition minification bug in production mode (#10588),,1
Enter prerelease mode,0.40339035,Preact support (#4423 by @kwelch),,0
chore: Update version for release (#10577),0.56691974,"Skipping the changelog on this one, as @ryanflorence has a heavily refactored version coming in the next day or two. Please wait for that release before upgrading if you're not blocked by the previous release's packaging issues. ",,0
chore: Update version for release (pre) (#10575),0.5710951,"Skipping the changelog on this one, as @ryanflorence has a heavily refactored version coming in the next day or two. Please wait for that release before upgrading if you're not blocked by the previous release's packaging issues. ",Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com,0
