Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
1,Rename withHistory => withRouting,0.63281107,Renamed useResolvedLocation to useResolvedPath to be more inline with the naming in the history API,,0
2,Update size snapshots,0.5282922,Quick Version Note,,0
3,Merge pull request #2649 from rackt/1.1-router.render,0.6291608,[react-router-dom-v5-compat] Add missed data router API re-exports (#10171),,0
4,docs(start/tutorial) fix: highlighting for changing  to  (#10025),0.56759465,Several docs improvements - #6410 (thanks @justsml),Co-authored-by: Michaël De Boey info@michaeldeboey.be,0
5,Remove some unneeded sanity checks.,0.5383739,handlers) so we've removed it.,Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com,0
6,fix regression to allow for empty-string paths (#6942),0.76870227,Fix regression passing empty string to matchPath (#6941),,1
7,Invert getRouteID default.,0.5911547,Remove useRenderDataRouter() in favor of /,,0
8,"Run tests against source, CJS, and UMD builds (#6209)",0.592902,Use Jest for testing (172dc16 by @mjackson),,0
9,NavLink - pass currentLocation to isActive prop (#6862) (#6863),0.72421634,Add sensitive prop on NavLink (#7251 by @caseywebdev),,1
10,updated changelog,0.90063363,Full Changelog,,1
11,"fix(tutorial): use ""root"" as root div id (#8582)",0.5942749,87b1c2a [fixed] Navigation to root URL can fail,This reverts commit 77ec0532fca7628f0b1b92fd989eb807ff7a84d1.,0
12,Use + instead of %20 to encode spaces in URLs,0.6259288,"Better handle encoding/matching with special characters in URLs and route paths (#9477, #9496)",This reverts commit 2e00eea0d4d4034578afb929555594642c3d7f9e.,0
13,Explain the updated animation example,0.7200812,b8018b1 [added] animation example,,1
14,Merge branch 'dev' into release-next,0.59172845,Development for v6 has switched from dev to the main branch.,,0
15,Remove RefreshHistory,0.74726844,042cffc [changed] Removed histories/added history dep,,1
16,Fix lint issues,0.55025446,Fix issues building with webpack + React 17 (#8938),,0
17,Merge pull request #3467 from ahstro/patch-1,0.54162085,fix: Handle fetcher 404s as normal boundary errors (#9015),,0
18,fix index routes inside async pathless routes (#4147),0.9407692,Fix index routes inside async pathless routes (#4147 by @taurose),,1
19,Remove master warning now that we have next.,0.63832927,handlers) so we've removed it.,,0
20,Clean up Karma config,0.4172752,handlers) so we've removed it.,,0
21,[fixed] Active state on s with key prop,0.90608,273625a [fixed] Active state on s with key prop,,1
22,fix every route being active at the root,0.62872946,751ca25 [fixed] Don't match empty routes for isActive,,0
23,Fix 6.4 tutorial import (#9209),0.6196096,Use direct imports in platform packages (#5095 by @ruiaraujo),,0
24,Do not require ,0.48016793,"We didn't actually need this. Just use this.isActive(to, params,",,0
25,"Add an ""Importing"" section to the upgrade guide",0.6586126,Updated the contributing guide,,0
26,Added back transition hooks,0.5927129,be37196 [fixed] Actually update state when there are transition hooks,,0
27,Merge pull request #1998 from rackt/cleanup/query-utils,0.54274404,Fix requests sent to revalidating loaders so they reflect a GET request (#9660),fix: surface errors to the proper error boundary after _internalSetRoutes Update .changeset/hmr-error-boundary.md Co-authored-by: Matt Brophy matt@brophy.org,0
28,Fix spelling for components (#8279),0.5865384,We fixed a few bugs in useHref that resulted in the incorrect resolved value in cases where a basename is used on the  component (See #8133 and #8142 for details).,Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com,0
29,Update table of contents,0.7197921,Updates,,1
30,release v0.10.0,0.7289643,// v0.13.x,,1
31,font fallbacks,0.43668866,  }],,0
32,docs(routers/create-browser-router): fix Future Flags link (#10388),0.6299949,7536d96 [fixed] warning on links w/o params,,0
33,Call transition hooks when query changes for useQueries,0.7126074,90cd750 [fixed] Call all transition hooks on query changes,,1
34,"Fix ""from"" destructuring in Login component (#4449)",0.5668883,  login: function () {,,0
35,chore: Update version for release (#10142),0.6004076,Released! No code changes from 4.0.0-beta.8,,0
36,fix: trailing slash behavior on pathless routing when using a basename (#9048),0.99258745,fix: Fix trailing slash behavior on pathless routing when using a basename (#9045),,1
37,Merge pull request #1084 from pherris/master,0.49669236,fix: Handle fetcher 404s as normal boundary errors (#9015),,0
38,Merge pull request #1234 from prathamesh-sonpatki/fix-typos-in-links,0.5559974,Fix Link component prop type check (#7276 by @ypyakymiv),,0
39,Fix type of initialIndex (#4405),0.7522015,"Allow initialIndex, initialIndex in NativeRouter (#4415 by @IljaDaderko)",,1
40,Merge pull request #2911 from taion/remove-unused-util,0.5134275,Removed APIs,,0
41,Update package-lock and size-snapshot from fresh install,0.5042035,Reduced install size and bundle size by switching to mini-create-react-context (992af48),Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com,0
42,update useState URL to current (#10378),0.67567605,Add support for functional updates in useSearchParams (similar to the useState callback signature) (#8955),Co-authored-by: Alexander Nanberg alex.nanberg@hotmail.com,0
43,Disallow useLoaderData in errorElement (#9735),0.9666228,Prevent useLoaderData usage in errorElement (#9735),,1
