Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
1,fix: a bug with clicking icon in dock,0.68616617,- fix: wrong app icon (#95),"Updated package.json to build proper DMG electron-builder v22 -> v23 to fix builds on macOS 12.3+ Made sure to use Python3 when building for future-proofing (Re-)Update dependencies accidentally downgraded Fix universal macOS builds, testing fixed workflow Remove extra x86/ARM-only builds for macOS Update checkout@v2 -> checkout@v3 Remove Linux ia32 build because Electron isn't available for ia32 (This would prevent you from building the Linux version at all) Clean up Linux workflow (uses new upload-artifact@v3 featuers) Polish Linux/Windows workflows Fix Windows workflow not publishing instaler Update actions to Node.js 16 in publism.yml Quick change, publish the Windows Appx builds I seem to have forgotten a single backslash",0
2,Attempt to create PKGBUILD and fix icons.,0.66071963,- Fix AppX icons,close link,0
3,feat: update yarn & make dmg file build with background by default,0.49217772,- feat(ci): generate DMG rather than ZIP,[skip ci],0
4,fix: use getConfig() instead of store.getConfig,0.9035514,- fix: use getConfig() instead of store.getConfig to prevent error on quit,[skip ci],1
5,feat(ci): generate a DMG rather than a ZIP (#57),0.94824135,- feat(ci): generate DMG rather than ZIP,,1
6,chore: update commit hash,0.32676992,Note: assets marked as DO_NOT_USE have not been tested and likely won't work,,0
7,Add Discord RPC.,0.99999994,Add Discord RPC.,,1
8,chore: add dmg build to release CI [skip ci],0.6613583,- feat(ci): generate DMG rather than ZIP,,0
9,fix: update URL in RPC,0.6053381,- Update Discord RPC,,0
10,fix: use electron17,0.33985692,- fix: wrong app icon (#95),,0
11,fix: correctly restore from tray on 2nd start,0.88275564,- fix: correctly restore from tray icon on second instance start,,1
12,chore: bump version,0.42007783,Add hardware acceleration toggle.,,0
13,ci: update global workflows (#45),0.503926,- Automate CI for publishing new releases.,,0
14,fix: missing taskbar icon and fixed name in notifications (#54),0.6606381,- fix: wrong app icon (#95),,0
15,Contributor line is not needed apparently.,0.2240406,Add Discord RPC.,,0
16,feat: tray icon / minimise to tray config,0.7929435,- feat: allow minimising the app to the tray,,1
17,chore: enable yarn berry,0.36155167,- feat: add spell check,,0
18,Finalise(?) PKGBUILD for revolt-desktop-git,0.63328403,"If you are on Arch Linux, install revolt-desktop-git.",,0
19,ci: Created local '.github/workflows/triage_pr.yml' from remote 'workflows/triage_pr.yml',0.3582904,- Automate CI for publishing new releases.,,0
20,Fix version.,0.47917974,- Update Discord RPC,,0
21,merge: pull request #123 from xhayper/patch-1,0.46132493,- feat: prevent launching multiple instances (link),,0
22,Add submodule file.,0.43965617,Add Discord RPC.,closes #86,0
23,Add auto updater.,0.7001276,- Windows (Setup) (has auto-updates),,1
24,chore(ci): try to publish through CI,0.671008,- Automate CI for publishing new releases.,,0
25,fix(readme): don't include submodules for start,0.46169516,- fix: artifact like shapes on start (link),,0
