Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Fix issue in getting current request through classmethod when served through a different ASGI server (#2760),0.6099774,2432 Expose ASGI scope as a property on the Request object,,0
Fix JSONResponse default content type (#2737),0.56973827,2569 Add JSONResponse class with some convenient methods when updating a response object,,0
Release 23.3 (#2723),0.6655344,Version 22.3.0,,0
v23.3 Deprecation Removal (#2717),0.7484373,2332 Make all deprecation notices consistent,,1
Sync state tolerance (#2725),0.75658673,- #2725 Worker sync state tolerance on race condition,,1
Simpler CLI targets (#2700),0.9227006,2700 Simpler CLI targets,Co-authored-by: L. Kärkkäinen 98187+Tronic@users.noreply.github.com,1
Stricter charset handling and escaping of request URLs (#2710),0.95927286,- #2710 Stricter charset handling and escaping of request URLs,Co-authored-by: L. Karkkainen tronic@users.noreply.github.com,1
Add convenience methods for cookie creation and deletion (#2706),0.97423327,- #2706 Add convenience methods for cookie creation and deletion,"Add convenience methods for cookie creation and deletion Restore del Backwards compat, forward thinking Add delitem deprecation notice Add get full deprecation notice Add deprecation docstring Better deprecation docstring Add has_cookie Same defaults Better deprecation message Accessor annotations make pretty parse cookies Revert quote translator make pretty make pretty Add unit tests Make pretty Fix unit tests Directly include unquote Add some more unit tests Move modules into their own dir make pretty cleanup test imports Add test for cookie accessor Make test consistent Remove file Remove additional escaping Add header style getattr for hyphens Add test for cookie accessor with hyphens Add new translator Parametrize test_request_with_duplicate_cookie_key make pretty Add deprecation of direct cookie encoding Speedup Cookie creation Implement prefixes on delete_cookie typing changes Add passthru functions on response objects for setting cookies Add test for passthru Co-authored-by: L. Kärkkäinen 98187+Tronic@users.noreply.github.com",1
Decode headers as UTF-8 also in ASGI (#2606),0.93879396,2606 Decode headers as UTF-8 also in ASGI,Co-authored-by: Adam Hopkins adam@amhopkins.com,1
Standardize init of exceptions (#2545),0.72626984,2545 Standardize init of exceptions for more consistent control of HTTP responses using exceptions,,1
Add CertLoader as application option (#2722),0.72370195,- #2722 Add CertLoader as application option for directly controlling SSLContext objects,,1
