Index,Release Note,Release Note With Abstraction
1,"Features

#2545 Standardize init of exceptions for more consistent control of HTTP responses using exceptions
#2606 Decode headers as UTF-8 also in ASGI
#2646 Separate ASGI request and lifespan callables
#2659 Use FALLBACK_ERROR_FORMAT for handlers that return empty()
#2662 Add basic file browser (HTML page) and auto-index serving
#2667 Nicer traceback formatting (HTML page)
#2668 Smarter error page rendering format selection; more reliant upon header and ""common sense"" defaults
#2680 Check the status of socket before shutting down with SHUT_RDWR
#2687 Refresh Request.accept functionality to be more performant and spec-compliant
#2696 Add header accessors as properties
    Example-Field: Foo, Bar
    Example-Field: Baz
python
    request.headers.example_field == ""Foo, Bar,Baz""

#2700 Simpler CLI targets
sh
$ sanic path.to.module:app          # global app instance
$ sanic path.to.module:create_app   # factory pattern
$ sanic ./path/to/directory/        # simple serve
- #2701 API to define a number of workers in managed processes
- #2704 Add convenience for dynamic changes to routing
- #2706 Add convenience methods for cookie creation and deletion
python
response = text(""..."")
response.add_cookie(""test"", ""It worked!"", domain="".yummy-yummy-cookie.com"")
- #2707 Simplified parse_content_header escaping to be RFC-compliant and remove outdated FF hack
- #2710 Stricter charset handling and escaping of request URLs
- #2711 Consume body on DELETE by default
- #2719 Allow password to be passed to TLS context
- #2720 Skip middleware on RequestCancelled
- #2721 Change access logging format to %s
- #2722 Add CertLoader as application option for directly controlling SSLContext objects
- #2725 Worker sync state tolerance on race condition


Bugfixes

#2651 ASGI websocket to pass thru bytes as is
#2697 Fix comparison between datetime aware and naive in file when using If-Modified-Since

Deprecations and Removals

#2666 Remove deprecated __blueprintname__ property

Improved Documentation

#2712 Improved example using 'https' to create the redirect


New Contributors

@r0x0d made their first contribution in https://github.com/sanic-org/sanic/pull/2666
@deounix made their first contribution in https://github.com/sanic-org/sanic/pull/2680
@mbendiksen made their first contribution in https://github.com/sanic-org/sanic/pull/2712
@stricaud made their first contribution in https://github.com/sanic-org/sanic/pull/2697

Full Changelog: https://github.com/sanic-org/sanic/compare/v22.12.0...v23.3.0","Features
2545 Standardize init of exceptions for more consistent control of HTTP responses using exceptions
2606 Decode headers as UTF-8 also in ASGI
2646 Separate ASGI request and lifespan callables
2659 Use FALLBACK_ERROR_FORMAT for handlers that return empty()
2662 Add basic file browser (HTML page) and auto-index serving
2667 Nicer traceback formatting (HTML page)
2668 Smarter error page rendering format selection; more reliant upon header and ""common sense"" defaults
2680 Check the status of socket before shutting down with SHUT_RDWR
2687 Refresh Request.accept functionality to be more performant and spec-compliant
2696 Add header accessors as properties
module
python
    request.headers.example_field == ""Foo, Bar,Baz""
2700 Simpler CLI targets
sh
$ sanic path.to.module:app          # global app instance
$ sanic path.to.module:create_app   # factory pattern
$ sanic ./path/to/directory/        # simple serve
- #2701 API to define a number of workers in managed processes
- #2704 Add convenience for dynamic changes to routing
- #2706 Add convenience methods for cookie creation and deletion
python
response = text(""..."")
response.add_cookie(""test"", ""It worked!"", domain="".yummy-yummy-cookie.com"")
- #2707 Simplified parse_content_header escaping to be RFC-compliant and remove outdated FF hack
- #2710 Stricter charset handling and escaping of request URLs
- #2711 Consume body on DELETE by default
- #2719 Allow password to be passed to TLS context
- #2720 Skip middleware on RequestCancelled
- #2721 Change access logging format to %s
- #2722 Add CertLoader as application option for directly controlling SSLContext objects
- #2725 Worker sync state tolerance on race condition
Bugfixes
2651 ASGI websocket to pass thru bytes as is
2697 Fix comparison between datetime aware and naive in file when using If-Modified-Since
Deprecations and Removals
2666 Remove deprecated blueprintname property
Improved Documentation
2712 Improved example using 'https' to create the redirect
New Contributors
@r0x0d made their first contribution in link
@deounix made their first contribution in link
@mbendiksen made their first contribution in link
@stricaud made their first contribution in link
Full Changelog: link"
2,"Features

#2569 Add JSONResponse class with some convenient methods when updating a response object
#2598 Change uvloop requirement to >=0.15.0
#2609 Add compatibility with websockets v11.0
#2610 Kill server early on worker error
Raise deadlock timeout to 30s


#2617 Scale number of running server workers
#2621 #2634 Send SIGKILL on subsequent ctrl+c to force worker exit
#2622 Add API to restart all workers from the multiplexer

#2624 Default to spawn for all subprocesses unless specifically set:
    ```python
    from sanic import Sanic
Sanic.start_method = ""fork""
``
- [#2625](https://github.com/sanic-org/sanic/pull/2625) Filename normalisation of form-data/multipart file uploads
- [#2626](https://github.com/sanic-org/sanic/pull/2626) Move to HTTP Inspector:
- Remote access to inspect running Sanic instances
- TLS support for encrypted calls to Inspector
- Authentication to Inspector with API key
- Ability to extend Inspector with custom commands
- [#2632](https://github.com/sanic-org/sanic/pull/2632) Control order of restart operations
- [#2633](https://github.com/sanic-org/sanic/pull/2633) Move reload interval to class variable
- [#2636](https://github.com/sanic-org/sanic/pull/2636) Addprioritytoregister_middlewaremethod
- [#2639](https://github.com/sanic-org/sanic/pull/2639) Addunquotetoadd_routemethod
- [#2640](https://github.com/sanic-org/sanic/pull/2640) ASGI websockets to receivetextorbytes`


Bugfixes

#2607 Force socket shutdown before close to allow rebinding
#2590 Use actual StrEnum in Python 3.11+
#2615 Ensure middleware executes only once per request timeout
#2627 Crash ASGI application on lifespan failure
#2635 Resolve error with low-level server creation on Windows

Deprecations and Removals

#2608 #2630 Signal conditions and triggers saved on signal.extra 
#2626 Move to HTTP Inspector
🚨 BREAKING CHANGE: Moves the Inspector to a Sanic app from a simple TCP socket with a custom protocol
DEPRECATE: The --inspect* commands have been deprecated in favor of inspect ... commands


#2628 Replace deprecated distutils.strtobool

Developer infrastructure

#2612 Add CI testing for Python 3.11


Full Changelog: https://github.com/sanic-org/sanic/compare/v22.9.1...v22.12.0","Features
2569 Add JSONResponse class with some convenient methods when updating a response object
2598 Change uvloop requirement to >=0.15.0
2609 Add compatibility with websockets v11.0
2610 Kill server early on worker error
Raise deadlock timeout to 30s
2617 Scale number of running server workers
2621 #2634 Send SIGKILL on subsequent ctrl+c to force worker exit
2622 Add API to restart all workers from the multiplexer
2624 Default to spawn for all subprocesses unless specifically set:
module
Sanic.start_method = ""fork""
module
Bugfixes
2607 Force socket shutdown before close to allow rebinding
2590 Use actual StrEnum in Python 3.11+
2615 Ensure middleware executes only once per request timeout
2627 Crash ASGI application on lifespan failure
2635 Resolve error with low-level server creation on Windows
Deprecations and Removals
2608 #2630 Signal conditions and triggers saved on signal.extra
2626 Move to HTTP Inspector
🚨 BREAKING CHANGE: Moves the Inspector to a Sanic app from a simple TCP socket with a custom protocol
DEPRECATE: The --inspect* commands have been deprecated in favor of inspect ... commands
2628 Replace deprecated distutils.strtobool
Developer infrastructure
2612 Add CI testing for Python 3.11
Full Changelog: link"
3,"What's Changed

docs: sanic now supports windows by @SaidBySolo in https://github.com/sanic-org/sanic/pull/2582
Upgrade markdown templates to issue forms by @ahopkins in https://github.com/sanic-org/sanic/pull/2588
improve error message if no apps found in registry by @scardozos in https://github.com/sanic-org/sanic/pull/2585
fix: sideeffects created by changing fork to spawn by @SaidBySolo in https://github.com/sanic-org/sanic/pull/2591
22.9 Docs by @ahopkins in https://github.com/sanic-org/sanic/pull/2556
Add interval sleep in reloader by @ahopkins in https://github.com/sanic-org/sanic/pull/2595
Resolve edge case in nested BP Groups by @ahopkins in https://github.com/sanic-org/sanic/pull/2592
Add GenericCreator for loading SSL certs in processes by @ahopkins in https://github.com/sanic-org/sanic/pull/2578

New Contributors

@scardozos made their first contribution in https://github.com/sanic-org/sanic/pull/2585

Full Changelog: https://github.com/sanic-org/sanic/compare/v22.9.0...v22.9.1","What's Changed
docs: sanic now supports windows by @SaidBySolo in link
Upgrade markdown templates to issue forms by @ahopkins in link
improve error message if no apps found in registry by @scardozos in link
fix: sideeffects created by changing fork to spawn by @SaidBySolo in link
22.9 Docs by @ahopkins in link
Add interval sleep in reloader by @ahopkins in link
Resolve edge case in nested BP Groups by @ahopkins in link
Add GenericCreator for loading SSL certs in processes by @ahopkins in link
New Contributors
@scardozos made their first contribution in link
Full Changelog: link"
4,"Features

#2445 Add custom loads function 
#2490 Make WebsocketImplProtocol async iterable
#2499 Sanic Server WorkerManager refactor
#2506 Use pathlib for path resolution (for static file serving)
#2508 Use path.parts instead of match (for static file serving)
#2513 Better request cancel handling
#2516 Add request properties for HTTP method info:
request.is_safe
request.is_idempotent
request.is_cacheable
See MDN docs for more information about when these apply


#2522 Always show server location in ASGI
#2526 Cache control support for static files for returning 304 when appropriate
#2533 Refactor _static_request_handler
#2540 Add signals before and after handler execution
http.handler.before
http.handler.after


#2542 Add [redacted] to CLI :)
#2546 Add deprecation warning filter
#2550 Middleware priority and performance enhancements

Bugfixes

#2495 Prevent directory traversion with static files
#2515 Do not apply double slash to paths in certain static dirs in Blueprints

Deprecations and Removals

#2525 Warn on duplicate route names, will be prevented outright in v23.3
#2537 Raise warning and deprecation notice on duplicate exceptions, will be prevented outright in v23.3

Developer infrastructure

#2504 Cleanup test suite
#2505 Replace Unsupported Python Version Number from the Contributing Doc
#2530 Do not include tests folder in installed package resolver

Improved Documentation

#2502 Fix a few typos
#2517 #2536 Add some type hints


New Contributors

@huntzhan made their first contribution in https://github.com/sanic-org/sanic/pull/2530
@monosans made their first contribution in https://github.com/sanic-org/sanic/pull/2536

Full Changelog: https://github.com/sanic-org/sanic/compare/v22.6.0...v22.9.0","Features
2445 Add custom loads function
2490 Make WebsocketImplProtocol async iterable
2499 Sanic Server WorkerManager refactor
2506 Use pathlib for path resolution (for static file serving)
2508 Use path.parts instead of match (for static file serving)
2513 Better request cancel handling
2516 Add request properties for HTTP method info:
request.is_safe
request.is_idempotent
request.is_cacheable
See MDN docs for more information about when these apply
2522 Always show server location in ASGI
2526 Cache control support for static files for returning 304 when appropriate
2533 Refactor _static_request_handler
2540 Add signals before and after handler execution
http.handler.before
http.handler.after
2542 Add [redacted] to CLI :)
2546 Add deprecation warning filter
2550 Middleware priority and performance enhancements
Bugfixes
2495 Prevent directory traversion with static files
2515 Do not apply double slash to paths in certain static dirs in Blueprints
Deprecations and Removals
2525 Warn on duplicate route names, will be prevented outright in v23.3
2537 Raise warning and deprecation notice on duplicate exceptions, will be prevented outright in v23.3
Developer infrastructure
2504 Cleanup test suite
2505 Replace Unsupported Python Version Number from the Contributing Doc
2530 Do not include tests folder in installed package resolver
Improved Documentation
2502 Fix a few typos
2517 #2536 Add some type hints
New Contributors
@huntzhan made their first contribution in link
@monosans made their first contribution in link
Full Changelog: link"
5,"2522 Always show server location in ASGI
Full Changelog: https://github.com/sanic-org/sanic/compare/v22.6.1...v22.6.2","2522 Always show server location in ASGI
Full Changelog: link"
6,"Resolves #2477 and #2478 
See also #2495 and https://github.com/sanic-org/sanic/security/advisories/GHSA-8cw9-5hmv-77w6
Full Changelog: https://github.com/sanic-org/sanic/compare/v22.6.0...v22.6.1","Resolves #2477 and #2478 
See also #2495 and link
Full Changelog: link"
7,"Resolves #2477 and #2478 
See also #2495 and https://github.com/sanic-org/sanic/security/advisories/GHSA-8cw9-5hmv-77w6
Full Changelog: https://github.com/sanic-org/sanic/compare/v21.12.1...v21.12.2","Resolves #2477 and #2478 
See also #2495 and link
Full Changelog: link"
8,"Resolves #2477 and #2478 
See also #2495 and https://github.com/sanic-org/sanic/security/advisories/GHSA-8cw9-5hmv-77w6
Full Changelog: https://github.com/sanic-org/sanic/compare/v20.12.6...v20.12.7","Resolves #2477 and #2478 
See also #2495 and link
Full Changelog: link"
9,"Features

#2378 Introduce HTTP/3 and autogeneration of TLS certificates in DEBUG mode
👶 EARLY RELEASE FEATURE: Serving Sanic over HTTP/3 is an early release feature. It does not yet fully cover the HTTP/3 spec, but instead aims for feature parity with Sanic's existing HTTP/1.1 server. Websockets, WebTransport, push responses are examples of some features not yet implemented.
📦 EXTRA REQUIREMENT: Not all HTTP clients are capable of interfacing with HTTP/3 servers. You may need to install a HTTP/3 capable client.
📦 EXTRA REQUIREMENT: In order to use TLS autogeneration, you must install either mkcert or trustme.


#2416 Add message to task.cancel
#2420 Add exception aliases for more consistent naming with standard HTTP response types (BadRequest, MethodNotAllowed, RangeNotSatisfiable)
#2432 Expose ASGI scope as a property on the Request object
#2438 Easier access to websocket class for annotation: from sanic import Websocket
#2439 New API for reading form values with options: Request.get_form 
#2445 Add custom loads function
#2447, #2486 Improved API to support setting cache control headers
#2453 Move verbosity filtering to logger
#2475 Expose getter for current request using Request.get_current()

Bugfixes

#2448 Fix to allow running with pythonw.exe or places where there is no sys.stdout
#2451 Trigger http.lifecycle.request signal in ASGI mode
#2455 Resolve typing of stacked route definitions
#2463 Properly catch websocket CancelledError in websocket handler in Python 3.7

Deprecations and Removals

#2487 v22.6 deprecations and changes
Optional application registry
Execution of custom handlers after some part of response was sent
Configuring fallback handlers on the ErrorHandler
Custom LOGO setting
sanic.response.stream
AsyncioServer.init



Developer infrastructure

#2449 Clean up black and isort config
#2479 Fix some flappy tests

Improved Documentation

#2461 Update example to match current application naming standards
#2466 Better type annotation for Extend
#2485 Improved help messages in CLI


New Contributors

@azimovMichael made their first contribution in https://github.com/sanic-org/sanic/pull/2432
@amitay87 made their first contribution in https://github.com/sanic-org/sanic/pull/2461
@zozzz made their first contribution in https://github.com/sanic-org/sanic/pull/2451
@kijk2869 made their first contribution in https://github.com/sanic-org/sanic/pull/2466
@timmo001 made their first contribution in https://github.com/sanic-org/sanic/pull/2448

Full Changelog: https://github.com/sanic-org/sanic/compare/v22.3.1...v22.6.0","Features
2378 Introduce HTTP/3 and autogeneration of TLS certificates in DEBUG mode
👶 EARLY RELEASE FEATURE: Serving Sanic over HTTP/3 is an early release feature. It does not yet fully cover the HTTP/3 spec, but instead aims for feature parity with Sanic's existing HTTP/1.1 server. Websockets, WebTransport, push responses are examples of some features not yet implemented.
📦 EXTRA REQUIREMENT: Not all HTTP clients are capable of interfacing with HTTP/3 servers. You may need to install a HTTP/3 capable client.
📦 EXTRA REQUIREMENT: In order to use TLS autogeneration, you must install either mkcert or trustme.
2416 Add message to task.cancel
2420 Add exception aliases for more consistent naming with standard HTTP response types (BadRequest, MethodNotAllowed, RangeNotSatisfiable)
2432 Expose ASGI scope as a property on the Request object
2438 Easier access to websocket class for annotation: from sanic import Websocket
2439 New API for reading form values with options: Request.get_form
2445 Add custom loads function
2447, #2486 Improved API to support setting cache control headers
2453 Move verbosity filtering to logger
2475 Expose getter for current request using Request.get_current()
Bugfixes
2448 Fix to allow running with pythonw.exe or places where there is no sys.stdout
2451 Trigger http.lifecycle.request signal in ASGI mode
2455 Resolve typing of stacked route definitions
2463 Properly catch websocket CancelledError in websocket handler in Python 3.7
Deprecations and Removals
2487 v22.6 deprecations and changes
Optional application registry
Execution of custom handlers after some part of response was sent
Configuring fallback handlers on the ErrorHandler
Custom LOGO setting
sanic.response.stream
AsyncioServer.init
Developer infrastructure
2449 Clean up black and isort config
2479 Fix some flappy tests
Improved Documentation
2461 Update example to match current application naming standards
2466 Better type annotation for Extend
2485 Improved help messages in CLI
New Contributors
@azimovMichael made their first contribution in link
@amitay87 made their first contribution in link
@zozzz made their first contribution in link
@kijk2869 made their first contribution in link
@timmo001 made their first contribution in link
Full Changelog: link"
10,"Full Changelog: https://github.com/sanic-org/sanic/compare/v22.3.1...v22.3.2

Resolve warning issue with error handler mismatch warning 
https://github.com/sanic-org/sanic/commit/3a1a9f071df24e2fe0ff5aac7d529019034fe898
","Full Changelog: link
Resolve warning issue with error handler mismatch warning 
link"
