Index,Release Note,Release Note With Abstraction
1,"What's Changed

Fix macOS ui by @dusansimic in https://github.com/sindresorhus/caprine/pull/2014
Add nvmrc file by @Alex313031 in https://github.com/sindresorhus/caprine/pull/2017
Add Apple Silicon support by @dusansimic in https://github.com/sindresorhus/caprine/pull/2015
macOS builds signed again!

New Contributors

@Alex313031 made their first contribution in https://github.com/sindresorhus/caprine/pull/2017

Full Changelog: https://github.com/sindresorhus/caprine/compare/v2.57.3...v2.57.4","What's Changed
Fix macOS ui by @dusansimic in link
Add nvmrc file by @Alex313031 in link
Add Apple Silicon support by @dusansimic in link
macOS builds signed again!
New Contributors
@Alex313031 made their first contribution in link
Full Changelog: link"
2,Full Changelog: https://github.com/sindresorhus/caprine/compare/v2.57.2...v2.57.3,Full Changelog: link
3,"What's Changed

Fix open links issue by @dusansimic in https://github.com/sindresorhus/caprine/pull/2007
Bump Electron to latest release

Full Changelog: https://github.com/sindresorhus/caprine/compare/v2.57.1...v2.57.2","What's Changed
Fix open links issue by @dusansimic in link
Bump Electron to latest release
Full Changelog: link"
4,"What's Changed

Fix hidden dialog issue by @dusansimic in https://github.com/sindresorhus/caprine/pull/2006

Full Changelog: https://github.com/sindresorhus/caprine/compare/v2.57.0...v2.57.1","What's Changed
Fix hidden dialog issue by @dusansimic in link
Full Changelog: link"
5,"What's Changed

Set window title to ""Caprine"" by @lefterisgar in https://github.com/sindresorhus/caprine/pull/1889
Merge css stylesheets by @lefterisgar in https://github.com/sindresorhus/caprine/pull/1891
Completely remove old design code by @lefterisgar in https://github.com/sindresorhus/caprine/pull/1893
Add rpm spec by @dusansimic in https://github.com/sindresorhus/caprine/pull/1896
Remove new ""Install Messenger app"" banner by @mquevill in https://github.com/sindresorhus/caprine/pull/1899
Fix custom css default file by @dusansimic in https://github.com/sindresorhus/caprine/pull/1903
Fix search close button color in dark mode by @dusansimic in https://github.com/sindresorhus/caprine/pull/1931
Fix attachment and receiver pill background in dark mode by @sfrunza13 in https://github.com/sindresorhus/caprine/pull/1933
Fix ""Join room"" background button on dark theme by @jrafaelsantana in https://github.com/sindresorhus/caprine/pull/1938
Fix create room icon color in dark mode by @jrafaelsantana in https://github.com/sindresorhus/caprine/pull/1937
CI: Use setup-node action for caching by @lefterisgar in https://github.com/sindresorhus/caprine/pull/1941
Fix dark mode icons by @lefterisgar in https://github.com/sindresorhus/caprine/pull/1942
Fix new room button shortcut by @lefterisgar in https://github.com/sindresorhus/caprine/pull/1946
Fix insert buttons (GIF, Sticker, Emoji, Files) shortcuts by @lefterisgar in https://github.com/sindresorhus/caprine/pull/1947
Fix radio buttons & right sidebar search icon color in dark mode by @lefterisgar in https://github.com/sindresorhus/caprine/pull/1948
Dark mode fixes by @lefterisgar in https://github.com/sindresorhus/caprine/pull/1955
Fix new design user menu by @dusansimic in https://github.com/sindresorhus/caprine/pull/1910
Fix voice message duration text color in dark mode by @dusansimic in https://github.com/sindresorhus/caprine/pull/1959

New Contributors

@sfrunza13 made their first contribution in https://github.com/sindresorhus/caprine/pull/1933
@jrafaelsantana made their first contribution in https://github.com/sindresorhus/caprine/pull/1938

Dependencies

Electron bumped to v21 https://github.com/sindresorhus/caprine/commit/04d79e074164ace65d0253283771b567dafe8da7

Full Changelog: https://github.com/sindresorhus/caprine/compare/v2.56.1...v2.57.0","What's Changed
Set window title to ""Caprine"" by @lefterisgar in link
Merge css stylesheets by @lefterisgar in link
Completely remove old design code by @lefterisgar in link
Add rpm spec by @dusansimic in link
Remove new ""Install Messenger app"" banner by @mquevill in link
Fix custom css default file by @dusansimic in link
Fix search close button color in dark mode by @dusansimic in link
Fix attachment and receiver pill background in dark mode by @sfrunza13 in link
Fix ""Join room"" background button on dark theme by @jrafaelsantana in link
Fix create room icon color in dark mode by @jrafaelsantana in link
CI: Use setup-node action for caching by @lefterisgar in link
Fix dark mode icons by @lefterisgar in link
Fix new room button shortcut by @lefterisgar in link
Fix insert buttons (GIF, Sticker, Emoji, Files) shortcuts by @lefterisgar in link
Fix radio buttons & right sidebar search icon color in dark mode by @lefterisgar in link
Dark mode fixes by @lefterisgar in link
Fix new design user menu by @dusansimic in link
Fix voice message duration text color in dark mode by @dusansimic in link
New Contributors
@sfrunza13 made their first contribution in link
@jrafaelsantana made their first contribution in link
Dependencies
Electron bumped to v21 link
Full Changelog: link"
6,"Announcement for Linux users
New installation options are available, including automatic updates on Debian-based versions using APT. Check the readme for more information.
What's New

Create new room by @lefterisgar in https://github.com/sindresorhus/caprine/pull/1883

What's Changed

Dark mode fixes (top gap, icons, radio buttons' accent color)
Fix insert buttons (GIF, Sticker, Emoji, Files)
Fix ""Find Conversation"" feature
Fix ""Show Message Buttons"" option by @lefterisgar and @dusansimic in https://github.com/sindresorhus/caprine/pull/1881
Fix private mode by @lefterisgar in https://github.com/sindresorhus/caprine/pull/1884
Remove code related to old design by @lefterisgar in https://github.com/sindresorhus/caprine/pull/1879
Various improvements to readme by @Danik1601, @dusansimic and @lefterisgar in https://github.com/sindresorhus/caprine/pull/1885

Full Changelog: https://github.com/sindresorhus/caprine/compare/v2.56.0...v2.56.1","Announcement for Linux users
New installation options are available, including automatic updates on Debian-based versions using APT. Check the readme for more information.
What's New
Create new room by @lefterisgar in link
What's Changed
Dark mode fixes (top gap, icons, radio buttons' accent color)
Fix insert buttons (GIF, Sticker, Emoji, Files)
Fix ""Find Conversation"" feature
Fix ""Show Message Buttons"" option by @lefterisgar and @dusansimic in link
Fix private mode by @lefterisgar in link
Remove code related to old design by @lefterisgar in link
Various improvements to readme by @Danik1601, @dusansimic and @lefterisgar in link
Full Changelog: link"
7,"What's Changed

Update Electron to 20 by @1nikolas, @nehalvpatel and @lefterisgar
Update to the new Messenger icon (2020)
Improved scrollbar theme by @mquevill in #1638
Add dark mode to cookies notification
Add maintainers in about dialog by @lefterisgar in https://github.com/sindresorhus/caprine/pull/1874
Add option to disable automatic updates
Enable auto-updates on Linux
Display a notification when a new update is available
Fix private mode
Fix adaptive, hidden and narrow sidebar
Fix ""Show Message Buttons"" option
Fix login button color in dark mode
Fix cookies notification accept button being hidden on smaller windows
Fix Caprine not starting on some Linux distros
Fix ci build step by @dusansimic in https://github.com/sindresorhus/caprine/pull/1872
Fix search icon dark mode color in right sidebar by @dusansimic in https://github.com/sindresorhus/caprine/pull/1849
Fix shortcuts by @dusansimic in https://github.com/sindresorhus/caprine/pull/1851
Hide all non-working features
Hide new Messenger app banner by @1nikolas in https://github.com/lefterisgar/caprine/pull/2
Select log out as last menu item by @mquevill in https://github.com/sindresorhus/caprine/pull/1853
Remove ""Allow All Cookies"" button to increase privacy
Remove all CSS related to old design

New Maintainers

Lefteris Garyfalakis
Michael Quevillon
Nikolas Spiridakis

Full Changelog: https://github.com/sindresorhus/caprine/compare/v2.55.7...v2.56.0","What's Changed
Update Electron to 20 by @1nikolas, @nehalvpatel and @lefterisgar
Update to the new Messenger icon (2020)
Improved scrollbar theme by @mquevill in #1638
Add dark mode to cookies notification
Add maintainers in about dialog by @lefterisgar in link
Add option to disable automatic updates
Enable auto-updates on Linux
Display a notification when a new update is available
Fix private mode
Fix adaptive, hidden and narrow sidebar
Fix ""Show Message Buttons"" option
Fix login button color in dark mode
Fix cookies notification accept button being hidden on smaller windows
Fix Caprine not starting on some Linux distros
Fix ci build step by @dusansimic in link
Fix search icon dark mode color in right sidebar by @dusansimic in link
Fix shortcuts by @dusansimic in link
Hide all non-working features
Hide new Messenger app banner by @1nikolas in link
Select log out as last menu item by @mquevill in link
Remove ""Allow All Cookies"" button to increase privacy
Remove all CSS related to old design
New Maintainers
Lefteris Garyfalakis
Michael Quevillon
Nikolas Spiridakis
Full Changelog: link"
8,https://github.com/sindresorhus/caprine/compare/v2.55.5...v2.55.6,link
9,https://github.com/sindresorhus/caprine/compare/v2.55.4...v2.55.5,link
10,https://github.com/sindresorhus/caprine/compare/v2.55.3...v2.55.4,link
