Index,Message,Description,Message Abstract,Description Abstract
1,Docs: Fix quotes in readme example (#573),  Single quotes should be used   Run prettier format ,Docs: Fix quotes in readme example (#573),Single quotes should be used Run prettier format
2,v0.4.2,,v0.4.2,
3,Fix MDX1 in Windows environments (#560),,Fix MDX1 in Windows environments (#560),
4,v0.4.1,,v0.4.1,
5,Inject mdx compiler for mdx1 (#556),"fixes https://github.com/storybookjs/builder-vite/issues/557 I found that mdx was not working correctly here, and @valentinpalkovic realized my fallback in Storybook 7 wasn't either (https://github.com/storybookjs/storybook/pull/20823).  It was because we used to inject the mdx compiler into the source code that we get back from the @storybook/mdx1-csf compiler, but we lost that in https://github.com/storybookjs/builder-vite/pull/548/files#diff-f2dfc4dfa9074d77a728a88e6629a1d66be8a0765cab8562526cd00fbae910e5L6.  This re-introduces it, with a bit better of a guarantee that the correct version is going to be loaded, by starting from inside @storybook/mdx1-csf. I've also pinned mdx1-csf here, in case the import is moved from the loader to the compiler, as @shilman has suggested doing.  We'll need to adjust this if that happens.",Inject mdx compiler for mdx1 (#556),"fixes link I found that mdx was not working correctly here, and @valentinpalkovic realized my fallback in Storybook 7 wasn't either (link).  It was because we used to inject the mdx compiler into the source code that we get back from the @storybook/mdx1-csf compiler, but we lost that in link.  This re-introduces it, with a bit better of a guarantee that the correct version is going to be loaded, by starting from inside @storybook/mdx1-csf. I've also pinned mdx1-csf here, in case the import is moved from the loader to the compiler, as @shilman has suggested doing.  We'll need to adjust this if that happens."
6,Allow the use of @vitejs/plugin-react-swc (#552),"Fixes https://github.com/storybookjs/builder-vite/issues/551 This will first look for @vitejs/plugin-react, then @vitejs/plugin-react-swc.  It seems like the SWC version might not work with MDX stories, though.  I updated the react-18 example to use it, and the intro story doesn't load.  I don't think that should necessarily block this PR though.   Allow the use of @vitejs/plugin-react-swc   Use react-plugin-swc in react-18 example   Fix NODE_PATH in all examples   Fix peer dependencies   Fix update-examples script ",Allow the use of @vitejs/plugin-react-swc (#552),"Fixes link This will first look for @vitejs/plugin-react, then @vitejs/plugin-react-swc.  It seems like the SWC version might not work with MDX stories, though.  I updated the react-18 example to use it, and the intro story doesn't load.  I don't think that should necessarily block this PR though. Allow the use of @vitejs/plugin-react-swc Use react-plugin-swc in react-18 example Fix NODE_PATH in all examples Fix peer dependencies Fix update-examples script"
7,v0.4.0,,v0.4.0,
8,Update @vitejs/plugin-react dependency for vite 4 (#548),"Fixes https://github.com/storybookjs/builder-vite/issues/547 This also updates the version of mdx1-csf to one that no longer requires the use of the react vite plugin to compile jsx, it handles compilation itself.  So, we no longer need to include @vitejs/plugin-react in all projects, and react projects will need to make sure it's installed.  That makes this a breaking change. And this also updates Vite to 4 in the examples, and fixes some missing dependencies.  Co-authored-by: Josh Wooding 12938082+joshwooding@users.noreply.github.com",Update @vitejs/plugin-react dependency for vite 4 (#548),"Fixes link This also updates the version of mdx1-csf to one that no longer requires the use of the react vite plugin to compile jsx, it handles compilation itself.  So, we no longer need to include @vitejs/plugin-react in all projects, and react projects will need to make sure it's installed.  That makes this a breaking change. And this also updates Vite to 4 in the examples, and fixes some missing dependencies. Co-authored-by: Josh Wooding 12938082+joshwooding@users.noreply.github.com"
9,Add Node limit,,Add Node limit,
10,v0.3.0,,v0.3.0,
11,Update Readme (#546),,Update Readme (#546),
12,Breaking: Update peer dependencies for Vite 4 (#545),  Breaking: Update peer dependencies for Vite 4   Update react-docgen-typescript plugin   Update examples   Add update-examples script to install in all examples   Update readme ,Breaking: Update peer dependencies for Vite 4 (#545),Breaking: Update peer dependencies for Vite 4 Update react-docgen-typescript plugin Update examples Add update-examples script to install in all examples Update readme
13,v0.2.7,,v0.2.7,
14,feat: allow definition of stories in vue files (#505),  feat: allow definition of stories in vue files   Update vite-config.ts   Update inject-export-order-plugin.ts   Update codegen-importfn-script.ts   Update code-generator-plugin.ts   Update packages/builder-vite/vite-config.ts   Co-authored-by: Ian VanSchooten ian.vanschooten@gmail.com  Update packages/builder-vite/code-generator-plugin.ts  Co-authored-by: Ian VanSchooten ian.vanschooten@gmail.com  Update packages/builder-vite/inject-export-order-plugin.ts  Co-authored-by: Ian VanSchooten ian.vanschooten@gmail.com  Update packages/builder-vite/source-loader-plugin.ts  Co-authored-by: Ian VanSchooten ian.vanschooten@gmail.com  Update packages/builder-vite/plugins/vue-docgen.ts  Co-authored-by: Ian VanSchooten ian.vanschooten@gmail.com Co-authored-by: Ian VanSchooten ian.vanschooten@gmail.com,feat: allow definition of stories in vue files (#505),feat: allow definition of stories in vue files Update vite-config.ts Update inject-export-order-plugin.ts Update codegen-importfn-script.ts Update code-generator-plugin.ts Update packages/builder-vite/vite-config.ts Co-authored-by: Ian VanSchooten ian.vanschooten@gmail.com Update packages/builder-vite/code-generator-plugin.ts Co-authored-by: Ian VanSchooten ian.vanschooten@gmail.com Update packages/builder-vite/inject-export-order-plugin.ts Co-authored-by: Ian VanSchooten ian.vanschooten@gmail.com Update packages/builder-vite/source-loader-plugin.ts Co-authored-by: Ian VanSchooten ian.vanschooten@gmail.com Update packages/builder-vite/plugins/vue-docgen.ts Co-authored-by: Ian VanSchooten ian.vanschooten@gmail.com Co-authored-by: Ian VanSchooten ian.vanschooten@gmail.com
15,v0.2.6,,v0.2.6,
16,Pin version of react-docgen (#531),  Pin version of react-docgen   Update example yarn.lock files ,Pin version of react-docgen (#531),Pin version of react-docgen Update example yarn.lock files
17,v0.2.5,,v0.2.5,
18,Fix bail not being defined (#510),,Fix bail not being defined (#510),
19,v0.2.4,,v0.2.4,
20,Re-add typescript check when adding react-docgen-typescript plugin (#509),,Re-add typescript check when adding react-docgen-typescript plugin (#509),
21,Fix vue 2.x selection logic (#508),"Fixes: https://github.com/storybookjs/builder-vite/issues/506 This corrects the vue 2.6 / 2.7 logic, and also finds a slightly-better way to handle module resolution from within builder-vite when running examples.  Instead of adding dev dependencies into the builder, this sets a node_path environment variable, so that the node_modules of the example is used as a global lookup from within the builder.",Fix vue 2.x selection logic (#508),"Fixes: link This corrects the vue 2.6 / 2.7 logic, and also finds a slightly-better way to handle module resolution from within builder-vite when running examples.  Instead of adding dev dependencies into the builder, this sets a node_path environment variable, so that the node_modules of the example is used as a global lookup from within the builder."
22,v0.2.3,,v0.2.3,
23,Don't publish yarn cache,,Don't publish yarn cache,
24,fix: add missing peer deps (#500),"  fix: add missing peer deps   fix: add vue-docgen-api peer dep, improve error   chore: update yarn.lock   Update lockfile of packages   Co-authored-by: Ian VanSchooten ian.vanschooten@gmail.com",fix: add missing peer deps (#500),"fix: add missing peer deps fix: add vue-docgen-api peer dep, improve error chore: update yarn.lock Update lockfile of packages Co-authored-by: Ian VanSchooten ian.vanschooten@gmail.com"
