Index,Release Note,Release Note With Abstraction
1,"🐛 Bug Fix

Adds countColor prop to Cardinal #418 (@elseloop)

Authors: 1

Dan Manchester (@elseloop)
","🐛 Bug Fix
Adds countColor prop to Cardinal #418 (@elseloop)
Authors: 1
Dan Manchester (@elseloop)"
2,"🐛 Bug Fix

Upgrade Storybook and Emotion dependencies #417 (@ghengeveld)

Authors: 1

Gert Hengeveld (@ghengeveld)
","🐛 Bug Fix
Upgrade Storybook and Emotion dependencies #417 (@ghengeveld)
Authors: 1
Gert Hengeveld (@ghengeveld)"
3,"⚠️ Pushed to master

Allow hiding error message on Textarea (@ghengeveld)

Authors: 1

Gert Hengeveld (@ghengeveld)
","⚠️ Pushed to master
Allow hiding error message on Textarea (@ghengeveld)
Authors: 1
Gert Hengeveld (@ghengeveld)"
4,"🐛 Bug Fix

ButtonAction updates #414 (@cdedreuille)

Authors: 1

Charles de Dreuille (@cdedreuille)
","🐛 Bug Fix
ButtonAction updates #414 (@cdedreuille)
Authors: 1
Charles de Dreuille (@cdedreuille)"
5,"⚠️ Pushed to master

Prevent duplicate export of 'Link' (@ghengeveld)

Authors: 1

Gert Hengeveld (@ghengeveld)
","⚠️ Pushed to master
Prevent duplicate export of 'Link' (@ghengeveld)
Authors: 1
Gert Hengeveld (@ghengeveld)"
6,"⚠️ Pushed to master

Avoid React.FC, improve types and fix lint errors (@ghengeveld)
Use latest Storybook 7 RC (@ghengeveld)
Fix types for optional fields on ProgressDots (@ghengeveld)
Include spreaded rest props in type definition (@ghengeveld)
Change tooltip wrapper element to span to prevent nesting buttons (@ghengeveld)
Use human readable numbers in Cardinal (@ghengeveld)
Export ButtonAction component (@ghengeveld)

Authors: 1

Gert Hengeveld (@ghengeveld)
","⚠️ Pushed to master
Avoid React.FC, improve types and fix lint errors (@ghengeveld)
Use latest Storybook 7 RC (@ghengeveld)
Fix types for optional fields on ProgressDots (@ghengeveld)
Include spreaded rest props in type definition (@ghengeveld)
Change tooltip wrapper element to span to prevent nesting buttons (@ghengeveld)
Use human readable numbers in Cardinal (@ghengeveld)
Export ButtonAction component (@ghengeveld)
Authors: 1
Gert Hengeveld (@ghengeveld)"
7,"🚀 Enhancement

Create new ButtonAction component #412 (@cdedreuille)

Authors: 1

Charles de Dreuille (@cdedreuille)
","🚀 Enhancement
Create new ButtonAction component #412 (@cdedreuille)
Authors: 1
Charles de Dreuille (@cdedreuille)"
8,"🚀 Enhancement

Upgrade to Storybook 7 #410 (@yannbf @shilman)

Authors: 2

Michael Shilman (@shilman)
Yann Braga (@yannbf)
","🚀 Enhancement
Upgrade to Storybook 7 #410 (@yannbf @shilman)
Authors: 2
Michael Shilman (@shilman)
Yann Braga (@yannbf)"
9,"🐛 Bug Fix

Update the flow image #408 (@MichaelArestad)

Authors: 1

Michael Arestad (@MichaelArestad)
","🐛 Bug Fix
Update the flow image #408 (@MichaelArestad)
Authors: 1
Michael Arestad (@MichaelArestad)"
10,"🐛 Bug Fix

Add ""turbo"" icon for speed #407 (@domyen)

Authors: 1

Dominic Nguyen (@domyen)
","🐛 Bug Fix
Add ""turbo"" icon for speed #407 (@domyen)
Authors: 1
Dominic Nguyen (@domyen)"
11,"🚀 Enhancement

Update browser image with Edge instead of IE #406 (@MichaelArestad)

Authors: 1

Michael Arestad (@MichaelArestad)
","🚀 Enhancement
Update browser image with Edge instead of IE #406 (@MichaelArestad)
Authors: 1
Michael Arestad (@MichaelArestad)"
12,"🐛 Bug Fix

update cardinal types #405 (@thafryer)

Authors: 1

Jarel Fryer (@thafryer)
","🐛 Bug Fix
update cardinal types #405 (@thafryer)
Authors: 1
Jarel Fryer (@thafryer)"
13,"🐛 Bug Fix

Remove unused components #404 (@domyen)

Authors: 1

Dominic Nguyen (@domyen)
","🐛 Bug Fix
Remove unused components #404 (@domyen)
Authors: 1
Dominic Nguyen (@domyen)"
14,"🐛 Bug Fix

Ensure loading state is monochrome to fit into Chromatic & SB loading #403 (@domyen)

Authors: 1

Dominic Nguyen (@domyen)
","🐛 Bug Fix
Ensure loading state is monochrome to fit into Chromatic & SB loading #403 (@domyen)
Authors: 1
Dominic Nguyen (@domyen)"
15,"🚀 Enhancement

Remove heaviest font-weight (black) #402 (@domyen)

Authors: 1

Dominic Nguyen (@domyen)
","🚀 Enhancement
Remove heaviest font-weight (black) #402 (@domyen)
Authors: 1
Dominic Nguyen (@domyen)"
16,"🐛 Bug Fix

Update colors in the design system to match SB 7.0 #401 (@MichaelArestad)

Authors: 1

Michael Arestad (@MichaelArestad)
","🐛 Bug Fix
Update colors in the design system to match SB 7.0 #401 (@MichaelArestad)
Authors: 1
Michael Arestad (@MichaelArestad)"
17,"🚀 Enhancement

Add sun, moon, sideBySide, and stacked icons #399 (@MichaelArestad)

Authors: 1

Michael Arestad (@MichaelArestad)
","🚀 Enhancement
Add sun, moon, sideBySide, and stacked icons #399 (@MichaelArestad)
Authors: 1
Michael Arestad (@MichaelArestad)"
18,"🚀 Enhancement

add linkedIn icon #398 (@winkerVSbecks)

Authors: 1

Varun Vachhar (@winkerVSbecks)
","🚀 Enhancement
add linkedIn icon #398 (@winkerVSbecks)
Authors: 1
Varun Vachhar (@winkerVSbecks)"
19,"🐛 Bug Fix

type the size prop for Cardinal.defaultProps #395 (@winkerVSbecks)

Authors: 1

Varun Vachhar (@winkerVSbecks)
","🐛 Bug Fix
type the size prop for Cardinal.defaultProps #395 (@winkerVSbecks)
Authors: 1
Varun Vachhar (@winkerVSbecks)"
20,"🐛 Bug Fix

feat(WithTooltip): support Storybook 7 root element #394 (@yannbf)

Authors: 1

Yann Braga (@yannbf)
","🐛 Bug Fix
feat(WithTooltip): support Storybook 7 root element #394 (@yannbf)
Authors: 1
Yann Braga (@yannbf)"
21,"🚀 Enhancement

allow modal styles to be customized #390 (@winkerVSbecks)

Authors: 1

Varun Vachhar (@winkerVSbecks)
","🚀 Enhancement
allow modal styles to be customized #390 (@winkerVSbecks)
Authors: 1
Varun Vachhar (@winkerVSbecks)"
22,"🐛 Bug Fix

:first-child to first-of-type for ToC #389 (@winkerVSbecks)

Authors: 1

Varun Vachhar (@winkerVSbecks)
","🐛 Bug Fix
:first-child to first-of-type for ToC #389 (@winkerVSbecks)
Authors: 1
Varun Vachhar (@winkerVSbecks)"
23,"🐛 Bug Fix

Update remaining icons #388 (@MichaelArestad)

Authors: 1

Michael Arestad (@MichaelArestad)
","🐛 Bug Fix
Update remaining icons #388 (@MichaelArestad)
Authors: 1
Michael Arestad (@MichaelArestad)"
24,"🐛 Bug Fix

Update a handful of icons #387 (@MichaelArestad)

Authors: 1

Michael Arestad (@MichaelArestad)
","🐛 Bug Fix
Update a handful of icons #387 (@MichaelArestad)
Authors: 1
Michael Arestad (@MichaelArestad)"
25,"🐛 Bug Fix

Add Redo and FastForward images - also updated Browsers image #386 (@MichaelArestad)

Authors: 1

Michael Arestad (@MichaelArestad)
","🐛 Bug Fix
Add Redo and FastForward images - also updated Browsers image #386 (@MichaelArestad)
Authors: 1
Michael Arestad (@MichaelArestad)"
26,"🐛 Bug Fix

Fix: remove console deprecated warnings #385 (@zhyd1997)

Authors: 1

Yadong Zhang (@zhyd1997)
","🐛 Bug Fix
Fix: remove console deprecated warnings #385 (@zhyd1997)
Authors: 1
Yadong Zhang (@zhyd1997)"
27,"🐛 Bug Fix

add inverse styling for link and selectable variants of the cardinal #384 (@winkerVSbecks)

Authors: 1

Varun Vachhar (@winkerVSbecks)
","🐛 Bug Fix
add inverse styling for link and selectable variants of the cardinal #384 (@winkerVSbecks)
Authors: 1
Varun Vachhar (@winkerVSbecks)"
