Index,Release Note,Release Note With Abstraction
1,"Bug Fixes

Normalize paths exposed to vite-builder's storybook-stories.js file #22327
","Bug Fixes
Normalize paths exposed to vite-builder's storybook-stories.js file #22327"
2,"Bug Fixes

CLI: Fix getFrameworkPackage logic #22559
CLI: Remove automigrate reference from init command #22561

Maintenance

CLI: Detach automigrate command from storybook init #22523
","Bug Fixes
CLI: Fix getFrameworkPackage logic #22559
CLI: Remove automigrate reference from init command #22561
Maintenance
CLI: Detach automigrate command from storybook init #22523"
3,"Bug Fixes

Core: Fix source snippets for stories with mapped args #22135
CLI: Fix getFrameworkPackage logic #22559
CLI: Remove automigrate reference from init command #22561

Maintenance

CLI: Detach automigrate command from storybook init #22523
","Bug Fixes
Core: Fix source snippets for stories with mapped args #22135
CLI: Fix getFrameworkPackage logic #22559
CLI: Remove automigrate reference from init command #22561
Maintenance
CLI: Detach automigrate command from storybook init #22523"
4,"Bug Fixes

CLI: Fix storybook upgrade precheckfailure object #22517
CLI: Throw errors instead of rejecting promises #22515
CSF: Expose story id in composeStories #22471
CLI: Remove unsupported frameworks/renderers and improve builder detection #22492
","Bug Fixes
CLI: Fix storybook upgrade precheckfailure object #22517
CLI: Throw errors instead of rejecting promises #22515
CSF: Expose story id in composeStories #22471
CLI: Remove unsupported frameworks/renderers and improve builder detection #22492"
5,"Bug Fixes

Toolbars: Fix title behavior in UI #22496
CLI: Fix storybook upgrade precheckfailure object #22517
CLI: Throw errors instead of rejecting promises #22515
CLI: Remove unsupported frameworks/renderers and improve builder detection #22492
Web-components: Fix source decorator to handle document fragments #22513
Core: Fix windows path error in StoryStore v6 #22512
CLI: Do not show a migration summary on sb init #22109
UI: Show current search shortcut in search box sidebar #21619
Outline: Fix additional outline border in docs mode #21773
Measure: Deactivate when switching to Docs mode #21602
CSF: Expose story id in composeStories #22471
CLI: Prompt to force initialization when storybook folder is detected #22392
UI: Fix css inconsistency in Button and Icon components #22497
","Bug Fixes
Toolbars: Fix title behavior in UI #22496
CLI: Fix storybook upgrade precheckfailure object #22517
CLI: Throw errors instead of rejecting promises #22515
CLI: Remove unsupported frameworks/renderers and improve builder detection #22492
Web-components: Fix source decorator to handle document fragments #22513
Core: Fix windows path error in StoryStore v6 #22512
CLI: Do not show a migration summary on sb init #22109
UI: Show current search shortcut in search box sidebar #21619
Outline: Fix additional outline border in docs mode #21773
Measure: Deactivate when switching to Docs mode #21602
CSF: Expose story id in composeStories #22471
CLI: Prompt to force initialization when storybook folder is detected #22392
UI: Fix css inconsistency in Button and Icon components #22497"
6,"Bug Fixes

Web-components: Fix source decorator to handle document fragments #22513
Angular: Adjust child process I/O for compodoc command #22441
Core: Fix windows path error in StoryStore v6 #22512

Maintenance

CLI: Prompt to force initialization when storybook is detected #22392
UI: Fix css inconsistency in Button and Icon components #22497

Build

Sandboxes: Pin @vitejs/plugin-react to avoid conflict #22501
","Bug Fixes
Web-components: Fix source decorator to handle document fragments #22513
Angular: Adjust child process I/O for compodoc command #22441
Core: Fix windows path error in StoryStore v6 #22512
Maintenance
CLI: Prompt to force initialization when storybook is detected #22392
UI: Fix css inconsistency in Button and Icon components #22497
Build
Sandboxes: Pin @vitejs/plugin-react to avoid conflict #22501"
7,"Bug Fixes

CLI: Do not show a migration summary on sb init #22109
Toolbars: Fix title behavior in UI #22496
UI: Show current search shortcut in search box sidebar #21619
Measure: Deactivate when switching to Docs mode #21602
Outline: Fix additional outline border in docs mode #21773
","Bug Fixes
CLI: Do not show a migration summary on sb init #22109
Toolbars: Fix title behavior in UI #22496
UI: Show current search shortcut in search box sidebar #21619
Measure: Deactivate when switching to Docs mode #21602
Outline: Fix additional outline border in docs mode #21773"
8,"Bug Fixes

CLI: Scope styles in sample components from the CLI templates #22162
CLI: Fix copyTemplate failures on init #22375
CLI: Fix server init #22443
Server: Add json indexer #22460
React: Use correct default annotations for composeStories #22308
UI: Fix opacity of list-item color #22074

Maintenance

CLI: Refactor package manager methods to be async #22401
Angular: Improve Error message for angular.json not found #22377
TypeScript: Migrate @storybook/instrumenter to strict TS #22370
TypeScript: Migrate @storybook/core-events to strict TS #22448
TypeScript: Migrate @storybook/core-client to strict TS #22447
TypeScript: Migrate @storybook/react-vite and @storybook/preact-vite to strict TS #22428
TypeScript: Migrate @storybook/svelte-vite to strict TS #22411
TypeScript: Migrate @storybook/types to strict TS #22397
TypeScript: Migrate @storybook/addon-storysource to strict TS #22367
TypeScript: Migrate @storybook/client-api to strict TS #22421
TypeScript: Migrate @storybook/sveltekit to strict TS #22412
TypeScript: Migrate @storybook/source-loader to strict TS #22420
","Bug Fixes
CLI: Scope styles in sample components from the CLI templates #22162
CLI: Fix copyTemplate failures on init #22375
CLI: Fix server init #22443
Server: Add json indexer #22460
React: Use correct default annotations for composeStories #22308
UI: Fix opacity of list-item color #22074
Maintenance
CLI: Refactor package manager methods to be async #22401
Angular: Improve Error message for angular.json not found #22377
TypeScript: Migrate @storybook/instrumenter to strict TS #22370
TypeScript: Migrate @storybook/core-events to strict TS #22448
TypeScript: Migrate @storybook/core-client to strict TS #22447
TypeScript: Migrate @storybook/react-vite and @storybook/preact-vite to strict TS #22428
TypeScript: Migrate @storybook/svelte-vite to strict TS #22411
TypeScript: Migrate @storybook/types to strict TS #22397
TypeScript: Migrate @storybook/addon-storysource to strict TS #22367
TypeScript: Migrate @storybook/client-api to strict TS #22421
TypeScript: Migrate @storybook/sveltekit to strict TS #22412
TypeScript: Migrate @storybook/source-loader to strict TS #22420"
9,"Bug Fixes

CLI: Fix copyTemplate failures on init #22375
CLI: Fix server init #22443
CLI: Scope styles in sample components from the CLI templates #22162
React: Use correct default annotations for composeStories #22308
Server: Add json indexer #22460
UI: Fix opacity from list-item color #22074

Maintenance

CLI: Refactor package manager methods to be async #22401
Improve Error message for Angular.json file not found #22377
","Bug Fixes
CLI: Fix copyTemplate failures on init #22375
CLI: Fix server init #22443
CLI: Scope styles in sample components from the CLI templates #22162
React: Use correct default annotations for composeStories #22308
Server: Add json indexer #22460
UI: Fix opacity from list-item color #22074
Maintenance
CLI: Refactor package manager methods to be async #22401
Improve Error message for Angular.json file not found #22377"
10,"Bug Fixes

Core: Fix virtual modules excluded for babel-loader #22331

Maintenance

Angular: Allow TypeScript 4.0.0 and 5.0.0 #22391
Angular: Enable Angular Unit tests #22355
TypeScript: Migrate @storybook/theming to strict TS #22376
TypeScript: Migrate @storybook/channel-websocket to strict TS #22364
TypeScript: Migrate @storybook/addon-outline to strict TS #22369
TypeScript: Migrate @storybook/addon-viewbook to strict ts #22339
TypeScript: Migrate @storybook/channels to strict TS #22365

Build

Add Angular Prerelease sandbox #22379
","Bug Fixes
Core: Fix virtual modules excluded for babel-loader #22331
Maintenance
Angular: Allow TypeScript 4.0.0 and 5.0.0 #22391
Angular: Enable Angular Unit tests #22355
TypeScript: Migrate @storybook/theming to strict TS #22376
TypeScript: Migrate @storybook/channel-websocket to strict TS #22364
TypeScript: Migrate @storybook/addon-outline to strict TS #22369
TypeScript: Migrate @storybook/addon-viewbook to strict ts #22339
TypeScript: Migrate @storybook/channels to strict TS #22365
Build
Add Angular Prerelease sandbox #22379"
11,"Bug Fixes

Core: Fix virtual modules excluded for babel-loader #22331

Maintenance

Angular: Allow TypeScript 4.0.0 and 5.0.0 #22391
","Bug Fixes
Core: Fix virtual modules excluded for babel-loader #22331
Maintenance
Angular: Allow TypeScript 4.0.0 and 5.0.0 #22391"
12,"Bug Fixes

Typescript: Fix bad typings caused by tsup bug #22261
Migrate: skip the automigration for gf markdown when user isn't using mdx #22186
UI: Addon panel does not update after disabling/enabling an addon #22258
Vue3: Fix compiler error when there is double tag #22286
Args: Fix multiple mapped args return array of labels  #22169
CLI: Add web-components webpack5 to missing-babelrc automigration #22202
Docs: Fix inline story style #21870
UI: Fix shift + 7 shortcut to focus search field #22073
UI: Fix controls missing when navigating from story #21967
NextJS: Fix tsconfig resolution #22160

Maintenance

Telemetry: Persist sessionId across runs #22325
Packaging: Move types condition to the front in all package.json.exports maps #22321
Core: Rename manager UI mjs to js #22247
Angular: Add support for Angular 16 #22096
Packaging: Don't generate ESM dist for preset files #22330
Packaging: Fix url for all packages in package.json #22101
Add regex to ignore outdated Browserslist in Jest initialization base file #22260
","Bug Fixes
Typescript: Fix bad typings caused by tsup bug #22261
Migrate: skip the automigration for gf markdown when user isn't using mdx #22186
UI: Addon panel does not update after disabling/enabling an addon #22258
Vue3: Fix compiler error when there is double tag #22286
Args: Fix multiple mapped args return array of labels  #22169
CLI: Add web-components webpack5 to missing-babelrc automigration #22202
Docs: Fix inline story style #21870
UI: Fix shift + 7 shortcut to focus search field #22073
UI: Fix controls missing when navigating from story #21967
NextJS: Fix tsconfig resolution #22160
Maintenance
Telemetry: Persist sessionId across runs #22325
Packaging: Move types condition to the front in all package.json.exports maps #22321
Core: Rename manager UI mjs to js #22247
Angular: Add support for Angular 16 #22096
Packaging: Don't generate ESM dist for preset files #22330
Packaging: Fix url for all packages in package.json #22101
Add regex to ignore outdated Browserslist in Jest initialization base file #22260"
