Index,Message,Description,Message Abstract,Description Abstract
1,Handle clicks inside iframes (#2485),  Handle clicks inside iframes   Update changelog ,Handle clicks inside iframes (#2485),Handle clicks inside iframes Update changelog
2,Improve control over Menu and Listbox options while searching (#2471),"  add get-text-value helper   use getTextValue in Listbox component   use getTextValue in Menu component   update changelog   ensure we handle multiple values for aria-labelledby   hoist regex   drop child nodes instead of replacing its innerText   This makes it a bit slower but also more correct. We can use a cache on another level to ensure that we are not creating useless work.  add useTextValue to improve performance of getTextValue  This will add a cache and only if the innerText changes, only then will we calculate the new text value.  use better useTextValue hook",Improve control over Menu and Listbox options while searching (#2471),"add get-text-value helper use getTextValue in Listbox component use getTextValue in Menu component update changelog ensure we handle multiple values for aria-labelledby hoist regex drop child nodes instead of replacing its innerText This makes it a bit slower but also more correct. We can use a cache on another level to ensure that we are not creating useless work. add useTextValue to improve performance of getTextValue This will add a cache and only if the innerText changes, only then will we calculate the new text value. use better useTextValue hook"
3,Move types condition to the front (#2469),  move types condition to the front   Update changelog    Co-authored-by: Jordan Pittman jordan@cryptica.me,Move types condition to the front (#2469),move types condition to the front Update changelog Co-authored-by: Jordan Pittman jordan@cryptica.me
4,Stop <Transition appear> from overwriting classes on re-render (#2457), Add raw layout support to Vue playground  We can’t use ?raw here because Vite uses that itself for stuff. So here we opt for ?layout=raw instead   Fix Transition for appear overwriting classes on re-render   Set initial state just before animating   Remove unused import   Refactor   Capture snapshot of element just after first render   With the new setInitial call before the animation starts — we don’t see the actual initial render result in this test because the queue has been emptied by the time it ends  Update changelog,Stop  from overwriting classes on re-render (#2457),Add raw layout support to Vue playground We can’t use ?raw here because Vite uses that itself for stuff. So here we opt for ?layout=raw instead Fix Transition for appear overwriting classes on re-render Set initial state just before animating Remove unused import Refactor Capture snapshot of element just after first render With the new setInitial call before the animation starts — we don’t see the actual initial render result in this test because the queue has been emptied by the time it ends Update changelog
5,Ensure the exposed activeIndex is up to date for the Combobox component (#2463),  ensure the exposed activeIndex is up to date   update changelog ,Ensure the exposed activeIndex is up to date for the Combobox component (#2463),ensure the exposed activeIndex is up to date update changelog
6,refactor Portal to use useOnUnmount hook (#2458),,refactor Portal to use useOnUnmount hook (#2458),
7,ensure cb in useOnUnmount is a stable reference,,ensure cb in useOnUnmount is a stable reference,
8,Ensure FocusTrap is only active when the given enabled value is true (#2456),  fix(tabs): wrong tab focus when Tab contains a Dialog   refactor(focus-trap): rename variable and move logic   test(tabs): improve test by asserting the active element   ensure FocusTrap is not active when enabled = false   fix: move the enabled check to unmounting   refactor to useOnUnmount hook   This will allow us to make the code relatively similar between React and Vue.  update changelog   Co-authored-by: Robin Malfait malfait.robin@gmail.com,Ensure FocusTrap is only active when the given enabled value is true (#2456),fix(tabs): wrong tab focus when Tab contains a Dialog refactor(focus-trap): rename variable and move logic test(tabs): improve test by asserting the active element ensure FocusTrap is not active when enabled = false fix: move the enabled check to unmounting refactor to useOnUnmount hook This will allow us to make the code relatively similar between React and Vue. update changelog Co-authored-by: Robin Malfait malfait.robin@gmail.com
9,cleanup .gitignore,Co-authored-by: Noel De Martin noeldemartin@hey.com,cleanup .gitignore,Co-authored-by: Noel De Martin noeldemartin@hey.com
10,[internal] add demo mode to Menu and Popover components (#2448),  add demo mode to Menu and Popover   update changelog ,[internal] add demo mode to Menu and Popover components (#2448),add demo mode to Menu and Popover update changelog
