Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
1.7.14 - @headlessui/vue,0.7379099,This is the v1 release of Headless UI - Vue,,1
1.7.15 - @headlessui/react,0.7461487,This is the v1 release of Headless UI - React,,1
"Ensure moving focus within a Portal component, does not close the Popover component (#2492)",0.9999999,"Ensure moving focus within a Portal component, does not close the Popover component (#2492)"," abstract resolving root containers to hook  This way we can reuse it in other components when needed.  allow registering a Portal component to a parent  This allows us to find all the Portal components that are nested in a given component without manually adding refs to every Portal component itself. This will come in handy in the Popover component where we will allow focus in the child Portal components otherwise a focus outside of the Popover will close the it. In other components we often crawl the DOM directly using [data-headlessui-portal] data attributes, however this will fetch all the Portal components, not the ones that started in the current component.  allow focus in portalled containers  The Popover component will close by default if focus is moved outside of it. However, if you use a Portal comopnent inside the Popover.Panel then from a DOM perspective you are moving the focus outside of the Popover.Panel. This prevents the closing, and allows the focus into the Portal. It currently only allows for Portal components that originated from the Popover component. This means that if you open a Dialog component from within the Popover component, the Dialog already renders a Portal but since this is part of the Dialog and not the Popover it will close the Popover when focus is moved to the Dialog component.  ensure useNestedPortals register/unregister with the parent  This ensures that if you have a structure like this: jsx <Dialog> {/* Renders a portal internally */}    <Popover>       <Portal> {/* First level */}          <Popover.Panel>             <Menu>                <Portal> {/* Second level */}                   <Menu.Items>                   {/* ... */}                   </Menu.Items>                </Portal>             </Menu>          </Popover.Panel>       </Portal>    </Popover> </Dialog> That working with the Menu doesn't close the Popover or the Dialog.  cleanup useRootContainers hook  This will allow you to pass in portal elements as well. + cleanup of the resolving of all DOM nodes.   handle nested portals in Dialog component   expose contains function from useRootContainers   Shorthand to check if any of the root containers contains the given element.   add tests to verify that actions in Portal components won't close the Popover   update changelog   re-order use-outside-click logic   To make it similar between React & Vue   inject the PortalWrapper context in the correct spot   ensure to forward the incoming attrs ",1
Handle clicks inside iframes (#2485),0.8693893,Detect outside clicks from within <iframe> elements (#1552),  Handle clicks inside iframes   Update changelog ,1
Improve control over Menu and Listbox options while searching (#2471),1.0000002,Improve control over Menu and Listbox options while searching (#2471),"  add get-text-value helper   use getTextValue in Listbox component   use getTextValue in Menu component   update changelog   ensure we handle multiple values for aria-labelledby   hoist regex   drop child nodes instead of replacing its innerText   This makes it a bit slower but also more correct. We can use a cache on another level to ensure that we are not creating useless work.  add useTextValue to improve performance of getTextValue  This will add a cache and only if the innerText changes, only then will we calculate the new text value.  use better useTextValue hook",1
Move types condition to the front (#2469),0.99999994,Move types condition to the front (#2469),  move types condition to the front   Update changelog    Co-authored-by: Jordan Pittman jordan@cryptica.me,1
Stop <Transition appear> from overwriting classes on re-render (#2457),1.0000002,Stop <Transition appear> from overwriting classes on re-render (#2457), Add raw layout support to Vue playground  We can’t use ?raw here because Vite uses that itself for stuff. So here we opt for ?layout=raw instead   Fix Transition for appear overwriting classes on re-render   Set initial state just before animating   Remove unused import   Refactor   Capture snapshot of element just after first render   With the new setInitial call before the animation starts — we don’t see the actual initial render result in this test because the queue has been emptied by the time it ends  Update changelog,1
Ensure the exposed activeIndex is up to date for the Combobox component (#2463),0.9999999,Ensure the exposed activeIndex is up to date for the Combobox component (#2463),  ensure the exposed activeIndex is up to date   update changelog ,1
refactor Portal to use useOnUnmount hook (#2458),0.47061962,Ensure hooks in the FocusTrap component only apply when mounted (#2331),,0
ensure cb in useOnUnmount is a stable reference,0.45078495,Ensure we reset the activeOptionIndex if the active option is unmounted (#2274),,0
