Index,Release Note,Release Note With Abstraction
1,"Fixed

Fix focus styles showing up when using the mouse (#2347)
Disable ComboboxInput when its Combobox is disabled (#2375)
Add FocusTrap event listeners once document has loaded (#2389)
Don't scroll-lock <Dialog> when wrapping transition isn't showing (#2422)
Ensure DOM ref is properly handled in the RadioGroup component (#2424)

Added

Add form prop to form-like components such as RadioGroup, Switch, Listbox, and Combobox (#2356)
","Fixed
Fix focus styles showing up when using the mouse (#2347)
Disable ComboboxInput when its Combobox is disabled (#2375)
Add FocusTrap event listeners once document has loaded (#2389)
Don't scroll-lock  when wrapping transition isn't showing (#2422)
Ensure DOM ref is properly handled in the RadioGroup component (#2424)
Added
Add form prop to form-like components such as RadioGroup, Switch, Listbox, and Combobox (#2356)"
2,"Fixed

Add ESM and types paths to package.json for Tailwind CSS plugin (#2382)
","Fixed
Add ESM and types paths to package.json for Tailwind CSS plugin (#2382)"
3,"Fixed

Fix focus styles showing up when using the mouse (#2347)
Fix ""Can't perform a React state update on an unmounted component."" when using the Transition component (#2374)
Add FocusTrap event listeners once document has loaded (#2389)
Fix className hydration for <Transition appear> (#2390)
Improve Combobox types to improve false positives (#2411)
Merge className correctly when it’s a function (#2412)

Added

Add form prop to form-like components such as RadioGroup, Switch, Listbox, and Combobox (#2356)
","Fixed
Fix focus styles showing up when using the mouse (#2347)
Fix ""Can't perform a React state update on an unmounted component."" when using the Transition component (#2374)
Add FocusTrap event listeners once document has loaded (#2389)
Fix className hydration for  (#2390)
Improve Combobox types to improve false positives (#2411)
Merge className correctly when it’s a function (#2412)
Added
Add form prop to form-like components such as RadioGroup, Switch, Listbox, and Combobox (#2356)"
4,"Fixed

Enable native label behavior for <Switch> where possible (#2265)
Allow root containers from the Dialog component in the FocusTrap component (#2322)
Cleanup internal TypeScript types (#2329)
Fix restore focus to buttons in Safari, when Dialog component closes (#2326)
Ensure hooks in the FocusTrap component only apply when mounted (#2331)
","Fixed
Enable native label behavior for  where possible (#2265)
Allow root containers from the Dialog component in the FocusTrap component (#2322)
Cleanup internal TypeScript types (#2329)
Fix restore focus to buttons in Safari, when Dialog component closes (#2326)
Ensure hooks in the FocusTrap component only apply when mounted (#2331)"
5,"Fixed

Ensure Transition component completes if nothing is transitioning (#2318)
Enable native label behavior for <Switch> where possible (#2265)
Allow root containers from the Dialog component in the FocusTrap component (#2322)
Fix XYZPropsWeControl and cleanup internal TypeScript types (#2329)
Fix invalid warning when using multiple Popover.Button components inside a Popover.Panel (#2333)
Fix restore focus to buttons in Safari, when Dialog component closes (#2326)
","Fixed
Ensure Transition component completes if nothing is transitioning (#2318)
Enable native label behavior for  where possible (#2265)
Allow root containers from the Dialog component in the FocusTrap component (#2322)
Fix XYZPropsWeControl and cleanup internal TypeScript types (#2329)
Fix invalid warning when using multiple Popover.Button components inside a Popover.Panel (#2333)
Fix restore focus to buttons in Safari, when Dialog component closes (#2326)"
6,"Fixed

Ensure the main tree and parent Dialog components are marked as inert (#2290)
Fix nested Popover components not opening (#2293)
Fix change event incorrectly getting called on blur (#2296)
Fix Dialog cleanup when the Dialog becomes hidden (#2303)
","Fixed
Ensure the main tree and parent Dialog components are marked as inert (#2290)
Fix nested Popover components not opening (#2293)
Fix change event incorrectly getting called on blur (#2296)
Fix Dialog cleanup when the Dialog becomes hidden (#2303)"
7,"Added

Add explicit props types for every component (#2282)

Fixed

Ensure the main tree and parent Dialog components are marked as inert (#2290)
Fix nested Popover components not opening (#2293)
Make React types more compatible with other libraries (#2282)
Fix Dialog cleanup when the Dialog becomes hidden (#2303)
","Added
Add explicit props types for every component (#2282)
Fixed
Ensure the main tree and parent Dialog components are marked as inert (#2290)
Fix nested Popover components not opening (#2293)
Make React types more compatible with other libraries (#2282)
Fix Dialog cleanup when the Dialog becomes hidden (#2303)"
8,"Fixed

Don’t fire afterLeave event more than once for a given transition (#2267)
Move aria-multiselectable to [role=listbox] in the Combobox component (#2271)
Re-focus Combobox.Input when a Combobox.Option is selected (#2272)
Ensure we reset the activeOptionIndex if the active option is unmounted (#2274)
Start cleanup phase of the Dialog component when going into the Closing state (#2264)
","Fixed
Don’t fire afterLeave event more than once for a given transition (#2267)
Move aria-multiselectable to [role=listbox] in the Combobox component (#2271)
Re-focus Combobox.Input when a Combobox.Option is selected (#2272)
Ensure we reset the activeOptionIndex if the active option is unmounted (#2274)
Start cleanup phase of the Dialog component when going into the Closing state (#2264)"
9,"Fixed

Ensure we handle null values for the dataRef correctly (#2258)
Move aria-multiselectable to [role=listbox] in the Combobox component (#2271)
Re-focus Combobox.Input when a Combobox.Option is selected (#2272)
Ensure we reset the activeOptionIndex if the active option is unmounted (#2274)
Improve Ref type for forwarded Switch's ref (#2277)
Start cleanup phase of the Dialog component when going into the Closing state (#2264)
","Fixed
Ensure we handle null values for the dataRef correctly (#2258)
Move aria-multiselectable to [role=listbox] in the Combobox component (#2271)
Re-focus Combobox.Input when a Combobox.Option is selected (#2272)
Ensure we reset the activeOptionIndex if the active option is unmounted (#2274)
Improve Ref type for forwarded Switch's ref (#2277)
Start cleanup phase of the Dialog component when going into the Closing state (#2264)"
10,"Fixed

Revert ""Use the import * as React from 'react' pattern (#2242)
","Fixed
Revert ""Use the import * as React from 'react' pattern (#2242)"
11,"Fixed

Don't break overflow when multiple dialogs are open at the same time (#2215)
","Fixed
Don't break overflow when multiple dialogs are open at the same time (#2215)"
12,"Fixed

Fix SSR tab hydration when using Strict Mode in development (#2231)
Don't break overflow when multiple dialogs are open at the same time (#2215)
Fix ""This Suspense boundary received an update before it finished hydrating"" error in the Disclosure component (#2238)
Use the import * as React from 'react' pattern (#2242)
","Fixed
Fix SSR tab hydration when using Strict Mode in development (#2231)
Don't break overflow when multiple dialogs are open at the same time (#2215)
Fix ""This Suspense boundary received an update before it finished hydrating"" error in the Disclosure component (#2238)
Use the import * as React from 'react' pattern (#2242)"
