Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Update editor.quickSuggestions example in readme,0.4357287,"Add hovers, suggestions, and codeActions settings (#535)",,0
Update issue template,0.41869736,Update icon,Add VS Code version question,0
Add language mode icon (#794),0.52416766,Add Tailwind CSS language mode (#518),,0
Fix diagnostic false-positive when no CSS properties are present (#793),0.5671081,"Fix false positive error when using theme helper with a function value (thanks @choplin, #365)",,0
Fix activation when files.excludes contains braces (#789),0.8516777,Fix error when a files.excludes pattern contains braces (#696),  Fix activation when files.excludes contains braces   Fix file exclude when searching for CSS files ,1
Fix initialisation when using tailwindcss@^0 (#787),0.7828511,"Fix initialisation failure when using ""jit"" mode with tailwindcss v2.1 (#296)",,1
Migrate from deprecated text document (#781),0.2922966,"Potential fix for language feature duplication (#316, #326, #327)",  Removed instances of deprecated TextDocument   Replaced TextDocument type in diagnostics ,0
Include pixel equivalents in more places (#775),0.5103588,[JIT] Show rem pixel equivalents in completion item details (#332),  Show pixel equivalents for more rem/em values   Add pixel equivalents to media query variant completions ,0
Update package-lock.json,0.59766924,Don't watch package.json files (#573),,0
"Enable IntelliSense for <script lang=""tsx""> (#773)",0.5922828,Add typescript to default languages (#690),,0
Fix CSS conflict diagnostics in semicolonless CSS documents (#771),0.7081524,Fix excess semi-colons in CSS previews,,1
Resolve helper functions in CSS previews (#766),0.6086601,Improve support for theme CSS helper when not using quotes and/or using an opacity modifier (1b730cb),,0
Fix culori type,0.35113582,Fix incorrect cssConflict warnings. (#136),,0
Use @types/culori (#735),0.39116168,Add support for arbitrary variants (#557),This removes the need to define types here. Also this allows third parties to use this package without having to declare type definitions for culori.,0
fix: Don't attempt to read from deleted CSS files (#765),0.49135092,Fix incorrect cssConflict warnings. (#136),,0
Fix CSS conflict diagnostic false negatives (#761),0.62952435,Fix incorrect cssConflict warnings. (#136),,0
Increase class search range (#760),0.8770788,Increase class list search range (#414),,1
Bump language server version,0.5934999,Update language server filename,,0
Update language server notices file,0.7001252,Update language server filename,,1
0.9.11,0.23163225,Update icon,,0
Update changelog,0.38325986,Removed all unnecessary logs (#91),,0
Fix first-party plugin usage when using bundled version of tailwindcss (#751),0.99999994,Fix first-party plugin usage when using bundled version of tailwindcss (#751),,1
0.9.10,0.21291102,General stability and reliability improvements,,0
Account for loadConfig returning {default:config} just in case,0.42493543,Add documentation for @config completion (ea5aff5),See also: https://github.com/tailwindlabs/tailwindcss/pull/10898,0
Bump bundled version of tailwindcss to v3.3.0 (#749),1.0,Bump bundled version of tailwindcss to v3.3.0 (#749),,1
Ensure itemDefaults.data is used in VS Code Insiders,0.38520932,Use VS Code's built-in file watcher,,0
Fix activation when connected to Windows with Remote SSH (#748),0.95180196,Fix activation when connected to Windows with Remote SSH extension (#748),,1
Fix theme helper handling when specifying default value (#747),1.0000001,Fix theme helper handling when specifying default value (#747),  Fix theme helper handling when specifying default value   Tidy ,1
Exclude classes in blocklist from IntelliSense (#746),1.0000002,Exclude classes in blocklist from IntelliSense (#746),,1
Fix format assumption when resolving module dependencies,0.5820719,Support exports fields when resolving dependencies (#412),https://github.com/tailwindlabs/tailwindcss/pull/10878,0
Remove language service dependency on TextDocuments (#742),0.5112385,Remove typescript from default languages (#645),"The code actions API depends on TextDocuments. This is specific to the language server. This makes it hard to use without a language server. The use of TextDocuments has been removed. Instead, the resolved text document is passed down.",0
Fix use of certain built-in node modules in config file (#745),1.0000002,Fix use of certain built-in node modules in config file (#745),,1
Fix getModuleDependencies,0.4527097,Support require.extensions mutations (#583),https://github.com/tailwindlabs/tailwindcss/commit/439fdadb3abe9da865181f73422a19dc868cae95,0
Replace detective-typescript (#739),0.5056334,Remove typescript from default languages (#645),,0
0.9.9,0.20206693,  js,,0
Support TS/ESM config files (#738),0.64500254,"Support TypeScript and ESM Tailwind config files when using a version of tailwindcss that supports these (#738, #739)",,0
0.9.8,0.25948685,Update icon,,0
Bundle @tailwindcss/container-queries (#733),0.90961367,Add bundled version of @tailwindcss/container-queries (#733),,1
Bump language service,0.46240124,Update language server filename,,0
Add modifier completions for @apply and classRegex configs (#732),0.97498345,Add modifier completions for @apply and classRegex setting (#732),,1
Improve JS comment handling (#727),0.88740325,Improve JavaScript comment detection (#727),,1
Fix IntelliSense inside Handlebars template scripts (#726),0.76896197,"Add support for Handlebars template scripts (<script type=""text/x-handlebars-template"">) (#726)",,1
Add htmldjango (vim filetype) to languages (#721),0.8518038,Add htmldjango to default supported languages (#721),,1
Support InitializeParams.rootUri (#725),1.0,Support InitializeParams.rootUri (#725),  Support InitializeParams.rootUri   Remove log ,1
Fix InvalidTailwindDirective in notSemicolonLanguages with CRLF file endings (#723),0.84441555,Fix invalidTailwindDirective linting with CRLF file endings (#723),  Fix InvalidTailwindDirective in notSemicolonLanguages with CRLF file endings   Fix regex    Co-authored-by: Jordan Pittman jordan@cryptica.me,1
update package-lock.json,0.59766924,Don't watch package.json files (#573),,0
Bump @tailwindcss/language-server,0.7140978,"    ""tailwindCSS.includeLanguages"": {",,1
Update ThirdPartyNotices.txt,0.33201835,Update language server filename,,0
0.9.7,0.23138565,Update icon,,0
"Revert ""Improve completions when class contains trigger character""",0.6847715,"Fix completion triggers for ""computed"" class attributes.",,0
Fix missing parameter,0.42154264,Fix error when using a withOptions plugin without any options,,0
Improve completions when class contains trigger character,0.7233728,"Fix completion triggers for ""computed"" class attributes.",,1
Add workspace root document selector when there's exactly one active project (#711),0.6378436,Enable IntelliSense in entire workspace when there is exactly one active Tailwind project (#711),,0
Improve completions when class contains trigger character (#710),0.70743865,"Fix completion triggers for ""computed"" class attributes.",  Improve completions when class contains trigger character   wip   wip ,1
Only watch directories up to workspace root (#709),0.9081036,Don't watch directories above workspace root (#709),  Don't watch beyond workspace root   Catch errors when adding paths to chokidar watcher   Normalize paths   wip ,1
Normalize document selector pattern (#708),0.49809167,Fix document selector when tailwindCSS.experimental.configFile is a string (#693),,0
Update context.getClassList usage (#707),0.45833117,Fix classRegex error (#501),  Update context.getClassList usage   fix default metadata ,0
Use itemDefaults to reduce size of completion lists (#706),0.75811267,Improve completion list performance (#706),  Use completion list itemDefaults   more defaults ,1
0.9.6,0.2814774,Update icon,,0
Bump minimatch to 5.1.4 (#699),0.4584975,Add support for arbitrary variants (#557),,0
Reduce size of project key in completion items,0.41897893,[JIT] Show rem pixel equivalents in completion item details (#332),,0
0.9.5,0.19927345,  js,,0
Fix error when a files.excludes pattern contains braces (#696),1.0000002,Fix error when a files.excludes pattern contains braces (#696),,1
Bump vsce,0.25186825,"I'm dropping an initial pre-release here for brave people to try out, and I will be looking to release a new version of the extension after a bit more testing. To install go to the Extensions panel in VS Code and click on the ""three-dot"" button. From there, select Install from VSIX... and select the vscode-tailwindcss-0.3.0-alpha.1.vsix file",,0
0.9.4,0.26214308,Update icon,,0
Escape brackets in glob patterns (#694),0.6059231,Fix error when a files.excludes pattern contains braces (#696),,0
Fix document selector when configFile setting is a string (#693),0.7980399,Fix document selector when tailwindCSS.experimental.configFile is a string (#693),,1
