Index,Message,Description,Message Abstract,Description Abstract
1,📝 Update release notes,,📝 Update release notes,
2,"👷 Lint in CI only once, only with one version of Python, run tests with all of them (#9686)",,"👷 Lint in CI only once, only with one version of Python, run tests with all of them (#9686)",
3,🔖 Release version 0.97.0,,🔖 Release version 0.97.0,
4,📝 Update release notes,,📝 Update release notes,
5,📝 Update release notes,,📝 Update release notes,
6,⬆️ Upgrade Black (#9661),,⬆️ Upgrade Black (#9661),
7,📝 Update release notes,,📝 Update release notes,
8,"⬆️ Upgrade and fully migrate to Ruff, remove isort, includes a couple of tweaks suggested by the new version of Ruff (#9660)",,"⬆️ Upgrade and fully migrate to Ruff, remove isort, includes a couple of tweaks suggested by the new version of Ruff (#9660)",
9,📝 Update release notes,,📝 Update release notes,
10,♻️ Update internal type annotations and upgrade mypy (#9658),,♻️ Update internal type annotations and upgrade mypy (#9658),
11,📝 Update release notes,,📝 Update release notes,
12,💚 Update CI cache to fix installs when dependencies change (#9659),,💚 Update CI cache to fix installs when dependencies change (#9659),
13,📝 Update release notes,,📝 Update release notes,
14,♻️ Simplify AsyncExitStackMiddleware as without Python 3.6 AsyncExitStack is always available (#9657),♻️ Simplify AsyncExitStackMiddleware as without Python 3.6 AsyncExitStack is always available,♻️ Simplify AsyncExitStackMiddleware as without Python 3.6 AsyncExitStack is always available (#9657),♻️ Simplify AsyncExitStackMiddleware as without Python 3.6 AsyncExitStack is always available
15,📝 Update release notes,,📝 Update release notes,
16,"⬇️ Separate requirements for development into their own requirements.txt files, they shouldn't be extras (#9655)",,"⬇️ Separate requirements for development into their own requirements.txt files, they shouldn't be extras (#9655)",
17,📝 Update release notes,,📝 Update release notes,
18,✨ Add support for dependencies in WebSocket routes (#4534),Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,✨ Add support for dependencies in WebSocket routes (#4534),Co-authored-by: Sebastián Ramírez tiangolo@gmail.com
19,📝 Update release notes,,📝 Update release notes,
20,✨ Add exception handler for WebSocketRequestValidationError (which also allows to override it) (#6030),Co-authored-by: pre-commit-ci[bot] 66853113+pre-commit-ci[bot]@users.noreply.github.com Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,✨ Add exception handler for WebSocketRequestValidationError (which also allows to override it) (#6030),Co-authored-by: pre-commit-ci[bot] 66853113+pre-commit-ci[bot]@users.noreply.github.com Co-authored-by: Sebastián Ramírez tiangolo@gmail.com
21,📝 Update release notes,,📝 Update release notes,
22,🔖 Release version 0.96.1,,🔖 Release version 0.96.1,
23,📝 Update release notes,,📝 Update release notes,
24,📝 Update release notes,,📝 Update release notes,
25,🔧 Add sponsor Platform.sh (#9650),,🔧 Add sponsor Platform.sh (#9650),
26,📝 Update release notes,,📝 Update release notes,
27,🌐 Fix spelling in Indonesian translation of docs/id/docs/tutorial/index.md (#5635),Co-authored-by: Purwo Widodo id.purwowd@gmail.comm Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,🌐 Fix spelling in Indonesian translation of docs/id/docs/tutorial/index.md (#5635),Co-authored-by: Purwo Widodo id.purwowd@gmail.comm Co-authored-by: Sebastián Ramírez tiangolo@gmail.com
28,📝 Update release notes,,📝 Update release notes,
29,🌐 Add Russian translation for docs/ru/docs/tutorial/index.md (#5896),Co-authored-by: pre-commit-ci[bot] 66853113+pre-commit-ci[bot]@users.noreply.github.com Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,🌐 Add Russian translation for docs/ru/docs/tutorial/index.md (#5896),Co-authored-by: pre-commit-ci[bot] 66853113+pre-commit-ci[bot]@users.noreply.github.com Co-authored-by: Sebastián Ramírez tiangolo@gmail.com
30,📝 Update release notes,,📝 Update release notes,
31,🌐 Add Chinese translations for docs/zh/docs/advanced/response-change-status-code.md and docs/zh/docs/advanced/response-headers.md (#9544),,🌐 Add Chinese translations for docs/zh/docs/advanced/response-change-status-code.md and docs/zh/docs/advanced/response-headers.md (#9544),
