Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
📝 Update release notes,0.5599321,🌐 Add Japanese translation for Deployment - Versions. PR #2310 by @tokusumi.,,0
"👷 Lint in CI only once, only with one version of Python, run tests with all of them (#9686)",0.59295005,🔧 Lint only in Python 3.7 and above. PR #4006 by @tiangolo.,,0
🔖 Release version 0.97.0,0.49856994,"⬆ Update typer[all] requirement from <0.7.0,>=0.6.1 to >=0.6.1,<0.8.0. PR #5639 by @dependabot[bot].",,0
⬆️ Upgrade Black (#9661),0.8223045,⬆️ Upgrade Black. PR #9661 by @tiangolo.,,1
"⬆️ Upgrade and fully migrate to Ruff, remove isort, includes a couple of tweaks suggested by the new version of Ruff (#9660)",0.98962116,"⬆️ Upgrade and fully migrate to Ruff, remove isort, includes a couple of tweaks suggested by the new version of Ruff. PR #9660 by @tiangolo.",,1
♻️ Update internal type annotations and upgrade mypy (#9658),0.93077254,♻️ Update internal type annotations and upgrade mypy. PR #9658 by @tiangolo.,,1
💚 Update CI cache to fix installs when dependencies change (#9659),0.90871346,💚 Update CI cache to fix installs when dependencies change. PR #9659 by @tiangolo.,,1
♻️ Simplify AsyncExitStackMiddleware as without Python 3.6 AsyncExitStack is always available (#9657),0.9736235,♻️ Simplify AsyncExitStackMiddleware as without Python 3.6 AsyncExitStack is always available. PR #9657 by @tiangolo.,♻️ Simplify AsyncExitStackMiddleware as without Python 3.6 AsyncExitStack is always available,1
"⬇️ Separate requirements for development into their own requirements.txt files, they shouldn't be extras (#9655)",0.9423823,"⬇️ Separate requirements for development into their own requirements.txt files, they shouldn't be extras. PR #9655 by @tiangolo.",,1
✨ Add support for dependencies in WebSocket routes (#4534),0.9583134,✨ Add support for dependencies in WebSocket routes. PR #4534 by @paulo-raca.,Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,1
✨ Add exception handler for WebSocketRequestValidationError (which also allows to override it) (#6030),0.97449,✨ Add exception handler for WebSocketRequestValidationError (which also allows to override it). PR #6030 by @kristjanvalur.,Co-authored-by: pre-commit-ci[bot] 66853113+pre-commit-ci[bot]@users.noreply.github.com Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,1
🔖 Release version 0.96.1,0.50078523,⬆️ Upgrade isort and update pre-commit. PR #5940 by @tiangolo.,,0
🔧 Add sponsor Platform.sh (#9650),0.90290076,🔧 Add sponsor Platform.sh. PR #9650 by @tiangolo.,,1
🌐 Fix spelling in Indonesian translation of docs/id/docs/tutorial/index.md (#5635),0.9420376,🌐 Fix spelling in Indonesian translation of docs/id/docs/tutorial/index.md. PR #5635 by @purwowd.,Co-authored-by: Purwo Widodo id.purwowd@gmail.comm Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,1
🌐 Add Russian translation for docs/ru/docs/tutorial/index.md (#5896),0.91775846,🌐 Add Russian translation for docs/tutorial/body.md. PR #3885 by @solomein-sv.,Co-authored-by: pre-commit-ci[bot] 66853113+pre-commit-ci[bot]@users.noreply.github.com Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,1
🌐 Add Chinese translations for docs/zh/docs/advanced/response-change-status-code.md and docs/zh/docs/advanced/response-headers.md (#9544),0.957756,🌐 Add Chinese translations for docs/zh/docs/advanced/response-change-status-code.md and docs/zh/docs/advanced/response-headers.md. PR #9544 by @ChoyeonChern.,,1
🌐 Add Russian translation for docs/ru/docs/tutorial/schema-extra-example.md (#9621),0.9368473,🌐 Add Russian translation for docs/ru/docs/tutorial/schema-extra-example.md. PR #9621 by @Alexandrhub.,Co-authored-by: ivan-abc 36765187+ivan-abc@users.noreply.github.com,1
🐛 Fix HTTPException header type annotations (#9648),0.9464781,🐛 Fix HTTPException header type annotations. PR #9648 by @tiangolo.,,1
"🔥 Remove link to Pydantic's benchmark, as it was removed there (#5811)",0.9287677,"🔥 Remove link to Pydantic's benchmark, as it was removed there. PR #5811 by @Kludex.",Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,1
♻ Remove media_type from ORJSONResponse as it's inherited from the parent class (#5805),0.97741365,♻ Remove media_type from ORJSONResponse as it's inherited from the parent class. PR #5805 by @Kludex.,Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,1
👷 Add custom tokens for GitHub Actions to avoid rate limits (#9647),0.96752745,👷 Add custom tokens for GitHub Actions to avoid rate limits. PR #9647 by @tiangolo.,,1
"👷 Add custom token to Smokeshow and Preview Docs for download-artifact, to prevent API rate limits (#9646)",0.98577064,"👷 Add custom token to Smokeshow and Preview Docs for download-artifact, to prevent API rate limits. PR #9646 by @tiangolo.",,1
"♻ Instantiate HTTPException only when needed, optimization refactor (#5356)",0.9502257,"♻ Instantiate HTTPException only when needed, optimization refactor. PR #5356 by @pawamoy.",Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,1
📌 Update minimum version of Pydantic to >=1.7.4 (#9567),0.8722013,📌 Update minimum version of Pydantic to >=1.7.4. This fixes an issue when trying to use an old version of Pydantic. PR #9567 by @Kludex.,,1
"🐛 Fix OpenAPI model fields int validations, change gte to ge (#9635)",0.95761126,"🐛 Fix OpenAPI model fields int validations, gte to ge. PR #9635 by @tiangolo.","🐛 Fix OpenAPI model fields int validations, change gte to ge",1
🔖 Release version 0.96.0,0.5105127,"⬆ Update typer[all] requirement from <0.7.0,>=0.6.1 to >=0.6.1,<0.8.0. PR #5639 by @dependabot[bot].",,0
🌐 Add Russian translation for docs/tutorial/body.md (#3885),0.9367481,🌐 Add Russian translation for docs/tutorial/body.md. PR #3885 by @solomein-sv.,Co-authored-by: Teregov_Ruslan 48125303+RuslanTer@users.noreply.github.com Co-authored-by: Sebastián Ramírez tiangolo@gmail.com Co-authored-by: pre-commit-ci[bot] 66853113+pre-commit-ci[bot]@users.noreply.github.com Co-authored-by: FedorGN 66411909+FedorGN@users.noreply.github.com,1
🌐 Add Russian translation for docs/ru/docs/tutorial/static-files.md (#9580),0.9330774,🌐 Add Russian translation for docs/ru/docs/tutorial/static-files.md. PR #9580 by @Alexandrhub.,Co-authored-by: pre-commit-ci[bot] 66853113+pre-commit-ci[bot]@users.noreply.github.com Co-authored-by: Vladislav Kramorenko 85196001+Xewus@users.noreply.github.com Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,1
🌐 Add Russian translation for docs/ru/docs/tutorial/first-steps.md (#9471),0.92540586,🌐 Add Russian translation for docs/ru/docs/tutorial/first-steps.md. PR #9471 by @AGolicyn.,Co-authored-by: pre-commit-ci[bot] 66853113+pre-commit-ci[bot]@users.noreply.github.com Co-authored-by: Vladislav Kramorenko 85196001+Xewus@users.noreply.github.com Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,1
🌐 Add Russian translation for docs/ru/docs/tutorial/query-params.md (#9584),0.9294486,🌐 Add Russian translation for docs/ru/docs/tutorial/query-params.md. PR #9584 by @Alexandrhub.,Co-authored-by: Vladislav Kramorenko 85196001+Xewus@users.noreply.github.com Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,1
🌐 Add Russian translation for docs/ru/docs/tutorial/debugging.md (#9579),0.9175041,🌐 Add Russian translation for docs/ru/docs/tutorial/debugging.md. PR #9579 by @Alexandrhub.,Co-authored-by: ivan-abc 36765187+ivan-abc@users.noreply.github.com Co-authored-by: Vladislav Kramorenko 85196001+Xewus@users.noreply.github.com Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,1
