Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
1,:white_check_mark: Add tests for subcommands examples,0.6447303,Add docs for SubCommands - Command Groups. This includes tests for all the examples and bug fixes. PR #28.,,0
2,:bookmark: Release version 0.0.10,0.5604342,"Upgrade Mkdocs-Material version, update contributing guide style. PR #90.",📝 Remove obsolete references to --install-completion for typer.run() scripts,0
3,:sparkles: Add termynal for awesome docs,0.78667086,Add custom automatic Termynal for docs. PR #5.,,1
4,:bug: Fix handling of CLI parameters with multiple values,0.74506557,Add docs for CLI Parameters with Multiple Values. Includes tests for all the examples and bug fixes. PR #31.,,1
5,:bug: Fix help extraction implementation and priority,0.5778067,Several bug fixes.,,0
6,:bug: Fix Fish completion script (#82),0.9046091,Fix completion script for Fish. PR #82.,  📝 Add source examples for custom parameter types with Annotated   ✅ Add tests for custom parameters with Annotated   📝 Update docs for custom parameters with Annotated   ♻️ Fix overloads default in Argument after Annotated   ✅ Fix test for custom param types ,1
7,🔧 Add exclude_lines to coverage configuration (#585),0.86941195,🔧 Add exclude_lines to coverage configuration. PR #585 by @dmontagu.,,1
8,📝 Add note about how subcommands with function names using underscores are converted to dashes (#403),0.927532,📝 Add note about how subcommands with function names using underscores are converted to dashes. PR #403 by @targhs.,,1
9,:wrench: Update deploy script,0.59464765,Upgrade deploy docs to Netlify GitHub action. PR #57.,updates: - github.com/asottile/pyupgrade: v3.3.1 → v3.3.2 Co-authored-by: pre-commit-ci[bot] 66853113+pre-commit-ci[bot]@users.noreply.github.com,0
10,:art: Fix types and format,0.5456841,🐛 Fix type conversion for List and Tuple and their internal types. PR #143 by @hellowhistler.," ✨ Add support for PEP-593 Annotated for specifying options and arguments  Implements #184  Revert things I did to get a 3.6 virtualenv 😅  A lot of the dev dependency packages weren't installable on 3.6, so I had to remove them from the pyproject.toml. This commit adds them back   Fix mypy/lint errors   Skip coverage on test lines that shouldn't execute   Missed a spot   ♻️ Tweak examples and tests with Annotated, add extra examples and tests   🔥 Remove Pydantic-specific logic from _typing.py   📝 Update docs to use new Annotated examples   📝 Add docs introducing Annotated and previous versions   🔧 Add commented out MkDocs config for highlighting docs examples   ✅ Fix tests for Click 7    Co-authored-by: Sebastián Ramírez tiangolo@gmail.com",0
11,:bug: Fix docs format with hl_lines (#65),0.7211526,Fix format in docs with highlighted lines. PR #65.,,1
12,⬆ [pre-commit.ci] pre-commit autoupdate (#500),0.9196667,⬆ [pre-commit.ci] pre-commit autoupdate. PR #500 by @pre-commit-ci[bot].,,1
13,:white_check_mark: Add tests for examples with multiple values,0.5669598,Add tests for completion. PR #15 and #16.,,0
14,:pencil: Update docs with references to --install-completion,0.7161093,Update references to --install-completion and --show-completion in docs. PR #9.,,1
15,Update docs/index.md,0.7872633,Update docs and add latest changes to MkDocs/website. PR #33.,Bumps dawidd6/action-download-artifact from 2.24.2 to 2.26.0. - Release notes - Commits  updated-dependencies: - dependency-name: dawidd6/action-download-artifact   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
16,⬆ Bump dawidd6/action-download-artifact from 2.24.2 to 2.26.0 (#558),0.9573292,⬆ Bump dawidd6/action-download-artifact from 2.24.2 to 2.26.0. PR #558 by @dependabot[bot]., ⬆ [pre-commit.ci] pre-commit autoupdate  updates: - github.com/PyCQA/autoflake: v2.0.0 → v2.1.1 - github.com/psf/black: 22.12.0 → 23.3.0  🎨 [pre-commit.ci] Auto format from pre-commit.com hooks   Co-authored-by: pre-commit-ci[bot] 66853113+pre-commit-ci[bot]@users.noreply.github.com,1
17,⬆️ Upgrade analytics (#557),0.9008215,⬆️ Upgrade analytics. PR #557 by @tiangolo.,,1
18,"👷 Add GitHub Actions, move from Travis (#144)",0.94901025,"Add GitHub Actions, move from Travis. PR #144.","Allow rich 13.x Based on the changelog, the only relevant breaking change is that support for Python 3.6 is removed: https://github.com/Textualize/rich/blob/v13.0.0/CHANGELOG.md#1300---2022-12-30 This is OK even though we support Python 3.6 in typer, because we do still allow older versions of rich that are compatible with Python 3.6.",1
19,:art: Format imports,0.47932747,🔧 Add pre-commit config and formatting. PR #392 by @tiangolo.,,0
20,:memo: Update README with latest docs,0.63823724,Update docs and add latest changes to MkDocs/website. PR #33.,shinny -> shiny,0
21,🔖 Release version 0.8.0,0.5857705,Upgrade Isort to version 5.x.x. PR #137.,,0
22,"➕ Add Dependabot, try and see how it behaves with Flit (#136)",0.6816431,Add Dependabot. PR #136.,,0
23,⬆ [pre-commit.ci] pre-commit autoupdate (#411),0.9168978,⬆ [pre-commit.ci] pre-commit autoupdate. PR #411 by @pre-commit-ci[bot].,"  📝 Tweak name for Custom Types   ✏️ Fix broken internal links in CLI Option autocompletion   📝 Update main page docs, remove colors as that renders badly in README   📝 Update README, sync with index.md, remove colors for GitHub and PyPI ",1
24,:white_check_mark: Add tests for completion,0.69031286,Tests for the completion logic/code.,,0
25,:memo: Update short description in MkDocs,0.5911861,"⬆️ Upgrade MkDocs Material, MDX-Include, and MkDocs structure. PR #356 by @tiangolo."," Support custom parameter types  While most CLI parameters are strings, ints, etc, we sometimes need custom types. Currently typer has no support for it (See #77), and while there are a few hacks, the likely solution is to add a 'str' argument and parse it inside the main function. This PR adds support for custom types in 3 different ways: - Manually specifying a click_type - Manually specifying a parse function - Using a Callable type annotation (It is very common for types to have a string constructor, like int(""1""))  Document how to parse custom objects with Typer.  Typer supports parsing of cutom types with: - A user provided parser class - A click custom type parser   🎨 [pre-commit.ci] Auto format from pre-commit.com hooks   📝 Tweak and simplify docs   ✅ Tweak tests to run scripts and remove pragma: nocover in examples   📝 Tweak examples for docs, add types and remove # pragma: nocover   ♻️ Tweak implementation checking for parser and Click type    Co-authored-by: Paulo Costa me@paulo.costa.nom.br Co-authored-by: pre-commit-ci[bot] 66853113+pre-commit-ci[bot]@users.noreply.github.com Co-authored-by: Sebastián Ramírez tiangolo@gmail.com",0
26,"✨ Add support for Python 3.11, tests in CI and official marker (#487)",0.94002044,"✨ Add support for Python 3.11, tests in CI and official marker. PR #487 by @tiangolo.",,1
27,👷 Disable installing MkDocs Insiders in forks (#391),0.93267685,👷 Disable installing MkDocs Insiders in forks. PR #391 by @tiangolo.,Add exclude_lines to coverage configuration,1
28,:bookmark: Release version 0.0.11,0.5545028,"Upgrade Mkdocs-Material version, update contributing guide style. PR #90.",,0
29,:memo: Refactor docs with internal links #38,0.64516354,Update format for internal links. PR #38.,,0
30,:sparkles: Update file handling implementation to make it simpler,0.512512,"Add support for customizing pretty short errors, new docs: Exceptions and Errors.",,0
31,👷 Add GitHub Action Latest Changes (#321),0.8955712,👷 Add GitHub Action Latest Changes. PR #321 by @tiangolo.,,1
32,":memo: Fix typos, update docs and descriptions",0.70733035,Fix typos in README and main docs #103 by @mrcartoonster.,,1
33,📝 Update docs about helping Typer (#547),0.9147047,📝 Update docs about helping Typer. PR #547 by @tiangolo.,,1
