Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
📝 Update release notes,0.5084456,👷 Update docs CI name. PR #320 by @tiangolo.,,0
📝 Remove obsolete references to --install-completion for typer.run() scripts (#595),0.7414207,"✨ Make typer.run() not add completion scripts by default, it only makes sense in installed apps. Also update docs for handling autocompletion in CLI options. PR #488 by @tiangolo.",📝 Remove obsolete references to --install-completion for typer.run() scripts,1
🔖 Release version 0.9.0,0.4344598,"⬆ Upgrade Rich, support 13.x. PR #524 by @musicinmybrain.",,0
"📝 Update docs examples for custom param types using Annotated, fix overloads for typer.Argument (#594)",0.9714304,"📝 Update docs examples for custom param types using Annotated, fix overloads for typer.Argument. PR #594 by @tiangolo.",📝 Add source examples for custom parameter types with Annotated ✅ Add tests for custom parameters with Annotated 📝 Update docs for custom parameters with Annotated ♻️ Fix overloads default in Argument after Annotated ✅ Fix test for custom param types,1
⬆ [pre-commit.ci] pre-commit autoupdate (#592),0.91731757,⬆ [pre-commit.ci] pre-commit autoupdate. PR #592 by @pre-commit-ci[bot].,updates: - github.com/asottile/pyupgrade: v3.3.1 → v3.3.2 Co-authored-by: pre-commit-ci[bot] 66853113+pre-commit-ci[bot]@users.noreply.github.com,1
✨ Add support for PEP-593 Annotated for specifying options and arguments (#584),0.969385,✨ Add support for PEP-593 Annotated for specifying options and arguments. Initial PR #584 by @ryangalamb.,"✨ Add support for PEP-593 Annotated for specifying options and arguments Implements #184 Revert things I did to get a 3.6 virtualenv 😅 A lot of the dev dependency packages weren't installable on 3.6, so I had to remove them from the pyproject.toml. This commit adds them back Fix mypy/lint errors Skip coverage on test lines that shouldn't execute Missed a spot ♻️ Tweak examples and tests with Annotated, add extra examples and tests 🔥 Remove Pydantic-specific logic from _typing.py 📝 Update docs to use new Annotated examples 📝 Add docs introducing Annotated and previous versions 🔧 Add commented out MkDocs config for highlighting docs examples ✅ Fix tests for Click 7 Co-authored-by: Sebastián Ramírez tiangolo@gmail.com",1
🔖 Release version 0.8.0,0.44053435,"⬆ Upgrade Rich, support 13.x. PR #524 by @musicinmybrain.",,0
⬆ Bump dawidd6/action-download-artifact from 2.24.2 to 2.26.0 (#558),0.95004827,⬆ Bump dawidd6/action-download-artifact from 2.24.2 to 2.26.0. PR #558 by @dependabot[bot].,Bumps dawidd6/action-download-artifact from 2.24.2 to 2.26.0. - Release notes - Commits updated-dependencies: - dependency-name: dawidd6/action-download-artifact   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
⬆ [pre-commit.ci] pre-commit autoupdate (#549),0.9182845,⬆ [pre-commit.ci] pre-commit autoupdate. PR #512 by @pre-commit-ci[bot].,⬆ [pre-commit.ci] pre-commit autoupdate updates: - github.com/PyCQA/autoflake: v2.0.0 → v2.1.1 - github.com/psf/black: 22.12.0 → 23.3.0 🎨 [pre-commit.ci] Auto format from pre-commit.com hooks Co-authored-by: pre-commit-ci[bot] 66853113+pre-commit-ci[bot]@users.noreply.github.com,1
"⬆ Upgrade Rich, support 13.x (#524)",0.85591376,"⬆ Upgrade Rich, support 13.x. PR #524 by @musicinmybrain.","Allow rich 13.x Based on the changelog, the only relevant breaking change is that support for Python 3.6 is removed: link This is OK even though we support Python 3.6 in typer, because we do still allow older versions of rich that are compatible with Python 3.6.",1
