Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
fix:fix conditional Typing in useSWRMutation to Allow Optional ExtraArg Without Explicitly Passing Undefined (#2666),0.58936715,types: improve useSWRMutation type. by @promer94 in https://github.com/vercel/swr/pull/2604,  fix: add optional type   fix: delete unused test   fix: revert changes   type: add case with optional ExtraArgs   refactor: TriggerWithOptionalArgs -> TriggerWithOptionsArgs ,0
2.2.0-beta.2,0.6384473,After 2.0.0:,,0
types: fix immutable export paths (#2670),0.7870158,types: fix immutable export paths by @huozhi in https://github.com/vercel/swr/pull/2670,,1
Fix mutation types order (#2669),0.8108258,Fix mutation types order by @huozhi in https://github.com/vercel/swr/pull/2669,,1
2.2.0-beta.1,0.6559549,After 2.0.0:,,0
Add react-server bundle for core and infinite (#2664),0.86686313,Add react-server bundle for core and infinite by @huozhi in https://github.com/vercel/swr/pull/2664,,1
feat: improve preload and suspense integration (#2658),0.8082773,feat: improve preload and suspense integration by @promer94 in https://github.com/vercel/swr/pull/2658,,1
test: improve preload test (#2657),0.7070011,test: improve preload test by @promer94 in https://github.com/vercel/swr/pull/2657,,1
test: fix flaky suspense test in canary (#2655),0.86736137,test: fix flaky suspense test in canary by @promer94 in https://github.com/vercel/swr/pull/2655,  test: fix flaky suspense test in canary   chroe: fix lint ,1
fix: keepPreviousData should also work in suspense (#2649),0.8089421,fix: keepPreviousData should also work in suspense by @promer94 in https://github.com/vercel/swr/pull/2649, fix: keepPreviousData should also works in suspense  set promise.status to fulfilled to prevent unnecessary fallback  chore: remove useless check,1
fix: remove startTransition so mutation hook could update immediately (#2654),0.8356899,fix: remove startTransition so mutation hook could update immediately by @promer94 in https://github.com/vercel/swr/pull/2654,  fix: remove startTransition   chore: bump deps   test: add mutate server action test ,1
ci: use script to bump semver version (#2651),0.7978662,ci: use script to bump semver version by @huozhi in https://github.com/vercel/swr/pull/2651,,1
fix: reset the error when mutate succeeded (#2592),0.840552,Fix: should throw when mutate failed: #557,Co-authored-by: Yixuan Xu yixuanxu94@outlook.com,1
fix: do unsubscribe synchronously (#2648),0.7525245,fix: do unsubscribe synchronously by @promer94 in https://github.com/vercel/swr/pull/2648,,1
2.2.1-beta.0,0.66485715,After 2.0.0:,,0
2.2.0-beta.0,0.6811229,After 2.0.0:,,0
ci: use gh token credentials for cloning repo (#2637),0.8136165,ci: use gh token credentials for cloning repo by @huozhi in https://github.com/vercel/swr/pull/2637,,1
ci: update github token (#2636),0.7848236,ci: update github token by @huozhi in https://github.com/vercel/swr/pull/2636,,1
build: fix release semver (#2630),0.6924746,build: fix release semver by @huozhi in https://github.com/vercel/swr/pull/2630,,0
build: fix bad runner (#2629),0.733878,build: fix bad runner by @huozhi in https://github.com/vercel/swr/pull/2629,,1
