Index,Release Note
1,"What's Changed

fix: missing interop helpers in bundle by @huozhi in https://github.com/vercel/swr/pull/2582

Full Changelog: https://github.com/vercel/swr/compare/v2.1.4...v2.1.5"
2,"What's Changed

Upgrade bundler by @huozhi in https://github.com/vercel/swr/pull/2557
examples: fix invalid links by @fxOne in https://github.com/vercel/swr/pull/2559
types: Allow auto-import by improving generated types by @oosawy in https://github.com/vercel/swr/pull/2563
fix: pass serialized args to preload fetcher by @oosawy in https://github.com/vercel/swr/pull/2564
chore: use provenance for release by @HerringtonDarkholme in https://github.com/vercel/swr/pull/2571
deps: update @testing-library/react to v14 by @koba04 in https://github.com/vercel/swr/pull/2578
fix: Fix dependency tracking and useSES bug by @shuding and @promer94 in https://github.com/vercel/swr/pull/2576

New Contributors

@fxOne made their first contribution in https://github.com/vercel/swr/pull/2559
@oosawy made their first contribution in https://github.com/vercel/swr/pull/2563
@HerringtonDarkholme made their first contribution in https://github.com/vercel/swr/pull/2571

Full Changelog: https://github.com/vercel/swr/compare/v2.1.3...v2.1.4"
3,"What's Changed

Fix #2548: pass origin key to subcription callback by @Zheaoli in https://github.com/vercel/swr/pull/2550
Examples: fix type in axios-typescript example by @daochouwangu in https://github.com/vercel/swr/pull/2552
Update Cache Interface types by @dmmulroy in https://github.com/vercel/swr/pull/2554
fix: data passed to refreshInterval function is not latest by @hong24 in https://github.com/vercel/swr/pull/2354
types: allow passing function as module for module by @promer94 in https://github.com/vercel/swr/pull/2551

New Contributors

@Zheaoli made their first contribution in https://github.com/vercel/swr/pull/2550
@daochouwangu made their first contribution in https://github.com/vercel/swr/pull/2552
@dmmulroy made their first contribution in https://github.com/vercel/swr/pull/2554

Full Changelog: https://github.com/vercel/swr/compare/v2.1.2...v2.1.3"
4,"Patches

Improved type inferring for module
Adding module type for module

Changes

test: add typing test for empty config by @koba04 in https://github.com/vercel/swr/pull/2521
test: fix syntax error in Equal type alias implementation by @SACHINnANYAKKARA in https://github.com/vercel/swr/pull/2517
chore: remove engines by @promer94 in https://github.com/vercel/swr/pull/2536
types: improve module types by @promer94 in https://github.com/vercel/swr/pull/2535
Rename subscription types by @huozhi in https://github.com/vercel/swr/pull/2537

New Contributors

@SACHINnANYAKKARA made their first contribution in https://github.com/vercel/swr/pull/2517

Full Changelog: https://github.com/vercel/swr/compare/v2.1.1...v2.1.2"
5,"Patches

refactor: remove useless dataRef, always compare cached data by @promer94 in https://github.com/vercel/swr/pull/2431
fix: swr infers incorrect module type for default module generic type by @connorch in https://github.com/vercel/swr/pull/2506

Documentation

docs: update subscription example by @huozhi in https://github.com/vercel/swr/pull/2499

New Contributors

@connorch made their first contribution in https://github.com/vercel/swr/pull/2506

Full Changelog: https://github.com/vercel/swr/compare/v2.1.0...v2.1.1"
6,"Feature

Subscription mode by @huozhi in https://github.com/vercel/swr/pull/1263 
parallel option for useSWRInfinite by @koba04 in https://github.com/vercel/swr/pull/2404 

Checkout link and link for more details
Patches

fix: use the latest config in useSWRMutation by @koba04 in https://github.com/vercel/swr/pull/2468
Fix: type support for suspense and fallbackData(#2396) by @taro-28 in https://github.com/vercel/swr/pull/2452
Error should be reset when new data comes by @huozhi in https://github.com/vercel/swr/pull/2472
fix: avoid creating new snapshot if cache is not updated at client during streaming by @promer94 in https://github.com/vercel/swr/pull/2475
refactor: initialize the cache only on first access by @promer94 in https://github.com/vercel/swr/pull/2479

Misc

ci: fix publish workflow by @promer94 in https://github.com/vercel/swr/pull/2453
ci: faster e2e test by @promer94 in https://github.com/vercel/swr/pull/2428
test: add a test for keepPreviousData without changing key by @koba04 in https://github.com/vercel/swr/pull/2470
Always assume subscriptions will return sub count from current key by @huozhi in https://github.com/vercel/swr/pull/2460
test: Fix flaky e2e test by @promer94 in https://github.com/vercel/swr/pull/2476
chore: Add subscription example by @huozhi in https://github.com/vercel/swr/pull/2480

New Contributors

@taro-28 made their first contribution in https://github.com/vercel/swr/pull/2452

Full Changelog: https://github.com/vercel/swr/compare/v2.0.4...v2.1.0"
7,"Patches

build: fix release job condition by @huozhi in https://github.com/vercel/swr/pull/2392
types: fix some mutation type issue by @promer94 in https://github.com/vercel/swr/pull/2421
fix: Error retry should be handled by global revalidator instead of local revalidation function by @promer94 in https://github.com/vercel/swr/pull/2415
fix: ensure initCache setter function stays within bounds of subscriptions by @lfbergee in https://github.com/vercel/swr/pull/2411

Misc

test: stream ssr e2e by @promer94 in https://github.com/vercel/swr/pull/2395
test: fix an act warning by @koba04 in https://github.com/vercel/swr/pull/2403

New Contributors

@lfbergee made their first contribution in https://github.com/vercel/swr/pull/2411

Full Changelog: https://github.com/vercel/swr/compare/v2.0.3...v2.0.4"
8,"Patches

fix: parameters passed to subscribe is inconsistent with its declaration by @hong24 in https://github.com/vercel/swr/pull/2353
fix: when inifinite key changes, should use cached pagesize instead of initialSize by @promer94 in https://github.com/vercel/swr/pull/2386
fix: make compare function only compare data (#2375) by @Retrospection and @promer94 in https://github.com/vercel/swr/pull/2387 https://github.com/vercel/swr/pull/2389
fix: initial loading state should be false with revalidation is disabed by @promer94 in https://github.com/vercel/swr/pull/2382
fix: Ensure hydration matches the SSR result during streaming by @shuding in https://github.com/vercel/swr/pull/2391

Chores

ci: only run release when tags pushed by @promer94 in https://github.com/vercel/swr/pull/2388
unify module characters in README.md by @JanKaifer in https://github.com/vercel/swr/pull/2334

New Contributors

@hong24 made their first contribution in https://github.com/vercel/swr/pull/2353
@Retrospection made their first contribution in https://github.com/vercel/swr/pull/2387
@JanKaifer made their first contribution in https://github.com/vercel/swr/pull/2334

Full Changelog: https://github.com/vercel/swr/compare/v2.0.2...v2.0.3"
9,"Patches

fix: delay revalidation if a key is already active and has error by @promer94 in https://github.com/vercel/swr/pull/2338
fix: createCacheHelper type by @promer94 in https://github.com/vercel/swr/pull/2365

Chores

release workflow by @huozhi in https://github.com/vercel/swr/pull/2374, https://github.com/vercel/swr/pull/2381, https://github.com/vercel/swr/pull/2383, https://github.com/vercel/swr/pull/2384, https://github.com/vercel/swr/pull/2385

Full Changelog: https://github.com/vercel/swr/compare/v2.0.1...v2.0.2"
10,"In this patch release, we majorly improved typing support and SWR can infer the types based on the configuration.

When the module option is module, the returned module will exclude module and the module will always be module.
When the module option is provided, the returned module will be the same type of module, and the module will always be module.

Here's a demo for it:
https://user-images.githubusercontent.com/4800338/213288879-ffbeeeb5-aca5-4a65-8229-69fbf9b0bf70.mp4
What's Changed

types: make FullConfiguration generic by @huozhi in https://github.com/vercel/swr/pull/2273
type: enforce array literal as tuple by @promer94 in https://github.com/vercel/swr/pull/2283
Improve type test by @promer94 in https://github.com/vercel/swr/pull/2289
update bunchee to remove the extra target cli option by @huozhi in https://github.com/vercel/swr/pull/2298
fix: useSWRMutation should always use the latest fetcher by @koba04 in https://github.com/vercel/swr/pull/2290
types: conditional swr response by @huozhi in https://github.com/vercel/swr/pull/2301
fix: types properites in exports fields by @koba04 in https://github.com/vercel/swr/pull/2341
Update license year by @IcedMonk in https://github.com/vercel/swr/pull/2344
feat: add all mutate options support to useSWRInfinite by @koba04 in https://github.com/vercel/swr/pull/2350
ci: add publint to check packaging on CI by @koba04 in https://github.com/vercel/swr/pull/2363

New Contributors

@IcedMonk made their first contribution in https://github.com/vercel/swr/pull/2344

Full Changelog: https://github.com/vercel/swr/compare/2.0.0...v2.0.1"
