Index,Message,Description,Message Abstract,Description Abstract
1,ci(integration): add colors to turbo run invocation (#5326),"We can add --color flag for the turbo invocation. We previously did not do this, because we were doing it with an environment variable and it was filtering down to the tests themselves. but using a flag does not do that.",ci(integration): add colors to turbo run invocation (#5326),"We can add --color flag for the turbo invocation. We previously did not do this, because we were doing it with an environment variable and it was filtering down to the tests themselves. but using a flag does not do that."
2,feat(turborepo): Add context to glob errors (#5323),Co-authored-by: Greg Soltis ,feat(turborepo): Add context to glob errors (#5323),Co-authored-by: Greg Soltis 
3,Fix ESLint script command. (#5322),"ESLint needs you to tell it the directory it will run in. If you don't, it will silently do nothing, making it look like your script passed with no errors (at least unless you're really paying attention).",Fix ESLint script command. (#5322),"ESLint needs you to tell it the directory it will run in. If you don't, it will silently do nothing, making it look like your script passed with no errors (at least unless you're really paying attention)."
4,"feat(logging): add ""auto"" options for log prefixing and ordering (#5320)","This option will allow us to use heuristics like being in some CI environments to make decisions about how to display logs without any user interventions. For example, when GITHUB_ACTIONS env var is set, we can change the prefixes to use the log grouping mechanism Github provides. For --log-prefix , since ""auto"" becomes the default, also add ""task"", so it's possible to lock behavior to how it is now and prevent any automatic behavior from Turbo.","feat(logging): add ""auto"" options for log prefixing and ordering (#5320)","This option will allow us to use heuristics like being in some CI environments to make decisions about how to display logs without any user interventions. For example, when GITHUB_ACTIONS env var is set, we can change the prefixes to use the log grouping mechanism Github provides. For --log-prefix , since ""auto"" becomes the default, also add ""task"", so it's possible to lock behavior to how it is now and prevent any automatic behavior from Turbo."
5,refactor(turborepo): cli::run and args processing (#5297),"Description The cli::run function is pretty confusing and had a bug where --skip-infer would accidentally pass a relative path to the Go code and cause an error. I refactored this by moving all of the mutation to the end of the function so we can validate the different code paths a little easier. In the future we should do a scheme where Args is parsed into a separate struct with all of the fields properly validated and normalized. This also moves LogTag so that if we encounter an error with constructing a CommandBase, we error instead of segfaulting. Testing Instructions  Co-authored-by: --global ",refactor(turborepo): cli::run and args processing (#5297),"Description The cli::run function is pretty confusing and had a bug where --skip-infer would accidentally pass a relative path to the Go code and cause an error. I refactored this by moving all of the mutation to the end of the function so we can validate the different code paths a little easier. In the future we should do a scheme where Args is parsed into a separate struct with all of the fields properly validated and normalized. This also moves LogTag so that if we encounter an error with constructing a CommandBase, we error instead of segfaulting. Testing Instructions Co-authored-by: --global "
6,fix(turborepo): Re-enable some tests on windows (#5319),Co-authored-by: Greg Soltis ,fix(turborepo): Re-enable some tests on windows (#5319),Co-authored-by: Greg Soltis 
7,remove __internal_nextjs_integration_test compile-time feature (#5295),,remove __internal_nextjs_integration_test compile-time feature (#5295),
8,feat(cli): Add ability to pass --remote-only=false from CLI (#5317),The flag will take precedence over the env var.,feat(cli): Add ability to pass --remote-only=false from CLI (#5317),The flag will take precedence over the env var.
9,feat(logging): enable setting log order with an environment variable (#5316),,feat(logging): enable setting log order with an environment variable (#5316),
10,ci: replace sponge usage with jq (#5315),,ci: replace sponge usage with jq (#5315),
11,feat(run outline): Hide package graph internals (#5310),Description Slight refactor to hide internals of the package graph and instead have the CompleteGraph hold a reference to the entire package graph and use methods to query the required information. I intend for WorkspaceCatalog to get lazily built by CompleteGraph as it is used during the execution of run. There are a few clippy fixes in this as well 😄  Testing Instructions 👀  Co-authored-by: Chris Olszewski ,feat(run outline): Hide package graph internals (#5310),Description Slight refactor to hide internals of the package graph and instead have the CompleteGraph hold a reference to the entire package graph and use methods to query the required information. I intend for WorkspaceCatalog to get lazily built by CompleteGraph as it is used during the execution of run. There are a few clippy fixes in this as well 😄  Testing Instructions 👀 Co-authored-by: Chris Olszewski 
12,feat(turborepo): A few cleanup nits around log grouping (#5312),Co-authored-by: Greg Soltis ,feat(turborepo): A few cleanup nits around log grouping (#5312),Co-authored-by: Greg Soltis 
13,release(turborepo): 1.10.4-canary.3 (#5313),Co-authored-by: Turbobot turbobot@vercel.com,release(turborepo): 1.10.4-canary.3 (#5313),Co-authored-by: Turbobot turbobot@vercel.com
14,Add --log-order option (#3916),Co-authored-by: Rafael  Co-authored-by: Mehul Kar mehul.kar@vercel.com,Add --log-order option (#3916),Co-authored-by: Rafael  Co-authored-by: Mehul Kar mehul.kar@vercel.com
15,feat(turborepo): Hash with libgit2 (#5309),Co-authored-by: Greg Soltis ,feat(turborepo): Hash with libgit2 (#5309),Co-authored-by: Greg Soltis 
16,feat(cache): Add ability to disable remote cache from turbo.json (#5305),,feat(cache): Add ability to disable remote cache from turbo.json (#5305),
17,fix(turbopack): enable runtime flag (#5253),Description Minor fix to enable features.,fix(turbopack): enable runtime flag (#5253),Description Minor fix to enable features.
18,ci(e2e): turn on remote caching for e2e tests (#5302),"This should get us one step closer to running all our tests in a single job and allow turbo caching to save us time, rather than skipping with github ignore patterns",ci(e2e): turn on remote caching for e2e tests (#5302),"This should get us one step closer to running all our tests in a single job and allow turbo caching to save us time, rather than skipping with github ignore patterns"
19,chore(turborepo): Use cargo-groups (#5272),"Description Use cargo-groups to group turborepo and turbopack crates in the workspace. Also rearranged the test.yml workflow so that we have explicit turborepo/turbopack clippy jobs so we're not running clippy on everything all the time, and renamed a couple workflows accordingly. Testing Instructions    Give a quick description of steps to test your changes.   Co-authored-by: --global ",chore(turborepo): Use cargo-groups (#5272),"Description Use cargo-groups to group turborepo and turbopack crates in the workspace. Also rearranged the test.yml workflow so that we have explicit turborepo/turbopack clippy jobs so we're not running clippy on everything all the time, and renamed a couple workflows accordingly. Testing Instructions Give a quick description of steps to test your changes. Co-authored-by: --global "
20,ci(examples): enable gatsby example test in CI (#4999),"Now that CI runs node 18, we can enable this test and see it pass.",ci(examples): enable gatsby example test in CI (#4999),"Now that CI runs node 18, we can enable this test and see it pass."
21,chore(ci): use node 18 (#5301),,chore(ci): use node 18 (#5301),
22,update dependencies to sync with next.js (#5303),Description Preparation to release to next.js,update dependencies to sync with next.js (#5303),Description Preparation to release to next.js
23,chore(docs): Update to docs build to node 18 (#5030),,chore(docs): Update to docs build to node 18 (#5030),
24,docs(examples): update examples and docs to use node 18 (#5300),,docs(examples): update examples and docs to use node 18 (#5300),
25,feat(turborepo): Report more details when go-turbo exits (#5287),Description  adds a little extra reporting on unix systems when go-turbo does not return an exit code  Testing Instructions Co-authored-by: Greg Soltis ,feat(turborepo): Report more details when go-turbo exits (#5287),Description adds a little extra reporting on unix systems when go-turbo does not return an exit code Testing Instructions Co-authored-by: Greg Soltis 
26,chore: release npm packages, @vercel/devlow-bench@0.1.3,chore: release npm packages,@vercel/devlow-bench@0.1.3
27,fix turbo.json for publish script (#5293),,fix turbo.json for publish script (#5293),
28,chore: release npm packages, @vercel/devlow-bench@0.1.2,chore: release npm packages,@vercel/devlow-bench@0.1.2
29,rename build script to fit to publish script (#5292),,rename build script to fit to publish script (#5292),
30,chore: release npm packages, @vercel/devlow-bench@0.1.1,chore: release npm packages,@vercel/devlow-bench@0.1.1
