Index,Release Note
1," Release notes generated using configuration in .github/turborepo-release.yml at v1.9.4-canary.6 
What's Changed
Changelog

Move TURBO_FORCE config env var detection to Rust by @smaeda-ks in https://github.com/vercel/turbo/pull/4590
fix: turborepo unused code lints by @chris-olszewski in https://github.com/vercel/turbo/pull/4727
Delete unused git_go file by @mehulkar in https://github.com/vercel/turbo/pull/4730
We no longer require libc6-compat by @gsoltis in https://github.com/vercel/turbo/pull/4729

New Contributors

@smaeda-ks made their first contribution in https://github.com/vercel/turbo/pull/4590

Full Changelog: https://github.com/vercel/turbo/compare/v1.9.4-canary.5...v1.9.4-canary.6"
2," Release notes generated using configuration in .github/turborepo-release.yml at v1.9.4-canary.5 
What's Changed
Changelog

docs(prisma): add required version field in example by @skauffmann in https://github.com/vercel/turbo/pull/4676
feat: Use Rust Berry lockfile impl by @chris-olszewski in https://github.com/vercel/turbo/pull/4684

New Contributors

@skauffmann made their first contribution in https://github.com/vercel/turbo/pull/4676

Full Changelog: https://github.com/vercel/turbo/compare/v1.9.4-canary.4...v1.9.4-canary.5"
3," Release notes generated using configuration in .github/turborepo-release.yml at v1.9.4-canary.4 
What's Changed
Changelog

port(turborepo): Config by @NicholasLYang in https://github.com/vercel/turbo/pull/4520
Existing and error logs behavior by @gsoltis in https://github.com/vercel/turbo/pull/4656
update deps by @sokra in https://github.com/vercel/turbo/pull/4700
chore: move lockfile ffi boundary by @chris-olszewski in https://github.com/vercel/turbo/pull/4629
Invoke prysk with the directory name to ensure all tests run by @mehulkar in https://github.com/vercel/turbo/pull/4715
Fix errors-only integration test by @gsoltis in https://github.com/vercel/turbo/pull/4713
fix(turborepo): Turbostate deserialization by @NicholasLYang in https://github.com/vercel/turbo/pull/4712

New Contributors

@seeplusplus made their first contribution in https://github.com/vercel/turbo/pull/4667

Full Changelog: https://github.com/vercel/turbo/compare/v1.9.4-canary.3...v1.9.4-canary.4"
4," Release notes generated using configuration in .github/turborepo-release.yml at v1.9.4-canary.3 
What's Changed
Changelog

Remove unused import by @mehulkar in https://github.com/vercel/turbo/pull/4665
feat: Add rust implementation of Yarn3+ lockfile by @chris-olszewski in https://github.com/vercel/turbo/pull/4589
fix(turbo-utils): support old workspace format by @tknickman in https://github.com/vercel/turbo/pull/4682
fix: rebuild protobuf code and update ffi callsite by @chris-olszewski in https://github.com/vercel/turbo/pull/4685
Use spaceID from turbo.json if available by @mehulkar in https://github.com/vercel/turbo/pull/4687

Full Changelog: https://github.com/vercel/turbo/compare/v1.9.4-canary.2...v1.9.4-canary.3"
5," Release notes generated using configuration in .github/turborepo-release.yml at v1.9.4-canary.2 
Full Changelog: https://github.com/vercel/turbo/compare/v1.9.4-canary.1...v1.9.4-canary.2"
6," Release notes generated using configuration in .github/turborepo-release.yml at v1.9.4-canary.1 
What's Changed
Changelog

Include logs when posting task summary by @mehulkar in https://github.com/vercel/turbo/pull/4642

Full Changelog: https://github.com/vercel/turbo/compare/v1.9.4-canary.0...v1.9.4-canary.1"
7," Release notes generated using configuration in .github/turborepo-release.yml at v1.9.4-canary.0 
What's Changed
Changelog

chore: delete unused npm lockfile impl in go by @chris-olszewski in https://github.com/vercel/turbo/pull/4605
Env var run summary data generation by @nathanhammond in https://github.com/vercel/turbo/pull/4529
Fix path by @mehulkar in https://github.com/vercel/turbo/pull/4643
fix(turborepo): Switching back to git command instead of git2 by @NicholasLYang in https://github.com/vercel/turbo/pull/4606
feat(turbo): add spaces link by @tknickman in https://github.com/vercel/turbo/pull/4632

Full Changelog: https://github.com/vercel/turbo/compare/v1.9.3...v1.9.4-canary.0"
8," Release notes generated using configuration in .github/turborepo-release.yml at v1.9.3 
What's Changed
Changelog

Revert ""fix(turborepo): SCM tests and renaming (#4462)"" by @NicholasLYang in https://github.com/vercel/turbo/pull/4604

Full Changelog: https://github.com/vercel/turbo/compare/v1.9.2...v1.9.3"
9," Release notes generated using configuration in .github/turborepo-release.yml at v1.9.2 
What's Changed
Changelog

chore: Fix spelling by @NicholasLYang in https://github.com/vercel/turbo/pull/4552
Include TimeSaved metric in Run Summaries by @mehulkar in https://github.com/vercel/turbo/pull/4539
docs: add missing comma in turbo.json by @BRKalow in https://github.com/vercel/turbo/pull/4557
Delete a test fixture we don't need by @mehulkar in https://github.com/vercel/turbo/pull/4558
fix(create-turbo): correct package manager selection by @tknickman in https://github.com/vercel/turbo/pull/4574
Print Run URL if there is one by @mehulkar in https://github.com/vercel/turbo/pull/4562
fix(create-turbo): prompt fix by @tknickman in https://github.com/vercel/turbo/pull/4586
fix: better support for pnpm aliases by @chris-olszewski in https://github.com/vercel/turbo/pull/4555
Make find_up use os.ReadDir by @nathanhammond in https://github.com/vercel/turbo/pull/4599
fix(turbo-utils): package manager available by @tknickman in https://github.com/vercel/turbo/pull/4603

New Contributors

@BRKalow made their first contribution in https://github.com/vercel/turbo/pull/4557

Full Changelog: https://github.com/vercel/turbo/compare/v1.9.1...v1.9.2"
10," Release notes generated using configuration in .github/turborepo-release.yml at v1.9.2-canary.1 
What's Changed
Changelog

fix(create-turbo): prompt fix by @tknickman in https://github.com/vercel/turbo/pull/4586
fix: better support for pnpm aliases by @chris-olszewski in https://github.com/vercel/turbo/pull/4555

Full Changelog: https://github.com/vercel/turbo/compare/v1.9.2-canary.0...v1.9.2-canary.1"
11," Release notes generated using configuration in .github/turborepo-release.yml at v1.9.2-canary.0 
What's Changed
Changelog

chore: Fix spelling by @NicholasLYang in https://github.com/vercel/turbo/pull/4552
Include TimeSaved metric in Run Summaries by @mehulkar in https://github.com/vercel/turbo/pull/4539
docs: add missing comma in turbo.json by @BRKalow in https://github.com/vercel/turbo/pull/4557
Delete a test fixture we don't need by @mehulkar in https://github.com/vercel/turbo/pull/4558
fix(create-turbo): correct package manager selection by @tknickman in https://github.com/vercel/turbo/pull/4574
Print Run URL if there is one by @mehulkar in https://github.com/vercel/turbo/pull/4562

New Contributors

@BRKalow made their first contribution in https://github.com/vercel/turbo/pull/4557

Full Changelog: https://github.com/vercel/turbo/compare/v1.9.1...v1.9.2-canary.0"
12," Release notes generated using configuration in .github/turborepo-release.yml at v1.9.1 
What's Changed
Changelog

Add more readme for integration tests by @mehulkar in https://github.com/vercel/turbo/pull/4515
Deprecate THASH. by @nathanhammond in https://github.com/vercel/turbo/pull/4526
oldGlobalHash can be named by @nathanhammond in https://github.com/vercel/turbo/pull/4528
feat(summary): add taskId to single package task by @tknickman in https://github.com/vercel/turbo/pull/4530
Document --summarize flag and include in Troubleshooting doc by @mehulkar in https://github.com/vercel/turbo/pull/4467
feat(examples): update READMEs for create-turbo by @tknickman in https://github.com/vercel/turbo/pull/4451
Documentation for Strict Environments by @mehulkar in https://github.com/vercel/turbo/pull/4490
chore(turborepo): Make rustls the default feature for turborepo-lib by @NicholasLYang in https://github.com/vercel/turbo/pull/4537
fix(turborepo): SCM tests and renaming by @NicholasLYang in https://github.com/vercel/turbo/pull/4462
Update data sent to vercel for runs by @mehulkar in https://github.com/vercel/turbo/pull/4495
Gather Run Summary even when tasks fail by @mehulkar in https://github.com/vercel/turbo/pull/4524
Update old testbed make target to fixture- for new fixtures layout by @gsoltis in https://github.com/vercel/turbo/pull/4538
Use both key and version when sorting lockfile entries by @mehulkar in https://github.com/vercel/turbo/pull/4541
Save task duration correctly by @mehulkar in https://github.com/vercel/turbo/pull/4540

Full Changelog: https://github.com/vercel/turbo/compare/v1.9.0...v1.9.1"
