Index,Message,Description,Message Abstract,Description Abstract
1,Merge pull request #1313 from weblate/weblate-wallabag-android-app,Translations update from Hosted Weblate,Merge pull request #1313 from weblate/weblate-wallabag-android-app,Translations update from Hosted Weblate
2,Translated using Weblate (German),Currently translated at 84.2% (283 of 336 strings),Translated using Weblate (German),Currently translated at 84.2% (283 of 336 strings)
3,Merge pull request #1311 from weblate/weblate-wallabag-android-app,Translations update from Hosted Weblate,Merge pull request #1311 from weblate/weblate-wallabag-android-app,Translations update from Hosted Weblate
4,Translated using Weblate (Czech),Currently translated at 94.0% (316 of 336 strings),Translated using Weblate (Czech),Currently translated at 94.0% (316 of 336 strings)
5,Translated using Weblate (French),Currently translated at 85.1% (286 of 336 strings),Translated using Weblate (French),Currently translated at 85.1% (286 of 336 strings)
6,Translated using Weblate (French),Currently translated at 78.2% (263 of 336 strings),Translated using Weblate (French),Currently translated at 78.2% (263 of 336 strings)
7,Translated using Weblate (German),Currently translated at 84.2% (283 of 336 strings),Translated using Weblate (German),Currently translated at 84.2% (283 of 336 strings)
8,Translated using Weblate (Galician),Currently translated at 100.0% (336 of 336 strings),Translated using Weblate (Galician),Currently translated at 100.0% (336 of 336 strings)
9,Translated using Weblate (Malayalam),Currently translated at 4.4% (15 of 336 strings),Translated using Weblate (Malayalam),Currently translated at 4.4% (15 of 336 strings)
10,Translated using Weblate (German),Currently translated at 83.9% (282 of 336 strings),Translated using Weblate (German),Currently translated at 83.9% (282 of 336 strings)
11,Added translation using Weblate (Malayalam),,Added translation using Weblate (Malayalam),
12,Merge pull request #1274 from weblate/weblate-wallabag-android-app,Translations update from Hosted Weblate,Merge pull request #1274 from weblate/weblate-wallabag-android-app,Translations update from Hosted Weblate
13,Translated using Weblate (Catalan),Currently translated at 95.8% (322 of 336 strings),Translated using Weblate (Catalan),Currently translated at 95.8% (322 of 336 strings)
14,Translated using Weblate (Arabic),Currently translated at 7.7% (26 of 336 strings),Translated using Weblate (Arabic),Currently translated at 7.7% (26 of 336 strings)
15,Translated using Weblate (Dutch),Currently translated at 73.5% (247 of 336 strings),Translated using Weblate (Dutch),Currently translated at 73.5% (247 of 336 strings)
16,Translated using Weblate (Thai),Currently translated at 1.1% (4 of 336 strings),Translated using Weblate (Thai),Currently translated at 1.1% (4 of 336 strings)
17,Translated using Weblate (Portuguese),Currently translated at 43.7% (147 of 336 strings),Translated using Weblate (Portuguese),Currently translated at 43.7% (147 of 336 strings)
18,Translated using Weblate (French),Currently translated at 76.4% (257 of 336 strings),Translated using Weblate (French),Currently translated at 76.4% (257 of 336 strings)
19,Translated using Weblate (German),Currently translated at 76.4% (257 of 336 strings),Translated using Weblate (German),Currently translated at 76.4% (257 of 336 strings)
20,Deleted translation using Weblate (English (United States)),,Deleted translation using Weblate (English (United States)),
21,Translated using Weblate (Italian),Currently translated at 76.4% (257 of 336 strings),Translated using Weblate (Italian),Currently translated at 76.4% (257 of 336 strings)
22,Added translation using Weblate (English (United States)),,Added translation using Weblate (English (United States)),
23,Translated using Weblate (Czech),Currently translated at 73.5% (247 of 336 strings),Translated using Weblate (Czech),Currently translated at 73.5% (247 of 336 strings)
24,Translated using Weblate (Spanish),Currently translated at 100.0% (336 of 336 strings),Translated using Weblate (Spanish),Currently translated at 100.0% (336 of 336 strings)
25,Translated using Weblate (Catalan),Currently translated at 95.8% (322 of 336 strings),Translated using Weblate (Catalan),Currently translated at 95.8% (322 of 336 strings)
26,Added translation using Weblate (Catalan),,Added translation using Weblate (Catalan),
27,Translated using Weblate (French),Currently translated at 75.5% (254 of 336 strings),Translated using Weblate (French),Currently translated at 75.5% (254 of 336 strings)
28,Translated using Weblate (Polish),Currently translated at 100.0% (336 of 336 strings),Translated using Weblate (Polish),Currently translated at 100.0% (336 of 336 strings)
29,Translated using Weblate (Polish),Currently translated at 70.2% (236 of 336 strings),Translated using Weblate (Polish),Currently translated at 70.2% (236 of 336 strings)
