Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
1,Bump graddle,0.59825045,Bump version name for F-Droid users.,Translations update from Hosted Weblate,0
2,Update pref_desc_connection_autofill string for v2,0.50475645,• Fix connexion to wallabag v2.0.1 servers,Currently translated at 95.8% (322 of 336 strings),0
3,"Fix ""add dialog"" crash",0.49923652,Dialogues suggesting to sync if needed,Currently translated at 7.7% (26 of 336 strings),0
4,Replace deprecated method usage,0.49003333,Removed legacy code. (#1114),Currently translated at 73.5% (247 of 336 strings),0
5,Update Italian translation,0.74403393,Italian,Currently translated at 1.1% (4 of 336 strings),1
6,remove link in article view since we have Open Original menu item,0.64313984,Add menu entry to copy article url to clipboard,Currently translated at 43.7% (147 of 336 strings),0
7,Merge pull request #981 from wallabag/dependabot/gradle/com.squareup.okhttp3-okhttp-4.7.1,0.51092374,@Strubbl updated the okhttp (#791) and gradle (#790) deps,Currently translated at 76.4% (257 of 336 strings),0
8,Show preview picture in article view,0.9847233,* Show preview picture in article view,Currently translated at 76.4% (257 of 336 strings),1
9,Refactor CsrfToken parsing,0.4117793,* Added Framabag preset,,0
10,Added translation using Weblate (Thai),0.7035766,Improved translations,Currently translated at 76.4% (257 of 336 strings),1
11,Supperess network_security_config warnings,0.6205696,Better handling of network-related errors.,,0
12,Merge pull request #1045 from wallabag/metadata_formatting,0.48083863,wallabag unread items widget,Currently translated at 73.5% (247 of 336 strings),0
13,French: add Miscellanea group to Interface settings category,0.47547045,• New interface !,Currently translated at 100.0% (336 of 336 strings),0
14,Bump slf4j-android from 1.7.33 to 1.7.35,0.6805293,Bump version name for F-Droid users.,Currently translated at 95.8% (322 of 336 strings),0
15,Merge pull request #245 from tyndare/tts-fix-issue-234,0.562952,fix crash when TTS Enable/Disable and when switching to another app while TTS is running (thanks @tyndare #741),,0
16,"added ""settings"" button to main view. Removed options menu from main view.",0.5579013,* Improve bottom toolbar on article view,Currently translated at 75.5% (254 of 336 strings),0
17,Fix alarmReceived delay,0.61716497,"We fixed notifications not being displayed, leading to other issues.",Currently translated at 100.0% (336 of 336 strings),0
18,Update Polish translation,0.76021826,Polish,Currently translated at 70.2% (236 of 336 strings),1
19,re-establishes v1 login connection test successful,0.49468216,Better tests for connexion issues,Currently translated at 17.2% (58 of 336 strings),0
20,Merge pull request #1033 from wallabag/dependabot/gradle/com.squareup.okhttp3-okhttp-urlconnection-4.8.1,0.5720594,• Fix connexion to wallabag v2.0.1 servers,Currently translated at 100.0% (336 of 336 strings),0
21,added buttons in toolbar and previous and next buttons,0.72667223,Previous and next article buttons,,1
22,Merge pull request #160 from di72nn/devel,0.5184171,@di72nn added two new actions in the settings to help fix queue/synchronization issues : the ability to dump the queue to a local file and the possibility to remove the first queue item found. https://github.com/wallabag/android-app/pull/915,Bumps okhttp-urlconnection from 4.9.3 to 4.10.0. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: com.squareup.okhttp3:okhttp-urlconnection   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com,0
23,Fixed URL,0.7869506,Fix Error when incorrect URL entered.,,1
24,Add menu and share option in Article view,0.7156904,Share-menu: favorite/archive/tag articles right after sharing.,Bumps okhttp from 4.9.3 to 4.10.0. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: com.squareup.okhttp3:okhttp   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com,1
25,Attempt to update translations for article header style tweaks,0.6848787,Updated translations,Translations update from Hosted Weblate,0
26,French: translate remove_tag,0.59014106,German and French translations strings,Currently translated at 100.0% (336 of 336 strings),0
27,TTS js parser: rewrite traversal,0.46274292,tts: automatic switch to article's language (thanks @tyndare  #709),Currently translated at 100.0% (336 of 336 strings),0
28,Try to optimize replacements in ImageCache,0.54911923,Theme and downloading pictures fixes,Currently translated at 34.8% (117 of 336 strings),0
29,Merge pull request #564 from wallabag/update_dependencies,0.55969954,• Fix connexion to wallabag v2.0.1 servers,Currently translated at 32.7% (110 of 336 strings),0
30,Add tags sync support,0.6317384,"Basic tags support (list by tag, add/modify/delete tags on articles) ",Currently translated at 99.7% (335 of 336 strings),0
31,Bump gradle from 4.2.0 to 4.2.1,0.53257006,Bump version name for F-Droid users.,,0
32,Merge pull request #688 from wallabag/update_translations,0.524801,"@di72nn updated their wallabag API wrapper library to the latest version, which brings a few optimizations and compatibility with latest wallabag versions https://github.com/wallabag/android-app/pull/861",Bumps slf4j-android from 1.7.35 to 1.7.36.  updated-dependencies: - dependency-name: org.slf4j:slf4j-android   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com,0
33,Release 2.2.1,0.65898657,"Replaces version 2.4.0-beta.2, which APK didn't have the latest changes.",,0
34,Bump Gradle and AGP to 7.0.2,0.48485842,AboutLibraries was automatically bumped to v7.0.3,Bumps slf4j-android from 1.7.33 to 1.7.35.  updated-dependencies: - dependency-name: org.slf4j:slf4j-android   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com,0
35,Merge pull request #957 from wallabag/track_token_expiration,0.47798762,Drops wallabag v1 support : Framabag will not work anymore with this version.,Translations update from Hosted Weblate,0
36,Add Croatian translation for metadata,0.67203397,Croatian,Currently translated at 100.0% (336 of 336 strings),0
37,Update readme icon,0.5448884,Adding a Mark as Read button in the action bar,Currently translated at 100.0% (336 of 336 strings),0
38,Translated using Weblate (English),0.72327745,Translations:,Currently translated at 17.3% (58 of 335 strings),1
39,better values for swipe,0.46178442,Better fetching of pictures,"Make the ""Scan a QR code"" button less pronounced",0
40,"added missing gradle wrapper. build app by running ""./gradlew assembleDebug""",0.5042352,@di72nn added a Gradle Wrapper Validation Github Action to prevent bad gradle-wrapper.jar binaries,,0
41,Translated using Weblate (Italian),0.6439502,Translations:,Bumps slf4j-android from 1.7.32 to 1.7.33.  updated-dependencies: - dependency-name: org.slf4j:slf4j-android   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com,0
42,Merge pull request #205 from Strubbl/update-gradle-to-2.1.0-alpha5,0.53949785,@Strubbl updated the okhttp (#791) and gradle (#790) deps,Translations update from Weblate,0
43,TTS JS parser: split text into sentences,0.51488787,TTS Speech,,0
44,Merge pull request #1186 from wallabag/dependabot/gradle/androidx.appcompat-appcompat-1.3.1,0.5844589,@di72nn fixed a webview crash happening with Android 5 https://github.com/wallabag/android-app/pull/877,,0
45,Bump eventbus from 3.0.1 to 3.1.1,0.5263886,Bump version name for F-Droid users.,Article header style tweak,0
46,"Update strings: remove redundant ""Press here""",0.5094731,UI fixes on links and quotes, Less gap between stats and tags Slightly more horizontal padding within tag Slightly more horizontal space between tags,0
47,Limit the number of suggested tags to 50,0.9795005,Limit the number of suggested tags to 50.,,1
48,Translated using Weblate (Chinese (Simplified)),0.67862153,Chinese (Simplified), Use material icons ala Wallabag web for statistics labels Add a little more spacing,0
49,Merge pull request #1041 from milotype/croatian-2020,0.47297102,Croatian,,0
50,using support library 21 to add material action bar.,0.64041686,material action bar,Bumps eventbus-annotation-processor from 3.3.0 to 3.3.1. - Release notes - Commits  updated-dependencies: - dependency-name: org.greenrobot:eventbus-annotation-processor   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com,0
51,Merge pull request #1080 from weblate/weblate-wallabag-android-app,0.5889439,@di72nn fixed a webview crash happening with Android 5 https://github.com/wallabag/android-app/pull/877,,0
52,Add action to copy error text to clipboard,0.6663074,Add menu entry to copy article url to clipboard,,0
53,Better error reporting for FeedUpdater,0.56962895,Better notifications,Bumps eventbus from 3.3.0 to 3.3.1. - Release notes - Commits  updated-dependencies: - dependency-name: org.greenrobot:eventbus   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com,0
54,bump dependencies & version,0.7158836,Update dependencies,Bumps gradle from 7.0.3 to 7.0.4.  updated-dependencies: - dependency-name: com.android.tools.build:gradle   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com,1
55,Replace all v2.wallabag.org mentions,0.58306515,Share title with url and option to remove the (via @wallabagapp),,0
