Index,Release Note,Release Note With Abstraction
1,"5.1.1 (2023-05-09)
Bug Fixes

false positive warning when --watch used (#3783) (c0436ba)
","5.1.1 (2023-05-09)
Bug Fixes
false positive warning when --watch used (#3783) (c0436ba)"
2,"5.1.0 (2023-05-07)
Features

shareable webpack configs using extends (#3738) (d04d0b9)

Performance Improvements

simplify logic, reduce extra loops and perf (#3767) (6afe1d3)
","5.1.0 (2023-05-07)
Features
shareable webpack configs using extends (#3738) (d04d0b9)
Performance Improvements
simplify logic, reduce extra loops and perf (#3767) (6afe1d3)"
3,"5.0.2 (2023-04-21)
Bug Fixes

error message for missing default export in configuration (#3685) (e0a4a09)
perf: reduced startup time (3b79059)
","5.0.2 (2023-04-21)
Bug Fixes
error message for missing default export in configuration (#3685) (e0a4a09)
perf: reduced startup time (3b79059)"
4,"5.0.1 (2022-12-05)
Bug Fixes

make define-process-env-node-env alias node-env (#3514) (346a518)
","5.0.1 (2022-12-05)
Bug Fixes
make define-process-env-node-env alias node-env (#3514) (346a518)"
5,"5.0.0 (2022-11-17)
Bug Fixes

improve description of the --disable-interpret option (#3364) (bdb7e20)
remove the redundant utils export (#3343) (a9ce5d0)
respect NODE_PATH env variable (#3411) (83d1f58)
show all CLI specific flags in the minimum help output (#3354) (35843e8)

Features

failOnWarnings option (#3317) (c48c848)
update commander to v9 (#3460) (6621c02)
added the --define-process-env-node-env option
update interpret to v3 and rechoir to v0.8
add an option for preventing interpret (#3329) (c737383)

BREAKING CHANGES

the minimum supported webpack version is v5.0.0 (#3342) (b1af0dc), closes #3342
webpack-cli no longer supports webpack v4, the minimum supported version is webpack v5.0.0
webpack-cli no longer supports webpack-dev-server v3, the minimum supported version is webpack-dev-server v4.0.0
remove the migrate command (#3291) (56b43e4), closes #3291
remove the --prefetch option in favor the PrefetchPlugin plugin
remove the --node-env option in favor --define-process-env-node-env
remove the --hot option in favor of directly using the HotModuleReplacement plugin (only for build command, for serve it will work)
the behavior logic of the --entry option has been changed - previously it replaced your entries, now the option adds a specified entry, if you want to return the previous behavior please use webpack --entry-reset --entry './src/my-entry.js'
","5.0.0 (2022-11-17)
Bug Fixes
improve description of the --disable-interpret option (#3364) (bdb7e20)
remove the redundant utils export (#3343) (a9ce5d0)
respect NODE_PATH env variable (#3411) (83d1f58)
show all CLI specific flags in the minimum help output (#3354) (35843e8)
Features
failOnWarnings option (#3317) (c48c848)
update commander to v9 (#3460) (6621c02)
added the --define-process-env-node-env option
update interpret to v3 and rechoir to v0.8
add an option for preventing interpret (#3329) (c737383)
BREAKING CHANGES
the minimum supported webpack version is v5.0.0 (#3342) (b1af0dc), closes #3342
webpack-cli no longer supports webpack v4, the minimum supported version is webpack v5.0.0
webpack-cli no longer supports webpack-dev-server v3, the minimum supported version is webpack-dev-server v4.0.0
remove the migrate command (#3291) (56b43e4), closes #3291
remove the --prefetch option in favor the PrefetchPlugin plugin
remove the --node-env option in favor --define-process-env-node-env
remove the --hot option in favor of directly using the HotModuleReplacement plugin (only for build command, for serve it will work)
the behavior logic of the --entry option has been changed - previously it replaced your entries, now the option adds a specified entry, if you want to return the previous behavior please use webpack --entry-reset --entry './src/my-entry.js'"
6,"4.10.0 (2022-06-13)
Bug Fixes

changeTime is already in milliseconds (#3198) (d390d32)
improve parsing of --env flag (#3286) (402c0fe)

Features

added types (8ec1375)
","4.10.0 (2022-06-13)
Bug Fixes
changeTime is already in milliseconds (#3198) (d390d32)
improve parsing of --env flag (#3286) (402c0fe)
Features
added types (8ec1375)"
7,"4.9.2 (2022-01-24)
Bug Fixes

respect negatedDescription for flags from schema (#3102) (463b731)
","4.9.2 (2022-01-24)
Bug Fixes
respect negatedDescription for flags from schema (#3102) (463b731)"
8,"4.9.1 (2021-10-18)
Bug Fixes

compatibility with dynamic import (#3006) (6a9aac9)
","4.9.1 (2021-10-18)
Bug Fixes
compatibility with dynamic import (#3006) (6a9aac9)"
9,"4.9.0 (2021-10-06)
Bug Fixes

handle undefined and empty configuration export (#2930) (9b9040e)

Features

allow to run commands without webpack installation where it is unnecessary (#2907) (603041d)
","4.9.0 (2021-10-06)
Bug Fixes
handle undefined and empty configuration export (#2930) (9b9040e)
Features
allow to run commands without webpack installation where it is unnecessary (#2907) (603041d)"
10,"4.8.0 (2021-08-15)
Bug Fixes

show default value in help output if available (#2814) (7f50948)
support top multi compiler options (#2874) (82b1fb7)

Features

show possible values for option in help output (#2819) (828e5c9)
init-generator: add ability to specify a package manager of choice (#2769) (e53f164)
","4.8.0 (2021-08-15)
Bug Fixes
show default value in help output if available (#2814) (7f50948)
support top multi compiler options (#2874) (82b1fb7)
Features
show possible values for option in help output (#2819) (828e5c9)
init-generator: add ability to specify a package manager of choice (#2769) (e53f164)"
11,"4.7.2 (2021-06-07)
Note: Version bump only for package webpack-cli","4.7.2 (2021-06-07)
Note: Version bump only for package webpack-cli"
12,"4.7.1 (2021-06-07)
Bug Fixes

not found module after ask installation (#2761) (557ad05)
prettier config (#2719) (181295f)
","4.7.1 (2021-06-07)
Bug Fixes
not found module after ask installation (#2761) (557ad05)
prettier config (#2719) (181295f)"
13,"4.7.0 (2021-05-06)
Bug Fixes

parsing of empty --env flags (#2643) (bc12f1a)
update usage info (#2594) (9d07d67)

Features

add create and new alias for init (#2616) (5a9789d)
add server alias for serve command (#2631) (c9ee947)
add flag to force start finish log (#2566) (281aad3)
added --no-devtool to webpack v4(#2603) (7c6f390)
added support arguments description (#2659) (4dfd166)
","4.7.0 (2021-05-06)
Bug Fixes
parsing of empty --env flags (#2643) (bc12f1a)
update usage info (#2594) (9d07d67)
Features
add create and new alias for init (#2616) (5a9789d)
add server alias for serve command (#2631) (c9ee947)
add flag to force start finish log (#2566) (281aad3)
added --no-devtool to webpack v4(#2603) (7c6f390)
added support arguments description (#2659) (4dfd166)"
14,"4.6.0 (2021-03-27)
Bug Fixes

negative options (#2555) (f26ebc1)
improve error message for help (#2482) (99ae2a3)
show --node-env in minimum help output (#2411) (f5fc302)

Features

added WEBPACK_PACKAGE env var to use custom webpack package (#2556) (3d1e485)
added WEBPACK_CLI_SKIP_IMPORT_LOCAL env var to skip local import (#2546) (e130822)
allow string value for the --hot option (#2444) (8656e78)
display used config path when logging level=log (#2431) (f8406e1)
","4.6.0 (2021-03-27)
Bug Fixes
negative options (#2555) (f26ebc1)
improve error message for help (#2482) (99ae2a3)
show --node-env in minimum help output (#2411) (f5fc302)
Features
added WEBPACK_PACKAGE env var to use custom webpack package (#2556) (3d1e485)
added WEBPACK_CLI_SKIP_IMPORT_LOCAL env var to skip local import (#2546) (e130822)
allow string value for the --hot option (#2444) (8656e78)
display used config path when logging level=log (#2431) (f8406e1)"
15,"4.5.0 (2021-02-02)
Notes

now you can use webpack.config.mjs and webpack.config.js with { ""type"": ""module"" } in package.json
you can avoid using the cross-env package:

Before:
json
{
    ""scripts"": {
        ""build"": ""cross-env NODE_ENV=production webpack --config build/webpack.config.js""
    }
}
Now (you can remove the cross-env if you don't use it somewhere else):
json
{
    ""scripts"": {
        ""build"": ""webpack --node-env=production --config build/webpack.config.js""
    }
}

the mode option respect the --node-env option if you don't set the mode option explicit using CLI options or in configuration(s), i.e. --node-env production set process.env.NODE_ENV and mode to production

Bug Fixes

avoid deprecation message (9d6dbda)
error message on invalid plugin options (#2380) (f9ce1d3)
improve description for 'configtest' command (#2379) (311bae3)

Features

add the --node-env flag (#2388) (e5126f1)
entries syntax (#2369) (6b31614)
support ES module configuration format (#2381) (aebdbbc)
","4.5.0 (2021-02-02)
Notes
now you can use webpack.config.mjs and webpack.config.js with { ""type"": ""module"" } in package.json
you can avoid using the cross-env package:
Before:
json
{
    ""scripts"": {
        ""build"": ""cross-env NODE_ENV=production webpack --config build/webpack.config.js""
    }
}
Now (you can remove the cross-env if you don't use it somewhere else):
json
{
    ""scripts"": {
        ""build"": ""webpack --node-env=production --config build/webpack.config.js""
    }
}
the mode option respect the --node-env option if you don't set the mode option explicit using CLI options or in configuration(s), i.e. --node-env production set process.env.NODE_ENV and mode to production
Bug Fixes
avoid deprecation message (9d6dbda)
error message on invalid plugin options (#2380) (f9ce1d3)
improve description for 'configtest' command (#2379) (311bae3)
Features
add the --node-env flag (#2388) (e5126f1)
entries syntax (#2369) (6b31614)
support ES module configuration format (#2381) (aebdbbc)"
16,"4.4.0 (2021-01-19)
Bug Fixes

better description for --no-watch-options-stdin (#2288) (4ee8665)
double commands output in help (#2298) (efe81e9)
pass all argv to configurations when serve command used (#2345) (5070b9b)
respect --stats, --color and --no-color option for serve command (#2312) (73d3fec)
show exact package name while prompting for installation (#2338) (ffc93e5)
webpack installation prompt message (#2316) (3659c5e)

Features

added the configtest command (#2303) (eb7b189)
added the build command (aliases - bundle and b) (7590f66)
added the watch command (#2357) (9693f7d)
allow to pass parseOption to CLI class (#2299) (2af0801)
allow to use help command to show option information (#2353) (15eb411)
show multiple suggestions on unknown options (#2349) (7314d6c)
","4.4.0 (2021-01-19)
Bug Fixes
better description for --no-watch-options-stdin (#2288) (4ee8665)
double commands output in help (#2298) (efe81e9)
pass all argv to configurations when serve command used (#2345) (5070b9b)
respect --stats, --color and --no-color option for serve command (#2312) (73d3fec)
show exact package name while prompting for installation (#2338) (ffc93e5)
webpack installation prompt message (#2316) (3659c5e)
Features
added the configtest command (#2303) (eb7b189)
added the build command (aliases - bundle and b) (7590f66)
added the watch command (#2357) (9693f7d)
allow to pass parseOption to CLI class (#2299) (2af0801)
allow to use help command to show option information (#2353) (15eb411)
show multiple suggestions on unknown options (#2349) (7314d6c)"
17,"4.3.1 (2020-12-31)
Bug Fixes

error message on not installed module loaders for configuration (#2282) (29eaa8e)
peer dependencies (#2284) (083f2a0)
provide useful error on unknown command (d6380bb)
the --help option is working without webpack-dev-server (#2267) (1dae54d)
the --progress option is working with --json (#2276) (0595603)
","4.3.1 (2020-12-31)
Bug Fixes
error message on not installed module loaders for configuration (#2282) (29eaa8e)
peer dependencies (#2284) (083f2a0)
provide useful error on unknown command (d6380bb)
the --help option is working without webpack-dev-server (#2267) (1dae54d)
the --progress option is working with --json (#2276) (0595603)"
