Index,Message,Description,Message Abstract,Description Abstract
1,Merge pull request #17219 from webpack/dependabot/npm_and_yarn/types/node-20.2.0,chore(deps-dev): bump @types/node from 20.1.7 to 20.2.0,Merge pull request #17219 from webpack/dependabot/npm_and_yarn/types/node-20.2.0,chore(deps-dev): bump @types/node from 20.1.7 to 20.2.0
2,chore(deps-dev): bump @types/node from 20.1.7 to 20.2.0,"Bumps @types/node from 20.1.7 to 20.2.0. - Release notes - Commits  updated-dependencies: - dependency-name: ""@types/node""   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com",chore(deps-dev): bump @types/node from 20.1.7 to 20.2.0,"Bumps @types/node from 20.1.7 to 20.2.0. - Release notes - Commits updated-dependencies: - dependency-name: ""@types/node""   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com"
3,5.83.1,,5.83.1,
4,Merge pull request #17214 from webpack/fix-regression,fix: regression,Merge pull request #17214 from webpack/fix-regression,fix: regression
5,revert: return type,,revert: return type,
6,test: added,,test: added,
7,fix: regression,,fix: regression,
8,5.83.0,,5.83.0,
9,Merge pull request #17154 from webpack/chore-fix-cover-report,chore: fix command,Merge pull request #17154 from webpack/chore-fix-cover-report,chore: fix command
10,Merge pull request #17193 from webpack/types-fix,refactor: fix types in hot,Merge pull request #17193 from webpack/types-fix,refactor: fix types in hot
11,Merge pull request #17207 from webpack/fix-matcher-bug,,Merge pull request #17207 from webpack/fix-matcher-bug,
12,fix: matcher type,,fix: matcher type,
13,Merge pull request #17205 from webpack/dependabot/npm_and_yarn/types/node-20.1.7,chore(deps-dev): bump @types/node from 18.16.3 to 20.1.7,Merge pull request #17205 from webpack/dependabot/npm_and_yarn/types/node-20.1.7,chore(deps-dev): bump @types/node from 18.16.3 to 20.1.7
14,chore(deps-dev): bump @types/node from 18.16.3 to 20.1.7,"Bumps @types/node from 18.16.3 to 20.1.7. - Release notes - Commits  updated-dependencies: - dependency-name: ""@types/node""   dependency-type: direct:development   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com",chore(deps-dev): bump @types/node from 18.16.3 to 20.1.7,"Bumps @types/node from 18.16.3 to 20.1.7. - Release notes - Commits updated-dependencies: - dependency-name: ""@types/node""   dependency-type: direct:development   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com"
15,Merge pull request #17202 from webpack/thelarkinn/doc-after-chunks,docs(types): Add docs for compilation.afterChunks hook,Merge pull request #17202 from webpack/thelarkinn/doc-after-chunks,docs(types): Add docs for compilation.afterChunks hook
16,docs(types): Add docs for compilation.afterChunks hook,,docs(types): Add docs for compilation.afterChunks hook,
17,Merge pull request #17201 from webpack/thelarkinn/expose-chunk-graph-type,refactor(types): Expose ChunkGroup to type definitions,Merge pull request #17201 from webpack/thelarkinn/expose-chunk-graph-type,refactor(types): Expose ChunkGroup to type definitions
18,refactor(types): Expose ChunkGroup to type definitions,,refactor(types): Expose ChunkGroup to type definitions,
19,Merge pull request #17195 from webpack/thelarkinn/add-nmrp-types,refactor(types): Add NMF's ResolveData typed to public interface,Merge pull request #17195 from webpack/thelarkinn/add-nmrp-types,refactor(types): Add NMF's ResolveData typed to public interface
20,chore: fix lint,,chore: fix lint,
21,refactor(types): fix,,refactor(types): fix,
22,refactor: fix types,,refactor: fix types,
23,refactor: fix types in hot,,refactor: fix types in hot,
24,Merge pull request #16094 from nuintun/hot-event-optimizing,fix: Fixed apply event callback and optimizing callback event type,Merge pull request #16094 from nuintun/hot-event-optimizing,fix: Fixed apply event callback and optimizing callback event type
25,Merge pull request #17192 from burhanuday/feat/enable-top-level-await,feat: enable topLevelAwait by default,Merge pull request #17192 from burhanuday/feat/enable-top-level-await,feat: enable topLevelAwait by default
26,yarn fix,,yarn fix,
27,Merge pull request #17137 from bworline/export-names,Normalize property access for imports and exports,Merge pull request #17137 from bworline/export-names,Normalize property access for imports and exports
28,add small excerpt about contributing types to webpack,,add small excerpt about contributing types to webpack,
29,Add correct place to add ResolveData type,,Add correct place to add ResolveData type,
30,revert declarations change,,revert declarations change,
31,Merge pull request #17196 from webpack/thelarkinn/fix-chunk-type,fix(types): Correct chunkgroup.groupsIterable return type,Merge pull request #17196 from webpack/thelarkinn/fix-chunk-type,fix(types): Correct chunkgroup.groupsIterable return type
32,fix(types): Correct chunkgroup.groupsIterable return type,,fix(types): Correct chunkgroup.groupsIterable return type,
33,docs: add comment for todo,,docs: add comment for todo,
34,test: update snapshots,,test: update snapshots,
35,feat: update defaults,,feat: update defaults,
36,refactor(types): Add NMF's ResolveData typed to public interface,,refactor(types): Add NMF's ResolveData typed to public interface,
37,Merge pull request #17184 from webpack/dependabot/npm_and_yarn/yarn-deduplicate-6.0.2,chore(deps-dev): bump yarn-deduplicate from 6.0.1 to 6.0.2,Merge pull request #17184 from webpack/dependabot/npm_and_yarn/yarn-deduplicate-6.0.2,chore(deps-dev): bump yarn-deduplicate from 6.0.1 to 6.0.2
38,chore(deps-dev): bump yarn-deduplicate from 6.0.1 to 6.0.2,Bumps yarn-deduplicate from 6.0.1 to 6.0.2. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: yarn-deduplicate   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com,chore(deps-dev): bump yarn-deduplicate from 6.0.1 to 6.0.2,Bumps yarn-deduplicate from 6.0.1 to 6.0.2. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: yarn-deduplicate   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com
39,Merge branch 'webpack:main' into hot-event-optimizing,,Merge branch 'webpack:main' into hot-event-optimizing,
40,Merge pull request #17163 from webpack/dependabot/npm_and_yarn/wast-loader-1.11.6,chore(deps-dev): bump wast-loader from 1.11.5 to 1.11.6,Merge pull request #17163 from webpack/dependabot/npm_and_yarn/wast-loader-1.11.6,chore(deps-dev): bump wast-loader from 1.11.5 to 1.11.6
41,Merge pull request #17168 from webpack/dependabot/npm_and_yarn/webassemblyjs/wasm-edit-1.11.6,chore(deps): bump @webassemblyjs/wasm-edit from 1.11.5 to 1.11.6,Merge pull request #17168 from webpack/dependabot/npm_and_yarn/webassemblyjs/wasm-edit-1.11.6,chore(deps): bump @webassemblyjs/wasm-edit from 1.11.5 to 1.11.6
42,Merge branch 'webpack:main' into hot-event-optimizing,,Merge branch 'webpack:main' into hot-event-optimizing,
43,5.82.1,,5.82.1,
44,Merge pull request #17160 from snitin315/update-enhanced-resolve,feat: update enhanced-resolve to v5.14.0,Merge pull request #17160 from snitin315/update-enhanced-resolve,feat: update enhanced-resolve to v5.14.0
45,chore(deps): bump @webassemblyjs/wasm-edit from 1.11.5 to 1.11.6,"Bumps @webassemblyjs/wasm-edit from 1.11.5 to 1.11.6. - Commits  updated-dependencies: - dependency-name: ""@webassemblyjs/wasm-edit""   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com",chore(deps): bump @webassemblyjs/wasm-edit from 1.11.5 to 1.11.6,"Bumps @webassemblyjs/wasm-edit from 1.11.5 to 1.11.6. - Commits updated-dependencies: - dependency-name: ""@webassemblyjs/wasm-edit""   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com"
46,chore(deps-dev): bump wast-loader from 1.11.5 to 1.11.6,Bumps wast-loader from 1.11.5 to 1.11.6. - Commits  updated-dependencies: - dependency-name: wast-loader   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com,chore(deps-dev): bump wast-loader from 1.11.5 to 1.11.6,Bumps wast-loader from 1.11.5 to 1.11.6. - Commits updated-dependencies: - dependency-name: wast-loader   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com
47,fix: update FileSystemInfo types and fix lint,,fix: update FileSystemInfo types and fix lint,
48,cspell lint fix,,cspell lint fix,
49,update snapshot,,update snapshot,
50,Merge branch 'main' of https://github.com/webpack/webpack into export-names,,Merge branch 'main' of link into export-names,
51,merge with main,,merge with main,
52,"move expectSourceToContain, expectSourceToMatch, regexEscape to helper files",,"move expectSourceToContain, expectSourceToMatch, regexEscape to helper files",
53,fix: udpate types,,fix: udpate types,
54,feat: update enhanced-resolve to v5.14.0,,feat: update enhanced-resolve to v5.14.0,
55,Merge pull request #17151 from lvivski/chunk-loading,Reduce the amount of generated code for chunk loading,Merge pull request #17151 from lvivski/chunk-loading,Reduce the amount of generated code for chunk loading
56,chore: fix command,,chore: fix command,
57,Merge pull request #17149 from webpack/dependabot/npm_and_yarn/core-js-3.30.2,chore(deps-dev): bump core-js from 3.30.1 to 3.30.2,Merge pull request #17149 from webpack/dependabot/npm_and_yarn/core-js-3.30.2,chore(deps-dev): bump core-js from 3.30.1 to 3.30.2
58,Merge pull request #17146 from webpack/dependabot/npm_and_yarn/webpack-cli-5.1.0,chore(deps-dev): bump webpack-cli from 5.0.2 to 5.1.0,Merge pull request #17146 from webpack/dependabot/npm_and_yarn/webpack-cli-5.1.0,chore(deps-dev): bump webpack-cli from 5.0.2 to 5.1.0
59,Merge pull request #17145 from JeraldVin/patch-2,chore: update package.json description,Merge pull request #17145 from JeraldVin/patch-2,chore: update package.json description
60,Regenerate snapshots,,Regenerate snapshots,
61,Remove else branch for if (true),,Remove else branch for if (true),
62,Merge pull request #17143 from webpack/issue-16838,fix: use rel modulepreload for esm modules,Merge pull request #17143 from webpack/issue-16838,fix: use rel modulepreload for esm modules
63,Merge pull request #16950 from ahabhgk/fix-debug-hash,fix: failed with debug hash,Merge pull request #16950 from ahabhgk/fix-debug-hash,fix: failed with debug hash
64,Merge pull request #17140 from webpack/issue-17139,fix: crash with importModule when CSS enabled,Merge pull request #17140 from webpack/issue-17139,fix: crash with importModule when CSS enabled
65,Merge pull request #17133 from webpack/css-fixes,fix: support nesting in CSS modules and bug fixes,Merge pull request #17133 from webpack/css-fixes,fix: support nesting in CSS modules and bug fixes
66,chore: update package.json description,Fix grammar Co-authored-by: Nitin Kumar snitin315@gmail.com,chore: update package.json description,Fix grammar Co-authored-by: Nitin Kumar snitin315@gmail.com
67,chore(deps-dev): bump core-js from 3.30.1 to 3.30.2,Bumps core-js from 3.30.1 to 3.30.2. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: core-js   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com,chore(deps-dev): bump core-js from 3.30.1 to 3.30.2,Bumps core-js from 3.30.1 to 3.30.2. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: core-js   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com
