Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Merge pull request #17389 from webpack/dependabot/npm_and_yarn/browserslist-4.21.9,0.7353736,Bump browserslist from 4.21.6 to 4.21.8 by @dependabot in https://github.com/webpack/webpack/pull/17367,chore(deps): bump browserslist from 4.21.8 to 4.21.9,1
chore(deps): bump browserslist from 4.21.8 to 4.21.9,0.6399012,Bump browserslist from 4.21.6 to 4.21.8 by @dependabot in https://github.com/webpack/webpack/pull/17367,Bumps browserslist from 4.21.8 to 4.21.9. - Changelog - Commits  updated-dependencies: - dependency-name: browserslist   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com,0
5.87.0,0.5270273,Note: 0.12 will expire in December 2017. We will remove it soon too.,,0
Merge pull request #17365 from webpack/refactor-types,0.6557678,Fix types in hot module replacement APIs by @alexander-akait in https://github.com/webpack/webpack/pull/17193,refactor(types): more,0
refactor: rebase,0.66719747,Refactoring,,0
test: fix,0.532751,Bugfix,,0
refactor(types): more,0.6193353,add more typings,,0
Merge pull request #17339 from webpack/feat-allow-to-have-falsy-values,0.67032784,"webpack configuration API now accepts ""falsy values"" loaders and plugins by @alexander-akait in https://github.com/webpack/webpack/pull/17339",feat: allow to use falsy loaders and plugins,0
chore: fix lint,0.44053683,lint files on commit with lint-staged,,0
chore: update types,0.5833394,update typings to include undefined/null types (for strict type),,0
chore: update lock files and extra test,0.5626841,Automatically upgrades lockfile during development when remote resources change,,0
chore: update deps and tests,0.4192895,update dependencies for development,,0
chore: update schema for resolve plugins,0.88567567,fix schema for resolve.plugins,,1
chore: update schema,0.61738557,fix typo in schema,,0
fix: exclude from CLI,0.60355806,exclude deprecated --module-rules-options from Cli arguments,,0
test: update,0.4247846,update ajv,,0
feat: handle more and fixes,0.45390666,Bugfixes:,,0
test: move comment,0.41028723,fix problem with new line after comment,,0
feat: allow to use falsy loaders and plugins,0.55035114,add typings for loaders,,0
Merge pull request #17346 from burhanuday/feat/style-field-resolution,0.43885556,[CSS] - Fix runtime generation bug for merged CSS Chunks by @janlent1 in https://github.com/webpack/webpack/pull/16903,feat: resolve style fields in package json,0
Merge pull request #16577 from ahabhgk/type-css-auto,0.5363141,[CSS] - Fix runtime generation bug for merged CSS Chunks by @janlent1 in https://github.com/webpack/webpack/pull/16903,feat: 'css/auto' as a css module type,0
Merge pull request #17249 from webpack/fetchPriority,0.62256503,Implement fetchPriority feature as parser option and magic comment by @alexander-akait in https://github.com/webpack/webpack/pull/17249,feat: added fetchPriority,0
Merge pull request #17369 from burhanuday/docs/readme-links-update,0.43526852,officially deprecate needRebuild in favor of needBuild,docs: add link to svelte loader for webpack,0
test: more,0.40781778,Tests & Contributor Experience,,0
refactor: update comments,0.47174534,fix problem with new line after comment,,0
test: update snapshots,0.5696795,Cache validated snapshots,,0
fix: prefer relative,0.47447348,"fix new URL(""relative/file.png"", import.meta.url) to resolve relative",,0
Merge pull request #17366 from webpack/dependabot/npm_and_yarn/types/node-20.3.1,0.7393365,Bump @types/node from 18.16.3 to 20.1.7 by @dependabot in https://github.com/webpack/webpack/pull/17205,chore(deps-dev): bump @types/node from 20.3.0 to 20.3.1,1
Merge pull request #17367 from webpack/dependabot/npm_and_yarn/browserslist-4.21.8,0.75586075,Bump browserslist from 4.21.6 to 4.21.8 by @dependabot in https://github.com/webpack/webpack/pull/17367,chore(deps): bump browserslist from 4.21.6 to 4.21.8,1
docs: add link to svelte loader,0.6379423,Add link to svelte loader for webpack by @burhanuday in https://github.com/webpack/webpack/pull/17369,,0
test: add test cases for custom extension and data uri,0.43166143,change test cases to text format,,0
chore(deps): bump browserslist from 4.21.6 to 4.21.8,0.6443186,Bump browserslist from 4.21.6 to 4.21.8 by @dependabot in https://github.com/webpack/webpack/pull/17367,Bumps browserslist from 4.21.6 to 4.21.8. - Changelog - Commits  updated-dependencies: - dependency-name: browserslist   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com,0
chore(deps-dev): bump @types/node from 20.3.0 to 20.3.1,0.6939045,chore(deps-dev): bump @types/node from 18.16.2 to 18.16.3 by @dependabot in https://github.com/webpack/webpack/pull/17112,"Bumps @types/node from 20.3.0 to 20.3.1. - Release notes - Commits  updated-dependencies: - dependency-name: ""@types/node""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com",0
refactor(types): update,0.644354,update typings to include undefined/null types (for strict type),,0
refactor: code,0.8369241,Refactoring,,1
refactor: use runtime logic but only when needed,0.5564193,Refactoring,,0
fix: use hasOwnProperty,0.62400675,add hasOwnProperty helper function to runtime to reduce size of other runtime code,,0
